,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-716.6,814.7,1227.4,2042.1,0,-140.5,-140.5,1185,-658.2,-189.9,3.6,0,3.6,-4.5,-849,-339.8,15.3,-324.5,-21,11.4,-711,561.4,-462.7,-108.9,31.2,-692.2
2022-09-30,819.7,898.1,-409.4,488.7,0,-376.1,-376.1,932.3,-459.2,-140.8,6.8,0,6.8,-9.5,-602.7,-2041.7,13.5,-2028.2,1.2,1.2,-668.9,2490.8,-205.1,46.5,39.2,-668.9
2022-06-30,890.9,826.5,-361,465.5,0,-441.1,-441.1,915.3,-370.1,-89.7,6,0,6,63.4,-390.4,-2193.3,0,-2193.3,2303.5,2303.5,-639,24.3,-504.5,-68.3,42.2,-639
2022-03-31,702.70000,815.80000,-202.70000,613.10000,,-652.20000,-652.20000,663.60000,-386.10000,-128.60000,3.20000,,3.20000,-1.60000,-513.10000,432.90000,,432.90000,8.00000,8.00000,-641.20000,-50.60000,-250.90000,-71.90000,56.70000,-641.20000
2021-12-31,441.2,683.8,-51.8,632,-191.7,-278.7,-394.3,678.9,-460,-9708.6,0.5,0,0.5,0.4,-10167.7,8916.9,-12.1,8904.8,36.4,36.4,-596.7,-202.8,8141.7,-1356,21.5,-596.7
2021-09-30,726.2,611.4,-104.4,506.9999,0,863.2,863.2,2096.4,-314,-712.7,5.9,0,5.9,1.9,-1018.9,-1807.9,0,-1807.9,33.8,33.8,-575.4,3045.3,695.8,1698.5,28.1,-575.4
2021-06-30,747.9,554.8,-79.1,475.7001,0,-271.7,-271.7,951.9,-277.9,-8767.8,3.5,-25,-21.5,0.3,-9066.9,6543.4999,-61.9,6481.5999,2386.5,2386.5,-777.2,-23.9,8067,7.5,31.9,-777.2
2021-03-31,652.30000,522.50000,-19.70000,502.80000,,-62.40000,-62.40000,1092.70000,-324.80000,-114.80000,4.40000,,4.40000,-3.50000,-438.70000,134.90010,,134.90010,1.90000,1.90000,-544.90000,-71.90000,-480.00000,131.90000,38.00000,-544.90000
2020-12-31,361.6,514.1,279.2,793.3,-175.5,223.9,-22.6,1132.3,-362.9,-3465.5,4.9,0,4.9,9.5,-3814,-9264.2,12849.9,3585.6988,15.6,15.6,-504.9,-361.7,2734.7,131.2,21.8,-504.9
2020-09-30,462.9,473.9,139.7,613.6,0,-116.2,-116.2,960.3,-243.9,-100.9,5.4,0,5.4,7.6,-331.8,12340.5,-12884.6,-544.0998,48.2,48.2,-501.8,-14.9,-1012.6,-375.9,24.1,-501.8
2020-06-30,448.4,454.9,114.5,569.4,0,-29,-29,988.8,-210.5,-183.4,3.5,0,3.5,5,-385.4,606.7004,0,606.7004,6.9,6.9,-478.9,-35.5,99.2,705.8,27.2,-478.9
2020-03-31,418.60000,472.30000,164.90000,637.20000,,-255.80000,-255.80000,800.00000,-214.40000,-49.30000,5.80000,,5.80000,4.50000,-253.40000,537.09960,-33.50000,503.59960,-28.60000,-28.60000,-454.90000,-626.10000,-606.00000,-177.70000,47.70000,-454.90000
2019-12-31,569.4,475.7,-43,432.7,12.5,-6.5,-8.4,993.7,-266.7,-2272,5.1,0,5.1,-53.1,-2586.7,2235.0997,-21,2214.0997,-6.8,-6.8,-432.6,-78.4,1696.3,129.7,23.5,-432.6
2019-09-30,505.3,442.8,112.5,555.3,0,-123.4,-123.4,937.2,-260.3,-553.1,9.7,0,9.7,-6.4,-810.1,450.8003,0,450.8003,36.1,36.1,-407.1,-7,72.8,162.3,23.5,-407.1
2019-06-30,434.3,448.9,120.9,569.8,0,32.5,32.5,1036.6,-243.5,-43.4,19.4,0,19.4,0.1,-267.4,-200.2002,0,-200.2002,29.4,29.4,-398,-28.2,-597,186.3,21.9,-398
2019-03-31,407.60000,436.90000,91.70000,528.60000,,-151.10000,-151.10000,785.10000,-220.80000,-91.10000,-6.60000,,-6.60000,-4.80000,-323.30000,215.70020,,215.70020,27.20000,27.20000,-377.10000,-516.20000,-650.40000,-205.20000,42.50000,-377.10000
2018-12-31,292.7,788,58.9,846.9,-32.1,78,123.6,1263.2,-302.8,-443.6,73.0999,0,73.0999,-21.1,-694.4,-205.6001,-3.3,-208.9001,-6.8,-6.8,-348.4,-9.3,-573.4,11.6,26.2,-348.4
2018-09-30,377.3,448.9,32.3,481.2,0,-105.2,-105.2,753.3,-185.5,-101.3,83.1001,0,83.1001,-8.4,-212.1,178.1997,0,178.1997,-68.7,-68.7,-339.5,7.3,-222.7,323.2,43.8,-339.5
2018-06-30,314.4,449.7,134,583.7,0,41.9,41.9,940,-226.4,-663.1,335.8,0,335.8,-8.7,-562.4,-172.5997,0,-172.5997,-78.4,-78.4,-331.3,-46.6,-628.9,-308.8,24.8,-331.3
2018-03-31,280.30000,446.30000,139.50000,585.80000,,-74.30000,-74.30000,791.80000,-198.50000,-673.40000,-394.10000,,-394.10000,-14.60000,-1280.60000,1163.40000,,1163.40000,20.00000,20.00000,-323.20000,-42.90000,817.30000,324.00000,42.70000,-304.30000
2017-12-31,194.8,486.1,166.8,652.9,-191.1,27.4,-58.7,789,-248.6,-1050.1,4.6,0,4.6,3.7,-1290.4,973.6001,-75.3,898.3001,-82.6,-82.6,-302.4,-12.4,500.9,0.2,22.1,-283.5
2017-09-30,334.7,432.3,82.2,514.5,0,-185.4,-185.4,663.8,-183.5,-99.7,2.9,0,2.9,-15.7,-296,-24.1001,0,-24.1001,-5.2,-5.2,-293.5,-0.5,-323.3,41.4,24.4,-274.6
2017-06-30,388.5,396.4,21.2,417.6,0,-11.5,-11.5,794.6,-203.4,-79.4,3.4,0,3.4,-14.8,-294.2,235.9,61.8,297.7,-448.5,-448.5,-291.3,-6.4,-448.5,55,25.8,-264.5
2017-03-31,307.40000,421.10000,46.30000,467.40000,,-96.60000,-96.60000,678.20000,-168.10000,-777.80000,3.80000,,3.80000,21.80000,-920.30000,363.60000,-61.80000,301.80000,-110.30000,-110.30000,-277.20000,243.60000,157.90000,-78.20000,36.20000,-250.40000
2016-12-31,232.894,405.902,100.122,506.024,11.4,-18.549,-15.649,723.269,-207.326,-101.385,7.841,0,7.841,-15.228,-316.098,-130.6211,7.462,-123.1591,15.899,15.899,-260.89,242.123,-126.027,263.928,19.688,-234.134
2016-09-30,263.735,397.999,78.888,476.887,0,-73.507,-73.507,667.115,-155.747,-93.448,1.858,0,1.858,4.536,-242.801,-56.614,-4.619,-61.233,16.24,16.24,-252.183,-6.356,-303.532,119.82,20.226,-225.402
2016-06-30,192.464,397.765,71.255,469.02,0,86.32,86.32,747.804,-165.205,-1215.594,1.417,0,1.417,21.497,-1357.885,886.281,5.793,892.074,45.779,45.779,-243.362,1.832,696.323,74.135,21.907,-216.58
2016-03-31,281.30700,341.63400,43.53500,385.16900,,-102.96400,-102.96400,563.51200,-154.22200,-0.87300,1.18400,,1.18400,-31.60500,-185.51600,-109.64600,-8.63600,-118.28200,14.58200,14.58200,-236.76500,-25.59900,-366.06400,15.71700,28.07900,-209.98400
2015-12-31,221.588,359.228,39.773,399.001,-56.3,-21.304,2.696,623.285,-210.782,-344.895,18.606,0,18.606,-0.352,-537.423,152.988,0.718,153.706,21.349,21.303,-221.6219,7.265,-39.348,15.288,18.249,-194.888
2015-09-30,97.74,341.096,79.393,420.489,0,-11.074,-11.074,507.155,-206.896,-945.959,25.463,0,25.463,2.555,-1124.837,1701.2139,8.282,1709.4959,11.96,11.96,-213.0271,-866.198,642.231,12.702,18.345,-186.246
2015-06-30,157.18,328.356,106.959,435.315,0,-65.965,-65.965,526.53,-151.938,-649.3,-24.696,0,-24.696,-4.087,-830.021,-444.1309,0,-444.1309,12.195,12.132,-200.939,863.028,230.09,-48.698,24.045,-177.729
2015-03-31,195.49200,263.52000,128.07500,391.59500,,-77.15700,-77.15700,509.93000,-159.18400,-20.94600,-9.87300,,-9.87300,-5059.41600,-5249.41900,1159.22900,,1159.22900,2445.49600,3783.50500,-159.91200,-22.69500,4760.12700,9.90800,29.86100,-152.03700
