,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2013-09-30,136.00000,43.00000,18.00000,61.00000,88.00000,-44.00000,-7.00000,-19.00000,178.00000,-27.00000,,,-27.00000,,84.00000,84.00000,-119.00000,-119.00000,-93.00000,-128.00000,24.00000,10.00000,-93.00000
2013-06-30,183,44,18,62,-30,56,5,45,290,-56,0,28,-28,0,-190,-190,-107,-107,-85,-382,-124,8,-85
2013-03-31,133,46,-4,42,-51,-10,4,-15,160,-32,0,-1,-33,-500,387,-113,48,48,-83,-148,-22,9,-83
2012-12-31,123,46,-11,35,-9,-25,2,-41,117,-48,0,108,60,-351,2,-349,36,36,-84,-397,-222,10,-84
2012-09-30,133.00000,44.00000,40.00000,84.00000,80.00000,-32.00000,1.00000,-9.00000,208.00000,-54.00000,,,-54.00000,594.00000,-297.00000,297.00000,28.00000,28.00000,-83.00000,242.00000,400.00000,8.00000,-83.00000
2012-06-30,174,45,-10,35,-24,67,-6,78,287,-73,0,-4,-77,0,-130,-130,-35,-35,-78,-243,-36,8,-78
2012-03-31,132,44,-2,42,-52,-1,3,-17,157,-37,0,0,-37,0,-48,-48,10,10,-78,-116,6,8,-78
2011-12-31,105,43,-34,9,-55,-34,2,-77,37,-45,-93,12,-126,297,36,333,-138,-138,-80,115,27,6,-80
2011-09-30,130.00000,46.00000,19.00000,65.00000,79.00000,-31.00000,-2.00000,-64.00000,131.00000,-37.00000,,,-37.00000,,-22.00000,-22.00000,24.00000,24.00000,-79.00000,-77.00000,11.00000,5.00000,-79.00000
2011-06-30,169,43,44,87,-20,56,7,36,292,-69,0,0,-69,0,116,116,-160,-160,-73,-117,106,9,-73
2011-03-31,151,42,-5,37,-67,-25,-3,-7,181,-70,0,0,-70,-300,340,40,-303,-303,-76,-339,-226,9,-76
2010-12-31,21,301,-138,163,-6,-24,8,-107,77,-55,747,25,717,0,-503,-503,-117,-117,-77,-697,93,2,-77
2010-09-30,216.00000,45.00000,-46.00000,-1.00000,60.00000,-44.00000,9.00000,-67.00000,148.00000,-34.00000,,,-34.00000,,134.00000,134.00000,18.00000,18.00000,-77.00000,75.00000,199.00000,12.00000,-77.00000
2010-06-30,171,45,33,78,9,53,-5,127,376,-92,0,-11,-103,-9,-215,-224,-131,-131,-71,-426,-154,14,-71
2010-03-31,165,44,-2,42,-88,-6,-4,-10,197,-33,-19,-1,-53,-575,560,-15,30,30,-70,-55,87,21,-70
2009-12-31,110,46,27,73,24,-20,0,-31,152,-42,0,0,-42,297,-432,-135,16,16,-71,-190,-83,12,-71
2009-09-30,157.00000,48.00000,-11.00000,37.00000,34.00000,-21.00000,,-100.00000,94.00000,-34.00000,,1.00000,-33.00000,-15.00000,35.00000,20.00000,15.00000,15.00000,-70.00000,-35.00000,31.00000,13.00000,-70.00000
2009-06-30,170,46,9,55,-31,37,12,90,315,-61,0,1,-60,11,-123,-112,4,4,-65,-173,89,13,-65
2009-03-31,367,142,65,207,21,-42,-20,-151,423,-135,0,-2,-137,0,-211,-211,37,37,-193,-367,-97,45,-193
