,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1616,911,-182,729,-180,-91,296,92,304,2649,-340,0,-3709,547,547,29,-3473,-19,-19,0,0,-1040,10,-1049,-1873,401,-1040
2022-09-30,2143,837,-312,525,-62,-241,-44,-32,310,2978,-160,0,0,13,13,-120,-267,2984,2984,0,0,-1038,-358,1588,4299,0,-1038
2022-06-30,1317,828,685,1513,-309,-180,-140,241,-900,1930,-246,0,0,-1961,-1961,14,-2193,2,2,0,0,-1038,-26,-1062,-1325,0,-1038
2022-03-31,1476.00000,841.00000,294.00000,1135.00000,-195.00000,-230.00000,42.00000,-43.00000,-447.00000,2164.00000,-190.00000,,,32.00000,32.00000,47.00000,-111.00000,3952.00000,3952.00000,-6360.00000,-6360.00000,-1080.00000,-26.00000,-3514.00000,-1461.00000,,-1080.00000
2021-12-31,1899,852,-264,588,-160,50,191,136,321,2808,-287,0,-890,905,905,42,-230,-4151,-4151,-1443,-1443,-990,26,-6558,-3980,341,-990
2021-09-30,1884,850,-110,740,-304,-48,-104,-115,-206,2418,-242,0,-13,497,497,-169,73,4946,4946,-1080,-1080,-999,-19,2848,5339,0,-999
2021-06-30,464,855,1550,2405,-56,-41,-127,-112,-938,1931,-185,0,-1626,3006,3006,14,1209,0,0,-1581,-1581,-1008,-33,-2622,518,0,-1008
2021-03-31,1646.00000,841.00000,-12.00000,829.00000,91.00000,-126.00000,-29.00000,-146.00000,-371.00000,2104.00000,-166.00000,,,-74.00000,-74.00000,-79.00000,-319.00000,,,-871.00000,-871.00000,-1016.00000,-52.00000,-1939.00000,-154.00000,,-1016.00000
2020-12-31,1615,873,-83,790,-396,101,247,65,-252,2153,-173,0,0,-1105,-1105,-106,-1384,-1450,-1450,-1205,-1205,-932,-3,-3590,-2821,330,-932
2020-09-30,2021,901,-53,848,1146,-90,14,-79,499,3368,-135,0,0,-1001,-1001,-492,-1628,-88,-88,-765,-765,-936,-9,-1798,-58,0,-936
