,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,1803,930,-39,891,-222,-113,-191,-176,148,2842,-158,0,0,-1951,-1951,-50,-2159,2289,2289,-555,-555,-942,-17,775,1458,0,-942
2020-03-31,1825.00000,897.00000,23.00000,920.00000,-955.00000,-113.00000,-25.00000,319.00000,-611.00000,2134.00000,-142.00000,,,2558.00000,2558.00000,-2646.00000,-230.00000,1713.00000,1713.00000,-961.00000,-961.00000,-945.00000,-61.00000,-254.00000,1650.00000,,-945.00000
2019-12-31,1703,702,-164,538,-441,35,360,279,273,2514,-188,0,-13617,7598,7598,244,-5963,0,0,-1094,-1094,-860,25,-1929,-5378,308,-860
2019-09-30,1968,508,35,543,165,17,9,-111,866,3377,-170,0,0,5814,5814,-272,5372,-864,-864,-1161,-1161,-868,34,-2859,5890,0,-868
2019-06-30,2179,501,-12,489,-21,-90,-93,91,-1254,1414,-144,0,0,2902,2902,-13,2745,-2650,-2650,-2415,-2415,-880,-47,-5992,-1833,0,-880
2019-03-31,1992.00000,495.00000,-26.00000,469.00000,-207.00000,-28.00000,-112.00000,-249.00000,-616.00000,1845.00000,-116.00000,,,3682.00000,3682.00000,-11.00000,3555.00000,-1000.00000,-1000.00000,-3032.00000,-3032.00000,-901.00000,-54.00000,-4987.00000,413.00000,,-901.00000
2018-12-31,1928,490,-8,482,-144,90,168,145,784,3194,-225,0,-2,-4296,-4296,-114,-4637,-621,-621,-2124,-2124,-840,17,-3568,-5011,311,-840
2018-09-30,1859,501,275,776,114,42,18,122,638,3273,-171,0,0,1340,1340,-37,1132,0,0,-1729,-1729,-851,0,-2580,1825,0,-851
2018-06-30,2296,484,41,525,36,-28,-51,-97,-719,2102,-187,0,0,3121,3121,4,2938,-500,-500,-3244,-3244,-865,-41,-4650,390,0,-865
2018-03-31,2311.00000,471.00000,26.00000,497.00000,-384.00000,-107.00000,-278.00000,-135.00000,-81.00000,2727.00000,-155.00000,,197.00000,14862.00000,14862.00000,2.00000,14906.00000,,,-10697.00000,-10697.00000,-951.00000,-44.00000,-11692.00000,5941.00000,,-951.00000
2017-12-31,-4264,449,-913,-464,171,187,474,86,7740,3012,-153,0,-19,123,123,-29,-78,991,-508,-789,-789,-834,-3,-2134,800,85,-834
2017-09-30,2021,464,161,625,162,36,-7,84,808,3454,-158,0,0,-1781,-1781,-37,-1976,0,540,-809,-809,-838,0,-1107,371,88,-838
2017-06-30,2151,518,87,605,-344,35,-23,214,-430,2326,-185,0,0,-1598,-1598,-30,-1813,-315,644,-976,-976,-846,-64,-1242,-729,96,-846
2017-03-31,2071.00000,524.00000,-2.00000,522.00000,-47.00000,-125.00000,-20.00000,-408.00000,-208.00000,2385.00000,-168.00000,,,63.00000,63.00000,-52.00000,-157.00000,-605.00000,-605.00000,-586.00000,-586.00000,-847.00000,-73.00000,-2111.00000,117.00000,60.00000,-847.00000
2016-12-31,1935,559,131,690,-22,45,103,207,475,3100,-227,0,0,-999,-999,4,-1222,-395,-395,-983,-983,-747,3,-2122,-244,89,-747
2016-09-30,2017,503,-31,472,-73,31,-47,-5,173,2662,-167,99,0,-2111,-2111,-210,-2389,2080,2080,-764,-764,-747,13,582,855,83,-747
2016-06-30,1870,522,307,829,-21,-23,50,-81,-22,2677,-188,-99,0,-328,-328,-42,-657,-876,-876,-542,-542,-752,-116,-2286,-266,87,-752
2016-03-31,1900.00000,521.00000,119.00000,640.00000,-98.00000,-133.00000,-150.00000,-249.00000,-625.00000,1915.00000,-156.00000,,,-4239.00000,-4239.00000,5.00000,-4390.00000,2784.00000,2784.00000,-676.00000,-676.00000,-752.00000,-129.00000,1227.00000,-1248.00000,52.00000,-752.00000
2015-12-31,1800,542,-448,94,-118,197,62,-37,179,2073,-202,0,-359,408,408,-80,-233,-124,-124,-183,-183,-596,-19,-922,918,80,-596
2015-09-30,1863,523,-22,501,-103,88,124,107,528,2892,-93,50,0,-1820,-1820,-140,-2003,-125,-125,-744,-744,-599,10,-1458,-569,82,-599
2015-06-30,1653,519,57,576,-190,145,19,224,1055,3284,93,-50,0,-2278,-2278,-124,-2359,1439,1439,-476,-476,-602,-355,6,931,90,-602
2015-03-31,1623.00000,524.00000,-18.00000,506.00000,-9.00000,51.00000,-217.00000,-139.00000,-647.00000,1482.00000,-118.00000,,,-731.00000,-731.00000,-103.00000,-952.00000,-125.00000,-125.00000,-464.00000,-464.00000,-599.00000,-209.00000,-1397.00000,-867.00000,70.00000,-599.00000
2014-12-31,1294,525,18,543,-209,228,124,119,1005,2842,-200,-135,-50,827,827,-68,374,-2125,-2125,-105,-105,-464,-468,-3162,54,106,-464
2014-09-30,1244,543,138,681,345,59,-21,-109,816,2741,-170,-150,0,-2648,-2648,65,-2903,-125,-125,54,54,-464,22,-513,-675,103,-464
2014-06-30,1547,506,121,627,-180,43,33,170,53,2227,-173,0,-11,-3045,-3045,771,-2458,1246,1246,61,61,-463,52,896,665,112,-463
2014-03-31,1073.00000,518.00000,79.00000,597.00000,180.00000,-3.00000,92.00000,-181.00000,-528.00000,1142.00000,-172.00000,,-104.00000,-116.00000,-116.00000,-373.00000,-765.00000,-125.00000,-125.00000,38.00000,38.00000,-460.00000,52.00000,-495.00000,-118.00000,87.00000,-460.00000
2013-12-31,1021,444,-106,338,94,64,54,115,476,1835,-181,0,-9434,-463,-463,-40,-10118,4109,4109,28,28,-354,24,3807,-4476,99,-354
2013-09-30,1368,288,84,372,1,-37,-111,-262,67,1807,-175,0,0,-1424,-1424,-520,-2119,3074,3074,56,56,-354,11,2787,2475,100,-354
2013-06-30,1258,277,285,562,-152,-22,82,98,-220,1600,-159,0,0,2162,2162,-44,1959,0,0,119,119,-354,-48,-283,3276,112,-354
2013-03-31,1434.00000,277.00000,54.00000,331.00000,19.00000,-12.00000,35.00000,-10.00000,-716.00000,1049.00000,-158.00000,,,1973.00000,1973.00000,-6.00000,1809.00000,-2500.00000,-2500.00000,-739.00000,-739.00000,-353.00000,7.00000,-3585.00000,-727.00000,92.00000,-353.00000
2012-12-31,788,273,295,568,150,25,161,-869,-544,812,-200,-25,-400,-1433,-1433,27,-2031,-21,-21,-1058,-1058,-274,6,-1347,-2566,91,-274
2012-09-30,1107,287,158,445,11,-107,-188,-210,171,1723,-173,0,-319,-2742,-2742,61,-3173,1954,1954,-265,-265,-279,14,1424,-26,91,-279
2012-06-30,1266,269,-101,168,279,-52,-38,556,941,2375,-172,0,-702,-1467,-1467,-99,-2440,2961,2961,-995,-995,-280,21,1707,1642,105,-280
2012-03-31,1184.00000,259.00000,142.00000,401.00000,-92.00000,-16.00000,226.00000,-133.00000,-613.00000,972.00000,-144.00000,,-969.00000,-1233.00000,-1233.00000,,-2346.00000,-84.00000,-84.00000,-1001.00000,-1001.00000,-285.00000,5.00000,-1365.00000,-2739.00000,75.00000,-285.00000
2011-12-31,934,261,-194,67,-171,-110,-90,819,583,1584,-224,0,0,-30,-30,34,-220,7414,7114,-5182,-5182,-245,4,1691,3055,96,-245
2011-09-30,454,265,138,403,-17,-79,-126,-294,112,969,-120,0,0,-753,-753,16,-857,0,300,-2259,-2259,-255,-5,-2219,-2107,71,-255
2011-06-30,1170,261,47,308,-188,-116,17,113,58,1536,-123,0,-298,1266,1266,1,846,2973,2973,-634,-634,0,11,2350,4732,97,0
2011-03-31,1125.00000,273.00000,91.00000,364.00000,-181.00000,-78.00000,104.00000,-62.00000,-459.00000,1030.00000,-100.00000,,-403.00000,-46.00000,-46.00000,-6.00000,-555.00000,-2500.00000,-2500.00000,2.00000,2.00000,,2.00000,-2496.00000,-2021.00000,77.00000,0.00000
2010-12-31,1022,261,93,354,107,-11,-43,110,632,2008,-182,0,0,-286,-286,-23,-491,0,0,-1112,-1112,0,-69,-1181,336,105,0
2010-09-30,1236,253,129,382,-218,44,37,39,-316,1302,-127,0,0,-1118,-1118,-26,-1271,1482,1482,-294,-294,0,20,1208,1239,82,0
2010-06-30,1202,251,160,411,63,99,148,-86,-49,1564,-177,0,0,-1222,-1222,-36,-1435,0,1587,-2326,-2326,0,56,-683,-554,98,0
2010-03-31,1167.00000,252.00000,78.00000,330.00000,-162.00000,21.00000,,-43.00000,-584.00000,913.00000,-94.00000,,,-849.00000,-849.00000,-12.00000,-955.00000,989.00000,-598.00000,26.00000,26.00000,,-4.00000,-576.00000,-618.00000,68.00000,
2009-12-31,931,257,218,475,222,-74,28,30,417,1823,-144,0,0,-200,-200,5,-339,-1000,-1000,-1357,-1357,0,180,-2177,-693,75,0
2009-09-30,1386,272,121,393,-150,-110,-5,15,196,1975,-130,0,0,-1369,-1369,78,-1421,0,1997,-1948,-1948,0,6,55,609,86,0
2009-06-30,1269,253,175,428,-172,28,4,75,-18,1679,-139,0,0,-1425,-1425,-17,-1581,-21,-2018,2094,2094,0,17,93,191,64,0
2009-03-31,1019.00000,267.00000,59.00000,326.00000,64.00000,22.00000,44.00000,-123.00000,-486.00000,859.00000,-117.00000,,,271.00000,271.00000,-15.00000,139.00000,2001.00000,2001.00000,-1997.00000,-1997.00000,,1.00000,5.00000,1003.00000,59.00000,
