,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,97.652,522.615,1142.7099,1665.3249,211.505,-12.49,-42.226,-1147.586,-1110.336,776.049,-1206.118,0,29.91,-101.558,-71.648,-63.164,-1340.93,-294.1187,-559.011,-853.1297,852.795,834.476,-212.001,16.209,-214.446,-779.327,-225.74
2022-09-30,555.882,553.802,-837.7759,-283.9739,-144.273,3.052,-102.702,535.331,431.69,993.478,-1133.569,0,-39.714,-13.903,-53.617,42.201,-1144.985,760.4126,-11.239,749.1736,4.85,4.85,-210.051,31.136,575.109,423.602,-205.471
2022-06-30,164.011,552.223,-212.997,339.226,-347.486,1.586,326.09,-838.636,-823.734,277.997,-1331.249,0,6.476,-14.028,-7.552,-333.962,-1672.763,-1771.6398,55.06,-1716.5798,17.323,17.323,-209.987,3182.308,1273.064,-121.702,-205.408
2022-03-31,279.59300,561.73100,71.52400,633.25500,122.98700,14.79500,-283.17500,-430.08600,-622.55800,537.96600,-1501.57800,,,-93.50700,-93.50700,43.86600,-1551.21900,1329.27800,141.63400,1470.91200,9.62900,9.62900,-209.63800,1.38200,1272.28500,259.03200,-205.05800
2021-12-31,245.386,546.621,-126.211,420.41,160.453,-28.592,-92.732,-522.653,-564.271,289.73,-2293.434,0,-1.896,-21.7764,-23.6724,-0.195,-2317.301,1258.239,194.856,1453.095,174.323,156.004,-189.252,50.247,1470.094,-557.477,-202.991
2021-09-30,535.583,546.029,146.481,692.51,-90.805,30.233,493.943,-1019.748,-467.58,1264.436,-1047.256,0,-31.934,-58.552,-90.486,101.992,-1035.75,114.597,140.076,254.673,1.574,1.574,-195.487,23.709,84.469,313.155,-190.907
2021-06-30,-1.395,569.723,162.626,732.349,-101.587,-10.16,44.237,181.116,278.693,796.112,-1345.386,0,36.173,23.2193,59.3923,-26.959,-1312.953,-222.306,-161.384,-383.69,29.877,29.877,-195.208,10.087,-538.934,-1055.775,-190.629
2021-03-31,339.14500,580.57100,243.70900,824.28000,-52.69000,26.87800,-175.65100,-548.89100,-985.31400,-49.56500,-1552.10300,,,-32.31620,-32.31620,71.14700,-1513.27200,2330.07000,-599.86000,1730.21000,0.97900,0.97900,-195.17500,10.38000,1546.39400,-16.44300,-190.59500
2020-12-31,392.548,562.846,-694.742,-131.896,61.694,-26.85,-36.626,-86.679,-90.878,319.7,-1741.005,0,-2.934,-39.1639,-42.0979,266.679,-1516.424,1682.443,229.284,1911.727,0.816,-17.686,-176.299,-1.583,1716.159,519.435,-190.221
2020-09-30,525.699,563.692,256.715,820.407,-170,19.289,213.137,-304.285,-72.881,921.859,-990.265,0,-12.083,-43.386,-55.469,-11.955,-1057.689,1176.289,-548.014,628.275,0.031,0.031,-190.787,2.507,440.026,304.196,-186.207
