,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,0,0,0,0,0,0,0,0,-2009.7,86.3,-149.5,-410.1016,-410.1016,-16.7,-490,-146.4004,-1099.8,-1246.2,1351.8,1351.8,486.1,0.4,592.1,-1907.6,0,486.1
2022-09-30,0,0,0,0,0,0,0,0,1171,-34.6,-22.5,667.3018,667.3018,-22.3,587.9,-559.5996,425,-134.6,-400,-400,-157.4,-0.4,-692.4,1066.5,0,-157.4
2022-06-30,0,0,0,0,0,0,0,0,807.2,-26.3,187.2,-1518.7002,-1518.7002,78.9,-224.7,68.6001,13.1,81.7,-70.6,-70.6,-161.7,0,-150.6,431.9,0,-161.7
2022-03-31,0.00000,,,,,,,,31.50000,-25.40000,-15.20000,1261.50000,1261.50000,-39.90000,126.80000,637.39990,661.70000,1299.10000,-881.20000,-881.20000,-167.00000,,250.90000,409.20000,,-167.00000
2021-12-31,1757.4,593.1,-407.4,185.7,8.3,1415.1,-96.7,1326.7,1147.4,-21,23.6,-2646.4,-2646.4,-182.6,-2826.4,-229.3003,1586,1356.7,-322.7,-322.7,-168.5,0.1,865.6,-813.4,96.1,-168.5
2021-09-30,0,0,0,0,0,0,0,0,973.4,-63.1,-2.7,-1909.6,-1909.6,50.9,-1924.5,897.6001,1140.6,2038.2002,-190.9,-190.9,-168.2,0,1679.1,728,0,-168.2
2021-06-30,0,0,0,0,0,0,0,0,992.8,-22.9,-99.2,-2985.2,-2985.2,20.5,76.4,-308.6001,64.8,-243.8001,-246.3,-246.3,-165.2,0,-655.3,413.9,0,-165.2
2021-03-31,0.00000,,,,,,,,140.80000,-22.90000,-42.40000,2240.70000,2240.70000,-31.40000,-1019.20000,157.39990,141.70000,299.09990,-114.80000,-114.80000,-152.20000,,32.10000,-846.30000,,-152.20000
2020-12-31,1428.5,664.8,83.3,748.1,61.9,1532.1,-174.6,1419.4,598.9,-25.9,-51.2,-1082,-1082,-197.5,-1356.6,144.199,127.6,271.8,-67.3,-67.3,-153.7,0,50.8,-706.9,87.2,-153.7
2020-09-30,0,0,0,0,0,0,0,0,1064.3,-36.5,-78.9,-1474.9,-1474.9,171.5,-1418.8,789,114.1,903.1,11.3,11.3,-153.7,0.1,760.8,406.3,0,-153.7
2020-06-30,0,0,0,0,0,0,0,0,457,-28.4,-58.6,-1196.1,-1196.1,-25.3,-1308.4,612.2,46.3,658.5,14.1,14.1,-153.5,0,519.1,-332.3,0,-153.5
2020-03-31,0.00000,,,,,,,,1589.10000,-18.00000,-39.60000,-869.30000,-869.30000,14.20000,-912.70000,398.50000,269.10000,667.60000,-223.70000,-223.70000,-153.60000,0.10000,290.40000,966.80000,,-153.60000
2019-12-31,1444.1,598.2,-313.6001,284.5999,-247.6,3599.9,401.1,3753.4,1028.4,-34.3,-37.2,-2525.199,-2525.199,-165.6,-2762.3,1154.601,126.7,1281.3,-77.3,-77.3,-152.4,0.2,1051.8,-682.1,82.6,-152.4
2019-09-30,0,0,0,0,0,0,0,0,1786.4,-32.7,-1211,-1268.8,-1268.8,-69.7,-2582.2,428,439.1,867.1,-36.1,-36.1,-153,-0.1,677.9,-117.9,0,-153
2019-06-30,0,0,0,0,0,0,0,0,1502,-36,19,-795.4,-795.4,-40.5,-852.9,390.7999,150.4,541.1999,16.2,16.2,-150.4,0.1,407.1,1056.2,0,-150.4
2019-03-31,0.00000,,,,,,,,1176.40000,-29.40000,-10.50000,-1237.90000,-1237.90000,-213.30000,-1491.10000,-75.29990,-35.30000,-110.59990,-147.80000,-147.80000,-150.20000,5.50000,-403.10000,-717.80000,,-150.20000
2018-12-31,231.7,170.4,103.6,274,71.5,1151.3,-295.1,927.7,1442.6,-18.9,-34.4,-930,-930,-310.5,-1293.8,-146.2,402.8,256.6,-199.3,-199.3,-152.1,-3.2,-98,50.8,17.1,-152.1
2018-09-30,460,72.8,45.6,118.4,-60,1538.4,39.9,1518.3,2075.7,-29.8,-60.5,-1985.7,-1985.7,8.8,-2067.2,789.4,5.1,794.5,-64.5,-64.5,-150.7,-3.1,576.2,584.7,19.5,-150.7
2018-06-30,459.5,115.6,-193,-77.4,83.3,620.3,-170.4,533.2,891.7,-17.6,-42.3,-1369,-1369,67.3,-1361.6,843.7,-8.5,835.2,-207.8,-207.8,-148.5,-2.7,476.2,6.3,19.2,-148.5
