,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,0,0,-9.379,-9.379,717.449,0,-596.793,-0.461,99.7989,90.42,-45.511,-1.375,0,-22.4292,-22.4292,0,-69.315,-0.143,0,-0.143,-86.337,-86.337,-0.139,-86.619,-83.7,0
2022-09-30,0,0,34.761,34.761,658.079,0,-610.084,-23.534,-27.247,7.514,-24.056,0,-100.746,39.8961,39.8961,0,-84.906,-0.113,0,-0.113,4.774,4.774,-13.433,-8.772,-78.663,0
2022-06-30,0,0,29.64,29.64,673.88,0,-581.357,-0.134,20.558,50.198,-14.155,0,1.36,-128.615,-128.615,0,-141.41,-0.15,0,-0.15,-120.733,-120.733,-0.443,-121.326,-205.749,0
2022-03-31,0.00000,,30.76100,30.76100,649.99300,,-619.80900,-0.30600,15.55400,46.31500,-28.89900,,,-883.06300,-883.06300,,-911.96200,1186.11600,,1186.11600,4.17700,4.17700,,1190.29300,331.52300,
2021-12-31,0,0,22.762,22.762,709.29,0,-530.001,-0.403,148.1051,170.867,-56.183,0,-125.516,-385.728,-385.728,0,-567.427,-1.375,0,-1.375,6.172,6.172,-0.162,4.635,-393.387,0
2021-09-30,0,0,2.811,2.811,720.598,0,-466.405,-0.312,227.552,230.363,-34.589,0,0,-46.761,-46.761,0,-81.35,-0.122,0,-0.122,6.353,6.353,-21.813,-15.582,127.359,0
2021-06-30,0,0,8.839,8.839,728.588,0,-518.73,-1.227,145.785,154.624,-23.387,0,0,-76.89,-76.89,0,-100.277,-0.122,0,-0.122,4.055,4.055,-1.068,2.865,59.457,0
2021-03-31,0.00000,,13.43600,13.43600,728.01300,,-612.80300,-0.30900,100.17400,113.61000,-19.53500,,,-28.79200,-28.79200,,-48.32700,-1.40100,,-1.40100,-45.94600,-45.94600,,-47.34700,10.58900,
2020-12-31,0,0,-0.131,-0.131,789.704,0,-470.917,-10.573,294.509,294.378,-48.86,3.514,0,-14.407,-14.407,0,-59.753,-425.158,0,-425.158,5.017,5.017,-1.743,-421.884,-177.986,0
2020-09-30,0,0,10.254,10.254,614.29,0,-447.127,-0.219,125.41,135.664,-19.96,0,0.234,110.58,110.58,0,90.854,-0.183,0,-0.183,6.98,6.98,-6.358,0.439,232.969,0
2020-06-30,0,0,-0.308,-0.308,558.14,0,-449.617,-10.616,92.43,92.122,-18.121,0,-84.649,14.197,14.197,0,-88.573,-0.182,0,-0.182,4.134,4.134,-6.931,-2.979,3.689,0
2020-03-31,0.00000,,8.24900,8.24900,569.00100,,-509.68300,-0.23100,54.55900,62.80800,-21.55300,-0.10000,,9.23100,9.23100,,-12.42200,-1.41500,,-1.41500,-95.93700,-95.93700,-1.26500,-98.61700,-54.20800,
2019-12-31,0,0,3.681,3.681,595.439,0,-425.922,-10.949,156.1211,159.802,-21.554,1.435,-3.575,-37.502,-37.502,0,-61.196,-0.156,0.486,0.33,-4.627,-4.627,-0.486,-4.783,99.299,0
2019-09-30,0,0,6.044,6.044,573.264,0,-460.644,-0.296,93.7059,99.75,-31.092,0,-59.728,-19.089,-19.089,0,-109.909,-0.128,-0.028,-0.156,0.829,0.829,-5.164,-4.491,-20.016,0
2019-06-30,0,0,17.395,17.395,592.931,0,-424.849,-10.626,138.0071,155.402,-22.202,-0.02,0,7.151,7.151,0,-15.071,-0.122,-0.458,-0.58,-11.089,-11.089,-3.976,-15.645,124.831,0
