,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,4653,2376,5551,7927,-1699,876,1486,1931,14511,-8988,-62,1522,-5,1517,2,-7531,-235,-235,-6863,-6863,38,-7060,345,3008
2022-09-30,4395,2175,2554,4729,-105,-21,-305,568,9692,-9355,-34,-328,0,-328,16,-9701,9758,9758,-6354,-6354,-1257,2147,1773,3134
2022-06-30,6687,1979,3087,5066,-522,237,-452,443,12196,-7528,-363,939,0,939,-7,-6959,-219,-219,-5233,-5233,-1111,-6563,-1875,3352
2022-03-31,7465.00000,2156.00000,1714.00000,3870.00000,2557.00000,-882.00000,303.00000,2741.00000,14076.00000,-5315.00000,-853.00000,1399.00000,,1399.00000,-10.00000,-4779.00000,-233.00000,-233.00000,-9506.00000,-9506.00000,-921.00000,-10660.00000,-1512.00000,2498.00000
2021-12-31,10285,2014,3189,5203,-2038,876,1129,2616,18104,-5369,-521,11844,-47,11797,-78,5829,-172,-172,-20061,-20061,-1509,-21742,2061,2407
2021-09-30,9193,1995,1519,3514,-555,694,149,1383,14090,-4314,-71,4199,0,4199,-144,-330,-231,-231,-13458,-13458,-1563,-15252,-1707,2378
2021-06-30,10395,1986,2756,4742,-1366,116,-2121,-1890,13247,-4612,-259,-3264,0,-3264,-60,-8195,-123,-123,-7079,-7079,-1347,-8549,-3380,2549
2021-03-31,9497.00000,1972.00000,2182.00000,4154.00000,849.00000,-250.00000,-327.00000,-1409.00000,12242.00000,-4272.00000,,-600.00000,,-600.00000,-2.00000,-4874.00000,-151.00000,-151.00000,-3939.00000,-3939.00000,-1095.00000,-5185.00000,1937.00000,1830.00000
2020-12-31,11219,1863,1470,3333,-3059,-56,276,-512,14040,-4613,-4,-470,-59,-529,-27,-5173,-206,-206,-1929,-1929,-1072,-3207,5975,1784
2020-09-30,7846,1698,223,1921,-377,139,557,62,9829,-3689,-12,-6875,-6302,-13177,279,-16599,-189,-189,-1725,-1725,-997,-2911,-9590,1722
2020-06-30,5179,1704,1951,3655,-122,-56,-783,-4957,3877,-3255,-372,-338,0,-338,-213,-4178,-109,-109,-1368,-1368,-675,-2152,-2358,1695
2020-03-31,4902.00000,1597.00000,1818.00000,3415.00000,2046.00000,-44.00000,-298.00000,2684.00000,11001.00000,-3558.00000,,-476.00000,,-476.00000,-75.00000,-4109.00000,-100.00000,-100.00000,-1250.00000,-1250.00000,-672.00000,-2022.00000,4648.00000,1335.00000
2019-12-31,7349,1468,874,2342,-1697,111,117,-608,9083,-4100,-445,509,0,509,0,-4036,-141,-141,-1296,-1296,-589,-2026,3199,1274
2019-09-30,6091,1416,1453,2869,-328,89,129,347,9307,-3532,-10,-1508,-61,-1569,61,-5050,-144,-144,-1148,-1148,-727,-2019,2082,1249
2019-06-30,2616,1502,1312,2814,-1006,9,1355,3186,8616,-3633,-3,-313,0,-313,-61,-4010,-142,-142,-1145,-1145,-544,-1831,2801,1303
2019-03-31,2429.00000,1355.00000,1199.00000,2554.00000,1070.00000,-96.00000,197.00000,4325.00000,9308.00000,-3837.00000,-50.00000,-2881.00000,,-2881.00000,,-6768.00000,-125.00000,-125.00000,-613.00000,-613.00000,-685.00000,-1423.00000,1073.00000,1010.00000
2018-12-31,6882,1225,1092,2317,-1564,133,-523,-1581,7618,-4301,-137,637,-25,612,141,-3685,0,0,-3500,-3500,-41,-3541,380,972
2018-09-30,5137,1107,1069,2176,-489,38,282,185,7498,-3342,0,-830,0,-830,-75,-4247,0,0,-4256,-4256,-901,-5157,-1924,1039
2018-06-30,5105,1034,1297,2331,-627,49,-543,-1138,6298,-3460,0,1092,0,1092,-16,-2384,0,0,-3349,-3349,-922,-4271,-542,1186
2018-03-31,4988.00000,949.00000,916.00000,1865.00000,788.00000,1.00000,-489.00000,1007.00000,7860.00000,-2812.00000,,1575.00000,,1575.00000,-50.00000,-1287.00000,,,-1774.00000,-1774.00000,-829.00000,-2603.00000,4006.00000,955.00000
2017-12-31,4269,853,595,1448,-1374,50,3064,1954,7671,-2263,-16,-2717,0,-2717,-7,-5003,0,0,-958,-958,-885,-1843,865,814
2017-09-30,4706,772,922,1694,-458,31,216,-273,6127,-1755,-98,-1892,0,-1892,16,-3729,0,0,-640,-640,-891,-1531,937,1010
2017-06-30,3895,729,1065,1794,-386,-28,-11,-329,5360,-1444,-8,-4010,0,-4010,-4,-5466,0,0,-150,-150,-719,-869,-881,1032
2017-03-31,3064.00000,671.00000,788.00000,1459.00000,609.00000,-10.00000,-125.00000,535.00000,5058.00000,-1271.00000,,-4631.00000,,-4631.00000,-18.00000,-5920.00000,,,-228.00000,-228.00000,-764.00000,-992.00000,-1826.00000,867.00000
2016-12-31,3569,614,536,1150,-1011,35,815,211,4930,-1269,-42,-643,0,-643,-74,-2028,0,0,0,0,4,4,2812,831
2016-09-30,2627,591,851,1442,-253,18,-26,-33,4036,-1095,-61,-1969,0,-1969,8,-3117,0,0,0,0,-8,-8,930,824
2016-06-30,2283,585,722,1307,-492,-41,176,75,3665,-995,-19,-3998,0,-3998,41,-4971,0,0,0,0,4,4,-1348,817
2016-03-31,1738.00000,552.00000,682.00000,1234.00000,267.00000,2.00000,254.00000,505.00000,3477.00000,-1132.00000,-1.00000,-576.00000,,-576.00000,33.00000,-1676.00000,-312.00000,-312.00000,,,2.00000,-310.00000,1549.00000,746.00000
2015-12-31,1561,543,2348,2891,-568,11,431,96,4548,-692,-4,-2055,0,-2055,25,-2726,-12,-12,0,0,-1155,-1167,599,746
2015-09-30,896,486,380,866,-207,-9,596,430,2192,-780,-27,-2526,0,-2526,33,-3300,-23,-23,0,0,338,315,-815,757
2015-06-30,719,459,698,1157,-282,31,148,4,1880,-549,-25,-11,0,-11,21,-564,-37,-37,0,0,379,342,1704,763
2015-03-31,512.00000,457.00000,477.00000,934.00000,84.00000,-15.00000,51.00000,254.00000,1700.00000,-502.00000,-257.00000,-2108.00000,,-2108.00000,23.00000,-2844.00000,-47.00000,-47.00000,,,418.00000,371.00000,-896.00000,694.00000
2014-12-31,701,433,2531,2964,-346,19,-16,-213,3452,-517,-4221,-1643,0,-1643,-235,-6616,-44,-44,-7,-7,-1417,-1468,-4684,845
2014-09-30,806,289,351,640,-182,-57,-82,-198,1248,-482,-735,4326,0,4326,-112,2997,-49,-49,5,5,482,438,4615,353
2014-06-30,791,257,257,514,-187,79,42,36,1341,-469,-19,68,0,68,-2,-422,-66,-66,1,1,535,470,1386,314
