,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4,282,-69,213,192,-85,-168,79,-61,156,-153,0,11,0,0,0,-142,-121,202,81,-7,-7,-206,-10,-142,-55,12,-206
2022-09-30,-2195,293,2196,2489,54,-235,-32,-67,-5,289,-111,0,1171,0,0,173,1233,-305,-933,-1238,0,0,-202,-24,-1464,-18,12,-202
2022-06-30,109,301,12,313,-91,-262,-35,-63,-518,-96,-102,0,-123,0,0,0,-225,-150,655,505,0,0,-201,-22,282,-89,16,-201
2022-03-31,246.00000,303.00000,-64.00000,239.00000,-272.00000,-311.00000,178.00000,-22.00000,-489.00000,-4.00000,-130.00000,-2.00000,11.00000,,,,-121.00000,80.00000,228.00000,308.00000,7.00000,7.00000,-201.00000,-19.00000,95.00000,-54.00000,9.00000,-201.00000
2021-12-31,92,295,-89,206,45,-133,163,-20,13,311,-146,0,53,0,0,0,-93,-200,124,-76,1,1,-203,-4,-282,-79,10,-203
2021-09-30,197,297,-18,279,-9,-100,6,-48,-48,428,-66,-4,115,0,0,0,45,-604,199,-405,3,3,-192,-1,-595,-148,17,-192
2021-06-30,30,322,157,479,-30,-66,0,-86,-169,340,-71,0,-14,0,0,0,-85,-9,0,-9,2,2,-192,-13,-212,62,16,-192
2021-03-31,-40.00000,242.00000,98.00000,340.00000,-175.00000,-64.00000,250.00000,21.00000,58.00000,358.00000,-92.00000,0.00000,207.00000,,,,115.00000,-12.00000,-104.00000,-116.00000,3.00000,3.00000,-82.00000,-20.00000,-215.00000,221.00000,11.00000,-82.00000
2020-12-31,66,81,-25,56,33,61,6,55,177,299,-69,0,0,0,0,1,-68,-12,1,-11,0,0,-83,0,-94,176,9,-83
2020-09-30,86,83,-25,58,38,24,-40,-61,63,207,-27,0,0,0,0,-15,-42,-112,0,-112,0,0,-80,-11,-203,-28,8,-80
2020-06-30,88,80,-9,71,1,-66,94,-58,32,191,-34,0,0,0,0,0,-34,-11,-1,-12,0,0,-80,-16,-108,64,10,-80
