,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-06-30,297,421.2,-129.6,291.6,115.6,-34.3,-53.5,-185.6,-20.8,567.8,-50.9,-401.1,0,0,0,0,-452,-220.9,-25.1,-246,3.9,3.9,0,-13,-255.1,-110.8,18.9,0
2017-03-31,66.40000,415.50000,199.60000,615.10000,286.70000,-105.60000,-242.70000,8.00000,-228.60000,452.90000,-27.30000,-77.90000,-71.60000,0.00000,0.00000,,-176.80000,-550.00000,-17.60000,-567.60000,5.00000,5.00000,,-13.10000,-575.70000,-287.40000,23.10000,
2016-12-31,417.5,476.6,104.6,581.2,-315.1,57.4,132.7,-510.4,-649.1999,349.5,-150.9,-163.9,-330.2,-1.7,-1.7,50.5,-596.2,3.1,-7.8,-4.7,2.7,2.7,0,-42.8,-44.8,-316.2,17.8,0
2016-09-30,-119.8,445.9,525.6,971.4999,283.9,-101.2,92.6,41,348.9,1200.6,-118.5,-16.3,-5208.4,-0.6,-0.6,-436.5,-5780.3,-526,-6.1,-532.1,4.3,4.3,0,-3.2,-531,-5105.3,19.2,0
2016-06-30,168.4,303.4,46.3,349.7001,-184.1,-12.7,-80.4,72.3,-101.5,416.6,-69.2,-74.4,-943.3,-3.8,-3.8,-50.6,-1141.3,5978.8,-10.4,5968.4,3.2,3.2,0,-81.7,5889.9,5162.5,25.4,0
2016-03-31,13.90000,297.10000,177.20000,474.30000,83.50000,-222.80000,-57.20000,-126.50000,-407.70000,80.50000,-51.80000,-105.60000,,-2.60000,-2.60000,,-160.00000,,65.10000,65.10000,3.60000,3.60000,,-38.20000,30.50000,-36.60000,26.50000,
2015-12-31,194.6,340.7,152.9,493.6,120.1,-32,-110.7,-27.9,-36.2,652,-155.6,-78.3,-693.1,0.7,0.7,-4.1,-930.4,999.2003,0.5,999.7002,-62.6,-62.6,0,-13.6,923.5,649,26.4,0
2015-09-30,428.6,257.7,123.6,381.3,79.8,-57,165.1,4.5,164.9,974.8,-85.3,-323.6,0,0.3,0.3,37.1,-371.5,27.3997,-435.3,-407.9003,6.4,6.4,0,-30.6,-432.1,147.3,16.1,0
2015-06-30,167.9,258.7,47.5,306.2,-511,-94.7,92.8,101.2,-359.4,114.7,-73.9,-93.1,0,-2.1,-2.1,-11.2,-180.3,-0.7,267.2,266.5,19,19,0,-63.1,222.4,162.5,15.9,0
2015-03-31,56.60000,175.00000,135.90000,310.90000,376.90000,-136.70000,-15.40000,-122.00000,-100.50000,267.00000,-48.10000,-11.50000,,-27.90000,-27.90000,,-87.50000,,-161.60000,-161.60000,67.40000,67.40000,,-14.80000,-109.00000,51.70000,34.40000,
2014-12-31,190.5,168.5,-41.8,126.6999,108,15.9,126.5,-489.1,-190.6,126.6,-113.8,34,0,1.5,1.5,-5.1,-83.4,-0.8001,-32.7,-33.5001,19.6,19.6,0,0.2,-13.7,25.9,18,0
2014-09-30,499.4,133.7,-85.8,47.9,-90.2,14.8,-127.4,56.3,-106.6,440.7,-63.2,-318.9,-17,1.5,1.5,0,-397.6,0,118.2,118.2,4.3,4.3,0,-148.7,-26.2,5.7,15.5,0
