,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,307,439,72,511,58,28,38,856,-436,3,0,0,18,-415,-680,0,-680,11,11,-230,-8,-907,-465,10,-230
2020-03-31,361.00000,426.00000,46.00000,472.00000,127.00000,-72.00000,-68.00000,765.00000,-459.00000,11.00000,,,-55.00000,-503.00000,-25.00000,,-25.00000,-371.00000,-371.00000,-236.00000,-36.00000,-668.00000,-410.00000,13.00000,-236.00000
2019-12-31,447,421,149,570,-51,26,5,1022,-286,12,0,0,-6,-280,-907,1001,94,7,7,-218,1,-116,627,24,-218
2019-09-30,495,429,70,499,-21,-107,-42,952,-483,-64,0,0,16,-531,470,0,470,15,15,-218,-9,258,678,19,-218
2019-06-30,382,433,132,565,-193,12,63,1010,-578,-38,0,0,-149,-765,3642,-1358,2284,-160,-160,-217,-127,1780,2027,16,-217
2019-03-31,347.00000,389.00000,100.00000,489.00000,212.00000,-41.00000,54.00000,890.00000,-471.00000,-382.00000,,,53.00000,-800.00000,-56.00000,357.00000,301.00000,-43.00000,-43.00000,-223.00000,7.00000,42.00000,132.00000,27.00000,-223.00000
2018-12-31,531,394,44,438,-59,-24,-57,912,-454,-16,0,0,-193,-663,24,-70,-46,-247,-247,-197,-3,-493,-247,26,-197
2018-09-30,498,400,50,450,-159,-61,-74,874,-404,-69,0,0,-23,-496,-51,80,29,-188,-188,-199,-10,-368,11,22,-199
2018-06-30,499,408,-9,399,19,-92,77,975,-436,65,0,0,-2,-373,-94,-28,-122,-290,-290,-200,3,-609,-7,18,-200
2018-03-31,395.00000,370.00000,19.00000,389.00000,183.00000,-39.00000,25.00000,809.00000,-400.00000,-232.00000,,,-5.00000,-637.00000,-19.00000,471.00000,452.00000,-227.00000,-227.00000,-206.00000,-57.00000,-38.00000,133.00000,23.00000,-206.00000
2017-12-31,903,366,-154,212,-383,39,-323,792,-528,-40,0,0,-2,-570,124,12,136,3,3,-184,15,-30,191,27,-184
2017-09-30,388,373,2,375,69,-52,90,853,-350,-23,0,0,-4,-377,-11,248,237,-494,-494,-185,-30,-472,5,20,-185
2017-06-30,361,379,4,383,-108,1,69,813,-299,-35,0,0,-2,-336,-54,43,-11,-241,-241,-187,-35,-474,3,18,-187
2017-03-31,297.00000,350.00000,109.00000,459.00000,151.00000,-41.00000,-34.00000,722.00000,-332.00000,-1.00000,,,-4.00000,-337.00000,-487.00000,210.00000,-277.00000,77.00000,77.00000,-194.00000,9.00000,-385.00000,0.00000,36.00000,-194.00000
2016-12-31,334,329,105,434,-110,-26,-17,751,-377,3,0,0,-5,-379,49,0,49,-219,-219,-180,-23,-373,-1,23,-180
2016-09-30,304,359,124,483,-34,-24,-29,758,-333,-20,0,0,-11,-364,-251,0,-251,13,13,-182,18,-402,-9,16,-182
2016-06-30,286,369,36,405,-45,-17,71,762,-312,-24,0,0,-3,-339,-77,0,-77,-224,-224,-181,-7,-489,-65,21,-181
2016-03-31,256.00000,335.00000,74.00000,409.00000,111.00000,45.00000,67.00000,732.00000,-317.00000,-524.00000,,,-6.00000,-847.00000,654.00000,,654.00000,-232.00000,-232.00000,-183.00000,-59.00000,180.00000,65.00000,30.00000,-183.00000
2015-12-31,273,323,97,420,-107,-24,-137,556,-369,-50,0,0,-8,-427,-66,0,-66,24,24,-172,12,-202,-74,19,-172
2015-09-30,337,354,126,480,-53,-69,-160,657,-335,17,0,0,16,-302,-46,0,-46,-294,-294,-172,-2,-514,-160,23,-172
2015-06-30,273,344,-46,298,41,62,245,816,-296,50,0,0,-5,-251,-103,0,-103,-292,-292,-175,-1,-571,-4,10,-175
2015-03-31,-131.00000,314.00000,627.00000,941.00000,-59.00000,-57.00000,-311.00000,499.00000,-233.00000,-426.00000,,,31.00000,-628.00000,-212.00000,,-212.00000,39.00000,39.00000,-176.00000,-549.00000,-898.00000,-1030.00000,20.00000,-176.00000
2014-12-31,598,336,-145,191,-232,-46,-269,520,-370,1931,-10,-10,20,1571,-723,0,-723,23,23,-172,-93,-965,1124,25,-172
2014-09-30,281,357,-24,333,-28,-38,58,672,-307,47,-12,-12,-10,-282,397,0,397,-561,-561,-172,-5,-341,46,11,-172
2014-06-30,222,362,14,376,-49,3,-43,555,-208,85,-7,-7,-42,-172,-410,0,-410,17,17,-175,-19,-587,-202,14,-175
2014-03-31,237.00000,339.00000,19.00000,358.00000,41.00000,-33.00000,-11.00000,584.00000,-266.00000,155.00000,-4.00000,-4.00000,-7.00000,-122.00000,-15.00000,,-15.00000,14.00000,14.00000,-174.00000,-4.00000,-179.00000,281.00000,15.00000,-174.00000
2013-12-31,-599,854,336,1190,30,4,6,597,-447,-1,-4,-4,-16,-468,181,0,181,-223,-223,-171,-15,-228,-99,13,-171
2013-09-30,297,367,95,462,18,-74,-23,736,-323,-449,-5,-5,38,-739,171,0,171,18,18,-171,-12,6,3,11,-171
2013-06-30,256,351,26,377,-92,12,-88,545,-235,7,-12,-12,-32,-272,-290,0,-290,60,60,-171,-23,-424,-153,13,-171
2013-03-31,176.00000,347.00000,29.00000,376.00000,88.00000,-39.00000,25.00000,577.00000,-266.00000,-143.00000,-12.00000,-12.00000,,-421.00000,93.00000,,93.00000,38.00000,38.00000,-170.00000,-2.00000,-41.00000,113.00000,21.00000,-170.00000
2012-12-31,235,356,107,463,-19,-38,-121,577,-378,-56,-16,-16,-19,-469,-90,0,-90,4,4,-165,-60,-311,-204,8,-165
2012-09-30,223,353,71,424,-40,-35,-73,574,-402,-16,-21,-21,-19,-458,171,0,171,8,8,-164,28,43,161,6,-164
2012-06-30,219,344,57,401,-128,73,49,669,-351,-11,-27,-27,-11,-400,-41,0,-41,7,7,-165,-21,-220,48,0,-165
2012-03-31,183.00000,338.00000,27.00000,365.00000,56.00000,-30.00000,-73.00000,475.00000,-379.00000,-123.00000,-13.00000,-13.00000,12.00000,-503.00000,82.00000,,82.00000,24.00000,24.00000,-164.00000,16.00000,-42.00000,-69.00000,15.00000,-164.00000
2011-12-31,278,319,174,493,36,-44,-39,732,-415,-208,-63,-63,36,-650,122,0,122,-42,-42,-156,-31,-107,-24,7,-156
2011-09-30,285,356,42,398,-31,-64,-24,659,-313,-479,-1,-1,82,-711,486,0,486,-355,-355,-158,-7,-34,-89,11,-158
2011-06-30,250,342,60,402,-159,0,-174,478,-280,-50,-36,-36,4,-362,-148,0,-148,-93,-93,-161,-20,-422,-305,10,-161
2011-03-31,196.00000,320.00000,19.00000,339.00000,44.00000,-19.00000,65.00000,600.00000,-316.00000,-94.00000,-55.00000,-55.00000,3.00000,-462.00000,238.00000,,238.00000,-40.00000,-40.00000,-162.00000,-39.00000,-3.00000,137.00000,17.00000,-162.00000
2010-12-31,294,289,74,363,0,-40,-35,622,-367,-56,-11,-11,3,-431,-47,0,-47,-32,-32,-150,25,-204,-11,8,-150
2010-09-30,258,340,87,427,-49,5,-8,677,-262,-97,-1,-1,8,-352,-650,0,-650,-142,-142,-149,-5,-946,-619,8,-149
2010-06-30,258,343,39,382,-122,36,-160,480,-220,-160,-12,-12,4,-388,548,0,548,-160,-160,-152,-28,208,298,8,-152
2010-03-31,192.00000,312.00000,19.00000,331.00000,12.00000,-15.00000,-27.00000,496.00000,-255.00000,-50.00000,-149.00000,-149.00000,19.00000,-435.00000,-55.00000,,-55.00000,-113.00000,-113.00000,-153.00000,-10.00000,-331.00000,-269.00000,12.00000,-153.00000
2009-12-31,331,293,-37,256,46,38,133,720,-356,-146,-16,-16,98,-420,530,0,530,-151,-151,-141,-12,226,528,11,-141
2009-09-30,292,322,39,361,-39,-57,-78,575,-240,-60,-2,-2,35,-267,-10,0,-10,-63,-63,-143,-11,-227,84,10,-143
2009-06-30,267,302,-13,289,-65,33,-8,548,-258,-30,-3,-3,24,-267,-549,0,-549,4,4,-142,-14,-701,-419,3,-142
2009-03-31,170.00000,299.00000,63.00000,362.00000,87.00000,-60.00000,-13.00000,519.00000,-325.00000,-17.00000,,,46.00000,-296.00000,443.00000,,443.00000,4.00000,4.00000,-143.00000,-59.00000,245.00000,467.00000,6.00000,-143.00000
