,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,500,573,176,749,-228,-40,-200,1049,-862,-161,0,0,-4,-1027,873,0,873,-434,-434,-266,2,175,197,13,-266
2022-09-30,639,532,65,597,-13,-116,-54,1182,-757,-190,0,0,11,-936,-190,0,-190,-523,-523,-267,-4,-984,-745,20,-267
2022-06-30,587,535,-2,533,-181,-41,-73,1047,-550,5,0,0,17,-528,786,0,786,-258,-258,-269,-31,228,747,26,-269
2022-03-31,514.00000,510.00000,52.00000,562.00000,93.00000,-12.00000,182.00000,1258.00000,-418.00000,-4.00000,,,-150.00000,-572.00000,-109.00000,,-109.00000,-241.00000,-241.00000,-275.00000,-10.00000,-635.00000,52.00000,25.00000,-275.00000
2021-12-31,506,539,44,583,84,1,-98,991,-774,-38,0,0,24,-788,353,0,353,-344,-344,-240,17,-214,-11,27,-240
2021-09-30,539,546,-1,545,-32,-44,100,1184,-464,52,0,0,14,-398,-190,0,-190,-481,-481,-241,36,-876,-92,36,-241
2021-06-30,351,527,205,732,-223,-32,-40,1043,-396,-1,0,0,23,-374,-290,0,-290,-226,-226,-242,-222,-980,-309,22,-242
2021-03-31,421.00000,498.00000,37.00000,535.00000,199.00000,-33.00000,164.00000,1120.00000,-270.00000,8.00000,,,-72.00000,-334.00000,-329.00000,,-329.00000,-233.00000,-233.00000,-247.00000,-21.00000,-830.00000,-42.00000,23.00000,-247.00000
2020-12-31,438,464,119,583,-255,-38,-268,753,-394,-3217,0,0,5,-3606,2905,0,2905,14,14,-231,-3,2685,-165,20,-231
2020-09-30,390,445,223,668,-109,-29,-29,1029,-343,3,0,0,17,-323,-2409,0,-2409,7,7,-230,-37,-2669,-1959,51,-230
