,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,149,168,36,204,-17,24,7,360,-384,-301,239,239,0,-446,-1,-1,-27,-27,-85,-2,-115,-200,7,-85
2022-09-30,116,167,8,175,85,-28,57,348,-23,0,-137,-137,48,-112,0,0,1,1,-44,-1,-44,189,9,-44
2022-06-30,260,164,14,178,-48,57,9,447,104,0,-35,-35,-37,32,-1,-1,0,0,-21,0,-22,455,5,-21
2022-03-31,118.00000,175.00000,-8.00000,167.00000,-5.00000,-19.00000,-24.00000,261.00000,35.00000,,-127.00000,-127.00000,,-92.00000,-683.00000,-683.00000,,,,-10.00000,-693.00000,-523.00000,5.00000,
2021-12-31,323,168,-345,-177,-73,141,68,214,386,-241,199,199,0,344,-757,-757,0,0,0,-27,-784,-226,5,0
2021-09-30,-120,265,0,265,-7,-20,-27,118,-27,-416,-93,-93,8,-528,0,0,0,0,0,0,0,-412,4,0
2021-06-30,-61,172,-19,153,-58,-25,-83,9,-28,-612,-51,-51,-8,-699,0,0,138,138,0,0,138,-550,5,0
2021-03-31,-153.00000,167.00000,-4.00000,163.00000,-13.00000,-46.00000,-59.00000,-49.00000,-29.00000,-189.00000,-66.00000,-66.00000,9.00000,-275.00000,,,,,,-11.00000,-11.00000,-335.00000,4.00000,
2020-12-31,-66,169,-332,-163,-34,120,86,-143,155,0,-1,-1,0,154,-98,-98,0,0,0,-8,-106,-92,6,0
2020-09-30,-316,169,36,205,77,-115,-38,-149,-290,0,202,202,3,-85,1121,1121,0,-22,0,-30,1069,835,4,0
2020-06-30,-356,169,15,184,31,-31,0,-172,47,0,-205,-205,-3,-161,-750,-750,0,0,-141,-7,-898,-1229,4,-141
2020-03-31,-3.00000,166.00000,1.00000,167.00000,22.00000,-29.00000,-7.00000,157.00000,-130.00000,,-1.00000,-1.00000,28.00000,-103.00000,1500.00000,1500.00000,-147.00000,-147.00000,-179.00000,-8.00000,1166.00000,1212.00000,3.00000,-179.00000
2019-12-31,81,176,65,241,46,-32,14,336,131,0,0,0,1,132,-650,-650,-87,-87,-143,-55,-935,-465,4,-143
2019-09-30,372,167,-276,-109,53,-26,27,290,358,0,-5,-5,33,386,589,589,-195,-195,-146,-17,231,905,4,-146
2019-06-30,290,167,-68,99,-20,48,28,417,-21,-9,1,1,-3,-32,0,0,-200,-200,-148,-2,-350,36,3,-148
2019-03-31,189.00000,172.00000,11.00000,183.00000,-76.00000,-89.00000,-165.00000,207.00000,166.00000,-593.00000,-1.00000,-1.00000,,-428.00000,,,,,-186.00000,-75.00000,-261.00000,-482.00000,4.00000,-186.00000
2018-12-31,306,167,-199,-32,68,17,85,359,215,0,103,103,-8,310,-238,-238,0,0,-148,-1,-387,281,3,-148
2018-09-30,378,414,-543,-129,26,11,37,286,755,-6,-110,-110,10,649,-150,-150,0,0,-148,-8,-306,629,4,-148
2018-06-30,211,190,9,199,-18,15,-3,407,95,0,4,4,-3,96,-25,-25,0,0,-148,-1,-174,326,4,-148
2018-03-31,256.00000,180.00000,-123.00000,57.00000,-63.00000,-2.00000,-65.00000,248.00000,66.00000,-1019.00000,-3.00000,-3.00000,1.00000,-955.00000,310.00000,310.00000,,,-185.00000,-6.00000,119.00000,-589.00000,3.00000,-185.00000
2017-12-31,93,219,14,233,30,7,37,363,-60,-1,-20,-20,14,-67,-10,-10,0,0,-148,0,-158,137,3,-148
2017-09-30,105,178,-41,137,2,8,10,252,181,0,-1,-1,0,180,-108,-108,0,0,-148,-43,-299,134,3,-148
2017-06-30,212,180,4,184,15,-8,7,403,-13,0,17,17,0,4,0,0,0,0,-147,-6,-153,254,2,-147
2017-03-31,161.00000,181.00000,-25.00000,156.00000,-74.00000,-31.00000,-105.00000,212.00000,96.00000,-467.00000,-13.00000,-13.00000,,-384.00000,398.00000,398.00000,,,-185.00000,-5.00000,208.00000,40.00000,3.00000,-185.00000
2016-12-31,128,186,-2,184,57,18,75,387,-296,183,-1,-1,0,-114,-90,-90,-12,-12,-148,2,-248,20,4,-148
2016-09-30,108,183,0,183,4,9,13,304,-36,-50,11,11,0,-75,32,32,-44,-44,-148,-2,-162,69,2,-148
2016-06-30,351,179,-152,27,16,-2,14,392,252,-117,2,2,0,137,-241,-241,-81,-81,-150,-3,-475,54,3,-150
2016-03-31,184.00000,183.00000,-57.00000,126.00000,-83.00000,-8.00000,-91.00000,219.00000,26.00000,-79.00000,6.00000,6.00000,,-47.00000,80.00000,80.00000,-81.00000,-81.00000,-150.00000,-1.00000,-152.00000,24.00000,3.00000,-150.00000
2015-12-31,165,182,-53,129,74,-10,64,358,-98,-36,85,85,38,-11,158,158,-345,-345,-148,-5,-340,5,2,-148
2015-09-30,87,183,-4,179,3,-16,-13,253,-128,0,19,19,-24,-133,245,245,-199,-199,-150,-7,-111,3,1,-150
2015-06-30,214,185,-48,137,15,19,34,385,-20,-402,-2,-2,25,-399,79,79,-131,-131,-151,-5,-208,-223,3,-151
2015-03-31,99.00000,179.00000,-9.00000,170.00000,-75.00000,-30.00000,-105.00000,164.00000,-137.00000,,,,-28.00000,-165.00000,,,,,-197.00000,-1.00000,-198.00000,-206.00000,5.00000,-197.00000
2014-12-31,252,175,-148,27,85,12,97,376,91,-14,-10,-10,15,82,-11,-11,4,4,-151,4,-154,301,7,-151
2014-09-30,145,183,11,194,-26,-74,-100,239,-97,-64,-23,-23,4,-180,8,8,0,0,-114,1,-105,-53,5,-114
2014-06-30,159,181,12,193,-18,20,2,354,-121,0,-1,-1,0,-122,-72,-72,-1,-1,-106,-6,-185,48,6,-106
2014-03-31,185.00000,178.00000,-110.00000,68.00000,-58.00000,-24.00000,-82.00000,171.00000,196.00000,-73.00000,11.00000,11.00000,,134.00000,-676.00000,-676.00000,1.00000,1.00000,-98.00000,-2.00000,-775.00000,-469.00000,4.00000,-98.00000
2013-12-31,126,184,-45,139,33,24,57,322,92,-46,-3,-3,34,77,204,204,0,0,-91,0,113,507,6,-91
2013-09-30,18,183,5,188,43,-12,31,237,-72,0,-21,-21,-34,-127,-180,-180,111,111,-82,-1,-152,-39,4,-82
