,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,214.737,14.922,-2.97,11.952,711.977,-21.185,260.0098,486.699,-18.326,0,0,0,-0.245,-18.571,24.523,24.523,-556.14,-556.14,-103.971,-1.404,-636.992,-120.403,13.101,-103.971
2022-09-30,414.162,15.187,18.11,33.297,634.421,-29.177,222.9251,670.384,-15.928,0,0,0,-0.59,-16.518,-21.117,-21.117,-407.156,-407.156,0,-0.543,-428.816,177.563,14.175,0
2022-06-30,382.226,14.254,19.913,34.167,378.291,-9.437,142.253,558.646,-38.158,0,0,0,-0.134,-38.292,28.571,28.571,-543.383,-543.383,-109.828,-11.851,-636.491,-162.655,25.518,-109.828
2022-03-31,349.48000,12.97500,8.40600,21.38100,-132.34800,-11.01700,43.08500,413.94600,-14.41200,,,,0.07900,-14.33300,19.49000,19.49000,5.75100,5.75100,,-7.48200,17.75900,410.93400,11.60300,
2021-12-31,454.011,12.897,9.833,22.73,-491.83,21.961,-171.744,304.997,-11.447,0,0,0,-0.345,-11.792,-0.056,-0.056,-282.858,-282.858,-97.379,0,-380.293,-91.414,12.087,-97.379
2021-09-30,359.91,12.753,11.911,24.664,-714.3,37.376,-207.203,177.371,-9.87,0,0,0,-0.157,-10.027,7.479,7.479,-19.63,-19.63,0,-1.635,-13.786,145.985,15.204,0
2021-06-30,316.974,12.675,34.195,46.87,-410.783,25.286,-333.547,30.297,-6.539,0,0,0,0.138,-6.401,0.174,0.174,-39.761,-39.761,-98.387,-13.893,-151.867,-119.272,30.909,-98.387
2021-03-31,287.95000,12.98700,21.08600,34.07300,-252.91400,6.84400,33.80600,355.82900,-8.39100,,,,-0.03400,-8.42500,-0.08500,-0.08500,-66.24000,-66.24000,,-1.27500,-67.60000,265.60200,11.18500,
2020-12-31,199.525,14.339,24.373,38.712,-372.753,28.507,-96.577,141.66,-10.124,0,0,0,0.553,-9.571,0.032,0.032,-5.833,-5.833,-88.114,0,-93.915,62.281,17.407,-88.114
2020-09-30,191.719,15.851,14.338,30.189,-106.065,-7.221,-60.32,161.588,-9.178,0,0,0,1.174,-8.004,0.011,0.011,121.43,121.43,0,0,121.441,285.055,12.297,0
2020-06-30,184.188,14.109,33.432,47.541,-185.055,13.133,-45.008,186.721,-22.114,0,0,0,-0.068,-22.182,0,0,-1.798,-1.798,-86.815,-9.17,-97.783,68.482,21.638,-86.815
2020-03-31,122.78200,12.66000,8.27000,20.93000,16.68000,-6.79700,21.28800,165.00000,-6.12700,,,,-0.14300,-6.27000,,,-259.84100,-259.84100,,-1.39600,-261.23700,-118.51800,11.15600,
2019-12-31,137.748,12.494,16.356,28.85,19.744,4.88,-1.598,165,-9.079,0,0,0,-0.518,-9.597,0.246,0.246,-64.083,-64.083,-85.369,0,-149.206,14.521,12.182,-85.369
