,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,1228,679,108,787,-62,-152,-438,-475,1574,-332,0,0,49,49,-4,-287,-772,276,-496,-15,-15,-904,-719,-2134,-306,81,-904
2022-10-31,436,671,89,760,-435,-404,405,-301,922,-323,0,-676,-136,-136,-11,-1146,3430,349,3779,-31,-31,-904,170,3014,2688,137,-904
2022-07-31,931.00000,668.00000,112.00000,780.00000,89.00000,-380.00000,-311.00000,-749.00000,1083.00000,-426.00000,,-1191.00000,2.00000,2.00000,30.00000,-1585.00000,-2311.00000,2284.00000,-27.00000,-293.00000,-293.00000,-903.00000,273.00000,-950.00000,-1574.00000,62.00000,-903.00000
2022-04-30,1492,688,-289,399,-265,-201,379,120,2057,-389,0,0,599,599,61,271,0,0,0,-1321,-1321,-843,215,-1949,235,72,-843
2022-01-31,1484,672,-63,609,-41,-203,-35,173,2228,-330,0,0,-115,-115,8,-437,0,0,0,-324,-324,-847,-6,-1177,579,78,-847
2021-10-31,1317,676,92,768,-131,-81,-88,-330,1769,-271,0,-91,-344,-344,-3,-709,0,0,0,-266,-266,-847,-42,-1155,-104,140,-847
2021-07-31,769.00000,671.00000,588.00000,1259.00000,-40.00000,-75.00000,-321.00000,-852.00000,1292.00000,-378.00000,,,-330.00000,-330.00000,-76.00000,-784.00000,-1.00000,,-1.00000,-204.00000,-204.00000,-846.00000,-4.00000,-1055.00000,-589.00000,69.00000,-846.00000
2021-04-30,1366,684,-120,564,-311,153,-119,-275,1745,-377,0,-18,2232,2232,82,1919,-916,-2853,-3769,-415,-415,-781,-164,-5129,-1484,69,-781
2021-01-31,1279,678,-57,621,219,70,-303,407,2356,-363,0,-606,-1672,-1672,-132,-2773,-115,-254,-369,186,186,-781,-34,-998,-1343,65,-781
2020-10-31,494,671,425,1096,-527,90,15,227,1861,-281,0,-370,-1381,-1381,12,-2020,847,-41,806,25,25,-780,-19,32,-79,140,-780
2020-07-31,491.00000,669.00000,110.00000,779.00000,-142.00000,-235.00000,-142.00000,-1060.00000,278.00000,-334.00000,,,358.00000,358.00000,-16.00000,8.00000,-11.00000,2773.00000,2762.00000,26.00000,26.00000,-778.00000,-51.00000,1959.00000,2359.00000,70.00000,-778.00000
2020-04-30,639,672,-428,244,1410,-231,-542,490,1450,-336,0,-289,993,993,-3,365,-504,-34,-538,-41,-41,-724,-7,-1310,431,62,-724
2020-01-31,1919,663,-459,204,-158,-79,103,263,2407,-293,0,2,-1492,-1492,-18,-1801,-12,-25,-37,-93,-93,-723,-20,-873,-253,66,-723
2019-10-31,1371,671,-136,535,-280,-145,-10,-100,1867,-283,0,-56,-866,-866,-11,-1216,-558,-46,-604,-407,-407,-723,-7,-1741,-1118,108,-723
2019-07-31,877.00000,657.00000,510.00000,1167.00000,319.00000,-122.00000,-160.00000,-592.00000,1510.00000,-301.00000,,-145.00000,-100.00000,-100.00000,-5.00000,-551.00000,532.00000,88.00000,620.00000,-123.00000,-123.00000,-724.00000,-47.00000,-274.00000,687.00000,61.00000,-724.00000
2019-04-30,1182,667,443,1110,-441,93,-191,-351,2087,-335,0,-212,-21,-21,39,-529,-128,-17,-145,-48,-48,-671,4,-860,690,62,-671
2019-01-31,1271,675,-42,633,-103,-55,66,95,2055,-302,0,-1496,792,792,-3,-1009,-10,4,-6,-590,-590,-671,-1,-1268,-208,60,-671
2018-10-31,1120,651,38,689,-175,-132,-330,-698,1163,-206,0,-15,342,342,0,121,-4,-195,-199,-873,-873,-674,16,-1730,-469,104,-674
2018-07-31,1077.00000,666.00000,82.00000,748.00000,138.00000,-180.00000,-169.00000,-126.00000,1702.00000,-291.00000,,-104.00000,1038.00000,1038.00000,,643.00000,-12.00000,-505.00000,-517.00000,-374.00000,-374.00000,-677.00000,-5.00000,-1573.00000,711.00000,64.00000,-677.00000
2018-04-30,1465,664,251,915,-294,126,-1287,-1403,1038,-292,0,-26,446,446,-17,111,-3203,142,-3061,-137,-137,-624,-6,-3828,-2689,74,-624
2018-01-31,-1392,666,103,769,87,-45,2210,2572,2002,-252,0,-35,-88,-88,-3,-378,-5,-201,-206,27,27,-623,-47,-849,829,72,-623
2017-10-31,2013,678,-1469,-791,20,-109,-275,-279,907,-246,0,5982,313,313,-7,6042,-4151,-759,-4910,-568,-568,-622,-36,-6136,838,106,-622
2017-07-31,1009.00000,636.00000,160.00000,796.00000,-88.00000,-164.00000,-419.00000,-1063.00000,737.00000,-278.00000,,,356.00000,356.00000,5.00000,83.00000,10.00000,569.00000,579.00000,-1090.00000,-1090.00000,-625.00000,-5.00000,-1141.00000,-276.00000,92.00000,-625.00000
2017-04-30,1164,697,72,769,-93,34,-410,-145,1773,-330,0,4,53,53,1,-272,1507,-214,1293,-16,-16,-594,4,687,2199,76,-594
2017-01-31,820,737,-255,482,107,-74,420,791,2085,-326,0,-22,-583,-583,-11,-942,-109,-38,-147,-566,-566,-590,-16,-1319,-186,82,-590
2016-10-31,1111,739,-4,735,-285,-86,25,-354,1472,-268,0,-1294,1455,1455,34,-73,-137,232,95,-985,-985,-593,-8,-1491,-106,111,-593
2016-07-31,929.00000,744.00000,115.00000,859.00000,196.00000,-101.00000,50.00000,-153.00000,1550.00000,-330.00000,,-12.00000,60.00000,60.00000,-2.00000,-284.00000,16.00000,926.00000,942.00000,-1549.00000,-1549.00000,-599.00000,46.00000,-1160.00000,184.00000,79.00000,-599.00000
2016-04-30,1103,715,451,1166,-521,202,-4,-879,1326,-353,0,-81,5010,5010,-3,4573,-3520,-1307,-4827,-529,-529,-531,21,-5866,155,84,-531
2016-01-31,1095,722,-87,635,87,-62,-472,99,1797,-247,0,-135,126,126,2,-254,-4,-11,-15,-613,-613,-533,9,-1152,343,82,-533
2015-10-31,520,704,-36,668,-280,-119,481,137,1279,-222,0,-818,-33,-33,-15,-1088,-604,896,292,-545,-545,-537,9,-781,-601,113,-537
2015-07-31,820.00000,708.00000,87.00000,795.00000,279.00000,-207.00000,-408.00000,-760.00000,816.00000,-224.00000,,-179.00000,-585.00000,-585.00000,2.00000,-986.00000,-1004.00000,429.00000,-575.00000,-652.00000,-652.00000,-538.00000,21.00000,-1744.00000,-1864.00000,96.00000,-538.00000
2015-04-30,-1,684,866,1550,-353,-37,644,401,1912,-255,0,-14273,-716,-716,29,-15215,1769,-8,1761,-128,-128,-435,-47,1151,-12388,324,-435
2015-01-31,977,275,72,347,4,-75,-74,531,1767,-106,0,-33,-617,-617,66,-690,16912,-1754,15158,165,165,-300,-98,14925,15944,33,-300
2014-10-31,828,208,-137,71,-158,-74,56,13,913,-101,0,-432,-612,-612,-2,-1147,-4,899,895,-397,-397,-298,28,228,-49,48,-298
2014-07-31,871.00000,215.00000,-619.00000,-404.00000,94.00000,-96.00000,17.00000,-148.00000,310.00000,-109.00000,,-146.00000,253.00000,253.00000,-4.00000,-6.00000,-3.00000,862.00000,859.00000,-911.00000,-911.00000,-304.00000,1.00000,-355.00000,-67.00000,34.00000,-304.00000
2014-04-30,448,217,645,862,-156,80,-79,29,1328,-105,0,-16,-398,-398,-6,-525,1439,-1724,-285,-149,-149,-277,-6,-717,99,37,-277
2014-01-31,762,216,196,412,102,-8,110,443,1612,-95,0,-159,-958,-958,-5,-1217,-4,-5,-9,139,139,-279,7,-142,238,33,-279
2013-10-31,902,215,26,241,-101,-16,232,-95,1036,-118,0,-193,-866,-866,-9,-1186,-2,1095,1093,-464,-464,-279,13,363,238,44,-279
2013-07-31,953.00000,210.00000,-21.00000,189.00000,85.00000,-95.00000,181.00000,-159.00000,983.00000,-78.00000,,-17.00000,-562.00000,-562.00000,-9.00000,-666.00000,-4.00000,636.00000,632.00000,-772.00000,-772.00000,-281.00000,-1.00000,-422.00000,-91.00000,31.00000,-281.00000
2013-04-30,969,244,-87,157,-254,151,-285,144,1270,-121,0,0,-456,-456,-10,-587,776,-1558,-782,109,109,-258,-21,-952,-273,33,-258
2013-01-31,988,237,-41,196,132,13,42,262,1446,-125,0,-797,-667,-667,2,-1587,-2,-9,-11,-108,-108,-264,-4,-387,-492,34,-264
2012-10-31,646,222,287,509,-91,-10,-101,-261,894,-108,0,0,158,158,-1,49,-2,684,682,-535,-535,-266,0,-119,875,49,-266
2012-07-31,864.00000,220.00000,33.00000,253.00000,214.00000,-61.00000,129.00000,215.00000,1332.00000,-103.00000,,-23.00000,-845.00000,-845.00000,-5.00000,-976.00000,-6.00000,91.00000,85.00000,-446.00000,-446.00000,-267.00000,-15.00000,-643.00000,-363.00000,36.00000,-267.00000
2012-04-30,991,222,132,354,-128,17,-416,-301,1044,-110,0,386,-768,-768,11,-481,1210,-807,403,-631,-631,-252,-56,-536,47,37,-252
2012-01-31,934,230,-296,-66,-5,-55,-35,271,1139,-105,0,0,-361,-361,28,-438,-9,-80,-89,-158,-158,-255,0,-502,142,34,-255
2011-10-31,871,234,14,248,-186,-53,223,53,1172,-139,0,-549,-437,-437,-21,-1146,-15,174,159,-187,-187,-257,-62,-347,-345,49,-257
2011-07-31,821.00000,232.00000,67.00000,299.00000,67.00000,-94.00000,383.00000,-5.00000,1115.00000,-130.00000,,-7.00000,-421.00000,-421.00000,-39.00000,-597.00000,,128.00000,128.00000,-368.00000,-368.00000,-257.00000,,-497.00000,11.00000,41.00000,-257.00000
2011-04-30,776,254,338,592,-263,12,-457,-575,793,-116,48,-64,703,703,-51,520,-1201,226,-975,31,31,-241,0,-1185,180,42,-241
2011-01-31,924,233,10,243,-7,-5,-169,78,1245,-127,-31,-816,204,204,-45,-815,0,214,214,-368,-368,-240,0,-394,27,52,-240
2010-10-31,566,258,287,545,-135,-35,64,-213,898,-150,-17,-390,-68,-68,-25,-650,-400,365,-35,-103,-103,-243,0,-381,-108,55,-243
2010-07-31,830.00000,230.00000,47.00000,277.00000,63.00000,-73.00000,30.00000,-302.00000,805.00000,-108.00000,,-62.00000,-564.00000,-564.00000,-55.00000,-789.00000,-2.00000,816.00000,814.00000,-615.00000,-615.00000,-245.00000,,-46.00000,-36.00000,49.00000,-245.00000
2010-04-30,954,248,86,334,-220,94,-83,-51,1237,-171,-18,-350,-2174,-2174,-1,-2714,3000,-964,2036,-365,-365,-226,0,1445,-63,49,-226
2010-01-31,831,235,40,275,38,79,124,382,1488,-123,-4,0,-342,-342,2,-467,-14,-98,-112,6,6,-226,0,-332,637,48,-226
2009-10-31,869,225,-355,-130,-126,20,90,46,785,-129,-40,0,-875,-875,-5,-1049,0,470,470,-198,-198,-227,0,45,-196,66,-227
2009-07-31,445.00000,231.00000,80.00000,311.00000,37.00000,-35.00000,-1.00000,-135.00000,621.00000,-150.00000,,,-296.00000,-296.00000,-83.00000,-529.00000,-6.00000,148.00000,142.00000,-308.00000,-308.00000,-228.00000,,-394.00000,-249.00000,62.00000,-228.00000
2009-04-30,103,217,756,973,-144,18,11,47,1123,-120,-13,-1243,-51,-51,-68,-1495,1266,-674,592,-10,-10,-211,1,372,-12,59,-211
2009-01-31,1967,636,-60,576,252,-230,-158,212,2755,-378,-152,-381,-64,-64,-270,-1245,-316,41,-275,-333,-333,-632,23,-1217,223,178,-632
