,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-472.648,65.672,20.417,86.089,-16.987,-350.295,128.253,-37.241,-261.956,-648.515,-289.888,-125.353,22.262,-103.091,0.323,-392.656,-5.352,0,-5.352,1518.153,1518.153,0,1512.801,471.63,71.255
2022-09-30,-530.101,58.508,129.939,188.4469,-1.119,-302.202,2.62,79.431,-227.812,-569.466,-290.064,125.353,-1307.454,-1182.101,97.267,-1374.898,5.708,0,5.708,-19.765,-19.765,31.7,17.643,-1926.721,83.302
2022-06-30,-220.425,51.027,-153.917,-102.8899,-0.673,-300.83,43.883,40.514,-190.313,-513.628,-309.818,0,-1419.223,-1419.223,0,-1729.041,5.463,-2.381,3.082,7.641,7.641,-6.631,4.092,-2238.577,94.392
2022-03-31,-81.28600,46.99600,-248.30900,-201.31300,2.28100,-303.02200,5.71300,86.58500,-212.05000,-494.64900,-185.08200,,,,,-185.08200,-1.20100,-12.94900,-14.15000,-173.15100,-173.15100,,-187.30100,-867.03200,174.55100
2021-12-31,-1045.68,47.576,761.581,809.157,-2.887,-114.979,18.529,19.713,-76.209,-312.732,-121.904,0.505,0,0.505,0,-121.399,2001.264,-11.068,1990.196,-40.674,-40.674,-49.937,1899.585,1465.454,150.557
2021-09-30,-524.403,19.32,256.87,276.19,0.219,-32.931,-2.304,-13.13,-43.384,-291.597,-92.78,0,0,0,0,-92.78,-0.551,16.913,16.362,174.034,174.034,4434.342,4624.738,4240.361,236.956
2021-06-30,-261.726,9.566,44.037,53.603,0.158,-21.914,2.673,-12.216,-26.955,-235.078,-111.735,0,0,0,0,-111.735,-1.066,8.203,7.137,0.95,93.87,0,101.007,-245.806,24.449
2021-03-31,-747.95200,4.91900,560.28700,565.20600,-0.37800,-5.26700,-14.54400,-19.43700,-35.98000,-218.72600,-94.77900,,,,,-94.77900,-0.29800,,-0.29800,4.31600,511.39600,,511.09800,197.59300,104.79500
2020-12-31,408.105,-5.447,-12.286,-17.733,0.163,1.863,30.109,-36.22,-12.965,377.407,355.86,0,0,0,0,355.86,0.174,0,0.174,-2.886,-892.749,0,-892.575,-159.308,-3.257
2020-09-30,-408.104,5.447,12.286,17.733,-0.163,-1.863,-30.109,36.22,12.964,-377.407,-355.86,0,0,0,0,-355.86,-0.174,-0.3,-0.474,2.861,892.724,0.1529,892.4029,159.1359,3.257
2020-06-30,277.356,-7.236,0,-7.236,0,0,0,0,-11.613,235.299,104.29,0,0,0,0,104.29,0,0.3,-70.649,0.025,-550.458,-0.1529,-621.2599,-281.6709,0
2019-12-31,-277.357,7.236,0,7.236,0,0,0,0,11.614,-235.299,-104.29,0,0,0,0,-104.29,0,0,70.949,0,550.483,0,621.432,281.843,0
