,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,86.093,219.478,125.9675,345.4454,375.359,35.483,196.526,-130.18,473.458,814.279,-99.144,0,-113.451,0,-0.288,-0.288,-15.823,-228.706,-96.848,0,-96.848,-448.694,-448.694,-7.83,-553.372,181.798,36.513
2022-09-30,451.68,145.266,-163.0648,-17.7988,133.991,-15.011,61.812,198.629,310.067,753.893,-64.274,0,-14.754,0,-100.432,-100.432,-95.347,-274.807,287.228,-310,-22.772,-410.946,-410.946,-18.507,-452.225,-107.665,41.49
2022-06-30,489.916,164.103,95.8681,259.9711,-353.289,115.485,-85.881,151.407,-250.16,454.423,-54.666,0,-28.585,0,0,0,-150.07,-233.321,-216.252,310,93.748,-629.352,-629.352,-15.883,-551.487,-461.913,45.459
2022-03-31,396.27100,150.69500,166.06500,316.76000,-156.06100,-41.35800,-108.35500,-725.21600,-1013.26800,-393.50700,-42.05600,,-16.79200,,,,-36.77300,-95.62100,215.41400,,215.41400,-399.25800,-399.25800,-25.16500,-209.00900,-747.15200,36.86300
2021-12-31,692.874,165.379,-87.7912,77.5877,-510.798,68.922,212.505,553.29,530.112,1164.057,-88.442,0,-710.116,212.722,-220.001,-7.279,80.346,-725.491,-361.647,0,-361.647,-182.435,-182.435,-221.423,-765.505,-336.341,51.626
2021-09-30,436.622,124.327,-13.7381,110.5889,-154.793,-95.686,167.835,535.778,411.909,973.003,-45.465,0,-13.453,0,0,0,-151.997,-210.915,8.665,0,8.665,-100.482,-100.482,-12.333,-104.15,619.313,48.075
2021-06-30,443.442,120.793,5.9937,126.7866,-261.589,-11.993,-30.069,109.848,-152.138,420.566,-46.347,0,-55.194,0,0,0,-49.046,-150.587,24.811,0,24.811,-28.559,-28.559,-19.194,-22.942,255.102,49.447
2021-03-31,268.97700,123.68700,-60.73790,62.94920,161.22100,-15.90100,-245.52200,-469.21300,-527.75500,-193.44800,-29.59700,,-2.72600,,,,-161.58100,-193.90400,515.99200,,515.99200,-95.99100,-95.99100,-18.03500,401.96600,-37.54000,35.78600
2020-12-31,315.386,310.574,-142.8956,167.6785,-239.049,-37.441,204.468,450.79,433.68,940.421,-76.029,0,-1.925,-402.5,0,-402.5,-57.144,-537.598,-449.363,0,-449.363,-2.208,-2.208,369.855,-81.716,392.69,18.55
2020-09-30,184.84,54.104,76.7264,130.8304,333.993,-68.879,13.196,265.689,537.374,866.204,-56.397,0,-0.012,0,0,0,-14.136,-70.545,-458.146,0,-458.146,-4.269,-4.269,-37.497,-499.912,332.823,22.137
2020-06-30,82.112,117.965,15.4882,133.4532,223.269,-7.041,-85.084,-185.061,-37.165,152.927,-71.908,0,-0.014,0,0,0,28.211,-43.711,473.735,0,473.735,-0.485,-0.485,-12.965,460.285,581.039,20.943
2020-03-31,173.53000,190.46600,-3.26710,187.19890,52.79600,7.74200,-27.08900,-631.56000,-489.50200,-128.77300,-62.24100,,-25.89700,,,,-4.09300,-92.23100,-0.03000,,-0.03000,-86.90100,-86.90100,-14.48200,-101.41300,-361.05000,-1.23900
2019-12-31,639.133,117.578,-372.9544,-255.3763,-176.548,34.776,147.969,816.194,680.538,1048.631,-97.483,0,-341.082,0,0,0,-10.76,-449.325,-161.2358,0,-161.2358,-52.902,-52.902,-5.848,-219.986,391.44,28.78
2019-09-30,258.053,113.051,380.2563,493.3071,-644.586,0,-4.794,416.445,-268.258,468.033,-71.809,0,-12.702,0,0,0,-39.056,-123.567,-176.9221,0,-176.9221,-56.008,-56.008,-5.007,-237.937,89.08,33.378
