,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,1996.30000,506.22900,370.93200,877.16100,,-202.18200,-1473.38500,-2332.12300,495.39800,-98.83000,-685.86400,,,2.62000,-782.07400,-1.61100,,-1.61100,-952.99500,-952.99500,-705.56700,-16.68700,-1676.86000,-1990.13000,425.46900,-705.56700
2022-08-31,1692.385,534.905,174.724,709.629,0,232.063,356.722,1484.0919,3790.11,-177.051,-1234.724,0,0,3.183,-1408.592,-4.923,0,-4.923,-456.274,-456.274,-613.73,-26.485,-1101.412,1186.265,360.234,-613.73
2022-05-31,1819.316,524.186,395.143,919.329,0,187.761,-1008.312,315.531,3064.655,-194.616,-475.274,0,0,2.936,-666.954,-2.653,0,-2.653,-474.197,-474.197,-613.785,-12.804,-1103.439,1237.452,407.257,-613.785
2022-02-28,1657.529,528.26,561.128,1089.3879,0,13.086,-366.45,-551.448,2155.493,-164.66,-110.272,0,0,2.43,-272.502,-5.429,0,-5.429,-1400.607,-1400.607,-616.583,-14.096,-2036.715,-171.001,546.607,-616.583
2021-11-30,1819.73000,500.86500,335.50000,836.36510,,-58.56100,-1908.18800,-2054.74200,530.87100,-181.67100,-1734.94100,,,4.03100,-1912.58100,-3.44800,,-3.44800,-436.23600,-436.23600,-613.20800,-16.56800,-1069.46000,-2531.05700,365.69100,-613.20800
2021-08-31,1437.423,486.281,396.343,882.624,0,303.385,-584.283,168.138,2436.432,-236.295,-2622.986,0,0,7.965,-2851.316,-6.512,0,-6.512,-788.437,-788.437,-557.93,-14.906,-1367.785,-1841.206,275.7,-557.93
2021-05-31,1569.572,478.986,266.819,745.805,0,157.581,-818.122,116.647,2401.15,-158.212,-429.5509,0,0,15.075,-572.688,-0.562,0,-0.562,-442.517,-442.517,-559.07,-10.219,-1012.368,842.802,331.038,-559.07
2021-02-28,1461.493,457.775,448.494,906.269,0,216.011,-140.077,323.3749,2534.721,-92.51,-350.1921,0,0,3.347,-439.355,-0.642,0,-0.642,-976.391,-976.391,-561.042,-8.658,-1546.733,572.575,424.892,-561.042
2020-11-30,1522.05700,468.20000,292.22500,760.42500,,148.49500,-807.46600,-575.83100,1602.84500,-93.11500,-354.84100,,,1.54900,-446.40700,-0.08200,,-0.08200,-430.00400,-430.00400,-558.05200,-11.31300,-999.45100,178.67300,311.32100,-558.05200
2020-08-31,1305.424,486.89,302.412,789.302,0,-113.964,828.098,1162.332,3156.134,-188.718,-59.726,0,0,2.102,-246.342,-6.512,0,-6.512,-484.149,-484.149,-509.201,-13.68,-1013.542,1973.069,259.706,-509.201
2020-05-31,1252.639,444.66,332.122,776.782,0,-124.721,342.391,685.702,2741.466,-149.981,-736.376,0,0,1.362,-884.995,0.159,0,0.159,-277.523,-277.523,-508.913,-11.773,-798.05,1005.805,290.866,-508.913
2020-02-29,1252.082,442.116,422.703,864.819,0,-59.068,213.292,-537.901,1530.641,-165.37,-434.456,0,0,2.537,-597.289,0.204,0,0.204,-770.056,-770.056,-511.238,-8.186,-1289.276,-374.081,372.305,-511.238
2019-11-30,1375.16800,399.45800,311.52000,710.97800,,-61.92900,-939.62700,-1178.30800,786.91100,-95.06300,-70.64800,,,-0.18200,-165.89300,-0.57000,,-0.57000,-428.81100,-428.81100,-508.38100,-10.46200,-948.22400,-316.31600,274.92900,-508.38100
2019-08-31,1145.548,240.168,187.0711,427.239,866.875,83.042,-749.156,545.2631,2116.253,-241.26,-137.12,0,0,2.512,-375.868,-3.789,0,-3.789,-312.535,-312.535,0,-34.694,-351.018,1357.695,236.301,0
2019-05-31,1268.649,221.309,266.168,487.477,-866.875,65.414,661.821,373.716,2123.542,-140.261,-514.7271,0,0,-0.177,-655.165,-0.111,0,-0.111,-180.277,-180.277,-931.515,-10.159,-1122.062,304.269,263.674,-931.515
2019-02-28,1140.72,219.598,299.772,519.37,0,43.217,360.931,-263.2591,1359.65,-139.797,-313.2969,0,0,1.419,-451.675,-0.503,0,-0.503,-827.712,-827.712,0,-3.708,-831.923,101.099,346.762,0
2018-11-30,1291.32400,211.68500,243.88200,455.56700,,-14.48700,-696.21500,-677.13900,1027.50800,-77.69100,-199.97600,,,4.79900,-272.86800,-0.36900,,-0.36900,-522.14500,-522.14500,-932.83800,-6.81600,-1462.16800,-697.57000,246.51600,-932.83800
2018-08-31,1048.371,235.09,395.067,630.157,652.315,-35.364,-871.636,467.256,2109.258,-179.383,-195.272,0,0,-0.313,-374.968,-3.739,0,-3.739,-465.508,-465.508,0,-62.369,-531.616,1132.515,225.082,0
2018-05-31,1058.141,238.389,111.353,349.742,-652.315,46.831,523.122,597.135,1987.538,-173.556,-97.575,0,0,1.13,-270.001,-0.72,0,-0.72,-436.58,-436.58,-855.11,-2.778,-1295.188,333.766,245.9,-855.11
2018-02-28,919.54,220.664,389.175,609.839,587.222,40.555,-242.761,-671.651,924.057,-134.786,-217.005,0,0,6.115,-345.676,0.129,0,0.129,-660.452,-660.452,0,-42.881,-703.204,-86.632,293.035,0
2017-11-30,1188.54200,232.63300,175.31300,407.94600,-587.22200,-219.99300,-264.29900,-585.93600,1005.83800,-131.46200,-127.49700,,,,-258.95900,0.13500,,0.13500,-323.40800,-323.40800,-853.61400,-2.13300,-1179.02000,-445.14900,212.89100,-853.61400
2017-08-31,983.174,232.069,143.325,375.394,238.214,203.409,-115.602,465.439,1941.882,-200.123,-462.534,0,0,10.263,-652.394,-2.635,0,-2.635,-581.721,-581.721,0,-8.208,-592.564,744.652,183.298,0
2017-05-31,704.801,194.48,394.538,589.018,66.196,44.279,-184.92,403.717,1792.572,-134.127,-413.57,0,0,0,-547.697,0.154,0,0.154,-338.603,-338.603,-782.451,-2.676,-1123.576,143.346,209.614,-782.451
2017-02-28,887.208,187.807,290.616,478.423,38.854,29.414,-0.842,-1227.324,154.703,-98.354,-245.812,0,0,0,-344.166,0.223,0,0.223,-677.458,-677.458,0,-4.085,-681.32,-838.196,252.527,0
2016-11-30,1059.74900,187.43300,63.78300,251.21600,-343.26400,-103.39000,-214.41100,-85.89900,1083.88200,-83.31500,-606.30700,,,,-689.62200,0.13800,,0.13800,-375.22400,-375.22400,-785.12700,-2.56200,-1162.77500,-828.55100,149.79600,-785.12700
2016-08-31,1130.781,193.415,-20.154,173.261,225.245,133.968,-152.261,769.638,2065.959,-158.706,96.234,0,0,0,-62.472,-1.645,0,-1.645,-574.574,-574.574,0,-22.439,-598.658,1407.731,173.532,0
2016-05-31,950.283,181.01,254.119,435.129,-266.762,13.944,-36.561,201.598,1593.989,-92.334,-84.911,0,0,0,-177.245,0.208,0,0.208,-255.464,-255.464,-717.462,-1.637,-974.355,463.219,226.929,-717.462
2016-02-29,1399.858,172.745,-368.005,-195.26,51.492,-10.782,215.143,-866.307,364.195,-147.48,483.339,0,0,0,335.859,0.159,0,0.159,-708.068,-708.068,0,-12.311,-720.22,-38.534,228.532,0
2015-11-30,868.68100,181.88200,109.33300,291.21500,-380.04300,-64.50400,-288.76900,-437.77100,643.25700,-93.82600,-612.66600,,,,-706.49200,0.21900,,0.21900,-475.52600,-475.52600,-720.67600,-0.00200,-1195.98500,-1287.57300,129.18300,-720.67600
2015-08-31,788.125,173.763,-121.128,52.635,-113.661,98.621,-22.367,741.329,1588.612,-144.987,-349.502,0,0,0,-494.489,0.217,0,0.217,-606.205,-606.205,0,-86.397,-692.385,334.577,148.638,0
2015-05-31,850.23,153.405,74.695,228.1,-102.419,54.074,6.136,396.924,1413.364,-112.761,-312.187,0,0,0,-424.948,0.216,0,0.216,-331.024,-331.024,-674.735,2.885,-1002.658,-35.211,195.576,-674.735
2015-02-28,743.192,152.236,322.455,474.691,14.472,56.008,59.868,-845.278,301.287,-80.913,-80.821,0,0,0,-161.734,0.212,0,0.212,-487.466,-487.466,0,22.852,-464.402,-410.947,207.2,0
2014-11-30,892.24200,166.51900,9.58000,176.09900,-225.51700,-95.15500,-296.94600,-84.25000,872.90000,-50.57200,-38.64100,,,,-89.21300,0.05600,,0.05600,-474.14500,-474.14500,-678.73600,25.94800,-1126.87700,-448.95800,128.91500,-678.73600
