,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,4238,274,-4185,-3911,151,119,-325,-398,-453,-126,10402,0,-1302,-1302,8,9108,-2500,-1287,-3787,-3245,-3245,-153,-2,-7187,1838,-153
2022-09-30,376,283,-70,213,-59,-151,-23,63,-170,419,-108,0,15,15,-2,-95,0,626,626,-250,-250,-180,-2,194,405,-180
2022-06-30,795,281,-760,-479,-29,-260,-87,146,-230,86,145,5,-15,-15,4,139,0,257,257,-500,-500,-168,-5,-416,-244,-168
2022-03-31,508.00000,342.00000,-127.00000,215.00000,-254.00000,-277.00000,304.00000,-287.00000,-514.00000,209.00000,-231.00000,,,,2.00000,-229.00000,,254.00000,254.00000,-292.00000,-292.00000,-187.00000,-33.00000,-258.00000,-303.00000,-187.00000
2021-12-31,226,352,15,367,144,-22,-62,-32,28,621,328,-23,0,0,21,326,0,150,150,-495,-495,-161,-80,-586,338,-161
2021-09-30,404,382,-8,374,-53,-178,147,148,64,842,-95,-2312,0,0,9,-2398,0,0,0,-498,-498,-167,0,-665,-2242,-167
2021-06-30,487,333,-173,160,-118,-163,140,-66,-207,440,-64,-11,2001,2001,5,1931,-2000,0,-2000,-625,-625,-163,-10,-2798,-418,-163
2021-03-31,5398.00000,391.00000,-5076.00000,-4685.00000,-228.00000,-174.00000,92.00000,-25.00000,-335.00000,378.00000,-263.00000,,-2001.00000,-2001.00000,4.00000,-2260.00000,-1750.00000,,-1750.00000,-410.00000,-410.00000,-180.00000,-118.00000,-2458.00000,-4377.00000,-180.00000
2020-12-31,230,768,-132,636,175,258,134,-132,435,1301,-247,3,0,0,7,-237,-2002,-390,-2392,23,23,-222,-1,-2592,-1465,-222
2020-09-30,-72,963,-202,761,22,324,9,230,585,1274,378,0,0,0,5,383,6248,-1165,5083,0,0,-258,-45,4780,6471,-258
2020-06-30,-2471,3272,-166,3106,245,122,-202,2,167,802,-238,0,1,1,13,-224,1974,-343,1631,0,0,-224,-13,1394,1987,-224
2020-03-31,-610.00000,1305.00000,42.00000,1347.00000,-134.00000,-134.00000,236.00000,13.00000,-19.00000,718.00000,-54.00000,-73.00000,-1.00000,-1.00000,4.00000,-124.00000,24.00000,69.00000,93.00000,-198.00000,-198.00000,-228.00000,-11.00000,-344.00000,205.00000,-228.00000
2019-12-31,188,280,149,429,191,48,-244,-34,-39,578,-316,-171,7,7,-26,-506,-1,-141,-142,-280,-280,-231,0,-653,-570,-231
2019-09-30,377,499,-88,411,117,37,-110,50,94,882,-158,-9,-19,-19,36,-150,-7,359,352,-350,-350,-230,-8,-236,446,-230
2019-06-30,-537,1866,-217,1649,-892,496,37,-830,-1189,-77,-660,-21,34,34,-10,-657,-3524,1719,-1805,-98,-98,-326,-7400,-9629,-10365,-326
2019-03-31,572.00000,1725.00000,575.00000,2300.00000,-1643.00000,-194.00000,-732.00000,-277.00000,-2846.00000,26.00000,-1039.00000,21.00000,23.00000,23.00000,-5.00000,-1000.00000,637.00000,798.00000,1435.00000,-1516.00000,-1516.00000,-851.00000,-100.00000,-1032.00000,-1956.00000,-851.00000
2018-12-31,520,1602,-152,1450,2154,-360,-149,1486,3131,5101,-1209,0,195,195,-9,-1023,5279,223,5502,-1411,-1411,-978,-547,2566,6546,-978
2018-09-30,539,1579,-1728,-149,689,-921,285,-766,-713,-323,-1000,-20,-72,-72,43,-1049,1755,-800,955,-955,-955,-874,-8,-882,-2329,-874
2018-06-30,1793,2178,-67,2111,-1311,955,-340,-1118,-1814,2090,-765,0,-126,-126,211,-680,-756,604,-152,-966,-966,-954,13,-2059,-476,-954
2018-03-31,1148.00000,2187.00000,490.00000,2677.00000,-3143.00000,-1170.00000,405.00000,-2054.00000,-5962.00000,-2137.00000,-771.00000,,618.00000,618.00000,443.00000,290.00000,168.00000,196.00000,364.00000,-892.00000,-892.00000,-880.00000,-135.00000,-1543.00000,-3734.00000,-880.00000
2017-12-31,-1517,4086,-2167,1919,-1578,-328,1004,2257,1355,1757,1480,-475,845,845,2321,4171,427,-3201,-2774,-936,-936,-1389,-145,-5244,867,-1389
2017-09-30,534,1430,296,1726,-4971,-651,801,140,-4681,-2421,-997,5014,818,818,5127,9962,-486,665,179,98,98,-891,-6,-620,6915,-891
2017-06-30,1359,739,187,926,-1906,8,343,-755,-2310,-25,-706,-484,372,372,1363,545,-67,152,85,75,75,-587,-6,-433,239,-587
2017-03-31,915.00000,778.00000,50.00000,828.00000,-1327.00000,-847.00000,483.00000,-128.00000,-1819.00000,-76.00000,-696.00000,,-208.00000,-208.00000,551.00000,-353.00000,-38.00000,136.00000,98.00000,282.00000,282.00000,-527.00000,-110.00000,-257.00000,-630.00000,-527.00000
2016-12-31,84,795,930,1725,-7398,649,-462,-1274,-8485,-6676,-880,20,-202,-202,8652,7590,-65,36,-29,-422,-422,-680,-91,-1222,-428,-680
2016-09-30,818,780,388,1168,-115,199,598,-1316,-634,1352,-1113,37,-206,-206,847,-435,-62,-3,-65,-330,-330,-531,-287,-1213,-277,-531
2016-06-30,3227,680,-2637,-1957,-277,194,298,743,958,2228,-852,993,-226,-226,-815,-900,-98,-12,-110,142,142,-649,-4,-621,699,-649
2016-03-31,275.00000,607.00000,-527.00000,80.00000,-1043.00000,-432.00000,135.00000,1124.00000,-216.00000,139.00000,-788.00000,-167.00000,-208.00000,-208.00000,,-1163.00000,-331.00000,-54.00000,-385.00000,92.00000,92.00000,-602.00000,-63.00000,-958.00000,-1967.00000,-602.00000
2015-12-31,3631,600,-1486,-886,79,592,-10,-974,-313,2432,-728,1467,-892,-892,43,-110,111,-13,98,-471,-471,-630,-288,-1291,954,-630
2015-09-30,1436,645,-788,-143,536,217,-597,1062,1218,2511,-208,-8,-222,-222,-40,-478,55,-7,48,19,19,-586,-42,-561,1399,-586
2015-06-30,1197,642,-706,-64,-618,33,216,642,273,1406,-902,25,-204,-204,-1,-1082,14,-23,-9,188,188,-577,19,-379,-64,-577
2015-03-31,1519.00000,634.00000,-682.00000,-48.00000,-81.00000,-62.00000,-326.00000,256.00000,-213.00000,1258.00000,472.00000,-79.00000,-74.00000,-74.00000,1.00000,320.00000,89.00000,-39.00000,50.00000,-394.00000,-394.00000,-572.00000,15.00000,-901.00000,634.00000,-572.00000
2014-12-31,839,742,511,1253,224,912,-297,-174,665,2757,-1084,0,-104,-104,-18,-1206,16,-22,-6,-1038,-1038,-573,-9,-1626,-114,-573
2014-09-30,964,706,-312,394,243,-94,-79,347,417,1775,-879,0,14,14,434,-431,2042,23,2065,-874,-874,-530,-29,632,1925,-530
2014-06-30,970,677,-271,406,-480,204,-94,389,19,1395,-843,0,29,29,0,-814,-104,121,17,-610,-610,-531,-13,-1137,-542,-531
