,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-357.221,-549.743,-136.184,-685.9271,33.895,1.267,46.082,-997.066,148.348,418.721,-482.835,506.581,23.746,0.496,591.311,-60,0,-60,397.921,397.921,230.102,-1.955,566.068,155.752,-74.14,230.102
2022-09-30,99.763,199.027,65.602,264.6291,-33.895,11.58,-31.923,332.469,-57.377,-65.143,240.213,-224.957,15.256,1.648,-105.616,-120,0,-120,13.505,13.505,-76.664,-6.905,-190.064,28.896,25.492,-76.664
2022-06-30,69.152,168.027,104.321,272.348,0,-0.459,30.615,372.115,-52.963,-138.397,212.408,-251.231,-38.823,0.369,-229.814,180,-330,-150,9.405,9.405,-76.565,-7.094,-224.254,-85.46,23.901,-76.565
2022-03-31,188.30600,182.68900,-33.73900,148.95000,,-12.38800,-44.77400,292.48200,-38.00800,-215.18100,30.21400,-30.39300,-0.17900,-2.51300,-255.88100,,330.00000,330.00000,-420.83100,-420.83100,-76.87300,15.95400,-151.75000,-99.18800,24.74700,-76.87300
2021-12-31,48.904,269.624,-0.867,268.757,-31.866,-6.164,-19.095,298.566,-43.287,-69.95,975.197,-975.581,-0.3839,-31.817,-145.438,433.02,0,433.02,-284.699,-284.699,-63.124,-54.545,30.652,181.227,25.227,-63.124
2021-09-30,47.798,188.851,73.89,262.741,-6.371,-16.571,-57.491,253.048,-35.032,-57.903,0.217,-0.354,-0.137,0.004,-93.068,-85.1941,0,-85.1941,-78.391,-78.391,-63.563,-9.634,-236.782,-84.411,17.109,-63.563
2021-06-30,152.667,170.678,-11.348,159.33,0,-6.368,40.787,352.784,-30.839,-77.175,0.063,-0.163,-0.1,-0.056,-108.17,97.4731,-210,-112.5269,25.285,25.285,-63.481,-5.226,-155.949,96.625,21.644,-63.481
2021-03-31,-11.74500,188.67200,107.90100,296.57300,,32.68400,0.67000,285.49800,-24.53600,-1052.67600,755.00000,-755.01300,-0.01300,0.64100,-1076.58400,728.17000,210.00000,938.17000,-158.08500,-158.08500,-63.41200,-15.33000,701.34300,-100.62300,20.42200,-63.41200
2020-12-31,106.186,460.296,-284.172,176.1241,-10.077,-53.619,-39.185,243.125,-33.195,-71.519,4.206,-0.438,3.7681,7.958,-92.988,379.854,0,379.854,-431.5011,-431.5011,-51.49,-51.63,-154.767,6.835,16.975,-51.49
2020-09-30,22.677,180.302,35.614,215.9159,48.272,18.582,51.897,290.49,-28.392,-80.864,325,-153.241,171.759,-1.911,60.592,135.3187,0,135.3187,-162.691,-162.691,-52.028,-182.729,-262.129,84.335,17.058,-52.028
