,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-03-31,-1279.00000,1566.00000,-223.00000,1343.00000,369.00000,-142.00000,-49.00000,-41.00000,23.00000,-58.00000,,2.00000,-56.00000,-16.00000,305.00000,289.00000,,,-99.00000,-17.00000,173.00000,116.00000,8.00000,-99.00000
2019-12-31,794,196,-735,-539,165,377,-79,365,620,-93,242,6,155,-267,-305,-572,0,0,-269,-39,-880,-95,13,-269
2019-09-30,-626,1222,-249,973,71,49,-71,86,433,-57,14,2,-41,-732,289,-443,0,0,-98,3,-538,-159,9,-98
2019-06-30,90,101,34,135,-171,-36,148,-34,191,-57,740,15,698,3,-531,-528,0,0,-97,-6,-631,261,15,-97
2019-03-31,-151.00000,262.00000,-29.00000,233.00000,246.00000,-259.00000,-107.00000,-282.00000,-200.00000,-58.00000,,-18.00000,-76.00000,-276.00000,521.00000,245.00000,,,-98.00000,-2.00000,145.00000,-132.00000,5.00000,-98.00000
2018-12-31,184,649.301,-711.4,-62.1,284.4,388.3,-247.6,376.5,498.4,-110.3,2358.4,-0.4,2247.7,-2588,-0.1,-2588.1,-995.9,-995.9,-102.7,0.7,-3686,-947.9,18.1,-102.7
2018-09-30,-7311,8845.299,-1162,7683.3,-11.2,-12,152.6,199.8,572.1,-72.7,109.2,62.4,98.9,-0.6,-885.8,-886.4,-511.1,-511.1,-107.4,-0.2,-1505.1,-835.8,20.2,-107.4
2018-06-30,131.7,590.6,-375.5,215.1,-367.1,58.5,71.8,-335.6,11.2,-105.9,2665.4,6.2,2565.7,-0.7,-620.9,-621.6,0,0,-112.3,-3.7,-737.6,1820.4,27.6,-112.3
2018-03-31,53.30000,149.80000,-84.10000,65.70000,255.90000,-308.80000,-285.80000,-520.70000,-401.70000,-95.10000,,-10.20000,-105.30000,-0.70000,602.80000,602.10000,,,-112.60000,-14.80000,474.70000,-26.70000,10.10000,-112.60000
2017-12-31,1652.9,159.8,-1673.4,-1513.6,234.3,356.6,74.9,850.7,990,-113.3,5.5,2.9,-104.9,-352.4,-574.5,-926.9,-152.4,-152.4,-111.5,0.9,-1189.9,-306.6,9.7,-111.5
2017-09-30,234.4,156.2,31.2,187.4,103.8,-208.2,-41.1,-238.8,183,-101.7,123,3.8,25.1,-0.3,66.2,65.9,0,0,-274.4,0.3,-208.2,12.1,21.5,-274.4
2017-06-30,223,215.6,146.2,361.8,-355.6,-138.1,319.8,-528,56.8,-90.5,38.5,4.6,-47.4,-195.8,373.7,177.9,0,0,-111.4,-4.6,61.9,92.7,19.3,-111.4
2017-03-31,638.50000,189.00000,-921.20000,-732.20000,306.20000,-360.70000,-142.60000,-169.90000,-263.60000,-100.70000,1305.60000,0.80000,1205.70000,-997.90000,246.40000,-751.50000,,,-92.90000,-15.20000,-859.60000,100.00000,20.40000,-92.90000
2016-12-31,165.6,130,98.2,228.2,-98.5,356.3,76.3,597.9,991.7,-153.9,-9.1,12.1,-150.9,9064.6,-458,8606.6,-9430.7,-9430.7,-91.7,12.9,-902.9,-82.5,16.1,-91.7
2016-09-30,186.5,138,-52.7,85.3,29.8,113.7,-37.6,241,512.8,-123.6,-37.6,6,-155.2,-9414.6,-230.6,-9645.2,9414.6,9414.6,-91.9,5,-317.5,42.7,18.7,-91.9
2016-06-30,135.2,126.4,-81.3,45.1,-325.5,452.4,235.9,417,597.3,-112.3,-8340.3,3.9,-8448.7,733.4,-331.5,401.9,0,0,-91.7,0.1,310.3,-7553.6,19.2,-91.7
2016-03-31,40.50000,42.80000,67.00000,109.80000,69.70000,-137.80000,7.40000,-411.70000,-261.40000,-51.60000,-21.00000,2.60000,-70.00000,7931.20000,378.70000,8309.90000,,,-53.30000,-18.00000,8238.60000,7906.10000,9.90000,-53.30000
2015-12-31,13.2,43,68.7,111.7,-67.2,142.5,-4.3,179.9,304.8,-61.1,-355.3,-93.8,-510.2,594.6,-298.5,296.1,-19.8,-19.8,-50.9,-10.6,214.8,8.6,7.2,-50.9
2015-09-30,134.2,43.1,22.6,65.7,110.8,5.6,-67,140,339.9,-64.5,-6.7,8.5,-62.7,0,-144.5,-144.5,-42.3,-42.3,-51,5.6,-232.2,27.5,7.9,-51
2015-06-30,148.5,43.3,10.3,53.6,-247.4,-81.1,130.3,-99.6,102.5,-34.9,1.1,5.9,-27.9,0,42.6,42.6,-50.4,-50.4,-51.2,3.4,-55.6,23.3,7.3,-51.2
2015-03-31,54.10000,42.20000,30.20000,72.40000,170.00000,-164.80000,-38.70000,-280.80000,-154.30000,-50.90000,2.00000,-0.20000,-49.10000,,343.40000,343.40000,-73.60000,-73.60000,-53.20000,1.60000,218.20000,16.00000,6.80000,-53.20000
2014-12-31,52,41.7,153,194.7,-100,83.6,75.7,44.1,290.8,-41.9,-297.4,-4.2,-343.5,841.8,-591,250.8,-39.9,-39.9,-46.4,-42.5,122,66.8,8.6,-46.4
2014-09-30,122.3,38.7,18.7,57.4,81.5,11.4,-21.6,159.5,339.2,-34,-308.3,-2.2,-344.5,0,127.7,127.7,-103.9,-103.9,-46.3,16.2,-6.3,-10.1,6.8,-46.3
2014-06-30,150.6,37.6,4.8,42.4,-252.9,-7.4,49.3,-96.8,96.2,-35.1,3.4,0,-31.7,0,70.5,70.5,-114.3,-114.3,-46.9,20.1,-70.6,5.9,7.5,-46.9
2014-03-31,52.90000,38.10000,65.40000,103.50000,130.50000,-115.80000,-16.10000,-248.50000,-92.10000,-31.90000,,-0.30000,-32.20000,,144.90000,144.90000,-44.40000,-44.40000,-42.90000,16.30000,73.90000,-89.50000,7.00000,-42.90000
2013-12-31,117.3,39.5,25.8,65.3,-54.6,134.1,-15.7,121.6,304.2,137.3,-180.9,0,-43.6,0,145.1,145.1,-299,-299,-42,-35.4,-231.3,28.9,9.5,-42
2013-09-30,193.3,39.8,-60.9,-21.1,160.7,6,-60.3,188.6,360.8,-28.7,180.9,2.1,154.3,0,-383,-383,-46.8,-46.8,-44,1.1,-472.7,43.3,8,-44
2013-06-30,109.8,39.8,40.4,80.2,-205.4,-78.3,89.9,-126.7,63.3,-23.4,0,0,-23.4,0,1.4,1.4,-38.6,-38.6,-43.6,23.2,-57.6,-20.1,10.3,-43.6
2013-03-31,54.20000,39.80000,69.60000,109.40000,80.30000,-123.40000,45.10000,-286.70000,-123.10000,-33.60000,,-0.30000,-33.90000,,200.70000,200.70000,-33.80000,-33.80000,-44.50000,25.70000,148.10000,-9.60000,9.40000,-44.50000
2012-12-31,101.9,41.6,11.3,52.9,-39.7,127.6,-3.1,106.5,261.3,-47,22.6,0.4,-24,346.8,-587.5,-240.7,-25.1,-25.1,-43.5,5,-304.3,-66.3,6.6,-43.5
2012-09-30,108.3,41.3,54,95.3,47.5,47.2,-29.9,97.9,301.5,-45.2,-8.5,-3,-56.7,495.1,-330.7,164.4,-521,-521,-29.1,16.2,-369.5,-120.7,8.1,-29.1
2012-06-30,111.8,41.4,26.9,68.3,-180.8,-18.6,35.3,-77,103.1,-36.7,-3.4,-0.2,-40.3,0,-321.6,-321.6,470.2,470.2,-29.1,2.4,121.9,180.7,8.8,-29.1
2012-03-31,79.30000,39.40000,29.90000,69.30000,71.80000,-148.50000,54.00000,-196.00000,-47.40000,-48.30000,6.30000,,-42.00000,,142.40000,142.40000,-16.40000,-16.40000,-24.20000,4.10000,105.90000,19.90000,9.40000,-24.20000
2011-12-31,80.4,40.5,4.7,45.2,-22.7,166.6,-52.1,155.9,281.5,-27.4,-39,-0.6,-67,0,-133.5,-133.5,-27.2,-27.2,-23.3,1.6,-182.4,31.3,14.6,-23.3
2011-09-30,-177.6,39.6,366.6,406.2,127.9,27.1,-122.8,66.7,295.3,-55.1,33.8,-2.1,-23.4,2.2,-228.9,-226.7,-24.4,-24.4,-23.5,0,-274.6,-4.7,11.7,-23.5
2011-06-30,146.7,40.8,35,75.8,-167.9,-83.5,107.9,-129.7,92.8,-51.2,1.4,-5.1,-54.9,1.1,-12.5,-11.4,0,0,-23.4,-0.6,-35.4,3.9,8.6,-23.4
2011-03-31,75.70000,40.70000,51.90000,92.60000,45.10000,-131.70000,70.30000,-276.60000,-108.30000,-44.90000,-16.20000,,-61.10000,,189.50000,189.50000,,,-14.70000,-7.00000,167.80000,0.10000,8.10000,-14.70000
2010-12-31,75.7,42.1,8.9,51,3.9,126.7,-79.6,78,204.7,-39.8,-9.4,-2,-51.2,0,-156.2,-156.2,0,0,-14.6,3.1,-167.7,-13.9,8.7,-14.6
2010-09-30,28.3,43.3,218.2,261.5,57.6,-9.4,-53.7,-95.3,194.5,-47.5,9.4,0,-38.1,544.9,-312.6,232.3,-500.1,-500.1,-12.8,13.5,-267.1,-106.3,9,-12.8
2010-06-30,130.4,42.7,8.4,51.1,-135.7,-85.7,101.3,-27.5,154,-29.1,0,-2,-31.1,1,-105.5,-104.5,0,0,-14.1,-0.2,-118.8,6.8,8.3,-14.1
2010-03-31,58.40000,44.20000,41.70000,85.90000,-29.40000,-46.10000,71.10000,-114.90000,29.40000,-31.50000,-1.50000,,-33.00000,1.40000,-2.90000,-1.50000,,,-13.90000,-2.90000,-18.30000,-25.30000,10.50000,-13.90000
2009-12-31,60.6,45.5,22.2,67.7,48.4,89.4,-16,58.8,187.1,-28,-7.4,0,-35.4,0,-143.7,-143.7,0,0,-14.1,-0.2,-158,-34.7,9.2,-14.1
2009-09-30,85.5,45.7,23.7,69.4,164.9,75.4,-9.8,172.8,327.7,-42.7,5.8,0,-36.9,-125,-259.6,-384.6,0,0,-13.9,-0.3,-398.8,-105.1,9.3,-13.9
2009-06-30,105.7,42,42.5,84.5,-192.4,108.2,8,-91,99.2,-32.9,-10.7,0,-43.6,1.8,-384.7,-382.9,0,0,-14,-0.9,-397.8,-337.8,7.8,-14
2009-03-31,33.70000,41.90000,15.10000,57.00000,77.10000,-29.90000,-85.80000,-101.90000,-11.20000,-32.10000,-1.40000,,-33.50000,758.00000,-132.50000,625.50000,32.70000,32.70000,-29.40000,-101.20000,527.60000,480.50000,8.80000,-29.40000
