,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-272,400,-105,295,295,462,-393,272,295,-91,1,13,-77,-1090,619,-471,0,0,-95,-10,-576,-358,4,-95
2022-09-30,31,223,-117,106,12,-57,-249,-254,-117,-81,-4,6,-79,990,-372,618,0,0,-95,6,529,323,-15,-95
2022-06-30,204,71,-10,61,-191,-278,81,-443,-178,-70,0,10,-60,-1,372,371,-50,-50,-95,-18,208,-41,9,-95
2022-03-31,234.00000,76.00000,208.00000,284.00000,14.00000,-403.00000,25.00000,-790.00000,-272.00000,-70.00000,620.00000,9.00000,559.00000,-1.00000,,-1.00000,-275.00000,-275.00000,-100.00000,-17.00000,-393.00000,-98.00000,14.00000,-100.00000
2021-12-31,146,141,6,147,174,25,-17,101,394,-108,0,20,-88,-256,0,-256,0,0,-98,11,-343,-40,15,-98
2021-09-30,190,78,8,86,6,-102,140,138,414,-67,0,-8,-75,-353,1,-352,0,0,-98,-12,-462,-131,11,-98
2021-06-30,197,80,-2,78,-172,-103,72,-174,101,-60,0,9,-51,0,-1,-1,0,0,-98,0,-99,-41,12,-98
2021-03-31,89.00000,86.00000,15.00000,101.00000,122.00000,-283.00000,-18.00000,-215.00000,-25.00000,-54.00000,,,-54.00000,-100.00000,,-100.00000,,,-100.00000,-39.00000,-239.00000,-332.00000,14.00000,-100.00000
2020-12-31,131,111,119,230,187,105,92,251,612,-101,1,10,-90,-320,0,-320,0,0,-98,33,-385,156,13,-98
2020-09-30,304,93,-25,68,-157,6,252,316,688,-64,15,-1,-50,-307,0,-307,0,0,-97,-9,-413,231,10,-97
2020-06-30,78,90,-7,83,-231,-3,120,-52,109,-36,0,4,-32,491,-331,160,0,0,-98,4,66,147,10,-98
