,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-142.39,-382.909,-10.113,-393.022,2.128,-19.894,-24.415,-559.827,678.008,-268.082,445.332,15.046,460.378,-20.566,849.738,216.2001,0,216.2001,-0.577,-0.577,420.199,27.57,663.392,953.303,-22.887,373.612
2022-09-30,20.112,138.781,17.1,155.881,-4.516,-64.207,-46.791,129.202,-189.214,-1,49.793,-3.955,45.838,10.5,-133.876,-5.4001,0,-5.4001,0.221,0.221,-185.901,56.484,-134.596,-139.27,3.886,-170.372
2022-06-30,68.903,122.774,4.145,126.919,5.887,65.764,63.789,259.611,-248.156,172.588,150.795,-6.52,144.275,10.066,78.773,-205.4,0,-205.4,0.222,0.222,-117.153,-40.99,-363.321,-24.937,5.846,-101.624
2022-03-31,53.37500,121.35400,-11.13200,110.22200,-3.49900,18.33700,7.41700,171.01400,-240.63800,96.49400,-645.92000,-4.57100,-650.49100,,-794.63500,-5.40000,,-5.40000,0.13400,0.13400,-117.14500,-43.06400,-165.47500,-789.09600,13.15500,-101.61600
2021-12-31,31.963,131.535,20.695,152.23,11.905,94.816,99.51,283.703,-177.382,39.721,0,-2.631,-2.631,0.579,-139.713,944.5999,0,944.5999,-1.218,-301.26,55.283,-1180.459,-481.836,-337.846,5.44,71.763
2021-09-30,71.765,103.302,36.334,139.636,-22.569,-224.262,-206.007,5.394,-198.505,-4.966,0,-6.009,-6.009,0.3,-209.18,-5.4,0,-5.4,0.224,291.419,-291.349,159.976,154.646,-49.14,5.51,-274.883
2021-06-30,76.832,91.64,6.439,98.079,11.554,69.658,73.613,248.524,-201.786,75.737,0,-1.541,-1.541,0.675,-126.915,732.8951,0,732.8951,0.224,0.224,-117.989,-175.012,440.118,561.727,6.154,-101.522
2021-03-31,26.99300,96.86800,63.89400,160.76200,-1.07700,27.66500,36.43000,224.18500,-157.72800,,,-4.81600,-4.81600,106.00500,-56.53900,-8.33100,,-8.33100,0.10200,0.10200,-117.93400,-16.24200,-142.40500,25.24100,21.22500,-101.46700
2020-12-31,-208.726,108.213,227.407,335.6201,21.763,65.297,105.986,232.88,-196.585,104.797,0,-2.803,-2.803,-116.624,-211.215,-52.6741,0,-52.6741,0.295,291.477,-115.529,95.092,218.366,240.031,9.039,-101.381
2020-09-30,68.736,108.337,-30.395,77.9419,1.771,-247.357,-223.033,-76.355,-156.527,501.119,0,-2.999,-2.999,-94.121,247.472,-501.5249,0,-501.5249,0.3,0.3,-113.841,70.946,-544.12,-373.003,6.17,-101.311
2020-06-30,-217.352,91.807,282.809,374.616,-7.926,85.881,59.003,216.267,-185.45,245.972,0,-1.027,-1.027,-84.213,-24.718,-7.962,0,-7.962,0.368,0.368,-151.203,163.281,4.484,196.033,7.703,-126.141
2020-03-31,-104.50300,92.70700,196.68100,289.38800,-20.93800,-104.84000,-133.43700,51.44800,-219.09600,191.21600,28.37500,-2.13000,26.24500,-97.70400,-99.33900,550.91200,,550.91200,4.76200,4.76200,-511.01700,63.41100,108.06800,60.17700,25.76500,-498.48600
2019-12-31,160.676,92.713,-82.07,10.643,2.122,86.683,93.249,264.568,-244.862,568.091,0,-1.777,-1.777,-86.724,234.728,-83.655,-407.126,-490.781,4.5,4.5,-73.484,422.044,-137.721,361.575,5.863,-60.951
2019-09-30,363.849,96.692,-284.413,-187.721,-15.351,-68.636,-71.009,105.119,-228.268,495.781,0.462,-7.905,-7.443,-145.033,115.037,-42.974,0,-42.974,0.357,0.357,-154.423,145.53,-51.51,168.646,5.871,-141.891
2019-06-30,2596.693,113.088,-2519.751,-2406.663,-11.924,72.536,38.704,228.734,-210.531,261.99,0.097,1741.086,1741.183,-82.425,1710.217,-1254.388,0,-1254.388,0.535,0.535,-187.599,-330.223,-1771.675,167.276,10.52,-175.067
2019-03-31,213.04400,116.61000,-179.42600,-62.81600,-0.83500,-95.70100,-86.11000,64.11800,-199.06100,533.99600,167.75500,-0.91800,166.83700,-98.47800,403.29400,-229.81400,,-229.81400,-7.18100,-8.07400,-138.41000,101.61500,-274.68300,192.72900,31.65400,-125.87600
2018-12-31,97.821,111.931,-20.358,91.573,-2.87,118.4,125.209,314.603,-215.095,140.189,4.101,-4.403,-0.302,-150.208,-225.416,-206.78,0,-206.78,-10.138,-10.138,-69.315,-5.859,-292.092,-202.905,5.532,-56.782
2018-09-30,219.162,109.64,-117.755,-8.115,-4.151,32.656,35.731,246.778,-139.354,-268.593,0,-6.065,-6.065,16.612,-397.4,7.647,0,7.647,0.791,0.791,-195.507,45.542,-141.527,-292.149,5.545,-182.972
2018-06-30,105.338,107.885,18.972,126.857,-1.809,-223.673,-256.353,-24.158,-157.247,32.194,0,-19.144,-19.144,79.911,-64.286,-0.245,0,-0.245,0.702,0.702,-133.249,15.127,-117.665,-206.109,6.976,-119.83
2018-03-31,0.28200,104.75600,86.63200,191.38800,-5.70200,59.61500,73.74800,265.41800,-141.09200,-44.09500,,-7.51900,-7.51900,2.08600,-190.62000,40.87900,,40.87900,2.98500,-467.01500,-136.39200,-9.01400,-571.54200,-496.74400,13.66900,-119.76400
2017-12-31,53.551,110.943,55.045,165.9879,-4.302,7.129,-21.022,198.517,-144.685,-18.766,0,-6.959,-6.959,18.388,-152.022,372.2579,0,372.2579,4.701,314.31,-191.436,-12.598,482.534,529.029,32.829,-175.306
2017-09-30,-10.754,106.586,157.807,264.393,1.511,56.62,91.769,345.408,-151.791,4.363,0,-5.858,-5.858,350.52,197.234,-161.025,0,-161.025,15.252,15.252,-152.575,-416.209,-714.557,-171.915,0,-136.447
2017-06-30,147.484,131.08,-20.993,110.087,1.947,-239.227,-242.639,14.932,-165.094,-10.67,0,-21.041,-21.041,101.93,-94.875,217.416,0,217.416,1.121,1.121,-176.231,12.321,54.627,-25.316,0,-160.102
2017-03-31,73.84700,134.42700,22.97200,157.39900,2.02700,68.68200,70.03900,301.28500,-165.59000,4.00900,,-6.67900,-6.67900,11.60600,-156.65400,-4.45800,,-4.45800,8.22000,8.22000,-150.46100,-14.24900,-160.94800,-16.31700,,-134.33200
2016-12-31,704.544,137.704,-475.686,-337.982,-4.884,52.503,56.104,422.666,-305.498,15.497,3.937,-14.811,-10.874,93.811,-207.064,99.858,0,99.858,1.249,1.249,-170.764,-11.261,-80.918,134.684,0,-154.633
2016-09-30,100.604,134.634,-10.914,123.72,-1.745,32.871,29.285,253.609,-241.133,7.785,0,-22.138,-22.138,10.382,-245.104,115.919,0,115.919,3.21,-243.04,-154.099,-1.342,-282.562,-274.057,0,-130.82
2016-06-30,268.382,136.589,-137.008,-0.419,1.558,-216.108,-220.69,47.273,-242.953,66.859,-4.379,-27.471,-31.85,2.139,-205.805,315.248,0,315.248,1.286,1.286,-201.12,-0.9,114.514,-44.018,0,-180.757
2016-03-31,-91.60800,133.14100,170.66000,303.80100,0.80000,45.76500,59.33900,271.53200,-204.52600,1.92900,,-63.18800,-63.18800,30.64800,-235.13700,-22.11700,,-22.11700,2.33800,2.33800,-160.70500,-16.70400,-197.18800,-160.79300,,-140.34100
2015-12-31,283.544,112.578,-188.991,-76.413,6.474,34.393,21.435,228.566,-229.801,241.155,0,-90.549,-90.549,-172.846,-252.041,1195.511,0,1195.511,-5.967,-5.967,-148.299,-48.904,992.341,968.866,0,-127.934
2015-09-30,235.24,127.766,-147.154,-19.388,6.943,15.473,43.057,258.909,-208.933,33.561,0,16.494,16.494,153.097,-5.781,197.897,0,197.897,4.529,4.529,-155.44,-28.314,18.672,271.8,0,-135.076
2015-06-30,215.4,128.452,-99.778,28.674,-6.026,-234.199,-253.974,-9.9,-195.98,-331.123,0,-137.472,-137.472,40.102,-624.473,246.317,0,246.317,-1.274,-1.274,-156.238,-5.663,83.142,-551.231,0,-135.873
