,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-02-28,-1364,-447,-634,-1081,-415,737,-487,0,-165,-2610,1057,0,-21,0,-21,21,1057,0,0,0,141,141,400,322,863,-653,-402,400
2022-11-30,1364.00000,447.00000,634.00000,1081.00000,415.00000,-737.00000,487.00000,,165.00000,2610.00000,-1057.00000,,21.00000,,21.00000,-21.00000,-1057.00000,,,,-141.00000,-141.00000,-400.00000,-322.00000,-863.00000,653.00000,402.00000,-400.00000
2022-08-31,1878,594,247,841,549,-370,125,-517,-213,2506,-1259,0,-228,0,-228,0,-1487,0,99,99,-185,-185,-1005,-849,-1940,-990,118,-1005
2022-05-31,1372,438,143,581,0,-1311,796,-211,-726,1227,-854,0,-176,0,-176,-5,-1035,0,-89,-89,-139,-139,-351,-97,-676,-626,90,-351
2022-02-28,1320,436,181,617,-283,438,-2419,728,-1536,401,-723,0,242,0,242,0,-481,-800,-10,-810,-78,-78,0,60,-828,-932,128,0
2021-11-30,1345.00000,432.00000,569.00000,1001.00000,283.00000,-2760.00000,3389.00000,,912.00000,3258.00000,-1055.00000,,186.00000,,186.00000,-43.00000,-912.00000,,,,-37.00000,-37.00000,-350.00000,-452.00000,-839.00000,1493.00000,388.00000,-350.00000
2021-08-31,1694,559,353,912,1057,-361,582,-944,334,2940,-1094,0,-38,0,-38,-23,-1155,-94,-1,-95,-129,-129,-698,203,-719,1032,115,-698
2021-05-31,1233,402,182,584,0,-51,1065,502,1516,3333,-1028,0,-286,0,-286,-29,-1343,0,68,68,-181,-181,-310,4,-419,1589,87,-310
2021-02-28,971,416,167,583,-464,1100,-2594,442,-1516,38,-573,0,228,0,228,-10,-355,0,-107,-107,-106,-106,-4430,-7,-4650,-4953,122,-4430
2020-11-30,1181.00000,404.00000,393.00000,797.00000,464.00000,-2580.00000,2785.00000,,669.00000,2647.00000,-893.00000,,211.00000,,211.00000,,-682.00000,,40.00000,40.00000,-80.00000,-80.00000,-310.00000,-350.00000,-700.00000,1313.00000,341.00000,-310.00000
2020-08-31,1404,505,363,868,728,-1056,2832,-534,1970,4242,-852,-30,-63,0,-63,4,-941,-1500,145,-1355,-85,-85,-619,141,-1918,1451,111,-619
2020-05-31,852,382,85,467,0,659,-34,-46,579,1898,-698,-1133,-26,0,-26,7,-1850,3492,-128,3364,-34,-34,-287,-44,2999,3040,89,-287
2020-02-29,947,389,150,539,-236,1990,-3201,580,-867,619,-545,0,65,0,65,10,-470,-1200,-139,-1339,-47,-47,0,-6,-1392,-1241,118,0
2019-11-30,856.00000,369.00000,361.00000,730.00000,236.00000,-2384.00000,2664.00000,,516.00000,2102.00000,-715.00000,,76.00000,,76.00000,9.00000,-630.00000,,122.00000,122.00000,-30.00000,-30.00000,-573.00000,-355.00000,-836.00000,643.00000,301.00000,-573.00000
2019-08-31,1110,473,292,765,623,-127,322,-400,418,2293,-1009,0,90,0,90,-1,-920,298,44,342,-52,-52,-286,-5,-1,1371,113,-286
2019-05-31,916,336,91,427,-362,40,684,400,762,2105,-672,0,-117,0,-117,15,-774,0,-96,-96,-46,-46,-251,-4,-397,933,93,-251
2019-02-28,901,352,133,485,26,875,-2506,0,-1605,-219,-587,0,140,0,140,13,-434,0,69,69,-117,-117,0,-1,-49,-698,119,0
2018-11-30,777.00000,331.00000,235.00000,566.00000,336.00000,-1324.00000,1822.00000,,834.00000,2177.00000,-730.00000,,24.00000,,24.00000,-31.00000,-737.00000,-89.00000,193.00000,104.00000,-32.00000,-32.00000,-501.00000,-271.00000,-700.00000,723.00000,270.00000,-501.00000
2018-08-31,1053,431,82,513,421,-485,401,-349,-12,1554,-1056,0,-46,0,-46,7,-1095,-28,103,75,-90,-90,-250,-2,-267,178,113,-250
2018-05-31,762,327,115,442,0,-26,674,253,901,2105,-585,0,-117,0,-117,8,-694,0,10,10,-54,-54,-219,-3,-266,1096,85,-219
2018-02-28,713,344,65,409,0,613,-1572,-54,-1013,109,-508,0,142,0,142,-7,-373,0,-410,-410,-60,-60,-220,0,-690,-908,112,-220
2017-11-30,651.00000,335.00000,227.00000,562.00000,,-1415.00000,2058.00000,150.00000,793.00000,2006.00000,-820.00000,,39.00000,,39.00000,-4.00000,-785.00000,-58.00000,377.00000,319.00000,-124.00000,-124.00000,,-253.00000,-58.00000,1143.00000,234.00000,0.00000
2017-08-31,932,441,86,527,0,58,24,293,375,1834,-779,0,-39,0,-39,2,-816,2682,7,2689,-233,-233,-3508,-25,-1077,8,110,-3508
2017-05-31,706,320,67,387,0,-217,655,75,513,1606,-540,0,36,0,36,6,-498,-1100,29,-1071,-46,-46,-198,-1,-1316,-206,82,-198
2017-02-28,521,312,148,460,-47,1248,-2128,439,-488,493,-516,0,95,0,95,24,-397,0,-94,-94,-68,-68,0,-3,-165,-61,111,0
2016-11-30,555.00000,297.00000,170.00000,467.00000,47.00000,-1983.00000,3707.00000,,1771.00000,2793.00000,-667.00000,,14.00000,,14.00000,-2.00000,-655.00000,,-178.00000,-178.00000,-122.00000,-122.00000,-198.00000,-162.00000,-660.00000,1426.00000,211.00000,-198.00000
2016-08-31,785,408,200,608,0,-33,-1484,-45,-1562,-169,-849,0,-204,0,-204,28,-1025,3,208,211,-356,-356,-394,208,-331,-1505,97,-394
2016-05-31,549,291,268,559,0,106,434,211,751,1859,-461,0,94,0,94,-1,-368,94,-80,14,-137,-137,-176,-2,-301,1251,75,-176
2016-02-29,555,285,102,387,10,1375,-1917,381,-151,791,-624,0,0,0,0,4,-620,-1200,-110,-1310,148,148,-176,-225,-1563,-1421,101,-176
2015-11-30,487.00000,271.00000,101.00000,372.00000,-10.00000,-1473.00000,1435.00000,,-48.00000,811.00000,-715.00000,,387.00000,,387.00000,-4.00000,-332.00000,,63.00000,63.00000,-361.00000,-361.00000,,74.00000,-224.00000,253.00000,186.00000,0.00000
2015-08-31,778,351,15,366,557,-210,94,-557,-116,1028,-805,0,106,0,106,-6,-705,95,31,126,-256,-256,-351,0,-481,-262,93,-351
2015-05-31,519,262,40,302,0,-285,549,144,408,1229,-421,0,-153,0,-153,-21,-595,1037,-14,1023,-124,-124,-2358,-11,-1470,-803,65,-2358
2015-02-28,607,260,81,341,-186,933,-1208,413,-48,900,-612,0,64,0,64,21,-527,-8,-77,-85,-84,-84,-156,60,-265,-103,86,-156
2014-11-30,505.00000,254.00000,66.00000,320.00000,186.00000,-1328.00000,1445.00000,,303.00000,1128.00000,-555.00000,,-84.00000,,-84.00000,-14.00000,-653.00000,,15.00000,15.00000,-195.00000,-195.00000,,72.00000,-108.00000,231.00000,150.00000,
2014-08-31,705,321,9,330,699,21,-74,-839,-193,842,-567,0,-41,0,-41,2,-606,117,91,208,-185,-185,-311,44,-244,2,76,-311
2014-05-31,479,237,75,312,0,-187,660,226,699,1490,-405,0,-187,0,-187,-4,-596,0,-26,-26,-161,-161,-136,5,-318,606,66,-136
2014-02-28,473,240,60,300,-328,1023,-1368,613,-60,713,-447,0,396,0,396,-14,-65,0,-26,-26,6,6,-137,4,-153,431,73,-137
2013-11-30,431.00000,231.00000,58.00000,289.00000,328.00000,-1420.00000,1311.00000,,219.00000,939.00000,-574.00000,,-265.00000,,-265.00000,13.00000,-826.00000,,22.00000,22.00000,-158.00000,-158.00000,,65.00000,-71.00000,55.00000,112.00000,
2013-08-31,622,295,64,359,386,-303,80,-581,-418,563,-704,0,-440,0,-440,9,-1135,107,-13,94,-48,-48,-249,31,-172,-804,75,-249
2013-05-31,464,221,31,252,-276,-73,401,581,633,1349,-436,0,176,0,176,-1,-261,114,-28,86,9,9,-120,6,-19,1035,51,-120
2013-02-28,554,217,70,287,95,533,-1046,0,-418,423,-455,0,496,0,496,-41,0,3496,-237,3259,24,24,-3169,0,114,516,66,-3169
2012-11-30,421.00000,213.00000,59.00000,272.00000,181.00000,-1055.00000,1283.00000,,409.00000,1102.00000,-488.00000,,-419.00000,,-419.00000,52.00000,-855.00000,,247.00000,247.00000,-142.00000,-142.00000,-22.00000,38.00000,121.00000,369.00000,93.00000,-22.00000
2012-08-31,622,292,49,341,332,-56,-56,-453,-233,730,-580,0,165,-303,-138,-1,-719,3,45,48,-142,-142,-398,-778,-1270,-1263,62,-398
2012-05-31,405,202,47,249,-386,-107,469,453,429,1083,-268,0,92,112,204,-1,-65,-902,489,-413,-111,-111,-104,9,-619,402,45,-104
2012-02-29,412,209,72,281,218,735,-1066,0,-113,580,-296,0,104,96,200,-4,-100,51,-271,-220,-135,-135,-105,1,-459,70,58,-105
2011-11-30,328.00000,205.00000,34.00000,239.00000,168.00000,-1062.00000,991.00000,,97.00000,664.00000,-336.00000,,-106.00000,95.00000,-11.00000,-5.00000,-352.00000,78.00000,194.00000,272.00000,-242.00000,-242.00000,,37.00000,67.00000,310.00000,76.00000,
2011-08-31,500,273,166,439,370,-285,286,-369,2,941,-481,0,392,137,529,10,58,0,-550,-550,-265,-265,-210,10,-1015,-73,55,-210
2011-05-31,341,196,19,215,0,-206,418,43,255,811,-277,0,-151,51,-100,0,-377,0,354,354,-37,-37,-90,14,241,727,43,-90
2011-02-28,369,195,44,239,0,761,-861,218,118,726,-233,0,-663,177,-486,-5,-724,0,-415,-415,-13,-13,0,12,-416,-384,52,0
2010-11-30,332.00000,191.00000,40.00000,231.00000,,-912.00000,961.00000,108.00000,157.00000,720.00000,-299.00000,,-240.00000,237.00000,-3.00000,165.00000,-137.00000,,71.00000,71.00000,-85.00000,-85.00000,-89.00000,16.00000,-87.00000,525.00000,57.00000,-89.00000
2010-08-31,437,246,52,298,283,-93,13,-327,-124,611,-410,0,-923,240,-683,-10,-1103,-1,-117,-118,-410,-410,-180,1,-707,-1199,51,-180
2010-05-31,311,180,32,212,0,-183,328,141,286,809,-137,0,-338,69,-269,0,-406,-44,25,-19,-28,-28,-79,3,-123,279,39,-79
2010-02-28,305,185,29,214,0,858,-767,-1,90,609,-192,0,-12,0,-12,-6,-210,-4,76,72,39,39,0,5,116,517,48,0
2009-11-30,270.00000,184.00000,34.00000,218.00000,,-795.00000,871.00000,187.00000,263.00000,751.00000,-312.00000,,8.00000,,8.00000,8.00000,-296.00000,-35.00000,29.00000,-6.00000,41.00000,41.00000,-79.00000,39.00000,-5.00000,460.00000,52.00000,-79.00000
2009-08-31,378,241,89,330,142,-48,-8,-245,-159,549,-351,0,-148,188,40,-12,-323,-2,-29,-31,16,16,-157,-7,-179,74,49,-157
2009-05-31,212,171,62,233,0,-226,270,204,248,693,-225,0,10,-5,5,1,-219,-2,-55,-57,20,20,-70,-2,-109,378,43,-70
2009-02-28,509,316,111,427,0,-120,-7,41,-86,850,-667,0,112,0,112,-4,-559,-2,-46,-48,-36,-36,-69,2,-151,86,89,-69
