,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,85.6,43.8,74.3,118.1,-68.6,-14,-21,30,-74.9,106.1,-6.7,0,-54.3,0,0,0,-13.1,-74.1,-68.8,-68.8,-8.8,-8.8,-6.4,-84,-37.7,27.2
2022-09-30,85.8,41.1,9.5,50.6,14.7,-27.1,4.1,-48.4,-63.2,83.3,-8.1,0,-314.3,0,0,0,-2.1,-324.5,293.4,293.4,-73.1,-73.1,0,220.3,-41.4,31.9
2022-06-30,168,42.3,-72.2,-29.9,33.1,-29.7,-15.7,-102.1,-85.2,48.8,-13.9,0,210.5,0,0,0,-10.9,185.7,0,0,-219.3,-219.3,-6.3,-225.6,-7.1,33
2022-03-31,110.30000,44.60000,11.50000,56.10000,-34.60000,-42.70000,7.80000,115.00000,-30.10000,153.00000,-14.50000,,,,,,1.10000,-13.40000,,,-107.10000,-107.10000,-2.60000,-109.70000,31.50000,28.30000
2021-12-31,115.3,43.9,28.4,72.3,-42.7,-44.5,9.5,22.1,-26.6,155.3,-35.4,0,-234.9,0,0,0,15.8,-254.5,-28.2,-28.2,-56.2,-56.2,-0.1,-84.5,-187.5,27.5
2021-09-30,124,44.4,8.7,53.1,-1.5,-28.1,11.6,-13.6,-12.8,166.4,-10,0,20.1,0,0,0,-2,8.1,-58.4,-58.4,-81.6,-81.6,-0.1,-140.1,28.8,32.3
2021-06-30,138.9,45.5,6.3,51.8,-4.8,0.6,24.7,-49.3,2.5,200.6,9.9,0,46,0,0,0,-3.8,52.1,-9.5,-9.5,-25.3,-25.3,-1.4,-36.2,219.8,35.6
2021-03-31,114.60000,46.10000,27.60000,73.70000,40.00000,-0.90000,14.50000,15.10000,43.70000,228.20000,-10.60000,,,,,,1.40000,-9.20000,-154.90000,-154.90000,-32.00000,-32.00000,,-186.90000,26.90000,27.20000
2020-12-31,180.7,47.9,-11.4,36.5,-122.4,14.1,11,85.8,-2.7,188.3,-12.1,0,24.5,0,0,0,-0.1,12.3,-132.7,-132.7,-18.9,-18.9,-5.6,-157.2,53.7,25.9
2020-09-30,84.8,49.9,25.1,75,-7.3,14.1,4.4,-22.4,5.8,180.5,-15.4,0,-0.9,0,0,0,-0.4,-16.7,-170.7,-170.7,-11.4,-11.4,-0.1,-182.2,-12.4,27.8
2020-06-30,63.2,49.5,30.3,79.8,67.8,-12.8,-18.3,-56.7,1.7,147.5,-12.6,0,0,0,0,0,-0.4,-13,-146.1,-146.1,-4,-4,-10.4,-160.5,-20.4,18.6
2020-03-31,61.90000,50.20000,16.30000,66.50000,47.90000,-20.40000,-12.80000,16.70000,18.80000,155.70000,-16.70000,,-198.00000,,,,0.30000,-214.40000,137.30000,137.30000,-37.30000,-37.30000,-0.40000,99.60000,27.60000,10.70000
2019-12-31,279.4,48.9,-217.4,-168.5,-112.8,-23,0.9,121.7,-7.3,122.2,-14,0,-191.7,0,0,0,-0.9,-206.6,88.1,88.1,0.7,0.7,-4.2,84.6,4.6,22.9
2019-09-30,78.1,50.2,33.1,83.3,24.5,-5.7,9.8,-20.7,-15.9,137.3,-16.1,0,-33.2,0,0,0,0.4,-48.9,10.8,10.8,-105.8,-105.8,-2.9,-97.9,-15,18.6
2019-06-30,94.6,53.6,12.3,65.9,6.1,14.2,0.4,-31.5,17.7,177.9,-24,0,-0.3,0,0,0,14.1,-10.2,-153.6,-153.6,-31.2,-31.2,-0.2,-185,-17.1,17.2
