,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2017-12-31,20,362,48,410,-8,-6,170,189,619,-365,-7147,1,-7511,-28,980,952,0,0,-457,-2,493,-6399,25,-427
2017-09-30,115,299,27,326,-12,-11,73,41,482,-289,-9,2,-296,1717,-350,1367,3757,5365,-386,-16,6330,6516,22,-386
2017-06-30,112,298,27,325,-2,13,17,52,489,-301,-607,-4,-912,316,15,331,441,441,-348,-4,420,-2,23,-348
2017-03-31,119.00000,291.00000,24.00000,315.00000,93.00000,-30.00000,-42.00000,8.00000,442.00000,-262.00000,-1497.00000,-4.00000,-1763.00000,969.00000,335.00000,1304.00000,,,-348.00000,-7.00000,949.00000,-372.00000,22.00000,-348.00000
2016-12-31,124.737,276.982,37.882,314.8641,-97.231,23.469,103.715,42.684,482.285,-259.822,-11.838,-17.757,-289.417,-26.459,-410,-436.459,1001.961,1001.961,-353.381,-0.569,211.552,404.591,18.598,-342.372
2016-09-30,98.365,284.124,41.435,325.5589,-46.545,-5.754,27.604,-37.39,386.534,-221.181,-51.23,9.762,-262.649,165.4529,-25,140.4529,-0.299,-0.299,-309.779,0.262,-169.363,-46.119,20.267,-298.782
2016-06-30,86.058,279.808,45.253,325.061,25.785,2.702,21.653,69.406,480.525,-199.508,-471.903,2.223,-669.188,314.6472,225,539.6472,-0.106,-0.106,-309.753,-15.385,214.403,26.636,20.24,-298.756
2016-03-31,47.84000,282.08600,62.43000,344.51600,58.99100,-9.41700,-14.97200,45.30000,437.65600,-193.48900,-22.02900,7.77200,-207.74600,606.35890,-915.00000,-308.64110,299.44400,299.44400,-310.08700,-26.30800,-345.59200,-3.10800,19.89500,-299.09000
2015-12-31,142.725,274.289,-16.216,258.073,13.371,3.023,88.166,102.351,503.149,-250.652,-18.86,-1.577,-271.089,-24.817,110,85.183,-0.081,-0.081,-306.3849,-14.204,-235.487,-5.306,16.062,-295.388
2015-09-30,104.301,270.252,15.116,285.368,-60.934,-9.803,50.949,-17.671,371.998,-237.357,-1018.594,6.519,-1249.432,-24.3309,1015,990.6691,-0.086,-0.086,-284.6821,18.275,724.176,-154.493,14.58,-273.685
2015-06-30,166.526,265.221,-44.045,221.176,24.355,8.411,46.982,78.118,465.82,-219.23,-47.232,46.909,-219.553,-91.5581,-860,-951.5581,-0.118,-0.118,-284.683,-15.565,-1251.924,98.456,14.887,-273.686
2015-03-31,111.73400,263.54200,19.53500,283.07700,35.87600,-6.91800,27.53500,58.24700,453.05800,-201.65300,-17.49300,-0.51400,-219.66000,-31.49700,165.00000,133.50300,-29.37200,-29.37200,-284.68200,8.31000,-172.24100,64.53300,15.24400,-273.68500
2014-12-31,128.629,266.348,-15.409,250.939,-13.037,-15.756,99.596,69.703,449.271,-259.575,-287.295,0.69,-546.18,-30.229,341,310.771,-0.094,-0.094,-284.759,-9.872,16.046,-62.93,12,-273.762
2014-09-30,99.156,267.043,11.85,278.893,-9.637,51.723,6.66,49.941,427.99,-199.662,-88.568,0.409,-287.821,-30.812,20,-10.812,-0.048,-0.048,-127.848,15.431,-123.277,11.071,12.124,-116.851
2014-06-30,15.736,262.172,54.81,316.982,-59.338,-13.085,98.071,27.935,360.653,-156.355,-23.56,1.426,-178.489,-18.795,-34,-52.795,-0.313,-0.313,-127.852,-0.337,-181.297,26.942,15.417,-116.855
2014-03-31,102.79300,271.07200,11.58300,282.65500,4.89600,-10.60100,-16.43900,-23.16500,362.28300,-142.94300,-62.22800,0.95200,-204.21900,-27.73900,-6.00000,-33.73900,-21.41700,-21.41700,-128.19200,8.88900,-174.45900,-22.85700,11.95600,-116.82900
2013-12-31,-56.581,189.828,107.303,297.131,-18.337,20.386,88.583,91.643,332.193,-149.327,-4876.621,-0.325,-5026.273,676.6641,119,795.6641,2980.345,3931.231,0,-38.764,4688.131,4.745,9.696,0
2013-09-30,46.468,216.178,45.488,261.666,-34.042,5.552,21.779,-29.295,278.839,-130.662,-27.851,0.957,-157.556,773.098,-791,-17.902,-0.35,-0.35,0,-10.649,-28.901,91.763,9.862,0
2013-06-30,53.377,211.202,49.046,260.248,8.161,9.272,-64.642,-40.224,273.401,-138.467,-14.47,6.497,-146.44,-25.869,-42,-67.869,-75.288,-75.288,0,-16.453,-159.61,-33.979,9.443,0
2013-03-31,16.73700,223.37900,65.15800,288.53700,-19.80800,-6.54500,-19.87300,-18.64800,286.62600,-116.35300,-12.81000,0.14700,-129.01600,-669.75500,-165.00000,-834.75500,-23.57900,-23.57900,,421.84700,-436.48700,-280.49900,10.02900,
2012-12-31,-9.644,210.924,58.422,269.3459,-54.357,35.037,9.712,-11.603,248.099,-157.997,-2523.237,0.018,-2681.216,1849.538,1253,3102.538,-0.04,-0.04,0,-346.682,2755.816,322.461,8.371,0
2012-09-30,43.178,180.356,48.486,228.842,-17.988,1.994,-46.335,-71.904,200.116,-123.689,-36.922,0.056,-160.555,-24.835,0,-24.835,-0.31,-0.31,0,6.895,-18.25,22.728,16.468,0
2012-06-30,117.084,176.797,-51.168,125.629,-24.145,-2.25,-63.091,-80.583,162.13,-94.645,-978,-0.007,-1072.652,-67.214,0,-67.214,-0.154,-0.154,0,11.672,-55.696,-967.509,8.07,0
2012-03-31,50.27000,163.86500,23.96400,187.82900,-2.08000,-0.23800,-62.71600,-75.88700,162.21200,-65.05200,-221.31600,1.19500,-285.17300,1432.98400,-251.00000,1181.98400,-35.28100,-35.28100,-2.48100,-39.28900,1104.93300,983.56400,9.03500,
2011-12-31,48.939,164.686,13.478,178.1639,-12.089,2.216,-39.176,-38.923,188.18,-82.827,-19.554,0.003,-102.378,-9.319,-54,-63.319,-2.011,-2.011,-4.774,-10.092,-80.196,4.596,7.673,0
2011-09-30,51.383,164.262,15.451,179.713,-8.786,-2.619,-38.155,-59.631,171.465,-148.425,-5.622,-15.204,-169.251,-9.234,117,107.766,-108.04,-123.042,-4.774,-14.935,-34.985,-32.592,7.683,0
2011-06-30,31.014,163.872,22.649,186.521,-3.066,2.377,-71.367,-61.24,156.295,-64.04,-11.94,0.536,-75.444,-8.271,81,72.729,-150.232,-150.232,-4.97,27.532,-54.941,25.796,7.758,0
2011-03-31,40.12400,163.07400,12.06500,175.13900,6.53400,-9.47100,-74.14200,-87.74900,127.51400,-52.65000,-0.43500,0.29300,-52.79200,-8.52100,-50.00000,-58.52100,-41.57400,-41.57400,-4.96900,-0.52600,-105.59000,-30.21100,9.49600,
2010-12-31,40.905,162.979,17.716,180.6949,-4.358,7.011,-39.123,-25.825,195.775,-79.784,-12.186,-0.521,-92.491,-8.116,157,148.884,-10.31,-10.31,-4.97,-428.995,-295.391,-191.448,10.355,0
2010-09-30,-135.15,158.402,177.24,335.6421,-2.281,1.487,-30.094,-41.044,159.448,-58.483,-126.343,-23.212,-186.238,148.7439,0,148.7439,7.889,7.889,-4.969,-63.638,88.026,61.892,8.042,0
2010-06-30,-97.614,153.105,118.127,271.232,-8.496,1.583,-12.468,-9.668,163.95,-54.67,-0.629,0,-55.299,-4.4539,0,-4.4539,-36.586,-36.586,-4.971,-217.212,-263.223,-155.409,9.88,0
2010-03-31,-119.40000,151.73900,136.60700,288.34600,3.48200,-8.37900,-65.30500,-84.68900,84.25700,-35.12100,,,-56.92100,-253.88400,,-253.88400,-101.90100,-101.90100,-4.96900,-35.28200,-396.03600,-368.65000,8.26300,
2009-12-31,18.732,151.311,1.767,153.078,-10.873,8.554,-95.776,5.773,177.583,-65.612,-0.017,3.988,-61.641,436.0659,0,436.0659,26.535,26.535,-4.97,-76.44,381.191,497.315,7.415,0
2009-09-30,-31.138,148.407,46.411,194.818,3.191,-3.217,55.251,-39.465,124.215,-32.187,-2.581,0,-33.029,-162.0491,0,-162.0491,6.951,6.951,-4.97,2.788,-157.28,-66.158,6.779,0
2009-06-30,-111.767,147.798,116.567,264.365,-1.226,1.016,-29.94,-1.198,151.4,-38.883,0,0,-40.622,-331.2999,0,-331.2999,5.538,5.538,-4.969,-53.132,-383.863,-274.348,8.055,0
2009-03-31,10.05000,143.58000,-8.49100,135.08900,4.07800,-8.05600,-37.67800,-27.08100,118.05800,-36.85300,,,-36.85300,585.41200,-169.40000,416.01200,3.02200,3.02200,-4.96900,-39.71700,374.34800,454.11800,6.97600,
