,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,414,438,44,482,-8,10,-121,-56,840,-389,-20,3,-406,-19,242,223,-1,-1,-678,0,-456,-20,36,-678
2022-09-30,419,432,46,478,-20,-2,-113,-196,701,-337,0,0,-337,-19,202,183,-1,-1,-637,-6,-461,-99,37,-637
2022-06-30,421,430,56,486,-12,5,-184,-128,779,-303,-12,-5,-320,-18,160,142,0,0,-637,0,-495,-36,45,-637
2022-03-31,421.00000,424.00000,80.00000,504.00000,40.00000,-13.00000,-329.00000,-367.00000,558.00000,-281.00000,-3.00000,-5.00000,-289.00000,-544.00000,1012.00000,468.00000,-63.00000,-63.00000,-650.00000,-8.00000,-253.00000,16.00000,38.00000,-650.00000
2021-12-31,353,419,44,463,-51,-1,-72,-82,734,-337,-84,0,-421,-19,265,246,-1,-1,-635,1,-389,-76,29,-635
2021-09-30,350,416,39,455,-59,9,-32,-121,684,-283,-12,0,-295,-319,590,271,-1,-1,-575,-4,-309,17,33,-575
2021-06-30,334,411,47,458,-21,30,-86,-5,787,-307,-11,13,-305,736,-545,191,-1,-1,-575,-10,-395,87,34,-575
2021-03-31,121.00000,411.00000,190.00000,601.00000,18.00000,-23.00000,-41.00000,-138.00000,584.00000,-302.00000,-4.00000,-5.00000,-311.00000,422.00000,45.00000,467.00000,-67.00000,-67.00000,-588.00000,-29.00000,-217.00000,57.00000,33.00000,-588.00000
2020-12-31,508,403,96,499,25,-36,-88,-22,985,-386,-21,2,-405,-25,-20,-45,-1,-1,-574,0,-620,-40,30,-574
2020-09-30,162,407,133,540,-16,0,34,-41,661,-377,-70,1,-446,-2517,595,-1922,-1,-1,-545,0,-2468,-2252,33,-517
2020-06-30,201,404,44,448,55,-21,10,107,756,-414,-3,-5,-422,3706,-1270,2436,-1,-1,-530,-38,1867,2201,38,-501
2020-03-31,185.00000,400.00000,42.00000,442.00000,102.00000,-20.00000,-6.00000,26.00000,653.00000,-447.00000,-13.00000,-8.00000,-468.00000,-26.00000,590.00000,564.00000,-73.00000,-73.00000,-541.00000,,-50.00000,134.00000,37.00000,-513.00000
2019-12-31,208,397,26,423,70,-18,66,177,808,-520,-2,-10,-532,-28,290,262,0,85,-610,0,-263,13,26,-497
2019-09-30,243,388,32,420,-77,31,102,0,663,-539,-2,2,-539,877,-595,282,-1,-86,-414,-10,-228,-104,29,-471
2019-06-30,216,393,41,434,-46,11,41,65,715,-518,-3,0,-521,-12,340,328,-1,-1,-496,-4,-173,21,33,-467
2019-03-31,193.00000,395.00000,39.00000,434.00000,-43.00000,-5.00000,-26.00000,-115.00000,512.00000,-480.00000,-10.00000,1.00000,-489.00000,959.00000,-430.00000,529.00000,-42.00000,-42.00000,-505.00000,-10.00000,-28.00000,-5.00000,29.00000,-477.00000
2018-12-31,164,391,32,423,-31,6,116,138,725,-498,-16,2,-512,-30,270,240,-841,0,-495,2,-253,-40,24,-467
2018-09-30,164,386,75,461,-15,28,79,39,664,-478,-8,-17,-503,-57,490,433,0,0,-464,-13,-44,117,32,-436
2018-06-30,180,381,32,413,-54,8,62,66,659,-393,-4,3,-394,-15,215,200,-3,-3,-465,-5,-273,-9,24,-436
2018-03-31,114.00000,376.00000,100.00000,476.00000,-5.00000,-5.00000,-100.00000,-138.00000,452.00000,-370.00000,-14.00000,,-384.00000,393.00000,-880.00000,-487.00000,810.00000,810.00000,-471.00000,-15.00000,-163.00000,-95.00000,23.00000,-443.00000
