,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-148.171,14.878,65.498,80.376,-15.157,-62.241,65.753,-11.645,-79.44,-29.245,0,0,-5.022,-5.022,-2.223,-36.49,65.347,65.347,65.347,-44.884,64.317
2022-09-30,-190.816,19.28,61.943,81.223,-48.714,-45.616,118.194,23.864,-85.729,-15.934,0,0,85.0851,85.0851,-4.18,64.971,18.389,18.389,18.389,-6.453,58.938
2022-06-30,-134.827,20.706,57.716,78.422,-37.032,-43.607,65.274,-15.365,-71.77,-14.764,0,0,201.613,201.613,-13.756,173.093,14.96,14.96,14.96,113.827,54.129
2022-03-31,-136.49400,20.22900,46.84700,67.07600,-11.75300,-75.08400,-60.55700,-147.39400,-216.81200,-17.39700,,,44.06000,44.06000,,26.66300,26.66400,26.66400,26.66400,-163.83800,43.91300
2021-12-31,-174.628,22.662,57.808,80.47,-2.087,-19.288,-167.85,-189.225,-283.383,-13.575,0,0,14.5571,14.5571,0,0.982,22.347,22.347,22.347,-260.339,52.109
2021-09-30,-293.847,22.685,40.091,62.776,-7.429,-18.191,238.837,213.217,-17.854,-16.352,0,0,284.124,284.124,0,267.772,22.44,22.44,22.44,271.739,45.057
2021-06-30,-84.576,24.097,33.057,57.154,-43.912,-16.593,15.483,-45.022,-72.444,-14.888,0,0,113.733,113.733,0,98.845,13.201,13.201,13.201,39.722,37.727
2021-03-31,-121.42000,25.11500,37.96500,63.08000,-10.84000,-30.45500,-25.69100,-66.98600,-125.32600,-7.51500,,,-71.20000,-71.20000,,-78.71500,19.79100,19.79100,19.79100,-184.71200,38.22400
2020-12-31,167.095,22.209,37.696,59.905,-31.561,-19.409,13.114,-37.856,189.144,-16.51,0,0,-1307.062,-1307.062,0,-1323.572,773.335,773.335,773.335,-361.03,39.775
2020-09-30,636.167,18.503,39.052,57.555,-3.093,-6.725,138.863,129.045,822.767,-18.753,0,0,-21.574,-21.574,0,-40.327,19.502,19.502,19.502,802.134,39.052
2020-06-30,-21.19,17.794,-35.894,-18.1,-65.461,-5.262,23.729,-46.994,-86.284,-21.89,0,0,-55.041,-55.041,0,-76.931,31.485,31.485,31.485,-131.796,34.789
2020-03-31,-168.40200,7.98200,92.69600,100.67800,11.38800,1.19200,-13.91500,-1.33500,-69.05900,-25.25600,,,47.07400,47.07400,,21.81800,21.78600,21.78600,21.78600,-25.44600,33.61700
2019-12-31,25.83,7.195,-10.927,-3.732,-45.683,6.102,5.632,-33.949,-11.851,-18.99,0,0,84.144,84.144,0,65.154,27.793,27.793,27.793,81.096,47.602
2019-09-30,-91.913,6.665,33.565,40.23,-8.054,-18.884,17.975,-8.963,-60.646,-18.432,0,0,-363.565,-363.565,0,-381.997,571.997,571.997,571.997,129.354,27.875
2019-06-30,-79.238,7.373,68.85,76.223,-25.309,-5.914,0.225,-30.998,-34.013,-20.797,0,0,23.426,23.426,0,2.629,11.226,11.226,11.226,-20.158,26.157
2019-03-31,-13.32900,7.36500,-12.41000,-5.04500,-10.67400,-13.99700,-14.18200,-38.85300,-57.22700,-12.53400,,,49.01900,49.01900,,36.48500,26.82600,26.82600,26.82600,6.08400,25.71500
2018-12-31,-119.805,5.841,57.586,63.427,6.239,21.933,3.921,32.093,-24.285,-6.278,0,0,-9.977,-9.977,0,-16.255,3.269,3.269,3.269,-37.271,25.693
2018-09-30,-67.446,4.339,44.578,48.917,-2.544,-4.239,14.196,7.413,-11.116,-5.451,0,0,-56.109,-56.109,0,-61.56,28.846,28.846,28.846,-43.83,20.813
2018-06-30,76.273,6.458,-89.955,-83.497,-31.397,0.982,16.668,-13.747,-20.971,-4.817,0,0,-13.037,-13.037,0,-17.854,11.222,11.222,11.222,-27.603,15.517
2018-03-31,-111.71500,6.86400,35.66300,42.52700,-17.53100,-11.93700,-48.50800,-77.97600,-147.16400,-4.67300,-598.15100,,105.86300,105.86300,,-496.96100,670.07000,670.07000,670.07000,25.94500,16.83800
2017-12-31,-59.201,7.72,36.555,44.275,5.658,0.859,12.223,12.532,-2.394,13.893,-41.657,0,47.643,47.643,0,19.879,15.32,15.32,15.32,32.805,15.903
2017-09-30,50.021,6.866,-71.88,-65.014,-18.492,8.41,-0.442,6.762,-8.231,-5.059,0,0,-66.282,-66.282,0,-71.341,10.608,10.608,10.608,-68.964,15.906
2017-06-30,-56.36,3.56,17.528,21.088,1.747,-8.524,-10.148,-9.459,-44.731,-22.973,0,0,184.493,184.493,0,161.52,4.548,4.548,4.548,121.337,17.528
2017-03-31,-59.99000,6.62000,14.46500,21.08500,-11.75900,7.40100,-1.73700,-24.63900,-63.54400,-14.58300,,,34.38600,34.38600,,19.80300,10.83500,10.83500,10.83500,-32.90600,14.46500
2016-12-31,-55.138,5.192,15.426,20.618,3.193,3.521,-8.82,19.466,-15.054,-8.95,0,0,-10.139,-10.139,0,-19.089,11.787,11.787,11.787,-22.356,15.426
2016-09-30,-31.752,5.195,12.76,17.955,-7.379,0.03,-12.299,-17.792,-31.589,-8.201,0,0,-34.18,-34.18,0,-42.381,12.911,12.911,12.911,-61.059,12.76
2016-06-30,-32.743,5.82,12.103,17.923,-5.35,-11.625,-8.846,-17.671,-32.491,-3.351,0,0,103.583,103.583,0,100.232,4.8,4.8,4.8,72.541,12.103
2016-03-31,-20.47800,6.57300,12.18200,18.75500,0.53800,-3.08700,-11.92600,-16.11400,-17.83700,-7.33300,,,36.76400,36.76400,,29.43100,5.69800,5.69800,5.69800,17.29200,12.18200
2015-12-31,-24.856,5.582,13.116,18.698,10.568,-12.448,-18.09,-12.798,-18.956,-4.366,0,0,-490.599,-490.599,0,-494.965,2.102,2.102,2.102,-511.819,13.116
2015-09-30,-26.438,4.098,11.148,15.246,-18.248,2.974,-4.33,-29.367,-40.559,-4.069,0,0,47.773,47.773,0,43.704,531.916,531.916,531.916,535.061,11.148
2015-06-30,-47.502,3.94,9.837,13.777,4.337,-4.42,-18.761,-12.832,-46.557,-2.586,0,-5,62.614,57.614,0,55.028,7.971,7.971,7.971,16.442,9.837
2015-03-31,-21.69000,3.73100,7.73500,11.46600,-10.33900,0.38200,-10.06800,-16.90700,-27.13100,-2.37100,,,22.75400,22.75400,,20.38300,12.39200,12.39200,12.39200,5.64400,7.73500
2014-12-31,-26.684,2.567,11.601,14.168,4.569,-5.91,-15.32,-8.267,-20.783,-7.395,0,0,33.677,33.677,0,26.282,1.26,1.26,1.26,6.759,11.601
2014-09-30,-15.566,3.35,10.279,13.629,-8.912,-7.05,-0.56,-9.854,-11.791,-2.641,0,0,20.871,20.871,0,18.23,4.898,4.898,4.898,11.337,10.279
2014-06-30,-17.59,3.254,9.435,12.689,2.991,-1.447,-4.733,0.718,-4.183,-3.999,0,0,-0.043,-0.043,0,-4.042,2.244,2.244,2.244,-5.981,9.435
2014-03-31,-16.30100,3.16900,9.30400,12.47300,-8.38800,-1.97100,-8.53400,-19.41400,-23.24200,-3.14100,,,-0.70700,-0.70700,,-3.84800,7.78600,7.78600,7.78600,-19.30400,9.30400
2013-12-31,-15.671,2.911,9.789,12.7,-0.3,-1.069,6.606,9.413,6.442,-7.361,0,0,-56.239,-56.239,0,-63.6,1.745,1.745,1.745,-55.413,9.789
2013-09-30,-23.686,2.513,8.231,10.744,18.461,12.657,7.692,42.68,29.738,-6.402,0,0,55.888,55.888,0,49.486,12.673,12.673,12.673,91.897,8.231
2013-06-30,-6.899,2.573,6.78,9.353,-2.948,-4.929,-5.807,-9.872,-7.418,-2.137,0,0,-1.742,-1.742,0,-3.879,3.995,3.995,3.995,-7.302,6.78
2013-03-31,-16.26400,2.50100,6.60600,9.10700,-11.27800,4.01500,-5.08700,-22.71500,-29.87200,-6.25400,,,-0.38900,-0.38900,,-6.64300,16.78600,16.78600,16.78600,-19.72900,6.60600
2012-12-31,-10.596,2.401,7.431,9.832,1.713,-3.451,39.095,50.962,50.198,-5.806,0,0,-51.373,-51.373,0,-57.179,6.713,6.713,6.713,-0.268,7.431
2012-09-30,-13.652,2.293,6.272,8.565,-3.603,-8.599,2.184,-19.647,-24.734,-2.353,0,0,9.869,9.869,0,7.516,11.389,11.389,11.389,-5.829,6.272
2012-06-30,-17.236,2.098,5.536,7.634,25.028,-9.944,-3.799,22.874,13.272,-1.271,0,0,-14.622,-14.622,0,-15.893,10.038,10.038,10.038,7.417,5.536
2012-03-31,-12.29800,1.94100,6.10100,8.04200,-1.62600,-6.28400,-3.20600,-23.59900,-27.85500,-1.05500,,,-12.96500,-12.96500,,-14.02000,7.58400,7.58400,7.58400,-34.29100,6.10100
2011-12-31,-27.165,10.659,5.964,16.623,-39.508,-6.041,4.238,-26.55,-37.092,-6.236,0,0,11.69,11.69,-0.002,5.452,7.169,7.169,7.169,-24.471,5.964
2011-09-30,-40.685,2.089,5.49,7.579,-4.436,-3.428,-5.596,-9.009,-42.115,-3.431,0,0,80.589,80.589,-5.559,71.599,2.824,2.824,2.824,32.308,5.49
