,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2017-09-30,555,69,1677,1746,-14,-48,436,2902,0,631,631,-2613,-1982,-315,-500,-815,0,-390,-118,1604,281,1201,-118
2017-06-30,496,59,1126,1185,-136,-262,-108,1724,0,1332,1332,-3152,-1820,-230,741,511,0,-438,-105,1316,1284,1188,-105
2017-03-31,499.00000,59.00000,1325.00000,1384.00000,40.00000,231.00000,-575.00000,1480.00000,,-223.00000,-223.00000,1603.00000,1380.00000,42.00000,,42.00000,,-238.00000,-105.00000,-528.00000,-829.00000,2031.00000,-105.00000
2016-12-31,576,55,1418,1473,-324,-427,-462,1724,0,-1797,-1797,-6416,-8213,-25,0,-25,0,-238,-107,2548,2178,-4311,-107
2016-09-30,604,56,936,992,-70,-13,92,1815,0,-634,-634,-3282,-3916,174,695,869,0,-238,-107,3378,3902,1801,-107
2016-06-30,489,54,943,997,-98,6,-139,1472,0,231,231,-2667,-2436,-190,-1002,-1192,0,0,0,1443,251,-713,0
2016-03-31,582.00000,54.00000,1078.00000,1132.00000,63.00000,36.00000,-350.00000,1500.00000,,200.00000,200.00000,1001.00000,1201.00000,-1167.00000,-2651.00000,-3818.00000,,,,1292.00000,-2526.00000,175.00000,0.00000
2015-12-31,547,47,560,607,-145,62,595,1889,0,436,436,-5629,-5193,-37,495,458,0,0,0,2900,3358,54,0
2015-09-30,574,46,645,691,-213,107,-47,1317,0,89,89,-2708,-2619,-313,491,178,0,0,0,2774,2952,1650,0
2015-06-30,541,44,679,723,61,-92,-27,1313,0,-567,-567,-3774,-4341,128,-500,-372,0,0,0,2803,2431,-597,0
2015-03-31,552.00000,37.00000,773.00000,810.00000,134.00000,-7.00000,189.00000,1665.00000,,-1522.00000,-1522.00000,2872.00000,1350.00000,-1809.00000,-1602.00000,-3411.00000,,,,-214.00000,-3625.00000,-610.00000,
2014-12-31,531,35,807,842,-206,67,-572,1046,0,-1268,-1268,-4889,-6157,-880,683,-197,0,0,0,2328,2131,-2980,0
2014-09-30,548,33,520,553,94,28,169,1295,0,-28,-28,-2868,-2896,-6477,11088,4611,2842,2842,0,2174,9627,8026,0
2014-06-30,472,32,603,635,43,42,95,1227,0,-27,-27,-2853,-2880,175,0,175,0,0,0,2929,3104,1451,0
2014-03-31,558.00000,31.00000,784.00000,815.00000,137.00000,59.00000,400.00000,1772.00000,,-26.00000,-26.00000,1891.00000,1865.00000,-1617.00000,,-1617.00000,,,,992.00000,-625.00000,3012.00000,
2013-12-31,443,27,778,-2030,-136,39,-104,1145,0,-5,-5,-11892,-4625,-345,0,-345,0,0,0,3955,3129,-351,0
2013-09-30,641,25,559,584,-77,14,509,1764,0,-11,-11,-2087,-2098,-664,0,-664,0,0,0,558,-106,-440,0
2013-06-30,536,25,581,606,40,32,22,1184,0,-33,-33,-2436,-2469,913,0,913,0,0,0,-1844,-931,-2216,0
2013-03-31,359.00000,27.00000,917.00000,944.00000,21.00000,-45.00000,271.00000,1586.00000,6393.00000,-11.00000,-11.00000,1744.00000,8126.00000,-3395.00000,,-3395.00000,,,,-2325.00000,-5720.00000,3992.00000,
2012-12-31,229,-13,0,-13,0,0,-386,121,-3153,0,86,-1815,-4882,0,0,6971,0,0,0,-3031,3940,-821,0
2011-12-31,1890,96,0,96,0,0,1214,5516,3153,0,-77,-4646,-1570,0,0,-5046,0,0,0,2068,-2978,968,0
