,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-2439,-318,-1989,-2307,-74,26,274,-4847,0,-35,-35,3411,3376,930,-735,195,0,2619,363,-6081,-2904,-4375,331
2022-09-30,703,105,818,923,-209,-37,-177,1634,0,-112,-112,-4030,-4142,673,1489,2162,0,-950,-120,3687,4779,2271,-109
2022-06-30,804,106,601,707,218,23,263,1817,0,-373,-373,-679,-1052,-453,-754,-1207,0,-701,-119,1128,-899,-134,-108
2022-03-31,932.00000,107.00000,570.00000,677.00000,65.00000,-12.00000,-360.00000,1396.00000,,520.00000,520.00000,1298.00000,1818.00000,-1150.00000,,-1150.00000,,-968.00000,-124.00000,1266.00000,-976.00000,2238.00000,-114.00000
2021-12-31,813,105,550,655,-155,116,433,2004,0,131,131,-5895,-5764,1000,744,1744,0,-982,-130,1914,2546,-1214,-120
2021-09-30,1141,93,71,164,-17,71,356,1815,0,263,263,-2097,-1834,-700,0,-700,0,-1301,-135,513,-1623,-1642,-124
2021-06-30,1242,97,-124,-27,308,-237,91,1441,0,803,803,-2656,-1853,-207,-1500,-1707,0,-393,-138,-2910,-5148,-5560,-128
2021-03-31,1025.00000,95.00000,448.00000,543.00000,288.00000,87.00000,141.00000,1839.00000,,893.00000,893.00000,3744.00000,4637.00000,-618.00000,,-618.00000,,-200.00000,-139.00000,-22.00000,-979.00000,5497.00000,-128.00000
2020-12-31,738,93,616,709,-55,104,465,2086,0,950,950,-4209,-3259,-1,0,-1,0,0,-138,-709,-848,-2021,-128
2020-09-30,313,97,1070,1167,46,-51,-176,1483,0,-1816,-1816,-1355,-3171,-301,0,-301,0,0,-139,-660,-1100,-2788,-129
2020-06-30,48,97,1454,1551,389,37,595,2381,0,-457,-457,2502,2045,-1183,0,-1183,0,0,-139,-474,-1796,2630,-128
2020-03-31,286.00000,96.00000,1568.00000,1664.00000,-41.00000,-71.00000,-593.00000,1537.00000,,-207.00000,-207.00000,4094.00000,3887.00000,-1123.00000,-1500.00000,-2623.00000,,-985.00000,-146.00000,-533.00000,-4287.00000,1137.00000,-135.00000
2019-12-31,731,94,1024,1118,39,47,324,2336,0,-1359,-1359,2040,681,-500,0,-500,0,-642,-141,-808,-2091,926,-141
2019-09-30,1056,94,987,1081,-297,111,101,2399,0,1715,1715,-3285,-1570,-1030,145,-885,0,-550,-145,327,-1253,-424,-145
2019-06-30,853,92,1188,1280,-213,-183,-307,1966,0,-378,-378,-2804,-3182,-153,-500,-653,0,-725,-145,1591,68,-1148,-145
2019-03-31,1107.00000,87.00000,1004.00000,1091.00000,80.00000,118.00000,-53.00000,2289.00000,,251.00000,251.00000,3559.00000,3810.00000,-2349.00000,240.00000,-2109.00000,,-967.00000,-150.00000,44.00000,-3182.00000,2917.00000,-150.00000
2018-12-31,783,80,1452,1532,-244,120,112,2576,0,1241,1241,-7526,-6285,250,0,250,0,0,-151,1715,1814,-1895,-151
2018-09-30,671,78,1409,1487,-52,73,397,2685,0,-503,-503,-9974,-10477,2016,0,2016,0,-967,-156,3280,4173,-3619,-156
2018-06-30,696,73,1250,1323,0,-260,-5,2166,0,-513,-513,-2516,-3029,-46,747,701,0,-491,-113,2482,2579,1716,-113
2018-03-31,640.00000,71.00000,1381.00000,1452.00000,16.00000,148.00000,-347.00000,1915.00000,,-1828.00000,-1828.00000,2583.00000,755.00000,-284.00000,497.00000,213.00000,,-410.00000,-114.00000,-2.00000,-313.00000,2357.00000,-114.00000
2017-12-31,385,67,1553,1620,-188,223,303,2469,0,-1137,-1137,-5983,-7120,604,291,895,0,-431,-118,2034,2380,-2271,-118
