,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,386.3,166.3,105,271.3,-200.2,-666.7,46.6,796.7,51.7,641,-233.8,-376.3,53,-557.1,0,29.9,29.9,-103.7,-103.7,-155.6,210.6,-18.8,68.3,19.7,-155.6
2022-09-30,685.1,147.8,44.2,192,0,0,0,-286.3,-286.3,639.2,-174.9,-415,13.3,-576.6,992.3,-1064,-71.7,-35,-35,-155.8,6.9,-255.6,-182.1,26.3,-155.8
2022-06-30,577.9,144.9,111.3,256.2,0,0,0,-215.5,-215.5,613.4,-129.5,-211.4,62.6,-278.3,-260.2,276.3,16.1,-281.7,-281.7,-156.2,-1.9,-423.7,-88.5,26.9,-156.2
2022-03-31,370.80000,145.20000,122.10000,267.30000,,,,-629.20000,-629.20000,26.30000,-106.30000,-0.40000,-88.90000,-195.60000,,972.20000,972.20000,-373.50000,-373.50000,-150.90000,-32.10000,415.70000,235.40000,26.80000,-150.90000
2021-12-31,304,141.1,59.3,200.4,-287.8,-228.1,346.1,68.6,-183.3,193.9,-123.9,-185.6,59.8,-249.7,586.7,56,642.7,-604.3,-604.3,-144.2,9.5,-96.3,-147.6,32.8,-144.2
2021-09-30,502.2,141.3,110.9,252.2,0,0,0,45.2,45.2,849.4,-96.7,6.3,-63.8,-154.2,-24.6,-54,-78.6,-377.9,-377.9,-145.2,-10.7,-612.4,93.7,25.9,-145.2
2021-06-30,648.6,150.5,121.5,272,0,0,0,49.2,49.2,1005.6,-87.1,-0.4,21.4,-66.1,-1.7,-56.1,-57.8,-828.6,-828.6,-145.9,1.8,-1030.5,-95.1,25.5,-145.9
2021-03-31,409.60000,146.10000,192.30000,338.40000,,,,-557.60000,-557.60000,195.70000,-64.30000,91.30000,-33.40000,-6.40000,,818.00000,818.00000,-737.00000,-737.00000,-151.80000,-24.00000,-94.80000,88.10000,13.50000,-151.80000
2020-12-31,407,151.2,-25.3,125.9,10.3,84.4,227.2,-478.5,180.9,844.8,-110,0,-35.8,-145.8,0,-0.1,-0.1,-979.6,-979.6,-120.2,-4,-1103.9,-393.3,23,-120.2
2020-09-30,705.8,147.8,118.9,266.7,0,0,0,558.7,558.7,1489.2,-51.5,0,21.7,-29.8,0,-559.5,-559.5,-346.3,-346.3,-122.2,-2.1,-1030.1,431.8,26.5,-122.2
2020-06-30,595.9,145.4,115,260.4,0,0,0,90.4,90.4,1019.7,-35.7,0,-13.2,-48.9,-433.5,-494.7,-928.2,47.6,47.6,-122.7,1.5,-1001.8,-50.4,26.3,-122.7
2020-03-31,321.70000,146.50000,140.90000,287.40000,,,,-519.20000,-519.20000,54.90000,-106.60000,,8.70000,-97.90000,217.80000,849.70000,1067.50000,-802.90000,-802.90000,-122.90000,-26.00000,115.70000,76.70000,20.10000,-122.90000
2019-12-31,248.6,269.5,56,325.5,-73.2,-75.5,36.2,205,99.4,659.9,-104.1,-4.7,-65.3,-174.1,-0.7001,-231.8,-232.5001,-157.6,-157.6,-105.9,-8.7,-504.7,-27.8,30.8,-105.9
2019-09-30,576.5,145.8,121,266.8,0,0,0,-38.8,-38.8,903.4,-96.9,-72.6,58.2,-111.3,-194.9999,-371.7,-566.6999,-81.6,-81.6,-105.1,-3.7,-757.1,44,23.2,-105.1
2019-06-30,471,145.2,92.9,238.1,0,0,0,83.6,83.6,794,-76.5,0,-28.5,-105,-360.9,-15.5,-376.4,-104.8,-104.8,-105,-49.8,-636,51.2,24.6,-105
2019-03-31,245.20000,145.70000,142.40000,288.10000,,,,-576.70000,-576.70000,-36.00000,-51.40000,,-20.80000,-72.20000,,496.20000,496.20000,-280.20000,-280.20000,-104.80000,-59.80000,51.40000,-61.10000,23.10000,-104.80000
2018-12-31,100.942,148.355,81.629,229.984,18.4,-119.5,113.8,146.726,323.126,512.485,-84.816,0,-51.506,-136.322,-0.688,-324.289,-324.977,-228.551,-228.551,-80.361,212.675,-421.214,-25.998,29.468,-80.361
2018-09-30,354.027,151.457,-17.153,134.304,0,0,0,334.826,334.826,852.119,-64.358,0,56.063,-8.295,-705.205,-0.596,-705.801,6.687,6.687,-80.898,-28.761,-808.773,26.538,16.356,-80.898
2018-06-30,403.604,149.199,70.706,219.905,0,0,0,-75.152,-75.152,538.347,-59.573,0,-6.859,-66.432,-150.986,-264.881,-415.867,-81.183,-81.183,-80.613,88.399,-489.264,-3.64,22.165,-80.613
