,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,590,109,-73,36,-117,118,12,647,1273,-73,-579,0,0,0,-652,-2,0,-2,-68,-68,-132,0,-202,503,46,-132
2022-09-30,280,108,101,209,-101,-83,-33,-101,388,-70,8,0,0,0,-62,0,0,0,-8,-8,-132,0,-140,105,45,-132
2022-06-30,229,112,125,237,-142,-115,-88,-456,10,-59,-57,0,0,0,-116,314,0,314,-163,-163,-138,0,13,-161,44,-138
2022-03-31,268.00000,111.00000,-142.00000,-31.00000,248.00000,-162.00000,17.00000,-85.00000,152.00000,-54.00000,-503.00000,,,,-557.00000,-2.00000,,-2.00000,-441.00000,-441.00000,-134.00000,,-577.00000,-996.00000,37.00000,-134.00000
2021-12-31,402,113,75,188,-186,-185,-133,113,703,-68,-149,0,0,0,-217,-2,0,-2,-128,-128,-120,0,-250,221,35,-120
2021-09-30,308,105,77,182,-32,-46,-295,-114,376,-61,-350,0,0,0,-411,-3,0,-3,-86,-86,-120,0,-209,-268,34,-120
2021-06-30,295,110,8,118,-77,-29,-47,-25,388,-56,-6,0,0,0,-62,499,0,499,-87,-87,-126,0,286,601,31,-126
2021-03-31,245.00000,110.00000,23.00000,133.00000,298.00000,-24.00000,144.00000,-8.00000,370.00000,-52.00000,,,,,-52.00000,-3.00000,,-3.00000,-125.00000,-125.00000,-121.00000,-7.00000,-256.00000,66.00000,29.00000,-121.00000
2020-12-31,413,109,-4,105,-222,-16,161,186,704,-66,-2,0,0,0,-68,-3,-200,-203,-122,-122,-109,0,-434,247,29,-109
2020-09-30,206,103,123,226,26,-1,-140,-40,392,-49,-179,0,0,0,-228,-11,-300,-311,-95,-95,-109,0,-515,-334,31,-109
2020-06-30,136,98,39,137,11,1,77,-64,209,-54,-61,0,0,0,-115,-4,-300,-304,-39,-39,-113,0,-456,-331,31,-113
2020-03-31,198.00000,99.00000,-9.00000,90.00000,275.00000,2.00000,44.00000,20.00000,308.00000,8.00000,-34.00000,,,,-26.00000,-4.00000,800.00000,796.00000,-248.00000,-248.00000,-109.00000,,439.00000,671.00000,38.00000,-109.00000
2019-12-31,246,104,269,373,-109,14,-70,176,795,-52,-80,0,0,0,-132,-604,0,-604,-113,-113,-98,0,-815,-139,31,-98
2019-09-30,267,99,81,180,-80,-27,-16,79,526,-60,-252,0,0,0,-312,390,0,390,12,12,-94,-326,-18,176,30,-94
2019-06-30,207,96,88,184,-58,2,0,-140,251,-63,5,0,0,0,-58,-13,0,-13,0,0,-97,0,-110,67,30,-97
2019-03-31,151.00000,95.00000,31.00000,126.00000,168.00000,-63.00000,130.00000,-26.00000,251.00000,-66.00000,-366.00000,,,,-432.00000,-8.00000,,-8.00000,-100.00000,-100.00000,-93.00000,,-201.00000,-360.00000,27.00000,-93.00000
2018-12-31,423,93,10,103,-124,10,-41,286,812,-69,-1,0,0,0,-70,-116,0,-116,-37,-37,-85,-76,-314,406,20,-85
2018-09-30,249,89,44,133,-20,24,-218,-44,338,-46,6,0,0,0,-40,-215,0,-215,80,80,-84,-169,-388,-90,19,-84
2018-06-30,180,96,46,142,11,46,36,103,425,-41,-26,0,0,0,-67,-148,0,-148,6,6,-85,0,-227,83,17,-85
2018-03-31,117.00000,82.00000,16.00000,98.00000,195.00000,-9.00000,-551.00000,-715.00000,-500.00000,-41.00000,-1048.00000,,,,-1089.00000,1246.00000,,1246.00000,-13.00000,-13.00000,-84.00000,,1149.00000,-410.00000,17.00000,-84.00000
2017-12-31,-829,343,1025,1368,-141,37,-12,222,761,-21,-12,0,0,0,-33,-3,0,-3,-104,-104,-76,-2,-185,551,17,-76
2017-09-30,464,-166,82,-84,-170,29,-131,-110,270,-85,-141,0,0,0,-226,-9,0,-9,-67,-67,-76,0,-152,-88,16,-76
2017-06-30,133,86,78,164,-117,-43,69,-124,173,-53,-15,0,0,0,-68,2,0,2,-74,-74,-79,0,-151,-24,16,-79
2017-03-31,77.00000,80.00000,62.00000,142.00000,368.00000,-69.00000,-69.00000,-77.00000,142.00000,-68.00000,-53.00000,,,,-121.00000,-1.00000,,-1.00000,-156.00000,-156.00000,-77.00000,,-234.00000,-201.00000,17.00000,-77.00000
2016-12-31,243,75,119,194,-251,6,-144,76,513,-55,-226,0,0,0,-281,-683,0,-683,-101,-101,-67,0,-851,-657,16,-67
2016-09-30,192,76,91,167,-82,2,-69,-11,348,-46,-11,0,0,0,-57,-1,0,-1,-69,-69,-70,0,-140,142,17,-70
2016-06-30,108,82,77,159,50,2,-29,24,291,-46,5,0,0,0,-41,-1,0,-1,-555,-555,-72,0,-628,-395,18,-72
2016-03-31,17.00000,62.00000,84.00000,146.00000,277.00000,-4.00000,-60.00000,-150.00000,13.00000,-51.00000,-572.00000,,,,-623.00000,672.00000,,672.00000,-24.00000,-24.00000,-71.00000,,577.00000,-40.00000,17.00000,-71.00000
2015-12-31,279,37,14,51,-146,37,15,84,414,-43,-356,0,0,0,-399,-6,0,-6,-166,-166,-59,4,-227,-220,20,-59
2015-09-30,114,32,130,162,-88,4,13,25,301,-49,-18,0,0,0,-67,975,0,975,-2025,-2025,-70,0,-1120,-912,18,-70
2015-06-30,143,40,27,67,-54,19,-24,-60,150,-48,4,0,0,0,-44,-1,0,-1,-290,-290,-73,0,-364,-241,19,-73
2015-03-31,74.00000,41.00000,13.00000,54.00000,309.00000,-44.00000,10.00000,28.00000,156.00000,-32.00000,14.00000,,,,-18.00000,-1.00000,,-1.00000,-612.00000,-612.00000,-75.00000,1.00000,-687.00000,-601.00000,21.00000,-75.00000
2014-12-31,201,42,151,193,-264,-17,-863,-1046,-652,-48,-49,0,3403,3403,3306,-4,0,-4,-1430,-1430,-82,27,-1489,1109,20,-82
2014-09-30,147,45,43,88,12,-5,-486,-350,-115,-42,-8,0,0,0,-50,912,0,912,-641,-641,-78,-29,164,-31,20,-78
2014-06-30,824,46,-735,-689,30,29,48,-17,118,-41,3,0,0,0,-38,-1,0,-1,-345,-345,-79,75,-350,-265,26,-79
2014-03-31,127.00000,40.00000,-23.00000,17.00000,160.00000,-12.00000,-105.00000,-132.00000,12.00000,-17.00000,7.00000,,,,-10.00000,3.00000,,3.00000,-43.00000,-43.00000,-79.00000,31.00000,-88.00000,-84.00000,28.00000,-79.00000
2013-12-31,337,42,-46,-4,-55,1,32,247,580,-8,-24,1167,0,1167,1135,-1,0,-1,-305,-305,-80,156,-230,1504,29,-80
