,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1009,198,-22,176,135,38,-436,-600,585,-134,-6,15,-9,6,2,-132,507,-507,0,-251,-251,-79,0,-330,131,9,-79
2022-09-30,538,221,116,337,-6,-32,329,179,990,-190,3,0,0,0,0,-187,0,0,0,-514,-514,-80,-372,-966,-178,10,-80
2022-06-30,1339,223,153,376,-54,-33,-901,-841,889,-66,3,0,0,0,4,-59,-507,0,-507,-475,-475,-83,0,-1065,-247,12,-83
2022-03-31,1051.00000,208.00000,-27.00000,181.00000,-185.00000,-66.00000,285.00000,110.00000,1391.00000,-62.00000,,,,,,-62.00000,,,,-1.00000,-1.00000,-64.00000,-274.00000,-339.00000,989.00000,10.00000,-64.00000
2021-12-31,859,238,-116,122,-120,-3,620,570,1480,-131,48,-1,0,-1,1,-83,0,0,0,-457,-457,-65,-5,-527,871,7,-65
2021-09-30,-91,203,479,682,22,-111,165,60,687,-201,0,0,0,0,0,-201,-263,0,-263,-44,-44,-65,-131,-503,-20,7,-65
2021-06-30,317,243,0,243,-130,79,-410,-412,128,-110,0,0,0,0,-1,-111,0,0,0,19,19,-65,0,-46,-27,8,-65
2021-03-31,175.00000,204.00000,-15.00000,189.00000,-7.00000,-88.00000,289.00000,230.00000,578.00000,-71.00000,,,,,,-71.00000,-255.00000,,-255.00000,7.00000,7.00000,-65.00000,-74.00000,-387.00000,121.00000,8.00000,-65.00000
2020-12-31,119,230,14,244,-26,-2,-6,-57,290,-103,0,0,0,0,5,-98,0,0,0,1,1,-65,-5,-69,130,5,-65
2020-09-30,4,212,41,253,18,-22,160,17,223,-85,0,0,0,0,1,-84,0,0,0,1,1,-64,-87,-150,-10,7,-64
2020-06-30,218,239,-33,206,1,80,-265,10,426,-52,0,0,0,0,0,-52,0,-500,-500,0,0,-64,-1,-565,-190,6,-64
2020-03-31,91.00000,211.00000,-60.00000,151.00000,-12.00000,-29.00000,130.00000,42.00000,292.00000,-67.00000,,,,,2.00000,-65.00000,,500.00000,500.00000,-97.00000,-97.00000,-65.00000,-96.00000,242.00000,466.00000,7.00000,-65.00000
2019-12-31,94,212,72,284,73,-43,-55,-30,302,-108,0,0,0,0,0,-108,-769,0,-769,-88,-88,-65,-8,-930,-732,4,-65
2019-09-30,114,223,56,279,-1,-4,140,162,510,-135,0,0,0,0,15,-120,0,0,0,-60,-60,-67,-100,-227,161,7,-67
2019-06-30,320,252,34,286,-50,122,-269,-226,387,-16,0,0,0,0,0,-16,0,0,0,-118,-118,-66,0,-184,187,11,-66
2019-03-31,118.00000,188.00000,16.00000,204.00000,-28.00000,-101.00000,176.00000,-18.00000,306.00000,-75.00000,,,,,,-75.00000,,,,-85.00000,-85.00000,-67.00000,-90.00000,-242.00000,-11.00000,6.00000,-67.00000
2018-12-31,95,221,52,273,37,-49,-170,-112,254,-137,0,0,0,0,0,-137,0,0,0,-378,-378,-70,-8,-456,-340,5,-70
2018-09-30,71,233,36,269,65,-24,331,340,645,-130,0,0,0,0,10,-120,0,0,0,-81,-81,-70,-80,-231,294,6,-70
2018-06-30,174,241,-26,215,-95,118,-145,-92,316,-69,0,0,0,0,6,-63,0,0,0,2,2,-70,-388,-456,-208,5,-70
2018-03-31,88.00000,193.00000,29.00000,222.00000,61.00000,-97.00000,51.00000,-9.00000,282.00000,-60.00000,,,,,5.00000,-55.00000,,,,2.00000,2.00000,-70.00000,-59.00000,-127.00000,101.00000,6.00000,-70.00000
2017-12-31,503,235,-511,-276,-28,28,2,-4,230,-176,0,0,16,16,3,-157,-1148,0,-1148,0,0,-70,-11,-1229,-1157,4,-70
2017-09-30,-68,226,-44,182,6,2,149,174,214,-104,0,0,0,0,6,-98,0,0,0,1,1,-70,-67,-136,-13,5,-70
2017-06-30,24,217,43,260,-26,25,560,547,831,-87,0,9,0,9,6,-72,0,0,0,0,0,-70,-5,-75,689,4,-70
