,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,2238,736,-2136,-1400,-333,433,686,1905,2691,4499,-364,-35,0,313,0,313,764,678,179,-2,177,-360,-360,-184,-92,-458,4973,-184
2022-09-30,-160,644,-118,526,-1344,-428,661,952,-159,1423,-210,-30,-15,167,0,167,154,67,-1133,3,-1130,-318,-318,-161,-379,-1987,-854,-161
2022-06-30,-772,679,1722,2401,-585,-1356,1371,410,-160,550,-278,-25,0,-12,0,-12,2285,1969,-778,17,-761,-370,-370,-154,-395,-1681,647,-154
2022-03-31,-1014.00000,1485.00000,56.00000,1541.00000,-749.00000,-990.00000,75.00000,688.00000,-976.00000,-556.00000,-310.00000,-23.00000,,-1344.00000,,-1344.00000,1232.00000,-444.00000,-1268.00000,47.00000,-1221.00000,,,-140.00000,-98.00000,-1459.00000,-2534.00000,-140.00000
2021-12-31,-3843,759,5130,5889,-1051,482,165,990,586,2432,-316,-33,20833,-130,0,-130,727,21082,-26311,-320,-26631,-20,-20,-144,-5980,-32776,-9338,-144
2021-09-30,1185,726,79,805,-68,146,-367,3,-286,2341,-273,-29,0,-49,0,-49,684,332,-98,-31,-129,-5,-5,-139,-122,-395,2179,-139
2021-06-30,-1135,771,2271,3042,-4,-608,549,-554,-617,518,-196,-25,-27,-399,0,-399,341,-308,-8549,-40,-8589,-82,-82,-144,-1586,-10401,-10097,-144
2021-03-31,-2798.00000,753.00000,1653.00000,2406.00000,946.00000,-722.00000,-349.00000,-460.00000,-585.00000,-1959.00000,-298.00000,-24.00000,1.00000,-712.00000,,-712.00000,1233.00000,202.00000,-1199.00000,-319.00000,-1518.00000,,,-148.00000,60.00000,-1605.00000,-3494.00000,-148.00000
2020-12-31,2639,764,-2039,-1275,346,1537,626,1776,4285,3628,-208,-26,-90,-60,32,-28,-682,-1031,-4570,30,-4540,-28,-28,-236,-9,-4814,-2062,-236
2020-09-30,-1194,1162,1167,2329,-1475,406,704,-464,-829,1335,-271,-27,-247,42,128,170,-364,-740,-2353,-786,-3139,0,0,-88,189,-3040,-2238,-88
