,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1499,-81,-2005,-2086,362,-527,-739,-834,-1421,12,-12,581,569,65,646,10,0,10,391,391,316,114,831,56,-29,316
2022-09-30,-418,26,524,550,62,-69,530,534,666,-4,1,-301,-300,-18,-322,0,0,0,-201,-201,-108,-50,-359,-15,9,-108
2022-06-30,-808,26,912,938,-239,307,355,427,557,-4,5,-137,-132,-26,-162,-10,5,-5,-149,-149,-109,-21,-284,111,9,-109
2022-03-31,-273.00000,29.00000,569.00000,598.00000,-185.00000,289.00000,-146.00000,-127.00000,198.00000,-4.00000,6.00000,-143.00000,-137.00000,-21.00000,-162.00000,,-5.00000,-5.00000,-41.00000,-41.00000,-99.00000,-43.00000,-188.00000,-152.00000,11.00000,-99.00000
2021-12-31,1470,49,-1138,-1089,46,-71,81,82,463,-3,0,-257,-257,94,-166,-5,0,-5,-101,-101,-100,-37,-243,54,-25,-100
2021-09-30,153,23,72,95,81,-75,387,353,601,-3,2,-340,-338,-24,-365,0,0,0,-10,-10,-100,-44,-154,82,8,-100
2021-06-30,703,23,-396,-373,-203,236,177,233,563,-4,0,-357,-357,-12,-373,5,-3,2,4,4,-100,-40,-134,56,8,-100
2021-03-31,620.00000,23.00000,-369.00000,-346.00000,-164.00000,221.00000,57.00000,80.00000,354.00000,-5.00000,-4.00000,-150.00000,-154.00000,6.00000,-153.00000,,3.00000,3.00000,-24.00000,-24.00000,-95.00000,-38.00000,-154.00000,47.00000,9.00000,-95.00000
2020-12-31,1049,47,-801,-754,68,-64,56,77,372,-4,-8,-70,-78,-66,-148,15,-84,-69,-3,-3,-95,-71,-238,-14,-24,-95
2020-09-30,484,20,-439,-419,139,-83,343,440,505,-6,1,-149,-148,-16,-170,0,1,1,1,1,-95,-34,-127,208,8,-95
2020-06-30,909,20,-828,-808,-153,185,325,346,447,-6,-9,-137,-146,46,-106,0,8,8,0,0,-95,-34,-121,220,7,-95
2020-03-31,-1226.00000,22.00000,1396.00000,1418.00000,-77.00000,134.00000,-79.00000,-25.00000,167.00000,-4.00000,1.00000,-119.00000,-118.00000,-14.00000,-136.00000,,75.00000,75.00000,-252.00000,-252.00000,-90.00000,-45.00000,-312.00000,-281.00000,9.00000,-90.00000
2019-12-31,626,18,-410,-392,-26,-71,176,94,328,-2,0,-135,-135,-16,-153,7,-6,1,-60,-60,-90,-46,-195,-20,7,-90
2019-09-30,248,18,-46,-28,80,-37,131,184,404,-9,-1,-285,-286,-15,-310,-5,6,1,-3,-3,-90,-18,-110,-16,7,-90
2019-06-30,428,17,-271,-254,-138,179,114,102,276,-8,-3,-144,-147,-5,-160,5,0,5,4,4,-90,-34,-115,1,7,-90
2019-03-31,695.00000,19.00000,-496.00000,-477.00000,-91.00000,113.00000,-160.00000,-18.00000,200.00000,-5.00000,-1.00000,-14.00000,-15.00000,-36.00000,-56.00000,,,,3.00000,3.00000,-85.00000,-44.00000,-126.00000,18.00000,9.00000,-85.00000
2018-12-31,-452,15,614,629,2,-75,220,178,355,-6,-1,-43,-44,-21,-71,0,2,2,2,2,-85,-35,-116,168,6,-85
2018-09-30,553,16,-274,-258,16,13,159,67,362,-5,-3,-101,-104,-6,-115,-37,6,-31,2,2,-85,-38,-152,95,6,-85
2018-06-30,217,14,-68,-54,-109,119,164,147,310,-6,-4,-195,-199,-6,-211,37,0,37,-109,-109,-86,-24,-182,-83,7,-86
2018-03-31,-31.00000,18.00000,164.00000,182.00000,-16.00000,55.00000,-62.00000,3.00000,154.00000,-3.00000,0.00000,-46.00000,-46.00000,-5.00000,-54.00000,,,,-11.00000,-11.00000,-80.00000,-62.00000,-153.00000,-53.00000,9.00000,-80.00000
2017-12-31,642,15,-449,-434,137,-71,17,98,306,-2,-5,-89,-94,-3,-99,3,4,7,-19,-19,-161,-51,-224,-17,7,-161
2017-09-30,102,13,10,23,27,14,130,176,301,-5,-1,-115,-116,-5,-126,0,0,0,2,2,-81,-28,-107,68,5,-81
2017-06-30,100,13,25,38,-54,84,134,171,309,-7,-4,-75,-79,-1,-87,0,0,0,-53,-53,-81,-25,-159,63,6,-81
2017-03-31,201.00000,14.00000,-104.00000,-90.00000,-33.00000,70.00000,-52.00000,25.00000,136.00000,-2.00000,1.00000,-239.00000,-238.00000,-6.00000,-246.00000,-3.00000,,-3.00000,-9.00000,-9.00000,-77.00000,-35.00000,-124.00000,-234.00000,8.00000,-77.00000
2016-12-31,100,14,72,86,-15,-81,242,94,280,-4,2,-67,-65,-1,-70,15,-15,0,-33,-33,-77,-23,-133,77,5,-77
2016-09-30,180,10,-27,-17,26,39,92,173,336,-2,6,-83,-77,0,-79,-8,0,-8,4,4,-78,-22,-104,153,5,-78
2016-06-30,123,12,-31,-19,-114,101,207,130,234,-4,3,-181,-178,-17,-199,-7,0,-7,2,2,-77,-19,-101,-66,6,-77
2016-03-31,188.00000,12.00000,-29.00000,-17.00000,-15.00000,47.00000,-3.00000,94.00000,265.00000,-3.00000,2.00000,-111.00000,-109.00000,4.00000,-108.00000,,,,9.00000,9.00000,-74.00000,-23.00000,-88.00000,69.00000,7.00000,-74.00000
2015-12-31,156,13,65,78,38,-14,78,86,320,-3,79,-82,-3,2,-4,0,0,0,-2,-2,-148,-41,-191,125,4,-148
2015-09-30,174,12,17,29,0,24,90,82,285,-2,3,-230,-227,-2,-231,-14,0,-14,-18,-18,-73,-17,-122,-68,5,-73
2015-06-30,176,13,-44,-31,-70,82,100,110,255,-4,-46,-251,-297,0,-301,0,0,0,-16,-16,-74,-17,-107,-153,4,-74
2015-03-31,128.00000,14.00000,-28.00000,-14.00000,-22.00000,27.00000,64.00000,101.00000,215.00000,-1.00000,-20.00000,-68.00000,-88.00000,1.00000,-88.00000,,,,7.00000,7.00000,-71.00000,-14.00000,-78.00000,49.00000,7.00000,-71.00000
2014-12-31,167,13,0,13,41,-46,115,60,240,-3,3,18,21,2,20,-55,55,0,8,8,-70,-19,-81,179,4,-70
2014-09-30,183,13,-40,-27,-13,18,53,126,282,-1,4,-241,-237,4,-234,55,-55,0,-11,-11,-70,-17,-98,-50,5,-70
2014-06-30,84,12,8,20,-45,75,112,118,222,-2,3,-139,-136,2,-136,-55,0,-55,3,3,-71,-22,-145,-59,4,-71
2014-03-31,91.00000,13.00000,2.00000,15.00000,-45.00000,59.00000,1.00000,23.00000,129.00000,-3.00000,3.00000,38.00000,41.00000,1.00000,39.00000,,,,1.00000,1.00000,-67.00000,-14.00000,-80.00000,88.00000,6.00000,-67.00000
2013-12-31,122,20,15,35,78,-50,86,101,258,-2,-5,-183,-188,1,-189,0,0,0,-44,-44,-68,-35,-147,-78,4,-68
2013-09-30,131,10,-4,6,-44,79,81,150,287,-2,0,-89,-89,1,-90,0,0,0,5,5,-65,-8,-68,129,4,-65
2013-06-30,110,11,3,14,-20,72,85,70,194,-2,-3,-124,-127,1,-128,0,0,0,6,6,-65,-5,-64,2,5,-65
2013-03-31,154.00000,9.00000,-16.00000,-7.00000,-84.00000,83.00000,-86.00000,-90.00000,57.00000,-1.00000,-1.00000,-102.00000,-103.00000,2.00000,-102.00000,,,,6.00000,6.00000,-65.00000,-3.00000,-62.00000,-107.00000,5.00000,-65.00000
2012-12-31,192,12,32,44,8,-26,-41,-31,205,-1,1,-50,-49,3,-47,0,0,0,4,4,-65,-26,-87,71,4,-65
2012-09-30,111,10,8,18,-51,56,-10,39,168,-1,2,47,49,-1,47,0,0,0,3,3,-63,-2,-62,153,4,-63
2012-06-30,32,11,-2,9,-59,82,66,76,117,-2,-2,-201,-203,1,-204,0,0,0,2,2,-64,-12,-74,-161,4,-64
2012-03-31,86.00000,11.00000,6.00000,17.00000,-16.00000,47.00000,-6.00000,45.00000,148.00000,-2.00000,0.00000,-100.00000,-100.00000,2.00000,-100.00000,,,,1.00000,1.00000,-64.00000,1.00000,-62.00000,-14.00000,4.00000,-64.00000
2011-12-31,134,4,39,43,101,-24,-192,-78,99,5,-2,58,56,2,63,0,0,0,-1,-1,-64,33,-32,130,3,-64
2011-09-30,19,15,-9,6,41,27,33,119,144,-8,2,-94,-92,3,-97,0,55,55,-31,-31,-64,-12,-52,-5,3,-64
2011-06-30,-50,12,-49,-37,-226,44,319,34,-53,-2,1,55,56,2,56,0,0,0,1,1,-63,-7,-69,-66,4,-63
2011-03-31,61.00000,11.00000,-5.00000,6.00000,-44.00000,33.00000,-22.00000,-10.00000,57.00000,-2.00000,-3.00000,-25.00000,-28.00000,,-30.00000,,,,,,-64.00000,31.00000,-33.00000,-6.00000,3.00000,-64.00000
2010-12-31,124,11,35,46,-6,-20,15,-56,114,-3,-2,-121,-123,-1,-127,0,0,0,0,0,-63,16,-47,-60,2,-63
2010-09-30,156,13,-135,-122,15,1,55,130,164,-3,2,15,17,-1,13,0,0,0,0,0,-63,6,-57,120,3,-63
2010-06-30,27,7,19,26,-1,23,104,90,143,-3,3,-177,-174,1,-176,0,0,0,-10,-10,-63,29,-44,-77,3,-63
2010-03-31,68.00000,10.00000,10.00000,20.00000,71.00000,40.00000,-38.00000,22.00000,110.00000,-8.00000,6.00000,-238.00000,-232.00000,1.00000,-239.00000,,,,,,-63.00000,37.00000,-26.00000,-155.00000,3.00000,-63.00000
2009-12-31,245,17,-194,-177,74,-48,13,95,163,-11,5,-23,-18,-2,-31,0,0,0,0,0,-63,40,-23,109,2,-63
2009-09-30,170,7,-82,-75,54,-8,-21,110,205,-11,0,16,16,-4,1,0,0,0,0,0,-62,50,-12,194,3,-62
2009-06-30,-18,6,49,55,2,-17,179,80,117,-12,-2,-313,-315,0,-327,0,0,0,0,0,-61,10,-51,-261,2,-61
2009-03-31,35.00000,8.00000,15.00000,23.00000,-2.00000,38.00000,-2.00000,-18.00000,40.00000,-8.00000,71.00000,-518.00000,-447.00000,-3.00000,-458.00000,,,,,,-63.00000,-13.00000,-76.00000,-494.00000,3.00000,-63.00000
