,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,790,309,32,341,3,23,-359,-333,798,-596,0,-4,-4,57,-543,98,98,-825,-825,-286,0,-1013,-758,-286
2022-09-30,958,306,-105,201,56,13,185,254,1413,-352,0,-1,-1,7,-346,-1,-1,-821,-821,-290,0,-1112,-45,-290
2022-06-30,819,304,32,336,-136,-25,23,-138,1017,-384,0,-6,-6,11,-379,194,194,-850,-850,-294,0,-950,-312,-294
2022-03-31,703.00000,302.00000,42.00000,344.00000,-94.00000,-46.00000,87.00000,-53.00000,994.00000,-353.00000,,-1.00000,-1.00000,19.00000,-335.00000,988.00000,988.00000,-618.00000,-618.00000,-297.00000,,73.00000,732.00000,-297.00000
2021-12-31,760,298,20,318,-31,17,-122,-136,942,-421,0,-5,-5,51,-375,-8,-8,-921,-921,-264,0,-1193,-626,-264
2021-09-30,753,297,46,343,-6,11,115,120,1216,-329,0,0,0,11,-318,98,98,-933,-933,-268,0,-1103,-205,-268
2021-06-30,819,294,-12,282,-1,-5,-13,-19,1082,-333,0,-5,-5,11,-327,1086,1086,-922,-922,-247,0,-83,672,-247
2021-03-31,673.00000,292.00000,44.00000,336.00000,-95.00000,-20.00000,121.00000,6.00000,1015.00000,-228.00000,,,,26.00000,-202.00000,-84.00000,-84.00000,-597.00000,-597.00000,-249.00000,,-930.00000,-117.00000,-249.00000
2020-12-31,671,287,39,326,35,26,-188,-127,870,-399,6,-13,-7,49,-357,-56,-56,-463,-463,-238,0,-757,-244,-238
2020-09-30,569,293,118,411,-62,10,81,29,1009,-285,-1,0,-1,8,-278,-11,-11,-264,-264,-240,0,-515,216,-240
2020-06-30,392,282,42,324,66,8,13,87,803,-269,-5,0,-5,-33,-307,470,470,-191,-191,-240,0,39,535,-240
2020-03-31,381.00000,292.00000,388.00000,680.00000,32.00000,-21.00000,-117.00000,-106.00000,955.00000,-208.00000,,,,-25.00000,-233.00000,,,-452.00000,-452.00000,-242.00000,,-694.00000,28.00000,-242.00000
2019-12-31,666,285,67,352,53,22,-198,-123,895,-430,12,-18,-6,-5,-441,350,350,-543,-543,-244,23,-414,40,-244
2019-09-30,657,287,95,382,64,-10,-48,6,1045,-447,0,0,0,-24,-471,350,350,-497,-497,-247,0,-394,180,-247
2019-06-30,722,284,87,371,9,-28,-3,-22,1071,-450,-10,0,-10,-42,-502,54,54,-534,-534,-228,0,-708,-139,-228
2019-03-31,677.00000,283.00000,39.00000,322.00000,-39.00000,-21.00000,-58.00000,-118.00000,881.00000,-315.00000,-2.00000,,-2.00000,-33.00000,-350.00000,250.00000,250.00000,-498.00000,-498.00000,-230.00000,,-478.00000,53.00000,-230.00000
2018-12-31,702,282,-110,172,32,60,-124,-32,842,-514,-6,0,-6,3,-517,0,0,-479,-479,-217,0,-696,-371,-217
2018-09-30,702,276,37,313,-10,-7,60,43,1058,-445,-4,4,0,90,-355,1480,1480,-1577,-1577,-219,0,-316,387,-219
2018-06-30,710,274,38,312,-66,-15,69,-12,1010,-418,2,-4,-2,5,-415,-650,-650,-384,-384,-203,0,-1237,-642,-203
2018-03-31,552.00000,272.00000,37.00000,309.00000,-26.00000,-23.00000,4.00000,-45.00000,816.00000,-370.00000,-2.00000,,-2.00000,1.00000,-371.00000,443.00000,443.00000,-301.00000,-301.00000,-205.00000,,-63.00000,382.00000,-205.00000
2017-12-31,3968,268,-3108,-2840,18,23,-381,-340,788,-343,-3,0,-3,39,-307,-55,-55,-286,-286,-174,0,-515,-34,-174
2017-09-30,506,266,63,329,-47,44,57,54,889,-355,0,0,0,5,-350,-5,-5,-277,-277,-175,0,-457,82,-175
2017-06-30,497,265,47,312,41,-8,-112,-79,730,-420,-2,0,-2,2,-420,-252,-252,-194,-194,-177,0,-623,-313,-177
2017-03-31,433.00000,260.00000,47.00000,307.00000,-53.00000,-24.00000,183.00000,106.00000,846.00000,-403.00000,-2.00000,,-2.00000,1.00000,-404.00000,-100.00000,-100.00000,-166.00000,-166.00000,-177.00000,,-443.00000,-1.00000,-177.00000
2016-12-31,416,260,42,302,15,72,-83,4,722,-540,-4,0,-4,42,-502,100,100,-176,-176,-172,0,-248,-28,-172
2016-09-30,460,259,45,304,25,5,86,116,880,-325,-96,0,-96,3,-418,0,0,-171,-171,-173,0,-344,118,-173
2016-06-30,405,258,52,310,-2,9,-169,-162,553,-506,0,0,0,2,-504,594,594,-192,-192,-174,0,228,277,-174
2016-03-31,387.00000,253.00000,42.00000,295.00000,-15.00000,-44.00000,256.00000,197.00000,879.00000,-386.00000,-23.00000,,-23.00000,1.00000,-408.00000,-600.00000,-600.00000,-207.00000,-207.00000,-176.00000,,-983.00000,-512.00000,-176.00000
2015-12-31,361,289,254,543,157,17,-378,-204,700,-588,0,0,0,208,-380,591,591,-67,-67,-176,0,348,668,-176
2015-09-30,452,276,19,295,-48,-11,19,-40,707,-880,-2,0,-2,27,-855,100,100,-231,-231,-177,0,-308,-456,-177
2015-06-30,433,248,10,258,-23,-9,211,179,870,-478,0,0,0,4,-474,493,493,-345,-345,-179,0,-31,365,-179
2015-03-31,310.00000,246.00000,7.00000,253.00000,23.00000,-32.00000,77.00000,68.00000,631.00000,-376.00000,-3.00000,,-3.00000,1.00000,-378.00000,-101.00000,-101.00000,-420.00000,-420.00000,-181.00000,,-702.00000,-449.00000,-181.00000
