,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2014-12-31,511,241,273,514,48,13,-517,-456,569,-694,-100,0,-100,46,-748,100,100,-204,-204,-176,0,-280,-459,-176
2014-09-30,559,237,-6,231,19,2,98,119,909,-545,-1,0,-1,-61,-607,-332,-332,-29,-29,-176,0,-537,-235,-176
2014-06-30,562,240,24,264,-13,-11,47,23,849,-406,0,0,0,13,-393,-113,-113,-30,-30,-168,0,-311,145,-168
2014-03-31,368.00000,238.00000,-10.00000,228.00000,-85.00000,-17.00000,94.00000,-8.00000,588.00000,-359.00000,-3.00000,,-3.00000,108.00000,-254.00000,-100.00000,-100.00000,12.00000,12.00000,-167.00000,,-255.00000,79.00000,-167.00000
2013-12-31,513,235,43,278,59,1,-177,-117,674,-466,-101,0,-101,42,-525,495,495,-24,-24,-161,0,310,459,-161
2013-09-30,482,231,71,302,-11,4,121,114,898,-545,-22,0,-22,5,-562,460,460,-238,-238,-161,0,61,397,-161
2013-06-30,465,228,69,297,86,18,-83,21,783,-456,-2,0,-2,17,-441,-13,-13,-256,-256,-158,0,-427,-85,-158
2013-03-31,450.00000,228.00000,-25.00000,203.00000,-49.00000,-30.00000,149.00000,70.00000,723.00000,-360.00000,-5.00000,,-5.00000,-1.00000,-366.00000,-203.00000,-203.00000,22.00000,22.00000,-157.00000,,-338.00000,19.00000,-157.00000
2012-12-31,413,234,85,319,-8,20,-155,-143,589,-574,-9,0,-9,41,-542,196,196,-126,-126,-157,0,-87,-40,-157
2012-09-30,402,232,139,371,8,6,26,40,813,-522,-2,0,-2,4,-520,473,473,-270,-270,-159,0,44,337,-159
2012-06-30,524,230,49,279,-30,-14,-131,-175,628,-494,-8,0,-8,6,-496,-18,-18,-434,-434,-153,0,-605,-473,-153
2012-03-31,410.00000,226.00000,87.00000,313.00000,-34.00000,-19.00000,365.00000,312.00000,1035.00000,-459.00000,-4.00000,,-4.00000,27.00000,-436.00000,478.00000,478.00000,-369.00000,-369.00000,-155.00000,,-46.00000,553.00000,-155.00000
2011-12-31,480,223,111,334,7,3,-361,-351,463,-713,-47,0,-47,193,-567,697,697,-415,-415,-144,0,138,34,-144
2011-09-30,554,218,141,359,-38,-11,200,151,1064,-495,-21,0,-21,112,-404,-154,-154,-793,-793,-149,0,-1096,-436,-149
2011-06-30,557,215,131,346,-57,-11,213,145,1048,-435,-63,0,-63,79,-419,366,366,-412,-412,-141,0,-187,442,-141
2011-03-31,325.00000,213.00000,112.00000,325.00000,-127.00000,-21.00000,150.00000,2.00000,652.00000,-433.00000,-4.00000,,-4.00000,55.00000,-382.00000,-408.00000,-408.00000,-311.00000,-311.00000,-142.00000,,-861.00000,-591.00000,-142.00000
2010-12-31,402,209,136,345,101,10,-272,-161,586,-547,-63,0,-63,160,-450,88,88,-396,-396,-130,0,-438,-302,-130
2010-09-30,445,206,91,297,-16,0,20,4,746,-278,-181,0,-181,184,-275,241,241,-306,-306,-132,0,-197,274,-132
2010-06-30,392,205,4,209,-25,1,47,23,624,-292,-105,0,-105,26,-371,-340,-340,-93,-93,-126,0,-559,-306,-126
2010-03-31,257.00000,206.00000,39.00000,245.00000,-101.00000,-16.00000,373.00000,256.00000,758.00000,-256.00000,-155.00000,,-155.00000,51.00000,-360.00000,-128.00000,-128.00000,21.00000,21.00000,-126.00000,,-233.00000,165.00000,-126.00000
2009-12-31,307,215,160,375,89,8,-294,-197,485,-357,-147,0,-147,20,-484,88,88,34,34,-126,0,-4,-3,-126
2009-09-30,303,212,89,301,-55,16,167,128,732,-319,0,0,0,1,-318,-21,-21,8,8,-124,0,-137,277,-124
2009-06-30,247,209,57,266,-10,3,-217,-224,289,-297,-119,0,-119,11,-405,61,61,18,18,-125,0,-46,-162,-125
2009-03-31,177.00000,209.00000,14.00000,223.00000,39.00000,3.00000,-88.00000,-46.00000,354.00000,-242.00000,,,,-2.00000,-244.00000,275.00000,275.00000,6.00000,6.00000,-125.00000,,156.00000,266.00000,-125.00000
