,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1454,1483,-65,1418,-585,499,12,-381,-133,2739,-544,0,121,-419,-298,-1,-843,-1335,1713,378,-872,-872,-620,-9,-1123,658,-620
2022-09-30,2040,551,17,568,82,-1085,359,-93,-127,2481,-419,0,39,587,626,-17,190,512,-758,-246,-1387,-1387,-633,-1,-2267,332,-633
2022-06-30,1673,553,-83,470,655,-971,-25,-83,90,2233,-396,1,-152,-75,-227,47,-575,-2356,1844,-512,-1072,-1072,-592,0,-2176,-509,-592
2022-03-31,1537.00000,557.00000,-151.00000,406.00000,-372.00000,-1032.00000,452.00000,361.00000,-1630.00000,313.00000,-410.00000,,-13.00000,-875.00000,-888.00000,-15.00000,-1313.00000,2125.00000,-2397.00000,-272.00000,-848.00000,-848.00000,-595.00000,,-1715.00000,-2731.00000,-595.00000
2021-12-31,2120,586,-781,-195,-933,-391,809,-321,-513,1412,-397,13,-183,-512,-695,87,-992,-1118,2164,1046,-1033,-1033,-599,0,-586,-186,-599
2021-09-30,1428,593,-267,326,17,-1016,339,306,-14,1740,-346,-5,258,-337,-79,55,-375,-629,-136,-765,-1372,-1372,-607,-2,-2746,-1393,-607
2021-06-30,1414,587,43,630,200,-522,160,-129,74,2118,-269,0,-742,-214,-956,-15,-1240,-2689,2044,-645,-193,-193,-564,0,-1402,-509,-564
2021-03-31,1531.00000,586.00000,5.00000,591.00000,-543.00000,-657.00000,733.00000,-2.00000,-194.00000,1928.00000,-195.00000,28.00000,146.00000,-408.00000,-262.00000,-48.00000,-477.00000,1629.00000,-584.00000,1045.00000,65.00000,65.00000,-562.00000,-2.00000,546.00000,1985.00000,-562.00000
2020-12-31,780,617,483,1100,-31,105,694,-499,192,2072,-402,12,-112,-38,-150,14,-526,-435,-666,-1101,119,119,-560,0,-1542,47,-560
2020-09-30,671,593,316,909,297,6,59,-276,154,1734,-325,0,295,-99,196,-87,-216,1099,-1661,-562,120,120,-558,0,-1000,528,-558
2020-06-30,459,608,210,818,676,396,-745,-131,114,1391,-284,13,-111,-120,-231,-28,-530,1855,-437,1418,-74,-74,-558,0,786,1661,-558
2020-03-31,1093.00000,614.00000,300.00000,914.00000,500.00000,-541.00000,90.00000,-107.00000,-877.00000,1130.00000,-332.00000,,231.00000,-147.00000,84.00000,35.00000,-213.00000,-325.00000,-40.00000,-365.00000,-1066.00000,-1066.00000,-567.00000,-1.00000,-1999.00000,-1162.00000,-567.00000
2019-12-31,1097,644,557,1201,-256,950,-356,-361,136,2434,-472,38,-233,80,-153,13,-574,-1221,868,-353,-585,-585,-568,-1,-1507,356,-568
2019-09-30,1494,645,208,853,593,-189,-803,-1263,-1578,769,-241,3,34,-74,-40,3,-275,2326,-570,1756,-1158,-1158,-578,0,20,477,-578
2019-06-30,1619,647,329,976,-16,326,-221,-318,-7,2588,-465,0,-407,-24,-431,-2,-898,341,86,427,-1310,-1310,-492,-1,-1376,301,-492
2019-03-31,1884.00000,641.00000,77.00000,718.00000,-150.00000,-813.00000,355.00000,177.00000,-1481.00000,1121.00000,-338.00000,,247.00000,-52.00000,195.00000,-38.00000,-181.00000,98.00000,-522.00000,-424.00000,-756.00000,-756.00000,-494.00000,-1.00000,-1675.00000,-732.00000,-494.00000
2018-12-31,1049,701,1091,1792,-894,243,213,-709,-758,2083,-583,2,-161,-45,-206,-11,-798,-353,1227,874,-1777,-1777,-507,-22,-1432,-156,-507
2018-09-30,1727,698,184,882,-22,-614,-49,-881,-1217,1392,-408,2,-30,87,57,3,-346,1560,-1952,-392,-714,-714,-511,-28,-1645,-648,-511
2018-06-30,1705,686,298,984,-377,-405,59,-63,-541,2148,-490,0,-733,-50,-783,5,-1268,739,336,1075,-643,-643,-466,-1,-35,767,-466
2018-03-31,1667.00000,681.00000,148.00000,829.00000,-326.00000,-803.00000,486.00000,126.00000,-1561.00000,935.00000,-499.00000,12.00000,119.00000,-448.00000,-329.00000,16.00000,-800.00000,-868.00000,1151.00000,283.00000,-351.00000,-351.00000,-467.00000,-3.00000,-538.00000,-393.00000,-467.00000
2017-12-31,-1299,724,1668,2392,-696,194,107,-436,-552,541,-399,7,-192,35,-157,16,-533,-435,-655,-1090,213,213,-464,-2,-1343,-1337,-464
2017-09-30,1061,723,106,829,-13,-801,258,-284,-649,1241,-212,2,57,-169,-112,48,-274,470,-1898,-1428,270,270,-461,-1,-1620,-626,-461
2017-06-30,803,720,188,908,-89,-244,381,223,671,2382,-286,91,160,-47,113,16,-66,-97,-1123,-1220,102,102,-454,0,-1572,748,-454
2017-03-31,194.00000,710.00000,302.00000,1012.00000,-353.00000,-444.00000,732.00000,-91.00000,336.00000,1542.00000,-275.00000,,167.00000,6.00000,173.00000,9.00000,-93.00000,737.00000,618.00000,1355.00000,-19.00000,-19.00000,-452.00000,-6.00000,878.00000,2336.00000,-452.00000
2016-12-31,-1167,779,1368,2147,-299,778,-37,271,684,1664,-401,0,45,219,264,-25,-162,-281,251,-30,31,31,-451,0,-450,1035,-451
