,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-153.4,393.6,103.7,497.3,142.8,0,-487.5,-120.2,-464.9,-119.6,-38.3,0,-58.9,81.8,-4,77.8,-4.8,-24.2,-200,0,-200,10.9,10.9,-39.8,-228.9,-355.1,86.7
2022-09-30,-257,378.1,150.6,528.7,-199.7,0,18.7,-23.7,-204.7,54.6,-56.9,0,-54.8,111.5,16.9,128.4,0,16.7,0,0,0,0,0,116.5,116.5,166.3,107.9
2022-06-30,-104.00000,191.20000,135.50000,326.70000,214.90000,,18.80000,-330.60000,-96.90000,100.80000,-42.50000,,-3128.10000,242.80000,120.50000,363.30000,,-2807.30000,2082.10000,,2082.10000,11.40000,11.40000,-76.50000,2017.00000,-704.20000,43.90000
2022-03-31,110.922,13.817,128.58,142.397,67.943,4.106,93.695,-184.3221,-18.5781,238.784,-25.242,0,-4.031,161.274,487.293,648.567,-0.278,619.016,0.2,0,0.2,0.045,0.045,-17.358,-17.113,838.084,40.469
2021-12-31,144.6,114.6,-19.2,95.4,157,0,-440.7,-230.9,-514.6,-264.5,-22.2,0,-25.7,1.6,-50.5,-48.9,1.1,-95.7,0,0,0,10.4,10.4,-5.7,4.7,-357.5,46.3
2021-09-30,10.2,105.2,110.5,215.7,-317.5,0,343.4,-116.5,-90.6,135.5,-24.8,0,-33.7,2.1,-313.9,-311.8,0,-370.3,-0.2,0,-0.2,-200,-200,-5.1,-205.3,-442.6,47.1
2021-06-30,152.30000,52.20000,70.30000,122.50000,74.70000,,-42.00000,-161.20000,-128.50000,148.20000,-86.40000,,-97.90000,-141.30000,311.80000,170.50000,,-13.80000,,,,9.20000,9.20000,-48.30000,-39.10000,97.10000,49.10000
2021-03-31,218.812,56.625,49.894,106.519,27.651,8.955,-36.103,-206.781,-206.278,124.657,-28.716,0,-22.944,-78.003,-436.162,-514.165,0,-565.825,0,0,0,-0.001,-0.001,-10.966,-10.967,-452.542,-29.363
2020-12-31,182.248,65.592,-19.167,46.425,209.021,0.814,-67.307,-212.827,-70.299,160.916,-15.186,0,-4.043,-25.405,306.359,280.954,0,261.725,0,0,0,7.712,7.712,-12.384,-4.672,428.009,41.116
2020-09-30,99.321,35.871,65.003,100.874,-97.631,-7.135,182.083,47.737,-19.166,181.322,-16.116,0,-75.482,-104.148,-59.413,-163.561,0,-255.159,0,0,0,0,0,-9.696,-9.696,-76.492,45.308
2020-06-30,88.50500,74.72500,53.41100,128.13600,-91.84600,-0.13100,,179.46300,231.70600,445.42300,-8.90500,,,-70.63400,-167.92600,-238.56000,,-247.46500,,,,6.50300,6.50300,-38.50600,-32.00300,167.88000,53.41100
2020-03-31,122.722,85.474,82.853,168.327,54.225,4.801,37.672,-149.309,-52.611,245.703,-18.594,0,0,-30.531,80.251,49.72,0,31.126,0,0,0,0,0,-16.708,-16.708,250.958,81.283
2019-12-31,163.642,44.9,79.38,124.28,213.31,15.752,-116.944,-101.707,10.411,295.817,-9.258,0,-3.325,-64.652,86.358,21.706,0,9.123,0,0,0,10.515,10.515,-9.782,0.733,312.031,63.399
2019-09-30,71.815,58.977,55.767,114.744,-507.06,-16.093,379.005,86.789,-153.94,35.623,-15.561,0,0,-58.349,-129.083,-187.432,0,-202.993,0,0,0,0,0,-9.36,-9.36,-181.592,55.767
2019-06-30,46.28000,47.19200,57.43200,104.62400,44.04100,4.02900,,-188.34100,-43.69000,108.53500,-9.97100,,-8.71500,54.17600,131.30300,185.47900,,166.79300,,,,,,-52.11800,-52.11800,220.00900,57.43200
2019-03-31,56.83,75.89,161.909,237.799,427.906,11.949,201.152,-193.216,154.1,453.316,-23.323,0,-25,37.627,-235.158,-197.531,0,-245.854,0,0,0,-100,-100,-15.456,-115.456,96.491,69.091
2018-12-31,179.947,137.642,141.453,279.095,-292.745,-0.427,0,110.637,139.49,596.234,-14.502,0,0,-13.406,30.497,17.091,0,2.589,0,0,0,-108.892,-108.892,-21.87,-130.762,462.401,123.668
2018-09-30,25.367,28.445,30.343,58.788,-294.591,-29.617,29.597,42.572,-280.373,-194.852,-14.855,0,0,11.098,63.444,74.542,0,59.687,0,0,0,0,0,-5.564,-5.564,-141.09,30.343
2018-06-30,71.69300,22.84900,24.59800,47.44700,61.35500,3.69200,-29.59700,-162.79300,-127.34300,-11.18300,-14.28900,,-3.14900,7.28000,-29.84000,-22.56000,,-39.99800,,,,-153.50000,-153.50000,-58.40300,-211.90300,-272.18700,24.59800
2018-03-31,90.853,32.665,-12.33,20.335,179.086,16.893,34.647,-92.881,137.745,252.454,-14.079,0,0,-19.315,-55.918,-75.233,0,-89.312,0,0,0,-44.656,-44.656,-31.745,-76.401,97.11,20.238
2017-12-31,25.14,42.002,12.314,54.316,3.114,5.745,164.086,100.554,27.027,108.721,-14.761,0,-9.401,-86.878,50,-36.878,0,-61.04,0,0,0,-110.136,-110.136,-8.805,-118.941,-69.466,13.028
2017-09-30,-2.736,46.359,67.231,113.59,-199.904,-24.172,-71.281,9.63,-39.255,82.462,-17.209,0,0,-43.85,-15.001,-58.851,0,-76.06,0,0,0,0,0,-28.436,-28.436,-15.721,59.012
2017-06-30,60.27600,39.55500,22.96800,62.52300,-9.29400,5.45100,71.28100,-130.67800,-63.24000,49.89000,-41.47300,,,21.05700,-24.99900,-3.94200,,-45.41500,,,,,,-57.68900,-57.68900,-46.76600,24.07100
