,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,126.615,194.068,-7.661,186.4071,-12.762,-1.104,48.611,-16.757,30.7,343.722,-192.544,0,-13.497,-4.986,-3.709,-8.695,1.472,-213.264,-159.834,-159.834,4.881,4.881,-75.947,-230.9,-123.225,17.523
2022-09-30,164.694,194.414,31.475,225.8889,-3.589,2.274,14.353,143.039,319.949,710.532,-142.671,0,-34.32,26.849,-4.37,22.479,0.661,-153.851,-192.6691,-192.6691,-179.178,-179.178,-73.416,-445.263,106.477,27.795
2022-06-30,284.616,171.176,-3.831,167.345,-65.773,-2.776,3.115,-75.709,-263.84,188.121,-38.877,0,-4.325,-86.467,-15.774,-102.241,0.577,-144.866,385.929,385.929,-428.565,-428.565,-60.758,-103.394,-64.844,25.205
2022-03-31,205.71800,172.94400,30.24100,203.18500,-66.27000,0.84900,21.40200,0.76500,-86.70800,322.19500,-111.75500,,-5.16600,6.11700,-8.03200,-1.91500,0.47000,-118.36600,-44.70500,-44.70500,-236.73300,-236.73300,-60.13300,-341.57100,-134.37900,24.90400
2021-12-31,249.432,174.763,34.785,209.5481,67.652,8.21,17.092,-26.817,70.908,529.888,-174.67,0,-141.907,-15.324,-5.999,-21.323,1.352,-336.548,-46.122,-46.122,-656.367,-656.367,-71.874,-774.363,-583.649,26.311
2021-09-30,319.754,170.462,53.441,223.903,-88.621,0.78,-0.022,16.097,23.295,566.952,-140.667,0,-21.253,-0.377,-1.896,-2.273,-0.293,-164.486,-56.3021,-56.3021,-338.148,-338.148,-69.701,-464.151,-67.869,24.181
2021-06-30,351.031,169.689,47.574,217.263,107.103,2.033,28.114,-9.795,111.438,679.732,-136.088,0,-20.222,-5.705,2.52,-3.185,0.162,-159.333,-51.9919,-51.9919,-285.338,-285.338,-44.4,-381.73,145.438,28.122
2021-03-31,291.54500,165.70100,43.33800,209.03900,-224.27400,-5.30300,-75.50400,22.41200,-346.28000,154.30400,-128.57600,,-3.66800,15.44900,-8.54900,6.90000,0.97800,-124.36600,908.67100,908.67100,-318.77400,-318.77400,-52.61900,537.27800,559.25000,23.59500
2020-12-31,234.37,161.486,100.833,262.319,-8.682,-3.904,36.755,-40.022,-11.891,484.798,-257.845,0,-69.416,-0.312,-12.728,-13.04,2.237,-338.064,37.3977,37.3977,-437.377,-437.377,-65.1,-465.079,-315.547,24.241
2020-09-30,217.54,156.894,178.272,335.166,-27.599,-7.749,16.303,37.225,-69.979,482.727,-145.505,0,-68.33,135.016,-1.512,133.504,0.163,-80.168,-1789.532,-1789.532,-698.136,-698.136,-133.603,-2621.271,-2218.382,25.092
