,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,813.2,389.5,57.3,446.8,-202.6,10.2,-283.9,-360.3,899.7,-49.7,-92.1,-14.4,0,264.4,264.4,0,108.2,7494.9,0,7494.9,-196.4,-196.4,-432.6,-187.6,6678.3,7706.5,58.4,-432.6
2022-09-30,779.00000,394.60000,72.40000,467.00000,201.50000,-30.70000,-504.00000,-527.90000,718.10000,-45.40000,-86.30000,,,-1445.90000,-1445.90000,,-1577.60000,-15592.20000,,-15592.20000,-332.30000,-332.30000,-432.90000,54.80000,-16302.60000,-17207.00000,50.60000,-432.90000
2022-06-30,625.5,396.3,121.3,517.6,47.1,24.9,-321.5,-230.2,912.9,-47.6,-96.7,0,0,-906.4,-906.4,0,-1050.7,-7978.3,0,-7978.3,-464.5,-464.5,-434.3,151.8,-8725.3,-8947.6,55.5,-434.3
2022-03-31,928.5,396,-23.2,372.7999,-507.6,-21.4,-268.3,-330.3,971,-43,-101.6,0,0,-2350.7,-2350.7,0,-2495.3,13620,0,13620,-468.3,-468.3,-437.7,0,12714,11196.4,48.3,-437.7
2021-12-31,694.4,389.9,65.5,455.4001,25.8,42,-174.4,-56.1,1093.7,-39.9,-87.5,-11.7,0,-2092.9,-2092.9,0,-2232,-685.1,0,-685.1,-395.4,-395.4,-393.8,-45.8,-1520.1,-2658.1,55.6,-393.8
2021-09-30,700.50000,389.10000,54.00000,443.10000,-51.80000,-61.90000,-494.20000,-1021.70000,121.90000,-9.70000,-93.20000,,,-1133.50000,-1133.50000,,-1236.40000,12100.40000,,12100.40000,-544.70000,-544.70000,-393.20000,22.30000,11184.80000,10049.10000,42.30000,-393.20000
2021-06-30,538.2,381.6,-157.9,223.7,25.4,27.1,-235.4,-109.1,652.8,-22.3,-87.1,0,0,-1039.2,-1039.2,0,-1148.6,-5673.5,0,-5673.5,-439.2,-439.2,-396,22.5,-6486.2,-6978.6,48.9,-396
2021-03-31,810.7,382.5,8.8,391.3,-278.7,-0.4,-150.7,50.2,1252.2,-58.3,-92.1,0,0,-1266.4,-1266.4,0,-1416.8,4963,0,4963,-393,-393,-397.8,0,4172.2,3993.3,45.5,-397.8
2020-12-31,647.5,375.6,10.9,386.5,-7.8,4.5,-188.5,-327.6,706.4,-35.9,-71.7,0,0,-1106.2,-1106.2,0,-1213.8,6832.6,0,6832.6,-214.5,-214.5,-390.7,0,6227.4,5766.8,47.1,-390.7
2020-09-30,602.10000,375.80000,54.90000,430.70000,-78.70000,5.70000,-454.80000,-550.90000,481.90000,-43.30000,-76.40000,,,383.90000,383.90000,,264.20000,3193.80000,,3193.80000,-221.50000,-221.50000,-391.00000,-57.20000,2524.10000,3308.10000,33.80000,-391.00000
2020-06-30,411.6,361.6,41.9,403.5,167.8,-14.7,-148.1,-38.5,776.6,-27.6,-182.7,0,0,2888.0002,2888.0002,0,2677.7,-4565.3,0,-4565.3,16.7,16.7,-391.6,13.6,-4926.6,-1465.4,24.1,-391.6
2020-03-31,820.9,366.4,71.2,437.6001,-82.8,-15.9,-156.9,-139.8,1118.7,-38.6,-93.3,0,0,735.3999,735.3999,0,603.5,-5742.7,0,-5742.7,-353.5,-353.5,-392.9,0,-6489.1,-4796.1,33.4,-392.9
2019-12-31,651.6,360.4,32.6,392.9999,-102,27.4,-213.7,-346.5,698.1,-43.7,-79.5,0,0,-123.9,-123.9,0,-247.1,15156.4,-3536.7,11619.7,-277.7,-277.7,-342.7,-428.3,10571,11042.9,36.2,-342.7
2019-09-30,582.40000,356.80000,88.80000,445.60000,-96.80000,-15.10000,-391.70000,-595.20000,432.80000,-33.40000,-88.20000,,,243.79990,243.79990,,122.20000,-8063.80000,3536.70000,-4527.10000,-341.80000,-341.80000,-343.30000,166.30000,-5045.90000,-4524.00000,37.10000,-343.30000
2019-06-30,475.4,339.3999,67.6,407,52.8,-36.1,-238.3,-150.1,732.3,-41.7,-74.6,-5.1,0,-878.4,-878.4,0,-999.8,-6916.5,0,-6916.5,-154.7,-154.7,-343.4,261.5,-7153.1,-7415.3,45.1,-343.4
2019-03-31,753.8,335.2001,33,368.2,143.3,6.4,-154.5,-97.5,1024.5,-40.3,-190.6,0,0,-497.8,-497.8,0,-728.7,10178.6,-1206,8972.6,-189,-189,-344.6,-5.3,8433.7,8727.5,45.2,-344.6
2018-12-31,558.2,328.3,73.6,401.9,-430.8,21.3,-133.3,-177.8,782.3,-28.9,-65.5,-0.7,0,78.6,78.6,0,-16.5,143.8,1206,1349.8,-269.6,-269.6,-302.4,-448.4,329.4,1075.7,38.6,-302.4
2018-09-30,505.40000,330.20000,94.00000,424.20000,-239.20000,-2.30000,-461.10000,-780.40000,149.20000,-43.20000,-73.80000,-119.70000,,-216.00000,-216.00000,,-452.70000,-1712.00000,,-1712.00000,-251.50000,-251.50000,-302.60000,448.40000,-1817.70000,-2133.80000,38.40000,-302.60000
2018-06-30,140.9,329.1,381.2,710.3001,-52.5,29.2,-162.2,-146,705.2,-46.1,-68.9,0,0,-431.6,-431.6,0,-546.6,-6360.3,0,-6360.3,-369.9,-369.9,-278.6,-5.3,-7014.1,-6902.8,56,-278.6
2018-03-31,661,325.2,68.9,394.0999,97.8,-28.4,-28.5,79.8,1134.9,-41.3,-63.4,-125,0,-402,-402,0,-631.7,-507.4,0,-507.4,-136.3,-136.3,-278.4,0,-922.1,-414.9,41.7,-278.4
2017-12-31,670.4,340.3,-190.9,149.4,-255.4,21.8,-206.9,-389.4,430.4,-45,-62.7,-487.4,0,-438.6,-438.6,0,-1033.7,8876,0,8876,-148.6,-148.6,-253,-129.4,8345,7776.6,38.7,-253
2017-09-30,412.60000,291.90000,126.10000,418.00000,-81.70000,-24.50000,-460.70000,-585.90000,244.70000,-73.30000,-69.70000,,,-149.60000,-149.60000,,-292.60000,-1675.20000,,-1675.20000,-265.20000,-265.20000,-253.70000,129.40000,-2064.70000,-2098.40000,39.00000,-253.70000
2017-06-30,320.2,890.2,75.2,965.4,113.5,17.9,-986.5,-828.4,457.2,-65.7,-68.3,-0.7,0,-23.7998,-23.7998,0,-158.5,-6757.8,0,-6757.8,-281.6,-281.6,-255.8,0,-7295.2,-6923.4,37.7,-255.8
2017-03-31,588,98.2,46,144.2,29.6,-13.4,-8.8,95.4,827.6,-54.8,-55.5,-66.7,0,-283.8999,-283.8999,0,-460.9,3436.1,0,3436.1,-136.2,-136.2,-257.1,0,3042.8,3383.5,34.3,-257.1
2016-12-31,510.9,100.7,-78.4,22.3,-240.7,20.2,77.5,-21.9,511.3,-71,-49.4,234,0,-210.5,-210.5,0,-96.9,6127.9,0,6127.9,-403.1,-403.1,-240.5,0,5484.3,5859.9,35.8,-240.5
2016-09-30,368.70000,100.80000,77.30000,178.10000,121.00000,-36.30000,-221.60000,-217.00000,329.80000,-48.70000,-57.20000,-20.00000,,-271.00000,-271.00000,,-396.90000,-8928.80000,,-8928.80000,-343.00000,-343.00000,-241.80000,,-9513.60000,-9597.00000,31.10000,-241.80000
2016-06-30,282,97,25.8,122.8001,321.2,-18.2,97.8,258.1,662.9,-40.9,-57.4,0,0,-481.1999,-481.1999,15969.9,15390.4,-7295.3,0,-7295.3,-42.1,-42.1,-242.4,-0.1,-7579.9,8470.2,35.2,-242.4
2016-03-31,532.5,96.3,34.9,131.2,-434.6,20.3,19.4,55.3,719,-28.2,-54.4,0,0,-404.4,-404.4,-9906.7,-10393.7,10316.7,0,10316.7,-268.6,-268.6,-242.4,0.1,9805.8,146.5,31.7,-242.4
2015-12-31,341.4,96.5,37.8,134.3,-78.9,1.5,23.1,-69.4,406.3,-28.1,-60.3,-0.3,0,-170.8001,-170.8001,-5925.4,-6184.9,6068,0,6068,-439.6,-439.6,-229.8,0,5398.6,-389.8,36,-229.8
2015-09-30,336.60000,92.90000,52.50000,145.40000,-32.30000,-19.50000,-249.20000,-372.90000,109.10000,-55.60000,-45.40000,162.50000,,395.50010,395.50010,-137.80000,319.20000,1710.70000,,1710.70000,-330.10000,-330.10000,-229.00000,-23.40000,1128.20000,1545.40000,34.70000,-229.00000
2015-06-30,336.2,95.7,37.8,133.5,37.8,29.3,-2.3,40.1,509.8,-51.3,-45.1,98.6,0,-457.8998,-457.8998,4171.9,3716.2,-3737.4,0,-3737.4,-408.2,-408.2,-231.4,-24.5,-4401.5,-169.3,32.5,-231.4
2015-03-31,489.6,95.1,11.8,106.9,-26.8,-6.6,98.2,260.6,857.1,-27.1,-47.2,0,0,-270.0002,-270.0002,6247.6,5903.3,-5910.8,0,-5910.8,-606.5,-606.5,-234.9,-0.6,-6752.8,-42.2,35.8,-234.9
2014-12-31,331.5,94.4,34.6,129,-213.9,-0.5,19.4,-231.6,228.9,-44.3,-40.5,0,0,-179.7,-179.7,-13382.4,-13646.9,15673.6,-1937,13736.6,-388.7,-388.7,-231.5,4.2,13120.6,-324.9,36.2,-231.5
2014-09-30,295.20000,93.00000,208.10000,301.10000,27.80000,-9.10000,-224.40000,-218.10000,378.20000,-12.50000,-43.90000,-188.10000,,-299.00000,-299.00000,810.60000,267.10000,46.70000,-236.00000,-189.30000,-44.70000,-44.70000,-229.80000,45.80000,-418.00000,192.10000,38.70000,-229.80000
