,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2020-06-30,159.216,268.655,-92.079,176.576,11.589,63.967,399.759,1099.718,0,0,-19.308,-19.308,-87.978,992.432,429.79,429.79,-3.344,-3.344,-256.169,-130.291,39.986,1433.177,7.29,-256.169
2020-03-31,329.38000,277.45600,-208.23300,69.22300,43.28400,13.25400,411.85700,292.43300,,,-0.75300,-0.75300,-141.93200,149.74800,-729.25700,-729.25700,591.00100,591.00100,-354.67800,-51.36100,-544.29500,7.30000,7.08300,-354.67800
2019-12-31,240.136,265.656,-94.6481,171.008,-55.163,-85.076,326.068,-1093.1221,0,0,53.808,53.808,48.848,-990.466,720.6248,720.6248,370.02,370.02,-352.744,-28.218,709.683,55.031,4.546,-352.744
2019-09-30,647.932,275.825,-508.831,-233.006,-4.938,-59.508,355.418,1513.3501,0,0,24.105,24.105,-64.416,1473.039,-1407.9168,-1407.9168,38.949,38.949,-352.869,-131.5,-1853.337,-28.983,5.309,-352.869
2019-06-30,150.04,251.819,4.014,255.833,21.931,104.714,510.587,-2634.369,0,0,-40.163,-40.163,-54.1,-2728.632,2448.1141,2448.1141,113.613,113.613,-352.296,-36.422,2173.009,-47.721,7.663,-352.296
2019-03-31,292.30200,249.92400,-145.71500,104.20900,-25.24800,-52.61600,343.89500,252.79600,,,-38.24200,-38.24200,-17.28600,197.26800,-621.69310,-621.69310,533.54300,533.54300,-342.80300,-21.25200,-452.20500,91.31000,7.52900,-342.80300
2018-12-31,124.696,248.348,15.412,263.7599,17.052,-15.66,372.796,-201.565,0,0,9.392,9.392,-61.005,-253.178,-289.855,-289.855,547.164,547.164,-342.589,4.089,-81.191,34.844,4.846,-342.589
2018-09-30,84.226,247.896,-20.597,227.299,4.443,61.199,372.724,-2421.126,0,0,132.436,132.436,25.146,-2263.544,2038.915,2038.915,232.223,232.223,-335.415,-35.874,1899.849,8.902,6.075,-335.415
2018-06-30,167.273,240.733,25.606,266.339,-21.257,36.168,469.78,-240.006,0,0,-39.402,-39.402,-11.418,-290.826,217.051,217.051,2.974,2.974,-335.351,-49.615,-164.941,8.264,5.168,-335.351
2018-03-31,453.55500,233.09000,-312.88500,-79.79500,5.59100,-5.11600,368.64400,417.31800,,,54.86000,54.86000,-51.10100,421.07700,-481.32900,-481.32900,7.21400,7.21400,-335.50800,-25.72600,-835.34900,-45.18400,11.55700,-335.50800
2017-12-31,-89.743,243.061,153.336,396.3968,109.961,-34.941,271.713,588.3841,-805.264,0,98.5,98.5,-127.457,-245.837,256.846,256.846,90.995,90.995,-332.996,-29.265,-14.42,13.992,2.643,-332.996
2017-09-30,89.304,234.576,-24.565,210.0111,-82.668,19.04,318.355,-417.831,0,0,62.535,62.535,-0.926,-356.222,35.41,35.41,106.541,106.541,-332.266,23.185,-167.13,-192.33,6.79,-332.266
2017-06-30,203.442,229.316,-33.966,195.35,9.264,59.791,458.583,-148.799,0,0,13.813,13.813,-28.548,-163.534,-185.428,-185.428,304.8,304.8,-330.561,-28.162,-239.351,64.504,4.763,-330.561
2017-03-31,337.61000,231.64500,-190.13600,41.50900,-13.07100,6.40700,385.52600,873.26900,,,-8.36500,-8.36500,55.27000,920.17400,-932.90200,-932.90200,119.65100,-167.84900,-329.79400,-62.08100,-1492.62600,-184.08300,4.90600,-329.79400
2016-12-31,351.109,231.279,-175.691,55.588,17.52,-47.801,358.896,959.0832,0,21.218,51.577,72.795,75.815,1107.693,-996.2501,-996.2501,14.127,14.127,-328.489,-28.572,-1339.184,116.821,8.251,-328.489
