,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,46.80000,373.20000,3.80000,377.00000,284.90000,-53.80000,-64.30000,-157.90000,265.90000,-277.70000,-827.60000,,,,25.10000,-1080.20000,773.00000,301.50000,1074.50000,2.40000,2.40000,-70.00000,-24.00000,982.90000,155.00000,9.60000,-70.00000
2022-09-30,344.9,371.2,-1.1,370.1,98.5,-46.5,257.5,-174.7,540.3,-290.5,0,0,0,0,28.7,-261.8,-99.0001,-182.8,-281.8001,3.3,3.3,-63.6,26.6,-315.5,-45.2,19,-63.6
2022-06-30,379.8,377.3,-16.1,361.2,-30.9,-130.5,-22.3,96.4,837.4,-212.8,0,0,0,0,5.2,-207.6,-304.1,-41.8,-345.9,-278.9,-278.9,-63.8,10.6,-678,-54.8,34.6,-63.8
2022-03-31,40.7,373.6,207,580.6,-289.5,-15.9,-112,-231.4,389.9,-180.4,0,0,0,0,28.6,-151.8,-60.2,224.6,164.4,-225.5,-225.5,-65.8,-56.6,-183.5,68.9,24.5,-65.8
2021-12-31,183.80000,366.50000,-71.20000,295.30000,60.40000,-117.50000,-44.10000,-226.30000,252.80000,-150.70000,-7.00000,,,,2.90000,-154.80000,-20.90000,,-20.90000,-93.90000,-93.90000,-66.30000,76.80000,-104.30000,0.40000,15.20000,-66.30000
2021-09-30,324.6,365.1,31.1,396.2,-95.5,-69.2,-229.9,-43.3,677.5,-308.1,0,0,0,0,17.6,-290.5,-471,0,-471,-118.9,-118.9,-64,14.8,-639.1,-258.9,14.2,-64
2021-06-30,251,369,0.1,369.1,-76.4,-50.9,-23.1,130.7,750.8,-201.2,0,1.2,0,1.2,9.7,-190.3,-311.6,0,-311.6,14.5,14.5,-64,4.4,-356.7,215.8,23.3,-64
2021-03-31,114.4,361.4,17.2,378.6,-407.2,-35.6,-107.3,-360.8,132.2,-131.2,0,63.5,0,63.5,12.9,-54.8,41.9,0,41.9,12.6,12.6,-53.2,-1.8,-0.5,80.2,31.1,-53.2
2020-12-31,152.50000,364.50000,-46.30000,318.20000,150.20000,-44.30000,-19.30000,248.70000,719.40000,-168.70000,,23.30000,,23.30000,5.00000,-140.40000,-523.70000,,-523.70000,-12.40000,-12.40000,-52.60000,4.60000,-584.10000,2.70000,20.00000,-52.60000
2020-09-30,-1154.5,1698.8,70.2,1769,-51.9,92.5,-104.1,117.2,731.7,-105.4,0,0,1,1,8.3,-96.1,-275.0999,0,-275.0999,5.5,5.5,-50.5,-348.9,-669,-40.4,31.9,-50.5
2020-06-30,180,365.7,30.5,396.2,142.8,-7.5,34.6,164,740.2,-242.8,0,0,-0.3,-0.3,7,-236.1,-661.2,34.8,-626.4,3.3,3.3,-52.6,-183.5,-859.2,-348.7,68.8,-52.6
2020-03-31,148.9,374.5,4.2,378.7,-214.3,20.7,-61.8,-360,167.6,-228,0,0,-0.4,-0.4,0,-228.4,604.5,-9.4,595.1,-2.1,-2.1,-121.1,96.5,568.4,483.8,15.8,-121.1
2019-12-31,139.50000,381.20000,-2.60000,378.60000,153.90000,-83.90000,-71.10000,-86.90000,431.20000,-366.90000,,,-0.30000,-0.30000,6.30000,-360.90000,77.40000,-25.40000,52.00000,15.50000,15.50000,-120.30000,-8.50000,-61.30000,4.80000,13.80000,-120.30000
2019-09-30,312.4,383.1,-2.7,380.4,179,-71,47.1,217.8,910.6,-381.5,-5.9,0,10.4,10.4,-1.9,-378.9,-366,339.2,-26.8,9.7,9.7,-113.8,-428.4,-559.3,-27.5,12.9,-113.8
