,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-3069,796,1793,2589,27,-45,1466,1423,841,-780,5662,0,4882,-4474,-4474,-200,-200,0,-7,-4681,1042,27,0
2022-09-30,578,808,30,838,-59,-34,-242,-323,1123,-843,2707,0,1864,-2887,-2887,0,0,-255,-1,-3143,-156,23,-255
2022-06-30,344,827,126,953,-99,117,61,58,1396,-702,0,1,-701,-458,-458,0,0,-254,-1,-713,-18,25,-254
2022-03-31,599.00000,808.00000,227.00000,1035.00000,131.00000,-38.00000,-441.00000,-314.00000,1375.00000,-571.00000,,2.00000,-569.00000,-474.00000,-474.00000,,,-271.00000,-31.00000,-776.00000,30.00000,23.00000,-271.00000
2021-12-31,508,877,76,953,-28,-21,275,150,1607,-803,0,40,-763,-794,-794,-91,-91,-253,-1,-1139,-295,31,-253
2021-09-30,544,951,215,1166,16,-59,37,30,1730,-666,0,12,-654,-140,-140,-909,-909,-266,-3,-1318,-242,27,-266
2021-06-30,506,1041,216,1257,-41,-88,58,-131,1639,-615,0,-5,-620,-298,-298,0,0,-274,-4,-576,443,42,-274
2021-03-31,475.00000,1150.00000,170.00000,1320.00000,45.00000,-93.00000,-277.00000,-294.00000,1525.00000,-681.00000,,6.00000,-675.00000,-435.00000,-435.00000,,,-294.00000,-45.00000,-774.00000,76.00000,20.00000,-294.00000
2020-12-31,-2289,1195,2827,4022,149,-218,90,-42,1682,-724,0,0,-724,-802,-802,0,0,-272,-4,-1078,-120,55,-272
2020-09-30,366,1193,165,1358,-32,-98,-3,-40,1794,-953,0,11,-942,-1806,-1806,0,0,-275,-8,-2089,-1237,31,-275
2020-06-30,377,1162,197,1359,-62,-112,191,30,1749,-960,0,1,-959,-320,-320,0,0,-271,-6,-597,193,20,-271
2020-03-31,314.00000,1160.00000,288.00000,1448.00000,60.00000,-115.00000,-405.00000,-476.00000,1299.00000,-939.00000,,,-939.00000,-126.00000,-126.00000,,,-291.00000,-69.00000,-486.00000,-126.00000,69.00000,-291.00000
2019-12-31,223,1210,155,1365,2,4,476,371,1909,-901,0,2,-899,-429,-429,0,0,-271,-24,-724,286,48,-271
2019-09-30,302,1235,181,1416,125,1,-101,136,1888,-929,0,-25,-954,339,339,0,0,-275,-7,57,991,38,-275
2019-06-30,371,1196,141,1337,-137,-27,180,-9,1701,-799,0,-12,-811,-652,-652,0,0,-269,-3,-924,-34,43,-269
2019-03-31,-6165.00000,1188.00000,6704.00000,7892.00000,5.00000,-239.00000,-354.00000,-543.00000,1182.00000,-906.00000,,,-906.00000,-8.00000,-8.00000,,,-285.00000,-27.00000,-320.00000,-44.00000,33.00000,-285.00000
2018-12-31,-2412,1262,2789,4051,33,275,146,312,1996,-882,0,0,-882,-437,-437,0,0,-577,-2,-1016,98,42,-577
2018-09-30,272,1285,218,1503,-43,22,-286,57,1787,-684,0,0,-684,-826,-826,0,0,-579,-10,-1415,-312,49,-579
2018-06-30,292,1290,368,1658,-82,-159,95,-313,1582,-649,0,-95,-744,-55,-55,0,0,-576,-12,-643,195,54,-576
2018-03-31,115.00000,1283.00000,239.00000,1522.00000,117.00000,-14.00000,-166.00000,-43.00000,1667.00000,-802.00000,,34.00000,-768.00000,-343.00000,-343.00000,,,-580.00000,-26.00000,-949.00000,-50.00000,41.00000,-580.00000
2017-12-31,1117,1197,-603,594,29,-30,-534,-584,1178,735,-8756,0,-8021,1844,1844,0,0,-572,-6,1266,-5577,47,-572
2017-09-30,92,910,-79,831,-69,19,-2,22,958,-750,-6,0,-756,-104,-104,0,0,-291,0,-395,-193,21,-291
2017-06-30,17,949,94,1043,-45,-31,-175,-428,685,-827,1473,-8,638,5112,5112,11,11,-294,-11,4818,6141,22,-294
2017-03-31,163.00000,880.00000,31.00000,911.00000,116.00000,-81.00000,-279.00000,-38.00000,1057.00000,-735.00000,,3.00000,-732.00000,-26.00000,-26.00000,-11.00000,-11.00000,-296.00000,,-333.00000,-8.00000,21.00000,-296.00000
2016-12-31,42,960,54,1014,-108,57,130,35,1096,-963,24,-43,-982,259,259,10,10,-291,-10,-32,82,20,-291
2016-09-30,152,995,106,1101,-33,-22,-81,-343,911,-735,0,2,-733,59,59,2,2,-290,0,-229,-51,20,-290
2016-06-30,196,988,83,1071,-151,-4,1,-106,1178,-649,-24,-1,-674,-451,-451,-4,-4,-296,0,-751,-247,22,-296
2016-03-31,236.00000,975.00000,75.00000,1050.00000,26.00000,78.00000,-128.00000,136.00000,1423.00000,-604.00000,,-1.00000,-605.00000,-208.00000,-208.00000,-8.00000,-8.00000,-290.00000,,-506.00000,312.00000,18.00000,-290.00000
2015-12-31,338,1053,322,1375,-41,-84,-206,-549,1197,-831,0,0,-831,-22,-22,-289,-289,-293,10,-594,-228,16,-293
2015-09-30,205,1048,104,1152,-40,28,15,133,1475,-764,0,0,-764,47,47,-262,-262,-296,0,-511,200,19,-296
2015-06-30,143,1047,78,1125,-24,-32,-45,-117,1145,-644,-4,0,-648,-100,-100,-91,-91,-305,-1,-497,0,20,-305
2015-03-31,192.00000,1038.00000,105.00000,1143.00000,-27.00000,-80.00000,-35.00000,-6.00000,1336.00000,-602.00000,,-8.00000,-610.00000,-217.00000,-217.00000,-177.00000,-177.00000,-304.00000,-1.00000,-699.00000,27.00000,18.00000,-304.00000
2014-12-31,188,1140,56,1196,-52,91,-36,-119,1251,-871,-93,0,-964,-502,-502,-87,-87,-304,0,-893,-606,17,-304
2014-09-30,188,1088,160,1248,-39,-96,73,-13,1428,-712,0,18,-694,182,182,-52,-52,-308,-3,-181,553,20,-308
2014-06-30,193,1083,190,1273,-132,-48,-72,-328,1129,-732,0,-5,-737,16,16,-140,-140,-307,1,-430,-38,23,-307
2014-03-31,203.00000,1096.00000,155.00000,1251.00000,60.00000,123.00000,-320.00000,-72.00000,1380.00000,-669.00000,,-13.00000,-682.00000,-17.00000,-17.00000,-321.00000,-321.00000,-309.00000,,-647.00000,51.00000,19.00000,-309.00000
2013-12-31,239,1165,136,1301,-107,-76,-147,-332,1151,-832,-160,-39,-1031,425,425,-315,-315,-315,-13,-218,-98,71,-315
2013-09-30,-1045,1122,1188,2310,-57,-123,411,272,1552,-801,0,-4,-805,4,4,-371,-371,-325,-3,-695,52,0,-325
2013-06-30,269,1107,179,1286,-14,157,-134,-78,1469,-747,0,19,-728,-240,-240,-443,-443,-320,0,-1003,-262,0,-320
2013-03-31,298.00000,1101.00000,161.00000,1262.00000,-34.00000,-34.00000,-201.00000,-193.00000,1387.00000,-588.00000,,4.00000,-584.00000,187.00000,187.00000,-384.00000,-384.00000,-341.00000,,-538.00000,265.00000,,-341.00000
2012-12-31,233,1203,272,1475,-18,-120,-38,-255,1379,-837,0,10,-827,-50,-50,2,2,-454,-34,-536,17,110,-454
2012-09-30,270,1122,164,1286,-72,188,162,321,1887,-719,0,31,-688,-867,-867,26,26,-452,7,-1286,-87,0,-452
2012-06-30,74,1187,271,1458,-82,58,-244,-326,1216,-494,0,-18,-512,-1202,-1202,21,21,-453,-320,-1954,-1249,0,-453
2012-03-31,200.00000,1180.00000,163.00000,1343.00000,18.00000,-198.00000,128.00000,28.00000,1583.00000,-678.00000,,15.00000,-663.00000,906.00000,906.00000,24.00000,24.00000,-452.00000,3.00000,481.00000,1402.00000,,-452.00000
2011-12-31,109,1223,163,1386,-36,-44,-664,-793,728,-900,0,2,-898,-322,-322,24,24,-451,-69,-818,-995,0,-451
2011-09-30,138,1175,157,1332,-74,10,11,-40,1455,-721,-1671,5,-2387,-28,-28,20,20,-448,-20,-476,-1423,0,-448
2011-06-30,115,1111,176,1287,-17,-23,-24,-93,1348,-579,419,6,-154,1528,1528,24,24,-435,-35,1082,2276,0,-435
