,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-120.1,20.4,250.3,270.7,26.1,26.1,176.7,-19.4,0,-30.8,0,-30.8,0,-50.2,56,56,-119.9,-119.9,-46.1,-0.7,-110.7,32.4,0.7,-46.1
2022-09-30,109.8,18.2,1.4,19.6,30.9,30.9,160.3,-20.2,0,37.6,0,37.6,0,17.4,-7.1,-7.1,-93.2,-93.2,-43.2,2.6,-140.9,-0.6,1.4,-43.2
2022-06-30,126.2,18,1.4,19.4,-107.7,-107.7,37.9,-17.8,-8,64.6,0,64.6,0,38.8,3,3,-79.8,-79.8,-43.7,-2.6,-123.1,-46.4,1.4,-43.7
2022-03-31,119.80000,20.30000,7.60000,27.90000,-131.20000,-131.20000,16.50000,-12.90000,,15.00000,,15.00000,,2.10000,98.70000,98.70000,-110.60000,-110.60000,-44.20000,,-56.10000,-37.50000,7.60000,-44.20000
2021-12-31,139.6,19.9,1.6,21.5,103.2,103.2,264.3,-29.8,-198.6,13.8,0,13.8,0,-214.6,90.3,90.3,-170.2,-170.2,-44.7,32.1,-92.5,-42.8,1.6,-44.7
2021-09-30,131.6,19,1.4,20.4,28.8,28.8,180.8,-14.6,-9,-61.7,0,-61.7,0,-85.3,0,0,1.8,1.8,-41.5,-14.5,-54.2,41.3,1.4,-41.5
2021-06-30,118.2,19.5,1.5,21,-47.6,-47.6,91.6,-13.6,0,-48.9,0,-48.9,0,-62.5,0,0,-135.6,-135.6,-41.7,14.5,-162.8,-133.7,1.5,-41.7
2021-03-31,97.70000,19.50000,7.40000,26.90000,-20.20000,-20.20000,104.40000,-17.10000,,29.60000,,29.60000,,12.50000,-6.80000,-6.80000,-62.50000,-62.50000,-42.20000,,-111.50000,5.40000,7.40000,-42.20000
2020-12-31,120,19.3,1.2,20.5,91.2,91.2,231.7,-20.1,0,19.5,0,19.5,0,-0.6,-0.7,-0.7,-4.4,-4.4,-42.2,11.4,-35.9,195.2,1.2,-42.2
2020-09-30,105.4,20.7,1.1,21.8,23.9,23.9,151.1,-11.9,0,0.1,0,0.1,0,-11.8,-167.2,-167.2,4.4,4.4,-38.7,-2.6,-204.1,-64.8,1.1,-38.7
2020-06-30,67.8,19.9,1.4,21.3,36.1,36.1,125.2,-12,0,9.8,0,9.8,0,-2.2,-61.4,-61.4,1.2,1.2,-38.8,2.6,-96.4,26.6,1.4,-38.8
2020-03-31,51.70000,20.10000,9.00000,29.10000,-26.70000,-26.70000,54.10000,-12.80000,,39.20000,,39.20000,,26.40000,58.50000,58.50000,-57.90000,-57.90000,-39.00000,,-38.40000,42.10000,9.00000,-39.00000
2019-12-31,91.3,20.2,1,21.2,63.7,63.7,176.2,-14.1,0,123.8,0,123.8,0,109.7,-35.3,-35.3,-58.2,-58.2,-39.2,1.4,-131.3,154.6,1,-39.2
2019-09-30,87.3,19.7,1.5,21.2,27.8,27.8,136.3,-13.8,0,-10,0,-10,0,-23.8,-39.4,-39.4,-97.4,-97.4,-36,-1.9,-174.7,-62.2,1.5,-36
2019-06-30,102.1,18.2,2.1,20.3,-0.3,-0.3,122.1,-15.6,-107,-7.2,0,-7.2,0,-129.8,74.3,74.3,-85.4,-85.4,-36.9,-0.5,-48.5,-56.2,2.1,-36.9
