,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,460,119,38,157,-17,-48,30,102,124,741,-170,0,-216,-1,-1,-51,-438,1348,-1,1347,-405,-405,-151,-11,780,1074,16,-151
2022-09-30,528,115,-5,110,62,-126,-53,-7,-112,526,-154,0,-3,-1,-1,34,-124,0,1,1,-377,-377,-153,0,-529,-145,15,-153
2022-06-30,529,117,16,133,-80,-166,25,-17,-326,336,-146,0,-89,-2,-2,34,-203,0,2,2,-451,-451,-153,-8,-610,-483,15,-153
2022-03-31,594.00000,114.00000,-14.00000,100.00000,-102.00000,-146.00000,-31.00000,-223.00000,-385.00000,309.00000,-115.00000,,-4.00000,-5.00000,-5.00000,6.00000,-118.00000,,,,-361.00000,-361.00000,-154.00000,-30.00000,-545.00000,-350.00000,16.00000,-154.00000
2021-12-31,413,117,87,204,-12,-67,54,150,62,679,-166,0,0,-2,-2,26,-142,0,0,0,-198,-198,-117,1,-314,211,14,-117
2021-09-30,552,110,-68,42,6,-93,20,85,59,653,-119,0,0,-10,-10,15,-114,-600,-4,-604,-198,-198,-119,2,-919,-384,15,-119
2021-06-30,511,112,38,150,-41,-122,21,33,-180,481,-113,0,-11,0,0,-15,-139,0,0,0,-166,-166,-119,-5,-290,56,16,-119
2021-03-31,558.00000,109.00000,17.00000,126.00000,-108.00000,-84.00000,-112.00000,-48.00000,-284.00000,400.00000,-77.00000,,-3.00000,,,17.00000,-63.00000,,,,-181.00000,-181.00000,-119.00000,-39.00000,-339.00000,-2.00000,13.00000,-119.00000
2020-12-31,358,109,74,183,5,-52,98,222,177,718,-152,0,-5,0,0,-20,-177,-500,3,-497,0,0,-95,-5,-597,-50,13,-95
2020-09-30,479,111,46,157,-2,-61,12,-1,-74,562,-119,0,-30,0,0,-25,-174,0,0,0,0,0,-95,2,-93,301,14,-95
2020-06-30,376,111,10,121,-38,-136,72,-5,-59,438,-87,0,-72,0,0,-5,-164,1240,1,1241,0,0,-95,-5,1141,1402,16,-95
2020-03-31,423.00000,110.00000,4.00000,114.00000,109.00000,-97.00000,-35.00000,-193.00000,-129.00000,408.00000,-74.00000,,-6.00000,,,23.00000,-57.00000,,,,-250.00000,-250.00000,-95.00000,17.00000,-328.00000,17.00000,16.00000,-95.00000
2019-12-31,384,109,-8,101,-51,-1,18,147,97,582,-165,0,-58,12,12,-2,-213,0,0,0,-176,-176,-79,5,-250,119,16,-79
2019-09-30,433,107,-2,105,-47,-53,-6,47,-32,506,-108,0,-137,13,13,23,-209,0,0,0,-150,-150,-78,-4,-232,60,16,-78
2019-06-30,371,98,26,124,-46,-67,57,-75,-177,318,-103,0,0,40,40,4,-59,0,0,0,-150,-150,-78,2,-226,27,17,-78
2019-03-31,312.00000,98.00000,18.00000,116.00000,75.00000,17.00000,-79.00000,-79.00000,-39.00000,389.00000,-63.00000,,,36.00000,36.00000,4.00000,-23.00000,,-9.00000,-9.00000,-150.00000,-150.00000,-79.00000,-5.00000,-243.00000,126.00000,18.00000,-79.00000
2018-12-31,345,101,39,140,-104,32,76,122,99,584,-90,0,-4,28,28,-8,-74,11,8,19,-150,-150,-60,-6,-197,316,17,-60
2018-09-30,347,84,-4,80,46,52,-11,30,123,550,-74,0,-1994,0,0,4,-2064,1485,0,1485,-143,-143,-61,-18,1263,-272,14,-61
2018-06-30,382,63,19,82,-69,10,18,-81,-197,267,-73,0,0,0,0,-3,-76,0,0,0,-215,-215,-60,4,-271,-96,11,-60
