,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,352.00000,67.00000,67.00000,134.00000,-5.00000,-69.00000,-27.00000,85.00000,-190.00000,296.00000,-76.00000,,-30.00000,5.00000,5.00000,-3.00000,-104.00000,-324.00000,527.00000,203.00000,-40.00000,-40.00000,-67.00000,-113.00000,-17.00000,197.00000,44.00000,-67.00000
2022-10-31,368,73,25,98,-88,-42,11,25,-18,448,-70,0,-34,-2,-2,-4,-110,0,-145,-145,-132,-132,-62,-2,-341,-17,26,-62
2022-07-31,329,80,48,128,-125,-82,56,-26,-131,326,-82,0,0,8,8,1,-73,-9,5,-4,-295,-295,-62,-1,-362,-115,28,-62
2022-04-30,274,82,23,105,-62,-70,17,-47,-96,283,-64,0,-18,3,3,3,-76,0,175,175,-234,-234,-63,-1,-123,72,27,-63
2022-01-31,283.00000,82.00000,123.00000,205.00000,-46.00000,-54.00000,37.00000,40.00000,-233.00000,255.00000,-75.00000,,,,,-4.00000,-79.00000,,,,-420.00000,-420.00000,-63.00000,-63.00000,-546.00000,-374.00000,44.00000,-63.00000
2021-10-31,442,84,-90,-6,-59,-21,18,-7,5,441,-61,0,0,7,7,-5,-59,0,-130,-130,-133,-133,-59,-2,-324,55,22,-59
2021-07-31,264,84,29,113,-52,-35,-5,8,-43,334,-54,0,0,-9,-9,2,-61,0,-75,-75,-87,-87,-59,-1,-222,48,22,-59
2021-04-30,216,77,37,114,14,-45,8,80,142,472,-31,0,-547,-8,-8,-1,-587,536,-109,427,-194,-194,-59,-8,166,51,26,-59
2021-01-31,288.00000,76.00000,80.00000,156.00000,-31.00000,-35.00000,43.00000,-95.00000,-206.00000,238.00000,-41.00000,,,,,-1.00000,-42.00000,-105.00000,239.00000,134.00000,-319.00000,-319.00000,-59.00000,-72.00000,-316.00000,-111.00000,40.00000,-59.00000
2020-10-31,222,76,61,137,-108,18,37,10,18,377,-27,0,0,0,0,0,-27,0,35,35,-246,-246,-55,-3,-269,83,20,-55
2020-07-31,199,77,34,111,-24,-1,-25,12,-20,290,-24,0,0,1,1,-9,-32,499,-660,-161,-9,-9,-56,-5,-231,35,19,-56
2020-04-30,101,76,98,174,65,-53,5,-9,38,313,-33,0,0,-20,-20,0,-53,0,25,25,-126,-126,-55,0,-156,97,17,-55
2020-01-31,197.00000,79.00000,27.00000,106.00000,-40.00000,-32.00000,-15.00000,-195.00000,-362.00000,-59.00000,-34.00000,,,-1.00000,-1.00000,,-35.00000,-4.00000,60.00000,56.00000,-28.00000,-28.00000,-56.00000,-33.00000,-61.00000,-156.00000,27.00000,-56.00000
2019-10-31,194,76,42,118,-48,-5,29,-32,2,314,-30,0,-1160,-2,-2,-1,-1193,600,0,600,-47,-47,-51,-5,497,-383,15,-51
