,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,158.302,25.933,-19.637,6.296,0.666,0,-20.101,-19.435,145.163,4.363,-6.814,0,0,0,7.467,5.016,-134.235,-134.235,2.015,2.015,-77.842,-1.623,-211.685,-61.858,7.119,-77.842
2022-09-30,100.504,20.239,8.568,28.807,0.544,0,46.884,47.428,176.739,-17.844,0,0,0,0,-0.94,-18.784,106.087,106.087,-195.308,-195.308,-40.027,-8.296,-137.544,20.435,5.852,-40.027
2022-06-30,102.493,19.429,9.809,29.238,0.864,0,-57.969,-57.105,74.626,-20.21,6.814,0,0,0,-5.881,-19.277,-13.667,-13.667,-49.74,-49.74,-39.611,-1.606,-104.624,-50.284,8.473,-39.611
2022-03-31,90.96400,20.29500,8.69300,28.98800,1.46200,,-42.62500,-41.16300,78.78900,-12.45400,-6.81400,0.00000,,,-1.36800,-20.63600,-13.86100,-13.86100,-47.39500,-47.39500,-0.05100,-0.78900,-62.09600,-3.56900,7.26500,-0.05100
2021-12-31,155.685,24.443,-27.841,-3.398,-7.98,-9.42,-16.628,17.318,169.605,-43.504,0,-9.082,0,-9.082,0.209,-52.377,-14.019,-14.019,-212.481,-212.481,-68.181,-0.003,-294.684,-177.83,9.217,-68.181
2021-09-30,120.402,17.91,-5.734,12.176,0.236,0,56.372,56.608,189.186,-17.489,0,0,0,0,0.013,-17.476,-13.646,-13.646,-72.764,-72.764,-34.786,-5.73,-126.926,44.54,5.953,-34.786
2021-06-30,116.619,20.411,6.224,26.635,0.116,0,-0.806,-0.69,142.564,-16.602,0,0,0,0,0.172,-16.43,968.157,968.157,-994.668,-994.668,-36.368,-15.225,-78.104,48.171,8.296,-36.368
2021-03-31,117.76100,17.66800,3.52900,21.19700,0.18000,,13.71300,13.89300,152.85100,-16.56100,,-40.00000,,-40.00000,0.12100,-56.44000,-0.70400,-0.70400,-21.30700,-21.30700,-0.06400,-1.04400,-23.11900,73.45300,5.20400,-0.06400
2020-12-31,151.897,22.595,17.943,40.538,-32.736,-24.959,18.701,29.96,222.395,-37.431,0,0,0,0,-0.427,-37.858,-11.215,-11.215,-220.556,-220.556,-60.832,-0.219,-292.822,-107.767,9.31,-60.832
2020-09-30,99.129,16.605,4.64,21.245,-0.056,0,38.253,38.197,158.571,-17.431,0,0,0,0,0.573,-16.858,-68.803,-68.803,1.725,1.725,-30.827,-4.757,-102.662,39.547,4.905,-30.827
2020-06-30,118.668,16.041,-16.83,-0.789,0.003,0,-1.412,-1.409,116.47,-16.265,0,-40,0,-40,-0.053,-56.318,46.809,46.809,14.696,14.696,-30.186,-0.183,31.136,91.996,5.115,-30.186
2020-03-31,121.60200,15.32300,-24.52700,-9.20400,1.58900,,-18.62900,-17.04000,95.35800,-17.46700,,,,,-0.42600,-17.89300,-10.84900,-10.84900,-69.48500,-69.48500,-0.08000,-1.64400,-82.05800,-5.55400,4.91400,-0.08000
2019-12-31,129.327,20.408,-5.111,15.297,-20.479,-6.741,-11.187,27.73,172.354,-40.369,-3.423,0,0,0,19.075,-24.717,674.775,674.775,-590.916,-590.916,-52.117,-8.229,23.513,171.212,6.996,-52.117
2019-09-30,86.373,14.222,3.119,17.341,0.224,0,19.105,19.329,123.043,-15.391,0,0,0,0,14.781,-0.61,-8.974,-8.974,-92.864,-92.864,-26.918,-3.253,-132.009,-9.548,4.68,-26.918
2019-06-30,92.359,15.157,-2.313,12.844,0.456,0,-1.104,-0.648,104.555,-5.325,0,0,0,0,14.758,9.433,-33.918,-33.918,1.444,1.444,-26.59,-0.1,-59.164,54.811,3.981,-26.59
