,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-809,-160,-129,-289,119,134,323,84,507,-591,130,124,105,359,106,0,106,217,28,351,238,-52,217
2022-09-30,227,57,8,65,6,-53,-86,-16,25,317,-53,-124,-105,-213,0,0,0,-74,-3,-77,-46,18,-74
2022-06-30,234,50,110,160,-179,-95,61,-24,-243,151,-44,0,30,-83,-104,0,-104,-72,-7,-183,-149,19,-72
2022-03-31,348.00000,53.00000,11.00000,64.00000,54.00000,14.00000,-298.00000,-44.00000,-289.00000,123.00000,-33.00000,,-30.00000,-63.00000,-2.00000,,-2.00000,-71.00000,-18.00000,-91.00000,-43.00000,15.00000,-71.00000
2021-12-31,202,62,11,73,99,-48,-281,185,-228,47,-54,0,-79,-133,-102,0,-102,-71,-14,-187,-271,15,-71
2021-09-30,323,52,2,54,-4,-92,-130,-87,-9,368,-36,-192,-25,-61,-10,0,-10,-74,66,-18,278,15,-74
2021-06-30,431,43,-94,-51,-332,35,1070,-779,65,445,-57,0,0,-249,9470,-946,8524,0,-8179,345,589,18,0
2021-03-31,395.00000,38.00000,-7.00000,31.00000,-40.00000,-33.00000,4.00000,925.00000,874.00000,1300.00000,-38.00000,,,-38.00000,,-566.00000,-566.00000,,-551.00000,-1117.00000,129.00000,11.00000,
2020-12-31,280,50,-47,0,140,33,26,-190,40,387,-127,0,0,-127,0,1244,-79,0,-1671,-506,-311,8,0
2020-09-30,560,40,19,59,-147,31,18,-54,-299,320,-45,0,0,-45,0,0,0,0,-275,-275,381,11,0
2020-06-30,586,34,36,70,176,-20,-4,-21,77,733,-47,0,0,-47,0,0,0,0,-686,-686,0,11,0
2020-03-31,734.00000,33.00000,-5.00000,28.00000,-156.00000,-10.00000,-3.00000,170.00000,-15.00000,747.00000,-39.00000,,,-39.00000,,,,,-708.00000,-708.00000,-319.00000,10.00000,
2019-12-31,1065,-1319,0,-1319,0,0,0,0,-738,-920,-33,0,0,-33,0,-41,-62,0,1646,1543,602,0,0
2018-12-31,2153,1673,0,1673,0,0,0,0,-174,3687,-69,0,0,-69,0,41,18,0,-4223,-4164,-527,0,0
