,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,241.2,216.2,41.5,257.7,-216.3,-258.9,165,111.1,-125.7,373.2,-680.1,2.2,2.2,-209.6,-887.5,-7.8,488,480.2,145.2,145.2,-116.1,1.8,511.1,-3.2,24.9,-96.7
2022-09-30,63.5,203.2,30.8,234,0,0,0,-168.5,-168.5,129,-606,0,0,-125.6,-731.6,-17.8,719.2,701.4,3.2,3.2,-105.3,-17.6,581.7,-20.9,0,-97.2
2022-06-30,55.8,208.7,19.7,228.4,0,0,0,43.2,43.2,327.4,-466.9,0,0,-113.8,-580.7,318.2,35,353.2,3.1,3.1,-117.2,-16.7,222.4,-30.9,0,-97.7
2022-03-31,431.30000,192.70000,-9.80000,182.90000,,,,-34.40000,-34.40000,579.80000,-450.10000,105.00000,105.00000,-25.30000,-370.40000,-7.30000,-40.00000,-47.30000,2.80000,2.80000,-104.00000,-25.40000,-173.90000,35.50000,,-95.90000
2021-12-31,173.2,188.2,28.4,216.6,-40.3,-112.9,54.9,-55.9,-111.2,278.6,-544.5,-5.1,-5.1,-261.1,-810.7,-7,180,173,290.8,290.8,-106.4,213.3,570.7,38.6,24.3,-87
2021-09-30,62.2,188.9,25,213.9,0,0,0,-39.8,-39.8,236.3,-494.7,0,0,-37.1,-531.8,-6.5,380,373.5,2.8,2.8,-94.2,-20.7,261.4,-34.1,0,-86.1
2021-06-30,56.9,186.3,20.9,207.2,0,0,0,-9.4,-9.4,254.7,-431.1,0,0,-29.5,-460.6,-6.3,-520,-526.3,843.1,843.1,-106,-11.2,199.6,-6.3,0,-86.5
2021-03-31,296.50000,185.00000,66.80000,251.80000,,,,-100.00000,-100.00000,448.30000,-367.00000,,,-34.80000,-401.80000,-5.90000,17.00000,11.10000,2.80000,2.80000,-94.30000,5.00000,-75.40000,-28.90000,,-86.20000
2020-12-31,87.8,183.5,55.3,238.8,-3.9,-1.5,-29.7,129,-81.2,245.4,650,-13.3,-13.3,-115.9,520.8,-5.6,-885.1,-890.7,200.2,200.2,-99.9,82.2,-708.2,58,17.4,-80.5
2020-09-30,-172.9,180.6,225.2,405.8,0,0,0,-82,-82,150.9,-472.9,0,0,-40.4,-513.3,365.4,224.7,590.1,3.7,3.7,-88.5,-228.9,276.4,-86,0,-80.4
2020-06-30,-4.7,177.5,92.7,270.2,0,0,0,72.3,72.3,337.8,-367.2,-1.9,-1.9,-32.9,-402,496.3,-382.9,113.4,3.8,3.8,-99.9,-12.5,4.8,-59.4,0,-80.4
2020-03-31,75.60000,184.30000,268.20000,452.50000,,,,-158.20000,-158.20000,369.90000,-452.10000,1.90000,1.90000,-34.40000,-484.60000,495.90000,-226.80000,269.10000,3.70000,3.70000,-88.40000,-5.10000,179.30000,64.60000,,-80.30000
2019-12-31,-139.3,182.2,418.7,600.9,187.8,-2,-299.9,-134.3,-110.1,351.5,-492,-8.4,-8.4,-28.2,-528.6,-3.1,158.1,155,233.5,233.5,-94.1,-5.9,288.5,111.4,25.9,-74.7
2019-09-30,6.6,182.2,-0.9,181.3,0,0,0,117.7,117.7,305.6,-466.5,0.1,0.1,-29.4,-495.8,747.5,-465.9,281.6,3.8,3.8,-82.9,-7.7,194.8,4.6,0,-74.7
2019-06-30,296.9,177.9,82,259.9,0,0,0,-29.7,-29.7,527.1,-489.8,-3.6,-3.6,-29.2,-522.6,-43.7,1,-42.7,4,4,-94,-0.2,-132.9,-128.4,0,-74.6
2019-03-31,218.90000,175.10000,58.10000,233.20000,,,,-53.00000,-53.00000,399.10000,-353.70000,3.60000,3.60000,-25.30000,-375.40000,-2.30000,102.80000,100.50000,3.10000,3.10000,-83.60000,-4.00000,16.00000,39.70000,,-74.50000
2018-12-31,-11.7,169.3,-161.3,7.9999,-186.2,41.4,268.4,-549,-383.4,-387.1,-519.8,5.2,5.2,-35,-549.6,-2.1,366.1,364,236.6,722.3,-82.4,0.1,1004,67.3,28.6,-70.8
2018-09-30,-339.5,148.5,-55.4,93.1,0,0,0,364.1,364.1,117.7,-464.1,-12.9,-12.9,-28.4,-505.4,-552.8,1011.1,458.3,3.9,3.8,-70.8,-30.9,360.4,-27.3,0,-70.8
2018-06-30,24.5,144.6,48.9,193.5,0,0,0,203.3,203.3,421.3,-462.5,0,0,-9.7,-472.2,137.8,-967.3,-829.5,603.6,998,-66,-15.2,87.3,36.4,0,-66
2018-03-31,276.10000,144.70000,41.20000,185.90000,,,,-73.80000,-73.80000,388.20000,-370.00000,,,-28.90000,-398.90000,-279.00000,361.60000,82.60000,0.10000,0.10000,-65.70000,,17.00000,6.30000,,-65.70000
2017-12-31,-52.4,149.2,216,365.2,-52.3,19,49,-124,-100.2,212.6,-479.4,4.7,4.7,-27.1,-501.8,-2.6,362.5,359.9,2.8,2.8,-58.9,-4.5,299.3,10.1,40.1,-58.9
2017-09-30,14,143,14,157,0,0,0,-292.8,-292.8,-121.8,-484.2,-11,-11,-25.6,-520.8,476,-58.2,417.8,286.4,286.4,-57,-9.1,638.1,-4.5,0,-57
2017-06-30,-44.4,142.2,101.9,244.1,0,0,0,40.6,40.6,240.3,-420.2,1,1,-23.7,-442.9,958.2,-612.9,345.3,38.3,38.3,-56.7,-130.7,196.2,-6.4,0,-56.7
2017-03-31,211.30000,143.30000,120.40000,263.70000,,,,-63.90000,-63.90000,411.10000,-312.00000,,,-31.00000,-343.00000,-36.60000,26.20000,-10.40000,2.00000,2.00000,-56.50000,,-64.90000,3.20000,,-56.50000
2016-12-31,88.8,148.7,48.6,197.3,-188,38.9,108.8,28.1,-14.8,271.3,-391.8,2.2,2.2,-45.2,-434.8,-223.7,429,205.3,5,5,-53.2,-3.4,153.7,-9.8,46.5,-53.2
2016-09-30,27.2,136.3,26.6,162.9,0,0,0,-145.2,-145.2,44.9,-410.9,-9.6,-9.6,-32.7,-453.2,496.8,-41.7,455.1,6.6,6.6,-53,0,408.7,0.4,0,-53
