,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-139,106,201,307,-25,-8,13,13,-14,147,-88,0,0,-14,0,-14,0,-102,991,0,991,0,0,-35,956,1011,100
2022-09-30,-3816,102,3777,3879,12,-41,1,-12,-122,-52,-66,-180,0,-4,0,-4,0,-250,0,0,0,30,30,-2,28,-289,83
2022-06-30,-535,95,160,255,-30,-52,-13,-15,405,125,-71,0,-85,-9,0,-9,0,-165,0,0,0,0,0,-5,-5,-62,91
2022-03-31,86.00000,91.00000,60.00000,151.00000,31.00000,-34.00000,-39.00000,22.00000,-65.00000,172.00000,-61.00000,,,-13.00000,,-13.00000,,-74.00000,,,,33.00000,33.00000,-12.00000,21.00000,119.00000,92.00000
2021-12-31,112,95,86,181,-39,-31,88,-23,15,282,-70,0,0,70,0,70,0,0,0,0,0,1,1,-130,-129,152,98
2021-09-30,317,72,-426,-354,-64,-18,-40,-58,-261,-272,-52,0,-2364,-32,0,-32,0,-2448,0,0,0,28,28,-422,-394,-3116,509
2021-06-30,186,58,-23,35,-22,-17,20,-6,32,253,-44,0,-80,127,0,127,0,3,-490,0,-490,0,0,-6,-496,-237,80
2021-03-31,147.00000,58.00000,15.00000,73.00000,-39.00000,8.00000,-8.00000,-4.00000,62.00000,282.00000,-42.00000,,,81.00000,1285.00000,1366.00000,52.00000,1376.00000,961.00000,,961.00000,31.00000,31.00000,-24.00000,968.00000,2623.00000,67.00000
2020-12-31,257,61,-25,36,-19,44,42,-24,104,406,-62,0,0,-12,40,28,0,-34,0,0,0,-281,-281,-50,-331,49,78
2020-09-30,179,57,21,78,-82,19,11,-16,-95,153,-48,0,-3,-5,-9,-14,0,-65,0,0,0,-98,-98,-3,-101,-9,61
