,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-03-31,5426.00000,1503.00000,2698.00000,4201.00000,1267.00000,,103.00000,-17.00000,-79.00000,9548.00000,-2467.00000,-101.00000,-757.00000,-276.00000,-1033.00000,750.00000,-2851.00000,-18.00000,-18.00000,-647.00000,-647.00000,-1009.00000,-1674.00000,5214.00000,2009.00000
2016-12-31,5333,1687,1817,3504,-2279,0,-128,379,576,9413,-3064,-662,-1034,58,-976,0,-4702,-13,-13,0,0,-879,-892,3512,1846
2016-09-30,5061,1596,1551,3147,-282,0,459,-8,1637,9845,-2357,-252,-8781,410,-8371,-2065,-13045,-274,-274,0,0,-815,-1089,-4221,1860
2016-06-30,4877,1490,1494,2984,-835,0,48,-39,1259,9120,-2123,-38,-4494,-412,-4906,-106,-7173,-1042,-1042,-1595,-1595,-803,-3440,-1484,1503
2016-03-31,4207.00000,1371.00000,2252.00000,3623.00000,818.00000,,-269.00000,203.00000,-172.00000,7658.00000,-2428.00000,-34.00000,-3305.00000,-221.00000,-3526.00000,-257.00000,-6245.00000,-6.00000,-6.00000,-2098.00000,-2098.00000,-807.00000,-2911.00000,-1438.00000,1494.00000
2015-12-31,4923,1404,2180,3584,-1758,0,371,-424,-1898,6609,-2100,8,-2106,-451,-2557,-838,-5487,-14,-14,-1780,-1780,-765,-2559,-1519,1436
2015-09-30,3979,1248,1056,2304,-267,0,230,121,-138,6145,-2373,-102,-3817,-97,-3914,572,-5817,-3,-3,0,0,-606,-609,-385,1432
2015-06-30,3931,1234,983,2217,-767,0,-374,44,948,7096,-2515,-78,-3371,-175,-3546,1036,-5103,-3,-3,0,0,-558,-561,1477,1132
2015-03-31,3515.00000,1177.00000,1351.00000,2528.00000,698.00000,,-24.00000,-16.00000,679.00000,6722.00000,-2927.00000,-64.00000,-2169.00000,-1024.00000,-3193.00000,-1120.00000,-7304.00000,-3.00000,-3.00000,,,-493.00000,-496.00000,-1371.00000,1203.00000
2014-12-31,4675,1267,1330,2597,-1151,0,549,-222,-260,7012,-3551,130,1547,-741,806,-626,-3241,-4,-4,0,0,-988,-992,2742,1187
2014-09-30,2739,1547,809,2356,-36,0,-127,-13,899,5994,-2417,-1142,-5290,-794,-6084,316,-9327,-3,-3,0,0,-452,-455,-4015,1290
2014-06-30,3270,1079,456,1535,-721,0,-163,804,822,5627,-2646,-543,1424,-349,1075,934,-1180,-1004,-1004,0,0,-458,-1462,2981,915
2014-03-31,3452.00000,1086.00000,642.00000,1728.00000,267.00000,,177.00000,-285.00000,-789.00000,4391.00000,-2345.00000,-2947.00000,-2676.00000,-118.00000,-2794.00000,779.00000,-7307.00000,993.00000,993.00000,,,-171.00000,822.00000,-2259.00000,887.00000
2013-12-31,3189,1036,228,1264,-853,46,320,-624,785,5238,-2255,-120,1375,-98,1277,-519,-1617,-3,-3,0,0,35,32,3656,902
2013-09-30,2970,974,725,1699,-516,112,357,291,414,5083,-2289,147,-2729,371,-2358,-1318,-5818,-2,-2,0,0,-265,-267,-922,886
2013-06-30,3228,1030,25,1055,-194,-16,-159,-119,422,4705,-1611,1301,-4261,-206,-4467,974,-3803,-151,-151,0,0,46,-105,789,847
2013-03-31,3346.00000,899.00000,853.00000,1752.00000,256.00000,-142.00000,87.00000,-245.00000,-1465.00000,3633.00000,-1203.00000,-251.00000,-1515.00000,-36.00000,-1551.00000,564.00000,-2441.00000,-401.00000,-401.00000,,,-116.00000,-517.00000,597.00000,708.00000
2012-12-31,2886,953,348,1301,-559,-188,-225,664,482,4669,-1020,-97,-3784,-600,-4384,-13,-5514,-669,-669,0,0,-23,-692,-1482,716
2012-09-30,2176,828,568,1396,-307,18,-194,101,432,4004,-872,-525,-1561,-119,-1680,-230,-3307,-1,-1,0,0,53,52,823,762
2012-06-30,2785,670,292,962,-222,202,-249,-898,505,4252,-774,-9854,-1398,-24,-1422,-336,-12386,749,749,0,0,-110,639,-7671,658
2012-03-31,2890.00000,511.00000,814.00000,1325.00000,301.00000,-32.00000,169.00000,-236.00000,-521.00000,3694.00000,-607.00000,-92.00000,8513.00000,92.00000,8605.00000,245.00000,8151.00000,1249.00000,1249.00000,,,-19.00000,1230.00000,13125.00000,556.00000
2011-12-31,2704,503,442,945,-909,-12,29,-25,275,3924,-951,-550,-2340,330,-2010,-1048,-4559,0,0,0,0,40,40,-647,537
2011-09-30,2729,492,553,1045,-223,-17,-5,33,176,3950,-680,-487,-3258,-140,-3398,1118,-3447,0,0,0,0,-80,-80,310,571
2011-06-30,2506,455,619,1074,-205,-1,50,-33,-61,3519,-917,-715,-4382,-482,-4864,-118,-6614,977,977,0,0,-19,958,-2095,434
2011-03-31,1798.00000,401.00000,733.00000,1134.00000,181.00000,,27.00000,-45.00000,240.00000,3172.00000,-890.00000,-148.00000,-2946.00000,-131.00000,-3077.00000,-306.00000,-4421.00000,-251.00000,-251.00000,,,140.00000,-111.00000,-1215.00000,432.00000
2010-12-31,2543,381,326,707,-673,0,-42,20,276,3526,-2545,-208,334,70,404,-500,-2849,1342,1342,0,0,410,1752,2373,396
2010-09-30,2167,342,386,728,-259,0,115,-160,-9,2886,-758,-440,-2429,-910,-3339,-9,-4546,2121,2121,0,0,-54,2067,544,380
2010-06-30,1840,342,299,641,-243,0,79,-17,-396,2085,-476,-229,-1799,-227,-2026,2870,139,0,0,-704,-704,58,-646,1521,309
2010-03-31,1955.00000,331.00000,268.00000,599.00000,46.00000,,120.00000,-146.00000,30.00000,2584.00000,-239.00000,-190.00000,-2992.00000,-3.00000,-2995.00000,,-3424.00000,,,-97.00000,-97.00000,-26.00000,-123.00000,-1006.00000,291.00000
2009-12-31,1974,365,276,641,-377,0,25,-10,116,2731,-221,-68,-4465,-19,-4484,0,-4773,0,0,0,0,158,158,-1889,276
2009-09-30,1639,379,112,491,-85,0,-33,248,596,2726,-187,-35,-2370,-18,-2388,0,-2610,0,0,0,0,29,29,176,317
2009-06-30,1484,377,187,564,-139,0,20,13,-439,1609,-139,-3,-66,-9,-75,0,-217,0,0,0,0,51,51,1485,294
2009-03-31,1423.00000,403.00000,211.00000,614.00000,97.00000,,22.00000,87.00000,213.00000,2250.00000,-263.00000,-2.00000,-135.00000,-19.00000,-154.00000,,-419.00000,,,,,-5.00000,-5.00000,1769.00000,277.00000
