,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,0,0,0,0,0,0,0,0,0,-469,696,11,0,0,-121,-121,-36,550,1012,1012,0,0,0,26,1038,780,0,0
2022-09-30,0,0,0,0,0,0,0,0,0,353,-229,-11,0,0,0,0,3,-237,-884,-884,0,0,0,-3,-887,-303,0,0
2022-06-30,0,0,0,0,0,0,0,0,0,362,-260,0,0,0,94,94,12,-154,-111,-111,0,0,0,-3,-114,26,0,0
2022-03-31,0.00000,,,,,,,,,-246.00000,-207.00000,,,,27.00000,27.00000,21.00000,-159.00000,-17.00000,-17.00000,,,,-20.00000,-37.00000,-503.00000,,
2021-12-31,-1016,1614,303,1917,-135,0,486,-67,297,225,-190,-30,-30,0,33,33,0,-217,-857,-857,3,3,0,-28,-882,-867,82,0
2021-09-30,0,0,0,0,0,0,0,0,0,302,113,-10,491,0,156,156,-1,749,218,218,0,0,0,-48,170,718,0,0
2021-06-30,0,0,0,0,0,0,0,0,0,611,344,-270,-2042,0,-1,-1,14,-1955,-386,-386,0,0,0,-13,-399,-2133,0,0
2021-03-31,0.00000,,,,,,,,,61.00000,-61.00000,-2.00000,,,12.00000,12.00000,26.00000,-25.00000,-16.00000,-16.00000,,,,-14.00000,-30.00000,23.00000,,
2020-12-31,-1758,968,309,1277,-70,0,25,9,-76,-358,66,-15,43,0,25,25,23,142,-1289,-1289,1946,1946,0,41,698,565,79,0
2020-09-30,0,0,0,0,0,0,0,0,0,-122,177,-20,-6357,0,0,0,0,-6200,9486,9486,0,0,0,-406,9080,2758,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,-111,-28,0,0,0,-1,-1,0,-29,-357,-357,772,772,0,0,415,275,0,0
2020-03-31,0.00000,,,,,,,,,30.00000,-13.00000,,,,,,,-13.00000,455.00000,455.00000,,,,-7.00000,448.00000,465.00000,,
2019-12-31,81,244,-36,208,5,0,31,10,24,53,331,0,0,0,0,0,0,331,-388,-388,0,0,0,-1,-389,-5,20,0
2019-09-30,-57.165,-125.766,16.242,-109.524,3.786,0,29.756,-3.347,38.831,132.142,-36.495,0,0,0,-0.985,-0.985,0,-37.48,-69.757,-69.757,0,0,0,-0.039,-69.796,24.866,-11.457,0
2019-06-30,18.936,61.829,-3.699,58.13,0.147,0,-21.573,-10.984,-14.648,62.418,-59.09,0,0,0.08,4.985,5.065,0,-54.025,-40.125,-40.125,0,0,0,-3.253,-43.378,-34.985,6.509,0
2019-03-31,38.22900,63.93700,-12.54300,51.39400,-3.93300,,-8.18300,14.33100,-24.18300,65.44000,129.58500,,,-0.08000,,-0.08000,,129.50500,-205.11800,-205.11800,,,,-4.70800,-209.82600,-14.88100,4.94800,
2018-12-31,-0.355,62.156,12.22,74.376,6.441,0,-21.91,-1.602,-14.469,59.552,-57.838,0,-806.726,-8,-0.302,-8.302,0,-872.866,311.501,311.501,-9.154,-9.154,0,-21.998,280.349,-532.965,3.355,0
2018-09-30,37.704,41.198,20.033,61.231,-7.948,0,16.235,3.324,16.009,114.944,-33.821,0,-291.274,0,-0.698,-0.698,0,-325.793,779.843,779.843,0.154,0.154,0,-6.02,773.977,563.128,2.494,0
2018-06-30,36.796,33.851,13.429,47.28,-1.984,0,3.907,-11.303,-13.579,70.497,-33.22,0,-15,0,0,0,0,-48.22,-0.174,-0.174,0,0,0,-2.176,-2.35,19.927,3.472,0
2018-03-31,20.85500,42.79500,6.31800,49.11300,9.49100,,-15.23200,9.58100,8.03900,78.00700,-21.12100,,,,,,,-21.12100,-0.17000,-0.17000,,,,-7.80600,-7.97600,48.91000,3.67900,
2017-12-31,88.938,75.52,-83.586,-8.066,-12.173,-0.017,-2.786,-1.308,-22.617,58.255,-30.096,0,0.001,0,-0.604,-0.604,0,-30.699,-45.288,-45.288,0,0,0,-0.626,-45.914,-18.358,1.868,0
2017-09-30,29.687,31.129,23.591,54.72,-10.974,0.647,-9.229,5.005,-15.819,68.588,-23.106,0,-0.001,0,0,0,0,-23.107,-7.16,-7.16,0.002,0.002,0,-8.28,-15.438,30.043,1.392,0
2017-06-30,-46.19,27.066,-9.087,17.979,-1.61,-0.379,20.818,7.309,26.071,-2.14,-23.65,0,-936.301,0,0,0,0.148,-959.803,1095.697,1095.697,2.464,2.464,0,-46.79,1051.371,89.428,1.329,0
2017-03-31,0.94500,16.48100,2.52600,19.00700,5.64700,-0.25100,-8.80300,-11.42900,-14.76900,5.18300,-6.17400,,-376.75000,,,,-0.14800,-383.07200,367.84300,367.84300,0.43400,0.43400,,-7.19500,361.08200,-16.80700,1.73300,
2016-12-31,0.685,16.758,-0.634,16.124,2.514,0.422,-5.168,8.889,6.313,23.122,-10.224,0,0.297,0,0,0,-4.677,-14.604,8.868,8.868,-0.62,-0.62,0,-3.203,5.045,13.563,0.592,0
2016-09-30,9.682,16.67,6.05,22.72,-2.516,0.219,1.191,-7.702,-8.808,23.594,-12.595,0,0,0,0,0,0.824,-11.771,-4.131,-4.131,0,0,0,-0.188,-4.319,7.504,0.716,0
2016-06-30,10.79,16.49,7.034,23.524,-5.174,-0.377,-5.963,10.021,3.489,37.803,-8.258,0,-0.491,0,0,0,1.99,-6.759,-38.13,-38.13,1.005,1.005,0,-0.913,-38.038,-6.994,0.579,0
2016-03-31,3.37000,17.05100,3.30100,20.35200,0.30200,0.42300,3.59100,-12.20300,-12.86900,10.85300,-10.53600,,,,,,1.86300,-8.67300,-35.63100,-35.63100,,,,-0.72800,-36.35900,-34.17900,1.45400,
2015-12-31,110.153,15.354,-109.427,-94.073,5.092,-0.14,4.213,5.502,20.107,36.187,-12.201,0,-69.556,0,-3.51,-3.51,4.825,-80.442,74.379,74.379,0,0,0,-0.597,73.782,29.527,0.333,0
2015-09-30,5.399,13.739,1.373,15.112,-0.415,-0.215,2.08,-14.17,-19.144,1.367,-6.547,0,-55.46,0,2.5,2.5,-0.694,-60.201,44.181,44.181,0,0,0,-25.223,18.958,-39.876,0.334,0
