,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,251.976,87.997,-1.088,86.909,-244.371,-380.42,676.406,-186.497,-134.882,222.38,-91.855,-93.864,158.441,-27.278,0.3111,0,0.3111,-34.555,-34.555,-126.434,-20.255,-180.933,24.265,10.285,-126.434
2022-09-30,312.358,86.563,9.56,96.123,0,0,0,45.125,45.125,453.606,-90.635,-22.874,0,-113.509,-17.961,0,-17.961,-50.832,-50.832,-126.716,-2.968,-198.477,110.067,9.891,-126.716
2022-06-30,372.529,85.89,-77.454,8.436,0,0,0,11.212,11.212,392.177,60.015,-182.523,0,-122.508,-126.8969,0,-126.8969,-63.357,-63.357,-126.891,-12.308,-329.453,-91.645,10.711,-126.891
2022-03-31,245.83800,87.36900,6.45700,93.82600,,,,59.14400,59.14400,398.80800,-72.15000,-1348.79500,,-1420.94500,1105.41500,,1105.41500,-73.98200,-73.98200,-115.87600,-1.59300,913.96400,-103.92500,7.17100,-115.87600
2021-12-31,255.999,72.594,-17.964,54.63,-258.994,-329.237,777.318,-272.202,-83.115,250.089,-125.565,-140.697,0,-266.262,0.065,0,0.065,-52.661,-52.661,-116.356,-1.856,-170.808,-204.396,4.756,-116.356
2021-09-30,228.585,72.121,67.343,139.464,0,0,0,-64.283,-64.283,303.766,-46.094,-42.417,0,-88.511,-50.098,0,-50.098,-99.589,-99.589,-117.666,-3.194,-270.547,-68.292,6.32,-117.666
2021-06-30,196.496,73.96,3.423,77.383,0,0,0,129.609,129.609,403.488,-36.4,-74.319,0,-110.719,-115.528,0,-115.528,-198.266,-198.266,-117.584,-0.805,-432.183,-130.599,8.286,-117.584
2021-03-31,217.71000,72.29600,4.47100,76.76700,,,,6.46500,6.46500,300.94200,-31.52800,-9.14400,,-40.67200,4.83200,,4.83200,-5.42900,-5.42900,-114.04300,-1.35400,-115.99400,127.82200,6.23500,-114.04300
2020-12-31,171.204,69.758,-32.678,37.08,957.514,58.462,89.35,-749.52,355.806,587.338,-41.685,-5.469,0,-47.154,-317.5941,0,-317.5941,-2.862,-2.862,-113.983,-50.118,-484.557,90.043,6.347,-113.983
2020-09-30,227.531,69.097,12.02,81.117,0,0,0,197.816,197.816,506.464,-26.233,-43.669,0,-69.902,-380.2471,0,-380.2471,-0.964,-0.964,-113.967,-6.675,-501.853,-83.636,6.42,-113.967
