,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-12-31,-2.8,21.2,-19.1,2.1,-7.1,-14.2,-1.7,364.6,363.9,-51.9,-7.4,-108,0,249.4001,249.4001,-32.8,49.3,989.1,-0.2,-228.8,-228.8,0,-229,188,15.3
2017-09-30,170.1,20.7,5,25.7,54.1,-37.6,-6.9,115,310.8,-42.3,6.4,-0.1,5.8,-164.5,-158.7001,-14.8,-209.5,-990,-0.7,21.8,21.8,-0.8,20.3,122.1,15.8
2017-06-30,186.1,18.9,56.1,75,6.7,-47.9,8.1,-63.4,197.7,-58,-3.7,-2.8,-1.4,-571.8,-573.1999,-0.5,-638.2,153.2,153.2,-28.2,-28.2,1.8,126.8,-311.1,15.3
2017-03-31,230.20000,21.10000,52.30000,73.40000,-81.50000,-24.30000,5.70000,-175.30000,128.30000,-15.90000,-2.70000,-82.00000,-4.40000,255.60000,251.20000,0.60000,151.20000,24.00000,24.00000,-414.30000,-414.30000,-1.00000,-391.30000,-110.80000,15.20000
2016-12-31,158.5,19.1,-24.6,-5.5,-5.6,-22.5,7.7,48.1,201.1,-63.2,0,0,-3.3,146.2001,142.9,0.5,80.2,223.2,223.2,-260.8,-260.8,42.7,5.1,285.1,13.9
2016-09-30,141.4,18.2,-5.6,12.6,9.9,-28.4,4.1,51.9,205.9,-48.1,-0.2,0,105.9,-49.9,56,-3.8,3.9,2.3,2.3,37.9,37.9,23.6,63.8,275.1,14.4
2016-06-30,126.6,18,-10,8,-32.5,-10.1,27.5,55.7,190.3,-37.1,-41.1,0,-210.9,-54.3,-265.2,0.3,-343.1,-3.6,-3.6,-11.5,-11.5,46.8,31.7,-131.5,14.3
2016-03-31,143.00000,15.90000,4.40000,20.30000,-32.20000,-4.60000,3.40000,-56.20000,107.10000,-27.70000,,,98.50000,-27.70000,70.80000,4.20000,47.30000,0.20000,0.20000,-324.60000,-324.60000,-44.70000,-369.10000,-217.00000,14.30000
2015-12-31,140.7,14.5,-91.4,-76.9,-10,-11.6,-2.5,40,103.8,-37.5,-3.8,-11.5,-234.5,310.5,76.0001,4.1,27.3,20.7,0,-72.8,-72.8,13.1,-59.7,72.3,12.9
2015-09-30,118.1,18.5,10,28.5,11.2,-23.8,-5.7,55.9,202.5,-26,0,-320.1,220.9,-53.8,167.1,3.4,-175.6,-17.4,3.3,17.3,17.3,3,23.6,48.5,12.6
2015-06-30,112.7,16.8,-0.4,16.4,-3,-13.4,-0.7,41,170.1,-18.4,0,0,97.5,-61.2,36.3,-5.4,12.5,-0.6,-0.6,-59.9,-59.9,9.9,-50.6,140.6,10.8
