,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,672,107,-84,23,0,6,353,-11,684,-153,-208,0,-924,-924,-9,-1294,1143,0,1143,-283,-283,-119,3,744,166,128,-119
2022-09-30,-69,104,662,766,0,0,32,32,729,-102,0,0,109,109,-16,-9,0,0,0,-286,-286,-120,52,-354,334,118,-120
2022-06-30,-531,113,772,885,0,0,-126,-126,228,-111,0,0,2150,2150,-47,1992,-605,0,-605,-1419,-1419,-121,-85,-2230,-49,137,-121
2022-03-31,-1341.00000,118.00000,2108.00000,2226.00000,,,-272.00000,-272.00000,613.00000,-83.00000,,,1852.00000,1852.00000,3.00000,1772.00000,-750.00000,,-750.00000,-1068.00000,-1068.00000,-129.00000,-5.00000,-1952.00000,415.00000,111.00000,-129.00000
2021-12-31,1969,122,-1770,-1648,0,9,530,-28,293,-103,0,0,285,285,2603,2785,0,0,0,-3053,-3053,-107,-127,-3287,-215,112,-107
2021-09-30,264,119,-39,80,0,0,-89,-89,255,-159,0,0,1674,1674,8,1523,-4,0,-4,-2233,-2233,-116,-145,-2498,-685,127,-116
2021-06-30,10734,127,-9870,-9743,0,0,76,76,1067,-99,0,0,-3259,-3259,2448,-910,2482,-400,2082,-1372,-1372,-121,-167,422,585,135,-121
2021-03-31,641.00000,134.00000,360.00000,494.00000,,,-93.00000,-93.00000,1042.00000,-83.00000,,,348.00000,348.00000,,265.00000,-1156.00000,400.00000,-756.00000,-304.00000,-304.00000,-122.00000,13.00000,-1169.00000,127.00000,103.00000,-122.00000
2020-12-31,845,131,-219,-88,0,69,-284,1,758,-155,0,0,399,399,-30,214,0,0,0,-392,-392,-110,-47,-549,475,116,-110
2020-09-30,664,157,-551,-394,0,0,-165,-165,105,-124,0,0,1850,1850,-15,1711,-932,0,-932,-675,-675,-111,-55,-1773,94,110,-111
2020-06-30,746,154,-25,129,0,0,89,89,964,-87,0,0,-497,-497,-53,-637,-68,0,-68,12,12,-112,-41,-209,126,99,-112
2020-03-31,3412.00000,141.00000,-2816.00000,-2675.00000,,,-145.00000,-145.00000,592.00000,-97.00000,,,-1510.00000,-1510.00000,4113.00000,2506.00000,994.00000,,994.00000,-3992.00000,-3992.00000,-114.00000,-49.00000,-3161.00000,-97.00000,92.00000,-114.00000
2019-12-31,556,126,227,353,-93,-11,402,-98,811,-114,0,0,489,489,-17,358,0,0,0,-955,-955,-113,-40,-1108,87,94,-113
2019-09-30,310,144,375,519,0,0,180,180,1009,-81,93,0,1273,1273,-142,1143,-1550,0,-1550,-1018,-1018,-115,-42,-2725,-612,80,-115
2019-06-30,402,168,282,450,0,0,-108,-108,744,-133,0,0,828,828,33,728,0,0,0,-1468,-1468,-120,-65,-1653,-191,129,-120
2019-03-31,518.00000,162.00000,64.00000,226.00000,,,-194.00000,-194.00000,550.00000,-180.00000,-93.00000,,832.00000,832.00000,-1.00000,558.00000,,,,-1426.00000,-1426.00000,-125.00000,-54.00000,-1605.00000,-507.00000,112.00000,-125.00000
2018-12-31,760,111,108,219,-76,-33,769,235,1233,-102,0,0,532,532,-9,421,0,0,0,-1472,-1472,0,-39,-1511,118,69,0
2018-09-30,721,175,-153,22,0,0,-185,-185,558,-179,0,1029,64,1093,12,926,0,0,0,-988,-988,0,-32,-1020,465,125,0
2018-06-30,642,170,-144,26,0,0,-296,-296,372,-184,-302,0,334,334,1,-151,0,0,0,-933,-933,0,-109,-1042,-910,151,0
2018-03-31,407.00000,179.00000,166.00000,345.00000,,,-257.00000,-257.00000,495.00000,-158.00000,,,1856.00000,1856.00000,,1698.00000,-750.00000,,-750.00000,-1000.00000,-1000.00000,,-75.00000,-1825.00000,406.00000,120.00000,
2017-12-31,-2601,172,2047,2219,-195,19,131,1370,988,-192,-12,0,419,419,-3,212,-2,0,-2,-876,-876,0,-18,-896,358,127,0
2017-09-30,520,173,109,282,0,0,75,75,877,-157,-2,-514,1290,776,0,617,-1450,0,-1450,-895,-895,0,-57,-2402,-875,118,0
2017-06-30,29,168,615,783,0,0,-113,-113,699,-182,-20,0,-1808,-1808,0,-2010,2484,0,2484,-456,-456,0,-96,1932,658,137,0
2017-03-31,1035.00000,163.00000,-402.00000,-239.00000,,,-214.00000,-214.00000,582.00000,-135.00000,,,20.00000,20.00000,1.00000,-114.00000,,,,-399.00000,-399.00000,,-19.00000,-418.00000,164.00000,101.00000,
2016-12-31,5936,176,-5488,-5312,-48,-28,112,11,620,-136,-212,0,704,704,195,551,-3,0,-3,-906,-906,0,-17,-926,54,110,0
2016-09-30,413,172,105,277,0,0,112,112,802,-185,0,0,-244,-244,-166,-595,-17,0,-17,-486,-486,0,0,-503,-248,105,0
2016-06-30,435,167,144,311,0,0,17,17,763,-147,0,0,-704,-704,-47,-898,0,0,0,-455,-455,0,-82,-537,-685,113,0
2016-03-31,482.00000,167.00000,112.00000,279.00000,,,-120.00000,-120.00000,641.00000,-158.00000,,,-905.00000,-905.00000,-12.00000,-1075.00000,2216.00000,,2216.00000,-994.00000,-994.00000,,,1222.00000,854.00000,88.00000,
2015-12-31,477,171,21,192,-105,226,486,371,1040,-129,0,0,-1090,-1090,896,-323,-600,0,-600,-589,-589,0,-33,-1222,-583,78,0
2015-09-30,539,182,36,218,0,0,-71,-71,686,-242,-24,0,525,525,-1126,-867,-250,0,-250,-485,-485,0,-1619,-2354,-2572,93,0
2015-06-30,83,174,1035,1209,0,0,-136,-136,1156,-201,0,0,1003,1003,-2499,-1697,0,0,0,108,108,0,-101,7,-486,115,0
2015-03-31,626.00000,160.00000,635.00000,795.00000,,,-270.00000,-270.00000,1151.00000,-96.00000,,,-401.00000,-401.00000,-227.00000,-724.00000,,,,-962.00000,-962.00000,,-23.00000,-985.00000,-855.00000,93.00000,
2014-12-31,1023,164,346,510,51,81,-75,108,1641,-200,0,0,1966,1966,-694,1072,0,0,0,-1060,-1060,0,-5,-1065,1538,93,0
2014-09-30,673,-97,657,560,0,0,135,135,1368,-1,-20,0,-1994,-1994,-601,-2616,3482,-1200,2282,16,16,0,-17,2281,956,-56,0
2014-06-30,676,233,337,570,0,0,248,248,1494,-215,-31,0,-1352,-1352,-63,-1661,0,1200,1200,-1558,-1558,0,-87,-445,-581,158,0
2014-03-31,-2326.00000,382.00000,3461.00000,3843.00000,,,-343.00000,-343.00000,1174.00000,-206.00000,-4.00000,,743.00000,743.00000,-1.00000,532.00000,,,,-1756.00000,-1756.00000,,-37.00000,-1793.00000,-79.00000,149.00000,
2013-12-31,850,-373,440,67,-89,-13,435,796,1713,291,-53,0,-341,-341,-1915,-2018,-400,0,-400,-119,-119,0,19,-500,-786,-114,0
2013-09-30,689,357,161,518,0,0,127,127,1334,-317,-70,0,-2517,-2517,0,-2904,0,0,0,-89,-89,0,-2,-91,-1575,140,0
2013-06-30,640,347,251,598,0,0,-227,-227,1011,-353,-7,0,-2,-2,-9,-371,0,0,0,-324,-324,0,-28,-352,325,161,0
2013-03-31,677.00000,329.00000,736.00000,1065.00000,,,-805.00000,-805.00000,937.00000,-299.00000,-8.00000,,-407.00000,-407.00000,-5.00000,-719.00000,,,,-374.00000,-374.00000,,-37.00000,-411.00000,-287.00000,111.00000,
2012-12-31,750,318,130,448,-207,-16,565,187,1385,-296,0,0,-1567,-1567,4,-1859,0,0,0,-132,-132,0,1,-131,-514,128,0
2012-09-30,597,311,270,581,0,0,-24,-24,1154,-362,-10,0,3,3,-61,-430,2976,-550,2426,87,87,0,3,2516,3293,122,0
2012-06-30,692,290,140,430,0,0,-354,-354,768,-357,14,0,-227,-227,-11,-581,0,0,0,-215,-215,0,0,-215,-126,127,0
2012-03-31,570.00000,281.00000,245.00000,526.00000,,,-565.00000,-565.00000,531.00000,-242.00000,-3.00000,,-643.00000,-643.00000,-5.00000,-893.00000,,,,-155.00000,-155.00000,,-64.00000,-219.00000,-527.00000,111.00000,
2011-12-31,1979,273,-1475,-1202,-292,29,539,206,983,-291,2201,0,-441,-441,-7,1462,0,-450,-450,-196,-196,0,-2,-648,1692,112,0
2011-09-30,491,266,199,465,0,0,-147,-147,809,-284,-308,0,-372,-372,0,-964,-199,186,-13,-1,-1,0,-10,-24,-267,108,0
2011-06-30,283,208,476,684,0,0,-185,-185,782,-239,-2656,0,-210,-210,-103,-3208,0,514,514,-341,-341,0,0,173,-2198,119,0
2011-03-31,476.00000,193.00000,226.00000,419.00000,,,-195.00000,-195.00000,700.00000,-149.00000,-191.00000,,-258.00000,-258.00000,1.00000,-597.00000,,,,-284.00000,-284.00000,,-55.00000,-339.00000,-113.00000,119.00000,
2010-12-31,559.226,191.823,496.143,687.966,-112,-9,323.053,-392.947,854.245,-197.555,-84,0,-610.637,-610.637,-1.076,-893.268,1489,300,1789,-296.19,-296.19,0,1.276,1494.086,1395.911,93.168,0
2010-09-30,431.929,194.338,191.744,386.082,0,0,-70.897,-70.897,747.114,-166.988,0,0,-387.958,-387.958,-0.151,-555.097,0,0,0,-278.449,-278.449,0,-31,-309.449,143.465,93.78,0
2010-06-30,412.192,187.817,184.015,371.832,0,0,-57.645,-57.645,726.379,-207.201,-7,0,79.892,79.892,-0.357,-134.666,0,0,0,57.522,57.522,0,0.231,57.753,444.439,91.983,0
2010-03-31,397.65300,188.02200,208.09800,396.12000,,,-375.51100,-375.51100,418.26200,-152.25600,,,-669.29700,-669.29700,120.58400,-700.96900,,,,42.11700,42.11700,,-49.50700,-7.39000,-406.81500,102.06900,
2009-12-31,1354.906,200.784,-1085.898,-885.1141,-97.494,-27.235,232.066,300.808,770.6,-172.938,1780.3211,0,-725.781,-725.781,0.598,882.2,800,-1000,-200,50.73,50.73,0,-14.343,-163.613,1441.959,92.038,0
2009-09-30,349.736,215.068,189.171,404.239,0,0,-15.734,-15.734,738.241,-174.768,0,0,-419.105,-419.105,-9.526,-603.399,-200,0,-200,16.061,16.061,0,-14.443,-198.382,-15.758,92.489,0
2009-06-30,327.342,197.805,189.115,386.92,0,0,16.456,16.456,730.718,-128.454,-1209.433,0,-53.332,-53.332,15.094,-1376.125,0,0,0,32.909,32.909,0,-2.05,30.859,-483.542,96.434,0
2009-03-31,357.11300,197.28900,195.08000,392.36900,,,-80.95500,-80.95500,668.52700,-90.93400,,,38.55400,38.55400,0.32100,-52.05900,-600.00000,,-600.00000,2.82600,2.82600,,-17.34600,-614.52000,-131.76900,113.84600,
