,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,55.284,4038.21,-3075,963.208,125.074,-320.078,-574.633,443.858,-111.593,0,-563.99,-911.276,0,-911.276,0,-1586.859,0,0,6.705,6.705,0,6.705,-969.732,153.789
2022-09-30,1398.242,3738.78,-4829.408,-1090.626,53.875,-16.754,249.193,556.81,-84.96,0,0,0,0,0,0,-84.96,0,0,4.113,4.113,0,4.113,295.905,152.062
2022-06-30,1440.951,3344.853,-4404.429,-1059.576,-122.048,82.142,-278.625,102.75,-90.018,0,-68.876,0,0,0,0,-158.894,-700,-700,711.25,711.25,0,11.25,-190.092,150.392
2022-03-31,1597.44700,3240.96700,-3940.86300,-699.89600,-215.44400,-110.03100,25.28800,922.83900,-121.15800,,-124.52100,,,,,-245.67900,,,-686.32200,-686.32200,,-686.32200,-20.61000,119.20900
2021-12-31,607.429,3805.302,-5020.21,-1214.904,185.279,114.826,204.202,-403.274,-165.979,0,-788.349,0,0,0,0,-954.328,0,0,88.149,88.149,-224.168,-136.019,-1497.857,99.329
2021-09-30,1449.071,3033.304,-5161.961,-2128.66,24.836,467.357,761.967,82.379,-167.327,0,0,0,0,0,-21.304,-188.631,0,0,-81.555,-81.555,0,-81.555,-251.65,95.078
2021-06-30,1353.013,2845.237,-3506.823,-661.5858,72.313,-656.071,-755.188,-63.761,-110.278,0,0,0,0,0,-1,-111.278,-500,-500,19.727,19.727,0,-480.273,-631.835,101.583
2021-03-31,1706.71500,2754.93700,-3464.32600,-709.38920,-137.31300,-260.64400,-220.06000,777.26600,-81.00100,,,,,,-4.61500,-85.61600,,,-451.92900,-451.92900,,-451.92900,197.58300,107.23000
2020-12-31,542.156,3014.566,-2811.873,202.6904,107.898,-813.832,-882.519,-137.672,-148.356,0,0,0,0,0,1.957,-146.399,0,0,33.987,33.987,0,33.987,-183.41,107.594
2020-09-30,789.976,2762.332,-2634.219,128.1138,111.677,-32.032,345.672,1263.761,-109.811,0,0,0,0,0,-8.84,-118.651,0,0,68.665,68.665,0,68.665,1242.234,106.357
2020-06-30,720.196,2633.82,-2102.234,531.5862,-112.027,6.771,-210.706,1041.076,-141.741,0,0,0,0,0,-0.26,-142.001,1009.464,1009.464,89.06,89.06,-7.559,1090.965,2001.859,104.21
2020-03-31,709.06700,2511.90200,-2919.30400,-407.40210,-149.15300,-106.79100,-41.75300,259.91200,-98.01500,,,,,,-0.28800,-98.30300,,,43.69400,43.69400,,43.69400,134.40100,97.01900
2019-12-31,586.97,2607.487,-4419.531,-1812.042,230.847,-233.715,-236.904,-1461.975,-107.737,0,0,0,0,0,-99.834,-207.571,2226.11,2226.11,15.633,15.633,-17.942,2223.801,584.065,100.066
2019-09-30,665.244,2306.681,-3704.899,-1398.217,-7.643,-22.049,231.18,-501.794,-45.333,0,0,0,0,0,-4.021,-49.354,0,0,11.989,11.989,0,11.989,-568.484,100.262
2019-06-30,270.65,2257.411,-3076.171,-818.7598,-2.674,33.735,4.356,-543.754,-39.584,0,0,0,0,0,-10.452,-50.036,2243.196,2243.196,21.896,21.896,-18.192,2246.9,1658.108,103.848
2019-03-31,344.05200,2148.24700,-2916.50900,-768.26220,-124.46700,11.23100,44.41100,-379.79900,-60.38100,,,,,,-19.72200,-80.10300,,,22.97200,22.97200,,22.97200,-441.94400,101.20000
2018-12-31,133.934,2044.632,-3414.766,-1370.137,121.831,-70.924,1.131,-1235.072,-70.12,31.079,0,0,0,0,-41.317,-80.358,2061.852,2061.852,11.45,11.45,-19.438,2053.864,733.477,88.714
2018-09-30,402.835,1942.887,-3128.694,-1185.807,-4.449,-36.99,92.561,-690.411,-39.333,-7.731,0,0,0,0,-121.63,-168.694,0,0,29.781,29.781,-0.544,29.237,-835.43,82.316
2018-06-30,384.349,1848.707,-2745.043,-896.3361,7.733,38.866,-6.252,-518.239,-27.323,-12.552,0,0,0,0,-0.441,-40.316,1900,1900,26.936,26.936,-17.524,1909.412,1314.517,81.232
2018-03-31,290.12400,1779.01900,-2512.22700,-733.20790,74.08300,13.19500,206.32700,-236.75700,-37.17000,-10.79600,,,,,-1.78600,-49.75200,,,56.33500,56.33500,-0.32100,56.01400,-223.31800,68.39500
2017-12-31,185.517,1684.568,-2379.292,-694.724,63.969,-37.55,21.25,-487.957,-21.585,43.213,0,0,0,0,-57.469,-35.841,1600,1600,14.705,14.705,-16.762,1597.943,1076.326,48.53
2017-09-30,129.59,1659.974,-2301.205,-641.231,34.029,-16.001,92.034,-419.607,-33.963,-10.217,0,247.479,0,247.479,-1.107,202.192,0,0,34.669,34.669,-0.247,34.422,-172.308,44.763
2017-06-30,65.6,1585.856,-2050.466,-464.6099,-12.439,-75.037,-135.518,-534.528,-65.231,-7.624,0,17.487,0,17.487,-1.064,-56.432,1420.51,1420.51,14.826,14.826,-14.95,1420.386,840.953,44.028
2017-03-31,178.22200,1339.33000,-1942.61900,-603.28910,-11.00000,-1.33100,81.21100,-343.85600,-52.52300,-25.37200,,3.07400,,3.07400,-0.76900,-75.59000,,,24.17800,24.17800,0.06100,24.23900,-389.75200,44.88800
2016-12-31,66.748,1363.903,-2005.666,-641.763,15.54,5.897,17.855,-557.16,-61.048,-18.797,0,105.884,0,105.884,-1.617,24.422,1000,1000,25.392,25.392,17.08,1042.472,498.418,43.646
2016-09-30,51.517,1257.802,-1857.442,-599.6398,27.81,29.415,86.182,-461.941,-27.366,-17.249,0,68.466,0,68.466,0.125,23.976,0,0,3.819,3.819,12.82,16.639,-421.767,43.495
2016-06-30,40.755,1209.513,-1531.296,-321.7831,8.795,43.841,54.735,-226.293,-10.814,-17.924,0,24.935,0,24.935,0.907,-2.896,0,0,4.232,4.232,13.38,17.612,-214.319,44.112
2016-03-31,27.65800,1093.76000,-1383.61600,-289.85610,-19.89800,12.27400,33.60800,-228.59000,-8.42500,-23.20700,,36.25100,,36.25100,-0.35600,4.26300,,,3.53600,3.53600,11.37100,14.90700,-204.08600,42.42200
2015-12-31,43.178,996.142,-1228.723,-232.5808,49.031,-64.754,-55.342,-244.745,-12.854,-20.799,0,-9.17,0,-9.17,2.262,-40.561,0.599,0.599,8.171,8.171,-26.228,-17.458,-306.107,35.86
2015-09-30,29.432,906.039,-1223.225,-317.1862,6.762,74.14,91.785,-195.969,-37.82,-14.467,0,8.568,0,8.568,-3.76,-47.479,-0.061,-0.061,35.089,35.089,37.726,72.754,-178.435,32.834
2015-06-30,26.335,858.994,-1093.876,-234.8819,6.447,-20.867,27.204,-181.343,-27.538,-19.786,0,-0.367,0,-0.367,-0.639,-48.33,-0.538,-0.538,23.804,23.804,39.281,62.547,-160.905,28.59
2015-03-31,23.69600,785.87000,-1046.18800,-260.31810,-10.62500,83.94300,109.24000,-127.38200,-13.03600,-22.90600,,-7.10500,,-7.10500,0.22500,-42.82200,1500.00000,1500.00000,10.91600,10.91600,11.51800,1522.43400,1341.16900,27.44100
2014-12-31,83.371,764.843,-858.746,-93.9026,51.083,-83.062,-27.929,-38.461,-15.491,-23.365,0,-11.854,0,-11.854,-0.431,-51.141,0.813,0.813,3.75,3.75,19.828,24.391,-69.609,30.251
2014-09-30,59.295,718.78,-851.446,-132.6662,13.003,29.909,35.932,-37.439,-21.032,-15.53,0,15.81,0,15.81,0.341,-20.411,-0.275,-0.275,9.877,9.877,21.06,30.662,-31.027,29.878
2014-06-30,71.018,668.937,-733.616,-64.679,-3.086,-6.237,49.685,56.024,-19.869,-20.981,0,10.768,0,10.768,1.129,-28.953,-0.271,-0.271,14.469,14.469,14.275,28.473,56.794,29.285
2014-03-31,53.11500,629.23800,-724.96900,-95.73100,22.81200,56.60500,78.97500,36.35900,-13.33400,-14.91400,,85.59200,,85.59200,0.29500,57.63900,399.73300,399.73300,32.44800,32.44800,26.00500,458.18600,552.48500,25.82500
2013-12-31,48.421,603.275,-641.08,-37.8051,12.37,11.429,30.829,41.445,-23.109,-15.24,0,100.84,0,100.84,2.131,64.622,-0.264,-0.264,31.004,31.004,29.188,59.928,165.909,18.922
2013-09-30,31.822,582.392,-570.568,11.8239,-5.877,8.375,-8.953,34.693,-10.828,-15.471,0,13.959,0,13.959,-1.329,-13.669,-0.258,-0.258,25.561,25.561,20.492,45.795,68.378,18.477
2013-06-30,29.471,539.985,-589.435,-49.4499,-5.138,48.566,53.922,33.943,-8.088,-14.023,0,-106.661,0,-106.661,1.087,-127.685,-0.255,-0.255,28.846,28.846,20.368,48.959,-47.373,17.955
2013-03-31,2.68900,516.02800,-555.97900,-39.95100,17.01900,12.12500,25.01200,-12.25000,-12.11800,-21.19300,,-149.97500,,-149.97500,4.05000,-179.23600,280.23500,280.23500,39.14600,39.14600,2.20100,321.58200,127.76000,17.74600
2012-12-31,7.897,492.415,-490.874,1.5409,6.224,-15.542,-23.443,-14.005,-21.345,-18.149,0,-30.819,0,-30.819,2.493,-67.82,-0.596,-0.596,1.594,1.594,0.834,1.832,-80.007,17.694
2012-09-30,7.675,435.2071,-469.841,-34.6338,-9.727,18.467,24.034,-2.925,-10.808,-8.586,0,-12.912,0,-12.912,1.857,-30.449,-0.587,-0.587,0.318,0.318,0.111,-0.158,-31.953,18.472
2012-06-30,6.164,403.3479,-397.635,5.7129,0.316,0.36,7.53,19.407,-3.359,-8.012,0,-2.415,0,-2.415,3.132,-10.654,-0.577,-0.577,0.524,0.524,-0.064,-0.117,6.259,18.45
2012-03-31,-4.58400,371.11300,-364.12500,6.98800,-1.75600,16.67800,16.70500,19.10900,-4.76600,-13.52800,,-118.85700,,-118.85700,1.33400,-135.81700,-0.55900,-0.55900,1.22400,1.22400,3.36700,4.03200,-112.06100,19.33200
2011-12-31,35.219,315.859,-319.9079,-4.0488,20.019,7.958,34.296,65.466,-10.656,-23.144,0,-84.064,0,-84.064,2.255,-115.609,197.524,197.524,200.972,200.972,0.501,398.997,348.854,18.077
2011-09-30,62.46,222.359,-228.586,-6.227,-7.052,-23.139,-6.702,49.531,-14.08,-20.826,0,-5.831,0,-5.831,-0.844,-41.581,-0.526,-0.526,-35.193,-35.193,11.761,-23.958,-16.008,15.705
2011-06-30,68.214,178.648,-197.576,-18.928,-4.231,25.878,37.106,86.392,-8.626,-19.065,0,-8.102,0,-8.102,0.844,-34.949,-0.52,-0.52,-44.003,-44.003,17.868,-26.655,24.788,15.536
2011-03-31,60.23300,122.75300,-117.55600,5.19700,15.23200,15.36800,50.89300,116.32300,-16.32000,-22.11900,,-36.65500,,-36.65500,1.41900,-73.67500,-0.50100,-0.50100,-101.88100,-101.88100,15.65400,-86.72800,-44.08000,12.26400
2010-12-31,47.095,105.268,-112.955,-7.687,17.968,13.309,57.309,96.717,-14.431,-32.908,0,-12.899,0,-12.899,2.055,-58.183,-0.48,-0.48,15.822,15.822,27.515,42.857,81.391,8.27
