,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-379.564,-1185.63,91.143,-1094.487,276.953,0,271.087,-1202.964,-203.995,1877.092,0,1994.061,1994.061,60.776,3727.934,-3653.667,-3653.667,-400.878,-400.878,1440.481,46.536,-2567.528,-34.459,1440.481
2022-09-30,238.791,393.092,-152.634,240.458,-28.643,0,-59.863,419.386,203.995,-1779.887,0,-727.089,-727.089,2.879,-2300.102,1901.234,1901.234,400.878,400.878,-369.095,1.42,1934.437,76.723,-369.095
2022-06-30,63.863,382.433,50.67,433.103,-79.521,0,8.927,505.893,0,-77.072,0,-598.042,-598.042,-33.626,-708.74,526.093,526.093,0,0,-366.475,-4.823,154.795,-59.118,-366.475
2022-03-31,76.91000,410.10500,10.82100,420.92600,-168.78900,,-220.15100,277.68500,,-20.13300,,-668.93000,-668.93000,-30.02900,-719.09200,1226.34000,1226.34000,,,-704.91100,-43.13300,478.29600,16.85400,-704.91100
2021-12-31,1090.397,365.19,-958.542,-593.352,-148.012,0,-45.106,451.939,971.308,-23.576,0,-779.338,-779.338,-50.298,118.096,-508.7841,-508.7841,3.787,3.787,-9.947,1.484,-513.46,24.393,-9.947
2021-09-30,136.541,412.381,-61.626,350.755,-114.416,0,-87.498,399.798,15.828,0,0,-663.454,-663.454,26.454,-621.172,412.795,412.795,92.871,92.871,-347.358,39.87,198.178,-1.421,-347.358
2021-06-30,125.798,387.525,18.063,405.588,-17.695,0,-8.77,522.616,18.452,-140.816,0,-607.588,-607.588,-14.151,-744.103,580.363,580.363,75.438,-125.812,-348.146,34.912,141.317,-102.199,-348.146
2021-03-31,394.67600,393.52000,-275.03100,118.48900,-108.99300,,-185.29000,327.87500,685.48400,-27.62300,,-467.72700,-467.72700,-4.67600,185.45800,259.49300,259.49300,,,-673.74700,-2.41100,-416.66500,107.06000,-673.74700
2020-12-31,59.508,357.102,51.681,408.783,30.186,0,57.511,525.802,16.702,-411.921,0,-702.696,-702.696,18.087,-1079.828,-1.5849,-1.5849,-1.207,-251.207,-13.771,-28.898,-295.461,-862.937,-13.771
2020-09-30,-1.454,392.203,57.503,449.706,-54.738,0,20.117,468.369,21.551,-262.198,0,-556.639,-556.639,-43.418,-840.704,174.1079,174.1079,1241.283,991.283,-332.636,-6.433,826.322,467.556,-332.636
2020-06-30,75.978,378.629,1.981,380.61,-13.067,0,38.04,485.71,0,-37.921,0,-494.259,-494.259,-9.192,-541.372,10.9389,10.9389,639.881,639.881,-332.309,-4.693,313.818,260.334,-332.309
2020-03-31,228.69800,314.48000,-221.23500,93.24500,-35.27800,,-104.20100,226.66000,526.36200,-196.52700,,-454.79500,-454.79500,-12.48300,-137.44300,622.84500,622.84500,,,-560.60200,28.76700,91.01000,161.44600,-560.60200
2019-12-31,349.326,291.708,-235.431,56.277,-65.652,89.757,-3.73,401.873,74.973,-75.704,0,1066.992,1066.992,-633.197,433.064,-1053.9695,-1053.9695,328.152,328.152,-20.707,-13.27,-759.794,81.849,-74.99
2019-09-30,67.574,301.792,6.453,308.245,7.518,-22.833,-91.187,284.632,-15.576,0,0,-360.002,-360.002,54.035,-321.543,266.4536,266.4536,2.921,2.921,-251.517,-7.153,10.704,-25.668,-234.847
2019-06-30,61.324,307.38,-2.306,305.074,5.228,-21.805,110.214,476.612,-50.314,0,0,-432.878,-432.878,-69.012,-552.204,582.4368,582.4368,-0.76,-365.81,-251.82,15.906,-19.287,-92.937,-234.536
2019-03-31,120.99700,330.51800,-55.01600,275.50200,-50.25600,-45.11900,-45.79900,350.70000,-9.08300,,,-414.31500,-414.31500,589.08900,165.69100,-253.36990,-253.36990,205.30700,205.30700,-472.72200,17.14100,-503.64400,-1.21300,-452.39300
2018-12-31,52.597,315.425,-20.109,295.316,16.18,-72.423,3.562,351.475,116.99,-1974.542,0,-379.254,-379.254,-5.411,-2242.217,1981.266,1981.266,-2.569,-2.569,-20.224,7.331,1965.804,80.912,0.105
2018-09-30,90.264,310.654,-27.353,283.3011,-28.186,-38.541,-12.804,360.761,50.115,0,0,-332.392,-332.392,14.081,-268.196,96.063,96.063,2.725,2.725,-236.933,63.449,-74.696,27.278,-216.604
2018-06-30,88.159,318.349,-16.591,301.7579,20.938,-7.711,46.181,436.098,-18.076,0,0,-324.268,-324.268,-5.952,-348.296,145.293,145.293,-0.64,-0.64,-236.838,1.56,-90.625,-2.668,-216.509
2018-03-31,110.09500,311.23200,-41.17500,270.05700,-30.25000,-29.70600,-143.16200,236.99000,137.17500,,,-289.92100,-289.92100,-24.53800,-177.28400,395.73200,395.73200,2.49700,2.49700,-436.78700,-4.65600,-43.21400,16.51900,-416.45800
2017-12-31,79.658,303.429,-30.669,272.7599,-32.004,-14.873,-10.664,341.754,-302.277,0,0,-472.533,-472.533,135.627,-639.183,127.4074,127.4074,0.2,0.2,-21.724,-8.228,97.656,-197.15,0.81
2017-09-30,12.475,207.909,21.175,229.0841,-18.002,8.362,-79.32,162.239,10.675,0,0,-289.672,-289.672,24.491,-254.506,259.8342,259.8342,196.616,196.616,-213.368,-0.103,242.979,169.017,-198.998
2017-06-30,79.571,185.422,7.24,192.662,-33.166,5.675,28.013,300.246,-21.244,0,0,-221.711,-221.711,-4.941,-247.896,121.922,121.922,211.769,29.269,-167.619,-0.116,-16.544,15.917,-153.114
2017-03-31,84.56300,181.62100,-1.36300,180.25800,9.45500,-16.78900,-45.75500,219.06600,-13.58500,,,-260.10800,-260.10800,58.12500,-215.56800,307.02900,307.02900,2.72400,2.72400,-312.49800,-0.14600,-2.89100,3.36100,-295.10500
2016-12-31,96.14,181.63,-31.916,149.714,32.743,94.299,38.335,284.189,0,36.328,0,-208.717,-208.717,-56.789,-229.178,-52.554,-52.554,1085.442,-0.6489,-17.392,0.477,-70.118,-26.094,0.001
2016-09-30,222.435,183.588,-164.966,18.6219,-45.379,-82.277,-10.637,230.42,-548.0619,-29.586,0,-216.947,-216.947,19.218,-775.377,-92.7049,-92.7049,2.816,801.4069,-153.131,-14.929,540.642,-3.408,-131.601
2016-06-30,50.944,181.787,2.28,184.0671,-4.339,-64.09,-18.992,216.019,-0.344,-2.423,0,-148.516,-148.516,6.369,-144.914,81.9488,81.9488,0.108,0.108,-153.968,2.819,-69.092,0.805,-131.544
2016-03-31,62.33300,173.92500,-2.02800,171.89700,3.22100,-17.52000,-53.61600,180.61400,34.44000,-4.31900,,-183.90100,-183.90100,-0.34800,-154.12800,240.38600,240.38600,1.80500,1.80500,-280.89900,-12.10700,-50.81500,-24.32900,-258.47500
2015-12-31,-16.573,173.8,60.237,234.037,-8.745,26.014,40.169,257.633,-50.823,-1856.241,-1.52,-205.289,-206.809,11.613,-2102.26,1226.4731,1226.4731,919.042,669.042,-23.878,4.676,1876.313,34.002,0.178
2015-09-30,57.842,135.667,-0.839,134.828,-6.208,-11.275,-8.614,184.056,0,-21.371,0.036,-154.993,-154.957,-7.054,-183.382,-139.3621,-139.3621,0.305,250.305,-136.5,-4.764,-30.321,-29.647,-118.044
2015-06-30,137.997,136.181,-76.295,59.886,-13.905,-14.575,18.346,216.229,93.867,9.632,1.559,-196.331,-194.772,-1.516,-92.789,47.765,47.765,0.159,0.159,-136.347,-13.194,-101.617,21.823,-117.891
2015-03-31,122.32500,132.41600,-61.92900,70.48700,18.73100,-30.13900,-53.89000,138.92200,43.27400,-12.40300,-0.07500,-191.36400,-191.43900,11.49800,-149.07000,257.35100,257.35100,0.33400,0.33400,-251.33300,-0.19600,6.15600,-3.99200,-232.87800
2014-12-31,-34.795,136.277,94.407,230.684,4.951,-38.626,-12.568,183.321,0,-15.703,-0.338,-176.112,-176.45,12.859,-179.294,19.015,19.015,0.474,0.474,-18.414,-1.215,-0.14,3.887,0.041
2014-09-30,130.161,140.716,-81.584,59.132,-36.96,5.02,-31.99,157.303,-24.305,-10.066,16.577,-45.894,-29.317,2.618,-61.07,-1.4659,-1.4659,0,0,-133.418,-4.62,-139.504,-43.271,-114.963
2014-06-30,61.332,141.076,-15.949,125.127,18.454,-35.829,12.394,198.853,37.945,-3.816,-0.526,-217.16,-217.686,7.285,-176.272,63.9509,63.9509,0.199,65.199,-133.714,-7.333,-11.897,10.684,-114.885
2014-03-31,46.71700,139.28700,-3.80400,135.48300,2.12900,-41.86700,-65.78900,116.41100,,,-0.81400,-223.27900,-224.09300,-3.45100,-227.54400,58.45300,58.45300,0.03800,300.03800,-223.61300,-10.31100,124.56700,13.43400,-211.88700
2013-12-31,55.667,129.341,-1.659,127.682,11.074,-12.936,18.961,202.31,-2.256,-3.98,-0.215,-324.319,-324.5342,2.662,-328.108,139.0349,139.0349,0,0,-11.726,-2.735,124.574,-1.224,0
2013-09-30,153.48,124.348,-90.892,33.456,-15.784,-16.497,-8.363,178.573,-37.512,-6.803,-0.43,21.655,21.2251,2.837,-20.253,3.115,3.115,0.18,0.18,-114.232,-16.525,-127.462,30.858,-102.506
2013-06-30,59.621,119.059,-7.669,111.39,19.767,-22.556,15.455,186.466,-41.354,-3.088,-0.503,-322.902,-323.405,11.237,-356.61,33.567,33.567,0.042,250.042,-113.906,-17.429,152.274,-17.87,-102.507
2013-03-31,51.68100,114.05700,1.65400,115.71100,-15.58400,-33.90900,-78.35100,89.04100,-78.18500,-1.91400,-0.35900,-276.92700,-277.28600,1.74700,-355.63800,456.40590,456.40590,0.00800,0.00800,-203.99400,0.02600,252.44600,-14.15100,-195.94000
2012-12-31,55.895,109.592,0.213,109.805,-7.264,-1.36,20.712,186.412,-109.085,-16.837,-1.059,-266.875,-267.934,2.851,-391.005,192.771,192.771,0.022,0.022,-9.75,1.716,184.759,-19.834,0.001
2012-09-30,56.921,104.845,1.216,106.061,-49.438,6.602,-37.646,125.336,-1229.493,-8.342,-0.63,-208.876,-209.506,8.845,-1438.496,645.5239,645.5239,833.043,833.043,-102.853,-34.215,1341.498,28.338,-93.076
2012-06-30,53.968,91.939,11.259,103.198,-4.897,-15.381,3.497,160.663,-96.404,-6.283,2.756,-235.077,-232.321,5.405,-329.603,123.5531,123.5531,0.707,183.207,-94.294,-21.993,190.474,21.534,-83.981
2012-03-31,49.26300,87.61900,1.13600,88.75500,1.48400,-32.80600,-67.48100,70.53700,-126.20100,-2.98600,1.10100,-189.76000,-188.65900,1.01700,-316.82900,326.04500,326.04500,64.64400,64.64400,-166.20400,7.41900,231.90400,-14.38800,-157.37300
2011-12-31,47.197,83.929,0.932,84.861,-11.644,-2.365,-11.2,120.858,-99.969,-2.141,4.173,-154.313,-150.14,13.133,-239.117,87.5219,87.5219,44.217,44.217,-9.726,-1.855,120.158,1.899,0
2011-09-30,37.689,83.218,0.056,83.274,-2.386,-17.189,-30.588,90.375,-76.886,-10.185,4.486,-181.957,-177.471,3.878,-260.664,-255.6311,-255.6311,240.399,527.899,-77.683,-13.464,181.121,10.832,-73.247
2011-06-30,38.228,81.89,-0.389,81.501,-1.383,-17.555,5.505,125.234,-18.453,-6.665,0.185,-172.905,-172.72,4.374,-193.464,6.7502,6.7502,176.036,176.036,-75.29,-55.734,51.762,-16.468,-70.577
2011-03-31,39.01200,78.36300,-0.43900,77.92400,-5.84100,-26.31700,-52.44700,64.48900,-1.29400,-1.00900,-0.06700,-135.22900,-135.29600,0.04200,-137.55700,234.35390,234.35390,-5.18300,-5.18300,-123.98400,0.53000,105.71700,32.64900,-117.46200
2010-12-31,36.298,79.008,1.768,80.776,12.819,-2.447,1.634,118.708,-137.106,-2.748,0.61,-141.227,-140.617,2.143,-278.328,108.2381,108.2381,64.153,0.903,-7.608,3.313,104.846,-54.774,0
2010-09-30,23.626,75.566,0.339,75.905,-28.288,-4.145,-2.282,97.249,-750.906,-1.975,-16.2,-105.39,-121.59,1.585,-872.886,567.8389,567.8389,89.78,-13.72,-59.154,4.542,499.507,-276.13,-49.96
2010-06-30,19.902,65.436,1.593,67.029,0.398,-16.223,-1.059,85.872,-55.983,-2.077,-1.038,-86.824,-87.862,2.191,-143.731,7.104,7.104,408.01,408.01,-54.543,-10.898,349.673,291.814,-44.442
2010-03-31,25.58600,61.44500,-0.87000,60.57500,-9.41500,-18.80000,-28.96100,57.20000,-375.00000,,-0.58800,-66.87700,-67.46500,-0.29000,-442.75500,394.73400,394.73400,57.49600,57.49600,-87.24800,-0.93800,364.04400,-21.51100,-77.14700
2009-12-31,24.897,56.177,2.46,58.637,-8.13,-8.922,-18.449,65.085,-98.72,3.046,-0.167,-69.231,-69.398,4.653,-160.419,134.773,134.773,2.073,2.073,-10.101,-0.243,126.502,31.168,0
2009-09-30,23.945,54.178,0.55,54.728,-4.528,-24.156,-3.431,75.242,-20.171,-2.927,-0.208,-77.561,-77.769,2.525,-98.342,57.557,57.557,3.747,3.747,-39.676,-26.692,-5.064,-28.164,-29.575
2009-06-30,21.203,52.502,0.406,52.908,-2.442,-6.665,27.993,102.104,-19.105,-3.63,-0.353,-108.548,-108.901,3.196,-128.44,48.886,48.886,0.454,0.454,-37.165,4.541,16.716,-9.62,-27.064
2009-03-31,21.18900,48.45900,0.12700,48.58600,-1.07300,7.40300,-28.39700,41.37800,,-1.69700,1.08600,-137.04600,-135.96000,4.94900,-132.70800,64.39000,64.39000,83.80100,83.80100,-63.24600,11.98700,96.93200,5.60200,-53.14500
