,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,83.411,125.349,24.933,150.2819,-13.654,-5.267,-0.202,-8.456,225.237,-10.752,0,0,0,0,0.489,-10.263,-44.15,-44.15,3.697,3.697,0,-2.449,-42.902,181.764,53.556,0
2022-09-30,128.266,20.285,92.111,112.396,6.051,8.713,21.693,39.825,280.487,-11.068,-25.681,0,0,0,0.828,-35.921,-14.667,-14.667,-290.637,-290.637,0,-5.599,-310.903,-73.052,53.262,0
2022-06-30,-32.365,241.027,37.632,278.659,-5.21,-476.056,2.683,-458.847,-212.553,-9.648,0,0,0,0,-1.21,-10.858,-33.492,-33.492,-181.153,-181.153,0,-4.11,-218.755,-448.755,54.767,0
2022-03-31,180.60700,23.19000,28.46000,51.65000,6.14400,,28.94100,0.26000,232.51700,-17.65700,,,,,2.99700,-14.66000,-15.61900,-15.61900,-4.02500,-4.02500,,-96.96900,-116.61300,97.04700,42.29500,
2021-12-31,-168.724,23.818,-23.556,0.262,-7.403,462.816,-20.08,414.036,245.574,-27.16,3.353,0,0,0,0.025,-23.782,-1012.845,-1012.845,12.837,12.837,0,1083.427,83.419,304.07,34.735,0
2021-09-30,130.901,25.17,80.905,106.075,76.509,13.261,-10.18,79.134,316.11,-20.419,-22.389,0,0,0,0.281,-42.527,0,0,8.254,8.254,0,-4.196,4.058,274.848,39.569,0
2021-06-30,140.529,10.303,33.969,44.272,-27.856,-17.32,27.874,63.706,248.507,-22.102,-840.869,0,0,0,0,-862.971,0,0,5.887,5.887,0,-0.953,4.934,-609.236,42.396,0
2021-03-31,173.84800,10.67000,24.71000,35.38000,-75.27100,,30.46000,-106.92000,102.30800,-10.29000,,,,,-0.25500,-10.54500,,,29.97300,29.97300,,-11.27800,18.69500,106.52800,30.11600,
2020-12-31,148.635,11.25,39.15,50.4,63.707,5.874,-10.507,70.672,269.707,-10,0,0,0,0,0.003,-9.997,0,0,75.874,75.874,0,0.001,75.875,340.286,21.621,0
2020-09-30,140.621,11.68,58.356,70.036,-18.692,31.63,-2.193,32.301,242.958,-14.252,0,0,-9.115,-9.115,-1421.776,-1445.143,-20,-20,1501.329,1501.329,0,-5.025,1476.304,269.595,37.335,0
2020-06-30,106.786,10.069,106.947,117.016,-16.645,4.931,-8.559,12.837,236.639,-8.343,0,0,0,0,-2448.75,-2457.093,120,120,-67.009,-67.009,0,-81.305,-28.314,-2694.573,22.14,0
2020-03-31,-174.43300,15.79700,306.55000,322.34700,-52.58300,-18.28000,11.54800,-108.66600,39.24800,-9.78100,,,,,-0.11700,-9.89800,500.00000,500.00000,-81.68600,-81.68600,,-154.33300,263.98100,-316.36400,21.17200,
2019-12-31,191.828,16.04,-3.288,12.752,50.696,-11.97,-42.505,-1.934,179.734,-8.762,0,0,0,0,-0.007,-8.769,0,0,-42.267,-42.267,0,-36.042,-78.309,192.205,18.907,0
2019-09-30,137.791,9.174,20.126,29.3,-7.143,50.468,25.929,73.035,263.038,-9.422,0,0,0,0,-0.047,-9.469,0,0,-99.65,-99.65,0,-30.224,-129.874,-205.8,20.805,0
2019-06-30,123.923,-23.855,-11.576,-35.431,26.953,22.072,-31.608,13.784,102.276,5.004,-2.676,-83.76,0,-83.76,2.333,-79.099,850.01,850.01,107.931,107.931,0,-22.074,935.867,934.565,-17.432,0
2019-03-31,112.98500,41.72300,36.08300,77.80600,-88.36700,-26.82900,33.50000,-87.85000,102.94100,-25.85500,-1.08300,83.76000,,83.76000,-1.21500,55.60700,86.56200,86.56200,-17.49700,-17.49700,,-142.72500,-73.66000,85.70300,67.44400,
2018-12-31,-89.166,-81.135,30.538,-50.597,95.937,-36.505,-4.841,79.518,-60.245,28.716,-9.859,201.906,28.38,230.286,-13.789,235.354,270.676,270.676,-11.274,-11.274,-105.126,6.812,161.088,461.924,-105.975,-105.126
2018-09-30,171.577,39.077,48.544,87.621,-18.48,56.828,-4.152,32.7,291.898,-20.417,0.968,-87.509,-1,-88.509,0.047,-107.911,-3.801,-3.801,-78.902,-78.902,0,-74.448,-157.151,26.585,55.363,0
2018-06-30,280.854,38.993,-69.331,-30.338,-30.284,8.655,-11.594,-22.722,227.794,-24.895,31.307,-114.422,-13,-127.422,0.252,-120.758,-3.437,-3.437,-46.554,-46.554,0,-69.564,-119.555,-15.221,57.561,0
2018-03-31,87.83900,39.21000,50.44100,89.65100,-29.90100,-7.59200,19.04500,-25.48200,152.00800,-14.80100,-21.28000,0.02500,-18.18000,-18.15500,9.34700,-44.88900,-3.43800,-3.43800,-6.69300,-6.69300,,-73.01900,-83.15000,26.71500,59.08200,
2017-12-31,23.349,38.767,141.436,180.203,-36.557,-61.696,17.377,-84.654,118.898,-19.004,108.338,-4.982,-125.221,-130.203,1.675,-39.194,361.089,361.089,53.383,53.383,-20.184,-98.357,295.931,377.838,57.256,-20.184
2017-09-30,225.639,21.629,-196.306,-174.677,-55.813,50.057,30.713,89.125,140.087,-14.698,-19.949,15,1.523,16.523,0.243,-17.881,75,75,-233.888,-233.888,0,-234.032,-392.92,-266.787,134.472,0
2017-06-30,80.557,26.963,38.143,65.106,-8.875,-28.522,2.71,-55.812,89.851,-30.664,-94.295,19.017,114.621,133.638,0.863,9.542,-5,-5,67.084,67.084,0,-42.784,19.3,120.165,38.915,0
2017-03-31,28.46300,29.04900,53.97100,83.02000,-13.92400,14.87200,-5.95800,-43.62000,67.86300,-11.15700,45.13100,55.42400,-0.02900,55.39500,0.21300,89.58200,-26.59000,-26.59000,-48.32000,-48.32000,,-44.27000,-119.18000,42.26700,33.97500,
2016-12-31,114.117,34.719,-35.997,-1.278,-31.667,0,11.418,37.14,149.979,-15.3,156.349,88.462,-115.89,-27.428,5.653,119.274,-40.138,-40.138,-46.486,-46.486,0,-24.785,-111.409,150.189,22.21,0
2016-09-30,52.34,32.218,6.943,39.161,-14.905,0,-0.959,19.564,111.065,-27.606,0,-103.17,4.646,-98.524,0.747,-125.383,-65.161,-65.161,3.916,3.916,0,16.852,-44.393,-56.2,23.661,0
2016-06-30,-190.542,329.917,-47.324,282.593,40.063,0,-0.376,-48.218,43.833,-19.043,-0.272,107.525,6.395,113.92,0.435,95.04,-28.198,-28.198,-47.209,-47.209,0,-55.141,-130.548,7.32,27.764,0
2016-03-31,7.93400,29.61500,29.38100,58.99600,7.79200,,12.91200,-27.56900,39.36100,-16.09000,-2.25200,-154.39100,92.28400,-62.10700,4.38000,-76.06900,-42.91200,-42.91200,-156.71000,-156.71000,,-6.16800,-205.79000,-242.78300,31.18500,
2015-12-31,-31.4,130.216,48.488,178.704,-3.858,0,13.812,74.26,221.564,-17.491,-574.116,25.534,-8.535,16.999,0.554,-574.054,788,788,470.572,470.572,-28.249,-160.837,1069.486,714.999,33.581,-28.249
2015-09-30,65.026,27.963,-29.442,-1.479,-28.532,0,-2.021,34.781,98.328,-17.742,0,178.315,-9.885,168.43,-6.491,144.197,-80,-80,-34.102,-34.102,-28.218,12.757,-129.563,110.039,27.009,-28.218
2015-06-30,57.885,29.911,12.616,42.527,6.557,0,4.173,-10.823,89.589,-13.94,-37.577,-36.641,1.593,-35.048,-0.332,-86.897,0,0,-10.317,-10.317,-28.054,14.414,-23.957,-15.188,25.949,-28.054
2015-03-31,21.86300,28.12300,-4.56100,23.56200,-3.84700,,29.77600,-49.23500,-3.81000,-12.87600,-5.70900,-41.88000,-8.23000,-50.11000,2.72800,-65.96700,,,-225.67700,-225.67700,-28.67500,16.77600,-237.57600,-318.80800,18.91100,-28.67500
2014-12-31,68.611,33.038,-8.198,24.84,-7.139,0,-6.163,35.936,129.387,-18.2,-15.195,-44.294,51.757,7.463,-14.966,-40.898,0,0,3.595,3.595,-28.833,3.296,-21.942,58.693,16.137,-28.833
2014-09-30,325.991,30.584,-92.89,-62.306,-7.061,0,26.09,-117.795,145.89,-12.476,-140.816,-32.506,-3.002,-35.508,9.737,-179.063,0,0,8.672,8.672,-28.419,7.146,-12.601,-55.614,17.332,-28.419
2014-06-30,-18.863,28.663,83.819,112.482,14.669,0,-6.208,11.476,106.13,-16.836,-25.399,-44.534,-6.84,-51.374,2.344,-91.265,0,0,-14.743,-14.743,-20.082,1.21,-33.615,-15.985,16.552,-20.082
2014-03-31,33.49100,26.79700,-4.08400,22.71300,-20.38700,,12.81700,-12.52800,42.64100,-9.72100,-77.98100,-32.84800,-7.86100,-40.70900,-0.15700,-128.56800,,,-29.08000,-29.08000,-20.00400,36.26200,-12.82200,-97.13300,9.61300,-20.00400
2013-12-31,78.853,28.964,7.522,36.486,-0.389,-0.766,-19.004,-12.945,86.631,-16.197,-0.977,0,16.33,16.33,-12.433,-13.277,500,500,-119.757,-119.757,-20.307,-73.107,286.829,358.792,14.157,-20.307
2013-09-30,95.635,26.521,-20.645,5.876,20.564,0,-6.33,-12.756,96.067,-16.295,-2.544,0,40.63,40.63,10.347,32.138,0,0,-53.953,-53.953,-20.002,3.131,-70.824,62.927,14.365,-20.002
2013-06-30,57.472,35.173,11.471,46.644,-5.119,12.929,-14.818,26.763,135.901,-14.181,-7.719,0.002,-23.974,-23.972,-0.606,-46.478,0,0,-75.475,-75.475,-17.451,8.484,-84.442,4.968,11.82,-17.451
