,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,227.2,116.6,-36.2,80.4,-30.7,32.9,34.7,66.1,156.6,464.2,-33.1,2.4,-3.5,-34.2,-2.8,-342.8,-345.6,-66.8,-66.8,-24.7,2.5,-434.6,3.9,25.9,-24.7
2022-09-30,189.9,115,22.9,137.9,16.3,-22.5,6.5,-16.2,2,329.8,-16,-13.6,0,-29.6,-0.1,-100,-100.1,-133.2,-133.2,-24.8,2.6,-255.5,22.4,22.9,-24.8
2022-06-30,173,116.2,34.3,150.5,-36.3,-7.5,20.9,-7.8,-29.1,294.4,-18.3,-2.5,0,-20.8,397,-449.4,-52.4,-179.1,-179.1,-24.9,6.1,-250.3,-1.4,25.1,-24.9
2022-03-31,165.10000,117.80000,19.90000,137.70000,-1.40000,-43.20000,19.20000,-31.40000,-88.00000,214.80000,-18.80000,0.90000,,-17.90000,-1156.50000,930.70000,-225.80000,-63.80000,-63.80000,-25.10000,-17.90000,-332.60000,-135.00000,19.90000,-25.10000
2021-12-31,167.9,104,-35.1,68.9,-63.7,-7.5,58.6,27,37.8,274.6,-17.5,-1413.4,-1.1,-1432,388.7,761,1149.7,0,0,-25.1,12.5,1137.1,-19.1,22.2,-25.1
2021-09-30,152.6,98.8,17.7,116.5,-8.6,-22.1,5.7,-40.1,-6.9,262.2,-10.9,-1157.6,0,-1168.5,611.1,-396.1,215,0,0,-25.2,-7.1,182.7,-727.4,18.4,-25.2
2021-06-30,182,95.7,-17.3,78.4,15.1,-20.2,22.1,-25.2,19.1,279.5,-8.7,1.1,1.1,-6.5,0,0,0,0,0,-40.9,28,-12.9,266.2,20.2,-23.7
2021-03-31,111.70000,97.00000,56.60000,153.60000,-26.90000,-3.80000,-13.00000,3.80000,-120.50000,144.80000,-8.40000,-0.20000,,-8.60000,-611.10000,,-611.10000,,,-41.00000,-2.80000,-654.90000,-525.20000,16.60000,-23.70000
2020-12-31,1251.6,91,-1249.4999,-1158.4999,-20.5,6.9,42.8,124.7,191.6,284.7,-11.5,-25.2,-6.6,-43.3,-1480.8,0,-1480.8,0,0,-58.2,1603.1,64.1,335.6,17.3,-23.7
2020-09-30,86,95.1,279.8,374.9,-30.5,11.8,-28.1,-7.3,20.8,481.7,-13.4,-13.4,-13,-39.8,0,0,0,0,0,-40.8,9.1,-31.7,426.2,15.6,-23.6
2020-06-30,59.8,99.5,187.1,286.6,127.4,-20.8,-9.3,16.2,132.9,479.3,-19.3,-0.7,-1.1,-21.1,367.9,-759.1,-391.2,0,0,-40.9,-13.2,-445.3,22.5,16.9,-23.6
2020-03-31,54.80000,98.40000,82.10000,180.50000,6.00000,-5.20000,12.70000,14.30000,-44.30000,191.00000,-26.20000,-1.10000,-16.90000,-44.20000,123.80000,-382.80000,-259.00000,,,-23.50000,-0.70000,-283.20000,-164.70000,12.80000,-23.50000
2019-12-31,-278.5,32.4,572.7,605.1,-71.4,24.1,60.3,43.8,148.8,475.4,5.1,-552.1,-40.3,-587.3,500,-200.7,299.3,0,0,-58,-3.4,237.9,144.7,7,-23.5
2019-09-30,207.3,116.8,-22.5,94.3,-31.2,23.6,3.8,-47.9,79.4,381,-31.1,-150.6,0,-181.7,0,-196.8,-196.8,0,0,-23.5,8.9,-211.4,-31.6,16.7,-23.5
2019-06-30,175.3,110.4,14.5,124.9,-152.2,79.1,28.9,-6.8,-41.4,258.8,-24.5,-3237.1,0,-3261.6,-57,448.5,391.5,0,0,-40.6,14.3,365.2,-2636.8,15.9,-23.4
2019-03-31,164.00000,81.90000,7.90000,89.80000,49.90000,-33.30000,-40.60000,-60.40000,-97.60000,156.20000,-24.00000,,,-24.00000,2014.90000,443.80000,2458.70000,,,-40.70000,-6.80000,2411.20000,2550.50000,12.90000,-23.40000
2018-12-31,-188,2.3,516.9,519.2,35.8,39.3,32.4,12.2,113.6,444.8,6.9,46.6,894.7,948.2,-1133.7,-201.8,-1335.5,0,0,-40.7,20.8,-1355.4,33.3,3.2,-23.4
2018-09-30,214,62.4,43.9,106.3,-36.2,-10.6,-2.9,11.7,66.4,386.7,-29.1,-2815.9,-5.6,-2850.6,1025,261.6,1286.6,0,-0.8,-42.1,12,1255.7,-1223.1,13,-24.5
2018-06-30,250.2,54.2,63,117.2,-31.8,-33,59.1,-35.6,-25.5,341.9,-21.8,-1.6,-1.8,-25.2,74.2,-325.9,-251.7,0,1338.2,-24.4,10.9,1073,1352.5,13.4,-24.4
2018-03-31,214.00000,55.90000,51.20000,107.10000,-3.80000,-29.80000,-28.60000,-5.30000,-150.10000,171.00000,-25.90000,-7.70000,-5.40000,-39.00000,-74.20000,,-74.20000,,,-24.30000,4.30000,-94.20000,53.60000,11.00000,-24.30000
2017-12-31,176.7,46.9,94.3,141.2,-24.6,9.3,68.9,-82.6,145.5,463.4,-1.9,-754.5,-25,-781.4,430.3,-50.9,379.4,0,0,-24.4,3.9,358.9,51.2,7,-24.4
2017-09-30,267.8,39.9,-3.4,36.5,-10.1,16.1,-22.4,-9.6,14.7,319,-32.1,-802.1,4.5,-829.7,125.9,335.6,461.5,0,0,-24.2,3.6,440.9,-57.5,11.9,-24.2
2017-06-30,240.1,37.1,13.3,50.4,-30.7,16.3,18.7,-7.7,-44.8,245.7,-28.8,0,-2.4,-31.2,0,-63.3,-63.3,0,0,-24.4,7,-80.7,150.8,13.3,-24.4
2017-03-31,199.70000,36.70000,12.00000,48.70000,10.00000,-24.20000,-47.50000,-0.60000,-100.10000,148.30000,-26.80000,,-0.60000,-27.40000,,-95.50000,-95.50000,,,-24.20000,0.30000,-119.40000,14.40000,12.00000,-24.20000
2016-12-31,92.4,28.3,145.5,173.8,23.9,3.6,49.7,-3.4,51.3,317.5,-11.1,0.5,-23.9,-34.5,-2609.2,2452.5,-156.7,0,0,-24.2,3.9,-177,78.4,6.3,-24.2
2016-09-30,226.9,48.6,12,60.6,-20,1.4,-25.4,-8,44.1,331.6,-28.6,-177.8,-0.1,-206.5,-387.1,525.6,138.5,0,0,-24.2,-2.7,111.6,237.6,12,-24.2
2016-06-30,238.9,44.9,10.9,55.8,-31.1,-11.7,27,-10.7,15.9,310.6,-33,0,2.4,-30.6,3370.1,0,3370.1,0,0,-3000,-162.9,207.2,487.2,10.9,-3000
2016-03-31,182.00000,43.90000,11.50000,55.40000,61.00000,-24.60000,-39.00000,5.40000,-60.20000,177.20000,-28.40000,-12.80000,2.00000,-39.20000,,,,,,,-138.00000,-138.00000,0.00000,11.50000,
2015-12-31,236.1,44.7,18.9,20.4,-15.6,25.1,53.1,1.8,88.2,387.9,-33.1,-37.1,-20,-90.2,0,0,0,0,0,0,-297.7,-297.7,0,10.9,0
2015-09-30,196.6,55.6,8.5,64.1,-23,-10.9,-12.9,-24.6,-24.4,236.3,-34.6,0,0.4,-34.2,0,0,0,0,0,0,-202.1,-202.1,0,8.5,0
2015-06-30,227.4,44.9,6.9,51.8,-18.3,0.8,27.5,-19.9,11,290.2,-28.3,0,0.1,-28.2,0,0,0,0,0,0,-262,-262,0,6.9,0
2015-03-31,203.70000,43.70000,8.90000,52.60000,5.10000,-42.70000,-14.10000,-18.60000,-161.70000,94.60000,-24.10000,,2.60000,-21.50000,,,,,,,-73.10000,-73.10000,0.00000,8.90000,
2014-12-31,52.5,18.3,0,18.3,0,0,0,0,-98.7,-83.5,-21.5,231.5,10.3,220.3,0,0,0,0,0,0,-136.8,-136.8,0,0,0
2013-12-31,67.2,14.7,0,14.7,0,0,0,0,3.8,86.2,-11.5,-147.2,-4.3,-163,0,0,0,0,0,0,76.8,76.8,0,0,0
2012-12-31,763.7,145,0,145,0,0,0,0,-5.9,944,-69.6,-286.6,7.8,-348.4,0,0,0,0,0,0,-595.6,-595.6,0,0,0
