,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2273.00000,398.00000,428.00000,826.00000,1694.00000,-476.00000,-1264.00000,328.00000,-4.00000,3095.00000,-287.00000,-29.00000,,201.00000,201.00000,-18.00000,-133.00000,1880.00000,-497.00000,1383.00000,-1270.00000,-1270.00000,-842.00000,-286.00000,-1015.00000,1974.00000,634.00000,-842.00000
2022-09-30,2923,490,498,988,-1850,-936,88,2,-2465,1446,-634,-169,0,392,392,121,-290,0,-2,-2,-332,-332,-841,-17,-1192,-99,521,-841
2022-06-30,3730,438,881,1319,285,-864,-31,-641,-2154,2895,-554,-4455,0,92,92,41,-4876,-412,-1,-413,-499,-499,-842,-206,-1960,-3975,516,-842
2022-03-31,2934,428,129,557,-47,-699,198,-369,-793,2698,-491,-50,0,15,15,0,-526,0,0,0,-764,-764,-764,-70,-1598,566,498,-764
2021-12-31,3399.00000,406.00000,640.00000,1046.00000,-454.00000,-638.00000,781.00000,-1582.00000,-2388.00000,2057.00000,-583.00000,-238.00000,,709.00000,709.00000,,-112.00000,,,,-1178.00000,-1178.00000,-765.00000,-503.00000,-2446.00000,-509.00000,496.00000,-765.00000
2021-09-30,2798,425,28,453,-626,-113,46,-1767,-2174,1077,-430,-93,0,390,390,183,50,0,1,1,-598,-598,-768,-37,-1402,-283,425,-768
2021-06-30,2028,406,98,504,394,-449,158,81,841,3373,-506,-48,0,136,136,46,-372,0,0,0,-630,-630,-767,-211,-1608,1399,424,-767
2021-03-31,1762,387,14,401,799,-122,162,39,748,2911,-483,-1098,0,-252,-252,1,-1832,0,-1,-1,-1347,-1347,-734,-61,-2143,-1076,422,-734
2020-12-31,2455.00000,364.00000,232.00000,596.00000,-141.00000,62.00000,129.00000,-204.00000,124.00000,3175.00000,-469.00000,-138.00000,,-626.00000,-626.00000,31.00000,-1202.00000,,1.00000,1.00000,-444.00000,-444.00000,-739.00000,-463.00000,-1645.00000,369.00000,392.00000,-739.00000
2020-09-30,2960,339,418,757,-2151,-219,162,-19,-1976,1741,-348,-26,0,-65,-65,101,-338,-220,1,-219,153,153,-734,-36,-836,587,313,-734
