,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-23120,4595,28043,32638,-294,-818,1040,10348,-4229,-91,0,0,432,-3888,1794,-2228,-434,-15,-2680,-2014,-33,-5161,1299,-2014
2022-09-30,6346,4514,-1222,3292,-271,-496,-123,10094,-5921,-362,0,0,583,-5700,523,-1044,-521,-3,-3,-2010,-2405,-4939,-1623,-2010
2022-06-30,4736,364,415,779,1520,2826,4472,9638,-4728,-315,0,0,383,-4660,-53656,-14319,-67975,-673,-673,-2086,-2981,-73715,-34531,-2086
2022-03-31,5164.00000,8548.00000,-576.00000,7972.00000,-228.00000,-2979.00000,-7238.00000,5732.00000,-4748.00000,-9233.00000,,,1330.00000,-12651.00000,29200.00000,1471.00000,30671.00000,-171.00000,-171.00000,-3749.00000,-2500.00000,24251.00000,17332.00000,-3749.00000
2021-12-31,5202,4500,99,4599,-1024,-2059,-1993,8077,-3494,-1845,0,0,1378,-3961,-1465,-94,-1559,-4,-4,-3749,-1247,-6559,-89,-3749
2021-09-30,5019,4457,512,4969,-897,-1438,-887,9310,-4470,6296,0,0,-25,1801,356,1438,1794,-2,-2,-3748,-1694,-3650,9429,-3748
2021-06-30,5613,200,1222,1422,45,4040,3037,9856,-3548,65,0,0,6,-3477,-194,-513,-707,13,13,-3830,-1856,-6380,548,-3830
2021-03-31,7942.00000,8695.00000,-2158.00000,6537.00000,751.00000,-2084.00000,-4393.00000,9927.00000,-4033.00000,-22833.00000,,,14.00000,-26852.00000,8195.00000,16172.00000,24367.00000,-113.00000,-113.00000,-3741.00000,-2030.00000,18483.00000,1558.00000,-3741.00000
2020-12-31,-11216,-5462,15650,10188,-1242,4347,6115,4436,-1407,1634,0,0,52,279,-1478,-1757,-3235,2,-1948,-3741,-339,-9263,21,-3741
2020-09-30,3168,9493,1272,10765,-201,-2487,-3746,12123,-3851,40,0,0,363,-3448,-9372,-1250,-10622,1,1980,-3741,-3474,-15857,-7182,-3741
2020-06-30,1563,9001,2234,11235,827,-2417,-1553,12059,-4466,-845,74,74,-19,-5256,3841,-169,3672,9,9,-3737,244,188,6991,-3737
2020-03-31,4963.00000,9491.00000,-304.00000,9187.00000,1695.00000,-2627.00000,-4816.00000,8866.00000,-4966.00000,18.00000,-74.00000,-74.00000,,-5022.00000,-65.00000,3132.00000,3067.00000,-5405.00000,-1536.00000,-3737.00000,-3893.00000,-6099.00000,-2255.00000,-3737.00000
2019-12-31,2704,9489,3000,12489,309,-3929,-4208,11943,-3792,224,-190,-190,70,-3688,-1219,-2456,-3675,-1953,5599,-3726,-940,-2742,5513,-3726
2019-09-30,3949,8809,1711,10520,-1081,-4393,-3354,11389,-5301,-622,108,108,112,-5703,-3240,-750,-3990,-48,1440,-3726,-1282,-7558,-1872,-3726
2019-06-30,3974,9803,1214,11017,1459,-2659,-570,14284,-5421,3380,194,194,-51,-1898,-5436,174,-5262,237,237,-3722,-1615,-10362,2024,-3722
2019-03-31,4348.00000,9703.00000,1152.00000,10855.00000,2125.00000,-2233.00000,-3794.00000,11052.00000,-5121.00000,-107.00000,-112.00000,-112.00000,-61.00000,-5401.00000,-658.00000,-136.00000,-794.00000,-22.00000,-22.00000,-3714.00000,109.00000,-4421.00000,1230.00000,-3714.00000
2018-12-31,5130,10056,-445,9611,-312,-5224,-2549,12080,-4556,972,22,22,404,-3158,-5514,-727,-6241,354,354,-3635,-2788,-12310,-3388,-3635
2018-09-30,4816,9606,697,10303,-1501,-4037,-3033,12346,-5736,-1477,-2,-2,-137,-7352,-2285,-4360,-6645,334,334,-3631,-17,-9959,-4965,-3631
2018-06-30,5248,6546,-157,6389,672,-1282,-2538,10229,-5002,-40478,-130,-130,127,-45483,-623,7066,6443,-418,-418,-3074,-3169,-218,-35472,-3074
2018-03-31,4759.00000,5994.00000,730.00000,6724.00000,-439.00000,153.00000,-2248.00000,8947.00000,-5957.00000,-178.00000,-1123.00000,-1123.00000,106.00000,-7152.00000,-2346.00000,,-2346.00000,-134.00000,-134.00000,-3070.00000,2048.00000,-3502.00000,-1707.00000,-3070.00000
2017-12-31,19136,6071,-16922,-10851,-334,-2262,-343,9537,-4891,-28,214,214,126,-4579,2,0,2,4,4,-3008,230,-2772,2186,-3008
2017-09-30,3123,6042,2589,8631,-771,-1096,-543,10803,-5006,-65,66,66,38,-4967,18455,0,18455,0,0,-3009,1639,17085,22921,-3009
2017-06-30,4014,6147,563,6710,-326,-128,-1633,8705,-4966,1431,152,152,-45,-3428,8610,-2,8608,-278,-278,-3012,250,5568,10845,-3012
2017-03-31,3574.00000,6127.00000,1116.00000,7243.00000,445.00000,47.00000,-1090.00000,8965.00000,-5784.00000,-156.00000,17.00000,17.00000,-46.00000,-5969.00000,9387.00000,,9387.00000,-156.00000,-156.00000,-3009.00000,-173.00000,6049.00000,9045.00000,-3009.00000
2016-12-31,2515,6129,1663,7792,105,-2226,-830,9240,-6233,425,172,172,507,-5129,-135,0,-135,-59,-59,-2947,-1082,-4223,-112,-2947
2016-09-30,3418,6579,1572,8151,-744,-1864,-749,10995,-5581,-2360,1,1,-232,-8172,-1559,0,-1559,-229,-229,-2951,603,-4136,-1313,-2951
2016-06-30,3515,6576,702,7278,-407,132,683,10307,-5251,-294,55,55,-219,-5709,-2671,0,-2671,-167,-167,-2952,-1608,-7398,-2800,-2952
2016-03-31,3885.00000,6563.00000,1663.00000,8226.00000,43.00000,1091.00000,-2856.00000,7900.00000,-4451.00000,-84.00000,445.00000,445.00000,-218.00000,-4308.00000,3682.00000,,3682.00000,89.00000,89.00000,-2947.00000,471.00000,1295.00000,4887.00000,-2947.00000
2015-12-31,4086,6477,1106,7583,-707,-3762,-4447,9185,-5862,-61,55,55,-229,-6097,-78,1,-77,-259,-259,-2889,-944,-4169,-1081,-2889
2015-09-30,3078,6265,646,6911,303,-2892,-132,10797,-5028,-9733,-400,-400,-226,-15387,-7034,-1,-7035,113,113,-2438,-804,-10164,-14754,-2438
2015-06-30,3184,4696,1202,5898,-305,9,396,9160,-4480,-1376,0,0,-217,-6073,15063,0,15063,12,12,-2439,789,13425,16512,-2439
2015-03-31,3339.00000,4578.00000,504.00000,5082.00000,739.00000,268.00000,-810.00000,6738.00000,-3848.00000,-19506.00000,1890.00000,1890.00000,-123.00000,-21587.00000,15976.00000,,15976.00000,8.00000,8.00000,-2434.00000,-2860.00000,10690.00000,-4159.00000,-2434.00000
2014-12-31,-3918,4567,10758,15325,576,-5708,-7612,5745,-4370,961,103,103,-51,-3357,7445,0,7445,5,5,-2382,-1311,3757,6145,-2382
2014-09-30,3299,4539,1156,5695,-703,-209,984,8724,-5180,-43,-1995,-1995,-61,-7279,-6868,-150,-7018,-214,-214,-2386,-674,-10292,-8847,-2386
2014-06-30,3621,4550,-1147,3403,-68,-571,1230,8070,-5933,4375,2,2,-63,-1619,3936,151,4087,-145,-145,-2386,-313,1243,7694,-2386
2014-03-31,3734.00000,4617.00000,714.00000,5331.00000,-498.00000,-480.00000,47.00000,8799.00000,-5716.00000,-311.00000,,,-55.00000,-6082.00000,1120.00000,-17.00000,1103.00000,-1224.00000,-1224.00000,-2398.00000,74.00000,-2445.00000,272.00000,-2398.00000
2013-12-31,7164,4680,-3755,925,-889,-109,-730,7917,-5379,989,0,0,-74,-4464,4853,-1831,3022,-1888,-1888,-2371,-248,-1485,1968,-2371
2013-09-30,3905,4615,1592,6207,-150,-439,-669,9168,-5900,-2822,0,0,-73,-8795,-308,608,300,-1913,-1913,-2395,458,-3550,-3177,-2395
2013-06-30,3880,4571,563,5134,-585,-80,670,9512,-5413,683,301,301,-79,-4508,1509,-505,1004,-3258,-3258,-2428,351,-4331,673,-2428
2013-03-31,3773.00000,4529.00000,499.00000,5028.00000,295.00000,864.00000,-516.00000,8199.00000,-4252.00000,-1040.00000,,,-65.00000,-5357.00000,3084.00000,1748.00000,4832.00000,-5855.00000,-5855.00000,-2502.00000,-310.00000,-3835.00000,-993.00000,-2502.00000
2012-12-31,-3779,4572,8458,13030,-794,-564,596,10520,-5846,-272,-246,-246,-65,-6429,5860,1,5861,-4361,-4361,-2503,-9,-1012,3079,-2503
2012-09-30,3701,4512,4186,8698,-111,113,-746,11331,-4877,-67,187,187,-69,-4826,-1007,0,-1007,-3667,-3667,-2551,632,-6593,-88,-2551
2012-06-30,3965,4499,-853,3646,-533,348,2062,9480,-4481,740,119,119,-66,-3688,-882,0,-882,-2399,-2399,-2581,-404,-6266,-474,-2581
2012-03-31,3652.00000,4560.00000,433.00000,4993.00000,73.00000,1120.00000,-462.00000,7845.00000,-4261.00000,-417.00000,5.00000,5.00000,-64.00000,-4737.00000,782.00000,,782.00000,-1848.00000,-1848.00000,-2606.00000,-130.00000,-3802.00000,-694.00000,-2606.00000
2011-12-31,-6628,7483,4482,11965,-591,-2739,-1138,7593,-5485,-713,17,17,-44,-6225,-6275,-33,-6308,21,21,-2545,-17,-8849,-7481,-2545
2011-09-30,3686,4618,2271,6889,-52,335,-213,10393,-5220,-322,0,0,-33,-5575,4942,-17,4925,17,17,-2545,-284,2113,6931,-2545
2011-06-30,3658,4602,2131,6733,-593,299,-1022,9025,-5272,11,-82,-82,-32,-5375,2959,-1567,1392,181,181,-2542,-241,-1210,2440,-2542
2011-03-31,3468.00000,4584.00000,749.00000,5333.00000,72.00000,708.00000,-529.00000,7732.00000,-4133.00000,-43.00000,127.00000,127.00000,-26.00000,-4075.00000,-1264.00000,-36.00000,-1300.00000,18.00000,18.00000,-2540.00000,119.00000,-3703.00000,-46.00000,-2540.00000
2010-12-31,1161,4992,3899,8891,-367,-680,584,9872,-6360,-282,337,337,-188,-6493,-4014,1625,-2389,26,26,-2480,-117,-4960,-1581,-2480
2010-09-30,12396,4873,-7258,-2385,-128,106,180,9539,-5314,1746,108,108,-191,-3651,1616,-3313,-1697,19,19,-2476,135,-4019,1869,-2476
2010-06-30,4082,4819,29,4848,-1,297,-724,8573,-4708,-2363,-525,-525,-187,-7783,-2149,2957,808,2,2,-2481,-290,-1961,-1171,-2481
2010-03-31,2540.00000,4780.00000,1721.00000,6501.00000,395.00000,92.00000,-1556.00000,7238.00000,-3148.00000,-177.00000,-20.00000,-20.00000,-177.00000,-3522.00000,-2512.00000,323.00000,-2189.00000,3.00000,3.00000,-2479.00000,-244.00000,-4909.00000,-1193.00000,-2479.00000
2009-12-31,2695,4901,138,5039,-220,-348,1926,8961,-5520,-717,44,44,-154,-6347,-2483,8,-2475,20,20,-2418,-98,-4971,-2357,-2418
2009-09-30,3275,4881,1964,6845,-439,-211,-147,9672,-4017,-123,11,7,-180,-4313,-4133,-3,-4136,4,4,-2418,14,-6536,-1177,-2418
2009-06-30,3276,4847,803,5650,-404,-7,-534,7857,-3844,-37,0,-11,-174,-4066,1936,-6,1930,3,3,-2418,222,-263,3528,-2418
2009-03-31,3201.00000,4886.00000,518.00000,5404.00000,573.00000,-51.00000,-1409.00000,7915.00000,-3173.00000,181.00000,,15.00000,-180.00000,-3157.00000,4189.00000,-3909.00000,280.00000,1.00000,1.00000,-2416.00000,-603.00000,-2738.00000,2020.00000,-2416.00000
