,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,-11508,-3017,-1406,-4423,0,0,0,2435,2435,-14665,3239,0,121,1,1,-149,3212,2250,0,2250,-119,-119,5262,172,7565,-3112,-396,5262
2022-09-30,3252,959,735,1694,0,0,0,263,263,5602,-1126,0,-121,330,330,-45,-962,-1000,0,-1000,10,10,-1747,35,-2702,1526,139,-1747
2022-06-30,3949,938,181,1119,0,0,0,-1399,-1399,4302,-1129,0,0,40,40,12,-1077,0,0,0,97,97,-1770,-104,-1777,1139,137,-1770
2022-03-31,4307.00000,1120.00000,490.00000,1610.00000,,,,-1299.00000,-1299.00000,4761.00000,-984.00000,,,-371.00000,-371.00000,182.00000,-1173.00000,-1250.00000,,-1250.00000,12.00000,12.00000,-1745.00000,-103.00000,-3086.00000,447.00000,120.00000,-1745.00000
2021-12-31,3824,835,175,1010,-2033,-674,405,2520,-45,5095,-1208,0,-11264,529,529,-106,-12049,6770,-3,6767,116,116,-1643,-33,5207,-1879,119,-1643
2021-09-30,4571,759,-565,194,0,0,0,-139,-139,4797,-1172,0,1,111,111,-1,-1061,0,0,0,-566,-566,-1649,-59,-2274,1416,117,-1649
2021-06-30,1214,728,1419,2147,0,0,0,-1463,-1463,1990,-986,0,-1644,0,0,5,-2625,0,-4771,-4771,-197,-197,-1673,8903,2262,1619,132,-1673
2021-03-31,2749.00000,892.00000,-445.00000,447.00000,,,,-2192.00000,-2192.00000,1240.00000,-1082.00000,,,385.00000,385.00000,11.00000,-686.00000,-1153.00000,788.00000,-365.00000,9.00000,9.00000,-1645.00000,-97.00000,-2098.00000,-1142.00000,111.00000,-1645.00000
2020-12-31,-2614,883,3483,4366,-1002,-895,684,2434,883,3410,-1431,0,-3154,901,901,-1013,-4697,-3,2860,2857,21,21,-1542,36,1372,764,112,-1542
2020-09-30,2326,807,-902,-95,0,0,0,-1372,-1372,1582,-1445,0,-586,1,1,-56,-2086,-28,-2278,-2306,28,28,-1545,-28,-3851,-3746,116,-1545
