,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,107,170,14,184,-247,-12,-31,-290,1,-542,0,0,208,-334,-154,259,105,25,25,-106,-14,10,-323,-106
2022-09-30,228,169,-45,124,-142,-5,-20,-167,185,-349,0,0,120,-229,513,-16,497,0,0,-107,-19,371,327,-107
2022-06-30,159,166,3,169,-122,132,-234,-279,49,-263,0,0,116,-147,-4,123,119,0,0,-108,36,47,-51,-108
2022-03-31,192.00000,166.00000,27.00000,193.00000,-161.00000,-37.00000,9.00000,-134.00000,251.00000,-330.00000,,,107.00000,-223.00000,350.00000,-239.00000,111.00000,,,-107.00000,-1.00000,3.00000,31.00000,-107.00000
2021-12-31,95,163,34,197,-133,37,-91,-187,105,-337,0,0,61,-276,296,199,495,28,-172,-99,-37,187,16,-99
2021-09-30,259,165,45,210,-132,-11,-56,-199,270,-374,0,0,112,-262,300,-219,81,0,0,-101,20,0,8,-101
2021-06-30,146,165,20,185,-139,17,-127,-269,62,-227,0,0,75,-152,-4,199,195,0,0,-101,-6,88,-2,-101
2021-03-31,174.00000,164.00000,33.00000,197.00000,-126.00000,-6.00000,-114.00000,-226.00000,145.00000,-231.00000,,,193.00000,-38.00000,,-53.00000,-53.00000,,,-102.00000,10.00000,-145.00000,-38.00000,-102.00000
2020-12-31,66,161,25,186,-152,-3,-32,-187,65,-392,0,0,120,-272,197,-33,164,6,6,-96,-5,69,-138,-96
2020-09-30,249,156,25,181,-118,0,-195,-313,117,-366,0,0,79,-287,0,237,237,6,6,-94,6,155,-15,-94
2020-06-30,136,152,-2,150,-79,0,-71,-127,159,-319,0,0,106,-213,396,-85,311,7,7,-94,-20,204,150,-94
2020-03-31,173.00000,146.00000,55.00000,201.00000,-119.00000,,-72.00000,-214.00000,160.00000,-289.00000,,,110.00000,-179.00000,,-67.00000,-67.00000,228.00000,228.00000,-93.00000,-8.00000,60.00000,41.00000,-93.00000
2019-12-31,113,143,-5,138,-113,0,13,-100,151,-565,0,0,139,-426,-3,-12,-15,205,205,-84,-13,93,-182,-84
2019-09-30,229.2,144.2,32.1,176.3,-159.3,33.1,-47.2,-173.4,232.1,-368.4,0,0,114.4,-254,50.4,-41.3,9.1,124.4,124.4,-85.2,-1.1,47.2,25.3,-85.2
2019-06-30,97.1,153,-1.7,151.3,-78.1,9.6,-51,-152.6,95.8,-300.5,0,0,58.3,-242.2,646.9,-239.2,407.7,6,6,-84.1,-26.8,302.8,156.4,-84.1
2019-03-31,127.70000,126.80000,38.60000,165.40000,-121.60000,-42.70000,19.20000,-112.00000,181.10000,-406.10000,,,41.30000,-364.80000,-0.30000,188.50000,188.20000,54.60000,54.60000,-83.70000,16.90000,176.00000,-7.70000,-83.70000
2018-12-31,87.5,130.6,80.7,211.3,-149.8,47.3,-48,-213,85.8,-506,0,0,254.7,-251.3,-252.9,304.4,51.5,5.7,5.7,-78.7,-34.9,-56.4,-221.9,-78.7
2018-09-30,208.1,129,-5.5,123.5,-156.8,-13.2,-56.3,-163.8,167.8,-394.7,0,0,96.9,-297.8,399.9,-70.7,329.2,91.2,91.2,-78.5,23.9,365.8,235.8,-78.5
2018-06-30,102.9,127,2,129,-87.8,25.5,-23.3,-113.8,118.1,-377.8,0,0,12.1,-365.7,497,-269.8,227.2,93.8,93.8,-77.3,-12.3,231.4,-16.2,-77.3
2018-03-31,123.50000,120.40000,2.80000,123.20000,-80.60000,-59.60000,21.60000,-90.40000,156.30000,-355.50000,,,203.30000,-152.20000,,62.10000,62.10000,6.30000,6.30000,-77.50000,-0.70000,-9.80000,-5.70000,-77.50000
2017-12-31,96.3,119.1,12.8,131.9,-172.9,-3.8,18.8,-157.9,70.3,-417.5,0,0,23.2,-394.3,547.9,-110.1,437.8,6.4,6.4,-72.6,-28.9,342.7,18.7,-72.6
2017-09-30,171.4,120.7,96.5,217.2,36.5,4.8,-106.1,-64.8,323.8,-441.9,0,0,54.7,-387.2,-0.1,116.7,116.6,5.9,5.9,-72.6,16.5,66.4,3,-72.6
2017-06-30,96.8,115,52.2,167.2,-161.6,40.3,-108.8,-255.5,8.5,-316,0,0,151.3,-164.7,-2.4,105.8,103.4,137.3,137.3,-71.6,-15.7,153.4,-2.8,-71.6
2017-03-31,103.00000,107.00000,47.90000,154.90000,-143.20000,-41.30000,20.20000,-138.90000,119.00000,-291.50000,,,204.30000,-87.20000,,58.70000,58.70000,,,-71.50000,-17.10000,-29.90000,1.90000,-71.50000
2016-12-31,65.2,98.1,29.7,127.8001,-467.2,0,13,-454.2,-261.2,-409.9,0,0,461.5,51.6,186.6,5.8,192.4,6.2,6.2,-66.7,0.7,132.6,-77,-66.7
2016-09-30,131,104.1,173.5,277.6,-178.5,0,-40,-264.6,144,-295.9,0,0,24.9,-271,300,-49.3,250.7,6.6,6.6,-66.6,14.5,205.2,78.2,-66.6
